cpu-bind=MASK - bp1-compute219, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 42.729967 secs
Exciton, frame 60000 ran in:  15.694567680358887
Exciton, frame 60001 ran in:  14.707616329193115
Exciton, frame 60002 ran in:  14.563392877578735
Exciton, frame 60003 ran in:  14.85081672668457
Exciton, frame 60004 ran in:  14.92275857925415
Exciton, frame 60005 ran in:  14.650558710098267
Exciton, frame 60006 ran in:  14.505056619644165
Exciton, frame 60007 ran in:  14.421277523040771
Exciton, frame 60008 ran in:  14.852092981338501
Exciton, frame 60009 ran in:  14.076685190200806
Exciton, frame 60010 ran in:  10.788663625717163
Exciton, frame 60011 ran in:  10.642947435379028
Exciton, frame 60012 ran in:  14.644753217697144
Exciton, frame 60013 ran in:  12.113205909729004
Exciton, frame 60014 ran in:  11.319574356079102
Exciton, frame 60015 ran in:  14.040038108825684
Exciton, frame 60016 ran in:  11.649081945419312
Exciton, frame 60017 ran in:  10.499306678771973
Exciton, frame 60018 ran in:  14.915903806686401
Exciton, frame 60019 ran in:  14.626963138580322
Exciton, frame 60020 ran in:  14.112143993377686
Exciton, frame 60021 ran in:  14.660065174102783
Exciton, frame 60022 ran in:  14.7402184009552
Exciton, frame 60023 ran in:  14.486433506011963
Exciton, frame 60024 ran in:  14.476703643798828
Exciton, frame 60025 ran in:  14.52580189704895
Exciton, frame 60026 ran in:  13.09398341178894
Exciton, frame 60027 ran in:  14.830603837966919
Exciton, frame 60028 ran in:  14.603951215744019
Exciton, frame 60029 ran in:  11.87207579612732
Exciton, frame 60030 ran in:  11.163882493972778
Exciton, frame 60031 ran in:  11.40941047668457
Exciton, frame 60032 ran in:  14.742715835571289
Exciton, frame 60033 ran in:  14.419586896896362
Exciton, frame 60034 ran in:  14.217581033706665
Exciton, frame 60035 ran in:  14.243492603302002
Exciton, frame 60036 ran in:  14.579273462295532
Exciton, frame 60037 ran in:  11.676184177398682
Exciton, frame 60038 ran in:  14.570139646530151
Exciton, frame 60039 ran in:  11.52492070198059
Exciton, frame 60040 ran in:  14.68756914138794
Exciton, frame 60041 ran in:  11.76156497001648
Exciton, frame 60042 ran in:  14.872003078460693
Exciton, frame 60043 ran in:  14.67455506324768
Exciton, frame 60044 ran in:  13.760937452316284
Exciton, frame 60045 ran in:  11.272005796432495
Exciton, frame 60046 ran in:  14.831703662872314
Exciton, frame 60047 ran in:  11.57737684249878
Exciton, frame 60048 ran in:  14.295028924942017
Exciton, frame 60049 ran in:  14.801316499710083
Exciton, frame 60050 ran in:  14.499137878417969
Exciton, frame 60051 ran in:  14.895565271377563
Exciton, frame 60052 ran in:  14.609595775604248
Exciton, frame 60053 ran in:  14.696019649505615
Exciton, frame 60054 ran in:  14.841528177261353
Exciton, frame 60055 ran in:  10.418903112411499
Exciton, frame 60056 ran in:  14.769402980804443
Exciton, frame 60057 ran in:  14.512550830841064
Exciton, frame 60058 ran in:  14.702157020568848
Exciton, frame 60059 ran in:  14.043990850448608
Exciton, frame 60060 ran in:  14.580641746520996
Exciton, frame 60061 ran in:  14.173935890197754
Exciton, frame 60062 ran in:  14.984020948410034
Exciton, frame 60063 ran in:  14.147629261016846
Exciton, frame 60064 ran in:  14.5428147315979
Exciton, frame 60065 ran in:  14.508141279220581
Exciton, frame 60066 ran in:  14.951390027999878
Exciton, frame 60067 ran in:  14.74087142944336
Exciton, frame 60068 ran in:  14.85314655303955
Exciton, frame 60069 ran in:  14.135456323623657
Exciton, frame 60070 ran in:  14.732045888900757
Exciton, frame 60071 ran in:  14.61072063446045
Exciton, frame 60072 ran in:  14.750341415405273
Exciton, frame 60073 ran in:  14.948755502700806
Exciton, frame 60074 ran in:  14.527159452438354
Exciton, frame 60075 ran in:  14.457336664199829
Exciton, frame 60076 ran in:  11.529853343963623
Exciton, frame 60077 ran in:  14.875591278076172
Exciton, frame 60078 ran in:  14.859539270401001
Exciton, frame 60079 ran in:  14.859842777252197
