cpu-bind=MASK - bp1-compute159, task 4294967295 4294967295 [0]: mask 0xf3f9f0f0f3f9f0f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.296795 secs
Exciton, frame 44128 ran in:  14.75986099243164
Exciton, frame 44129 ran in:  14.431966066360474
Exciton, frame 44130 ran in:  14.047974824905396
Exciton, frame 44131 ran in:  14.571323871612549
Exciton, frame 44132 ran in:  14.372285842895508
Exciton, frame 44133 ran in:  14.316125869750977
Exciton, frame 44134 ran in:  13.87516975402832
Exciton, frame 44135 ran in:  13.94538950920105
Exciton, frame 44136 ran in:  14.056649923324585
Exciton, frame 44137 ran in:  14.081310510635376
Exciton, frame 44138 ran in:  14.10567831993103
Exciton, frame 44139 ran in:  13.897183895111084
Exciton, frame 44140 ran in:  14.40061330795288
Exciton, frame 44141 ran in:  13.988166332244873
Exciton, frame 44142 ran in:  14.281081676483154
Exciton, frame 44143 ran in:  14.121480703353882
Exciton, frame 44144 ran in:  14.501686334609985
Exciton, frame 44145 ran in:  13.926844120025635
Exciton, frame 44146 ran in:  14.365187883377075
Exciton, frame 44147 ran in:  14.234241247177124
Exciton, frame 44148 ran in:  14.478399991989136
Exciton, frame 44149 ran in:  14.429570436477661
Exciton, frame 44150 ran in:  14.502114534378052
Exciton, frame 44151 ran in:  14.081668138504028
Exciton, frame 44152 ran in:  14.432732343673706
Exciton, frame 44153 ran in:  14.206644058227539
Exciton, frame 44154 ran in:  13.809245824813843
Exciton, frame 44155 ran in:  14.472519159317017
Exciton, frame 44156 ran in:  14.16175889968872
Exciton, frame 44157 ran in:  14.478320598602295
Exciton, frame 44158 ran in:  14.235575437545776
Exciton, frame 44159 ran in:  14.45262885093689
Exciton, frame 44160 ran in:  14.171572923660278
Exciton, frame 44161 ran in:  14.401601791381836
Exciton, frame 44162 ran in:  14.421554327011108
Exciton, frame 44163 ran in:  14.598700284957886
Exciton, frame 44164 ran in:  13.904074430465698
Exciton, frame 44165 ran in:  14.726029396057129
Exciton, frame 44166 ran in:  14.490104675292969
Exciton, frame 44167 ran in:  14.264985084533691
Exciton, frame 44168 ran in:  13.735044717788696
Exciton, frame 44169 ran in:  14.432695865631104
Exciton, frame 44170 ran in:  14.141441822052002
Exciton, frame 44171 ran in:  14.497706413269043
Exciton, frame 44172 ran in:  14.5797119140625
Exciton, frame 44173 ran in:  14.569915294647217
Exciton, frame 44174 ran in:  14.335296869277954
Exciton, frame 44175 ran in:  14.392795324325562
Exciton, frame 44176 ran in:  14.395565748214722
Exciton, frame 44177 ran in:  14.406376123428345
Exciton, frame 44178 ran in:  14.42387580871582
Exciton, frame 44179 ran in:  14.37869906425476
Exciton, frame 44180 ran in:  14.348308086395264
Exciton, frame 44181 ran in:  13.879719018936157
Exciton, frame 44182 ran in:  14.613017082214355
Exciton, frame 44183 ran in:  14.857794761657715
Exciton, frame 44184 ran in:  14.324641227722168
Exciton, frame 44185 ran in:  14.920461893081665
Exciton, frame 44186 ran in:  14.77200961112976
Exciton, frame 44187 ran in:  14.366116285324097
Exciton, frame 44188 ran in:  14.67170238494873
Exciton, frame 44189 ran in:  14.241459608078003
Exciton, frame 44190 ran in:  14.798761129379272
Exciton, frame 44191 ran in:  14.693776369094849
Exciton, frame 44192 ran in:  14.604876518249512
Exciton, frame 44193 ran in:  14.439221620559692
Exciton, frame 44194 ran in:  14.613962888717651
Exciton, frame 44195 ran in:  14.613968133926392
Exciton, frame 44196 ran in:  14.693728923797607
Exciton, frame 44197 ran in:  14.870238304138184
Exciton, frame 44198 ran in:  14.086580514907837
Exciton, frame 44199 ran in:  14.70369029045105
Exciton, frame 44200 ran in:  14.819173336029053
Exciton, frame 44201 ran in:  14.589102983474731
Exciton, frame 44202 ran in:  14.435893535614014
Exciton, frame 44203 ran in:  15.042407751083374
Exciton, frame 44204 ran in:  14.505083560943604
Exciton, frame 44205 ran in:  14.594003915786743
Exciton, frame 44206 ran in:  14.704678773880005
Exciton, frame 44207 ran in:  14.800989389419556
Exciton, frame 44208 ran in:  14.974615097045898
Exciton, frame 44209 ran in:  15.159719944000244
Exciton, frame 44210 ran in:  14.519064664840698
Exciton, frame 44211 ran in:  14.204457521438599
Exciton, frame 44212 ran in:  14.549908876419067
Exciton, frame 44213 ran in:  14.767013311386108
Exciton, frame 44214 ran in:  14.346110582351685
Exciton, frame 44215 ran in:  14.692704200744629
Exciton, frame 44216 ran in:  14.466975688934326
Exciton, frame 44217 ran in:  14.38984489440918
Exciton, frame 44218 ran in:  14.710102081298828
Exciton, frame 44219 ran in:  14.324336528778076
Exciton, frame 44220 ran in:  14.595195293426514
Exciton, frame 44221 ran in:  14.92071270942688
Exciton, frame 44222 ran in:  14.556592464447021
Exciton, frame 44223 ran in:  14.54593276977539
Exciton, frame 44224 ran in:  14.771706104278564
Exciton, frame 44225 ran in:  14.724152565002441
Exciton, frame 44226 ran in:  14.575895071029663
Exciton, frame 44227 ran in:  14.487869501113892
Exciton, frame 44228 ran in:  14.3268461227417
Exciton, frame 44229 ran in:  14.874472618103027
Exciton, frame 44230 ran in:  14.486248970031738
Exciton, frame 44231 ran in:  15.098648309707642
Exciton, frame 44232 ran in:  14.608604907989502
Exciton, frame 44233 ran in:  14.356142282485962
Exciton, frame 44234 ran in:  14.537944555282593
Exciton, frame 44235 ran in:  14.246777534484863
Exciton, frame 44236 ran in:  13.958707809448242
Exciton, frame 44237 ran in:  14.843937158584595
Exciton, frame 44238 ran in:  14.374893188476562
Exciton, frame 44239 ran in:  14.416786193847656
Exciton, frame 44240 ran in:  14.748730897903442
Exciton, frame 44241 ran in:  14.26157546043396
Exciton, frame 44242 ran in:  14.597587585449219
Exciton, frame 44243 ran in:  14.542262554168701
Exciton, frame 44244 ran in:  14.250644207000732
Exciton, frame 44245 ran in:  14.874326229095459
Exciton, frame 44246 ran in:  14.710017919540405
Exciton, frame 44247 ran in:  14.155201196670532
Exciton, frame 44248 ran in:  14.643181085586548
Exciton, frame 44249 ran in:  15.041473865509033
Exciton, frame 44250 ran in:  14.293636083602905
Exciton, frame 44251 ran in:  14.390676021575928
Exciton, frame 44252 ran in:  14.787495136260986
Exciton, frame 44253 ran in:  14.750627756118774
Exciton, frame 44254 ran in:  14.458340167999268
Exciton, frame 44255 ran in:  14.351603507995605
Exciton, frame 44256 ran in:  14.416797637939453
Exciton, frame 44257 ran in:  14.849907159805298
Exciton, frame 44258 ran in:  14.629859447479248
Exciton, frame 44259 ran in:  14.182293176651001
Exciton, frame 44260 ran in:  14.554181098937988
Exciton, frame 44261 ran in:  14.76792311668396
Exciton, frame 44262 ran in:  14.508919954299927
Exciton, frame 44263 ran in:  14.45915174484253
Exciton, frame 44264 ran in:  14.575012445449829
Exciton, frame 44265 ran in:  14.393985748291016
Exciton, frame 44266 ran in:  14.32895541191101
Exciton, frame 44267 ran in:  14.322956323623657
Exciton, frame 44268 ran in:  14.698266983032227
Exciton, frame 44269 ran in:  14.374496221542358
Exciton, frame 44270 ran in:  14.728176593780518
Exciton, frame 44271 ran in:  14.707687139511108
Exciton, frame 44272 ran in:  14.730834007263184
Exciton, frame 44273 ran in:  14.779431343078613
Exciton, frame 44274 ran in:  14.839564085006714
Exciton, frame 44275 ran in:  14.54289984703064
Exciton, frame 44276 ran in:  15.07616138458252
Exciton, frame 44277 ran in:  14.537761688232422
Exciton, frame 44278 ran in:  14.646435499191284
Exciton, frame 44279 ran in:  14.394127607345581
Exciton, frame 44280 ran in:  14.634166240692139
Exciton, frame 44281 ran in:  14.732774019241333
Exciton, frame 44282 ran in:  14.461976766586304
Exciton, frame 44283 ran in:  14.534889698028564
Exciton, frame 44284 ran in:  14.76150631904602
Exciton, frame 44285 ran in:  14.552180290222168
Exciton, frame 44286 ran in:  14.76700758934021
Exciton, frame 44287 ran in:  14.814741849899292
Exciton, frame 44288 ran in:  14.223459959030151
Exciton, frame 44289 ran in:  14.437098503112793
Exciton, frame 44290 ran in:  14.66808819770813
Exciton, frame 44291 ran in:  14.011255502700806
Exciton, frame 44292 ran in:  14.183297395706177
Exciton, frame 44293 ran in:  14.811575651168823
Exciton, frame 44294 ran in:  14.06108546257019
Exciton, frame 44295 ran in:  14.09666132926941
Exciton, frame 44296 ran in:  14.19278073310852
Exciton, frame 44297 ran in:  14.163939714431763
Exciton, frame 44298 ran in:  14.12550950050354
Exciton, frame 44299 ran in:  14.224535703659058
Exciton, frame 44300 ran in:  14.294480323791504
Exciton, frame 44301 ran in:  14.051286697387695
Exciton, frame 44302 ran in:  14.240150690078735
Exciton, frame 44303 ran in:  14.299344539642334
Exciton, frame 44304 ran in:  14.020925998687744
Exciton, frame 44305 ran in:  13.976211547851562
Exciton, frame 44306 ran in:  14.25993275642395
Exciton, frame 44307 ran in:  13.876103401184082
Exciton, frame 44308 ran in:  14.206107139587402
Exciton, frame 44309 ran in:  14.130573272705078
Exciton, frame 44310 ran in:  14.251449584960938
Exciton, frame 44311 ran in:  13.82612156867981
Exciton, frame 44312 ran in:  14.190968990325928
Exciton, frame 44313 ran in:  14.51436734199524
Exciton, frame 44314 ran in:  13.864216804504395
Exciton, frame 44315 ran in:  14.554094314575195
Exciton, frame 44316 ran in:  14.451488018035889
Exciton, frame 44317 ran in:  14.284685134887695
Exciton, frame 44318 ran in:  14.268251895904541
