cpu-bind=MASK - bp1-compute178, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 52.211438 secs
Exciton, frame 56000 ran in:  14.281717300415039
Exciton, frame 56001 ran in:  14.634196758270264
Exciton, frame 56002 ran in:  10.46192193031311
Exciton, frame 56003 ran in:  14.337708234786987
Exciton, frame 56004 ran in:  15.0263671875
Exciton, frame 56005 ran in:  14.750788688659668
Exciton, frame 56006 ran in:  14.056971788406372
Exciton, frame 56007 ran in:  14.79760193824768
Exciton, frame 56008 ran in:  14.260843753814697
Exciton, frame 56009 ran in:  14.61333441734314
Exciton, frame 56010 ran in:  14.083714485168457
Exciton, frame 56011 ran in:  14.279585599899292
Exciton, frame 56012 ran in:  11.747790098190308
Exciton, frame 56013 ran in:  14.190211772918701
Exciton, frame 56014 ran in:  14.163408041000366
Exciton, frame 56015 ran in:  11.805204391479492
Exciton, frame 56016 ran in:  13.791661500930786
Exciton, frame 56017 ran in:  13.764326572418213
Exciton, frame 56018 ran in:  15.033061981201172
Exciton, frame 56019 ran in:  14.367085695266724
Exciton, frame 56020 ran in:  14.333688020706177
Exciton, frame 56021 ran in:  14.372353315353394
Exciton, frame 56022 ran in:  14.769497394561768
Exciton, frame 56023 ran in:  14.230679750442505
Exciton, frame 56024 ran in:  14.547621726989746
Exciton, frame 56025 ran in:  12.230385303497314
Exciton, frame 56026 ran in:  14.872763395309448
Exciton, frame 56027 ran in:  14.36460542678833
Exciton, frame 56028 ran in:  14.149429082870483
Exciton, frame 56029 ran in:  13.864344120025635
Exciton, frame 56030 ran in:  14.471010684967041
Exciton, frame 56031 ran in:  13.866579055786133
Exciton, frame 56032 ran in:  14.45331859588623
Exciton, frame 56033 ran in:  11.44591760635376
Exciton, frame 56034 ran in:  13.925027132034302
Exciton, frame 56035 ran in:  14.455603837966919
Exciton, frame 56036 ran in:  14.30367112159729
Exciton, frame 56037 ran in:  11.895857095718384
Exciton, frame 56038 ran in:  14.931132555007935
Exciton, frame 56039 ran in:  14.834255456924438
Exciton, frame 56040 ran in:  12.844521284103394
Exciton, frame 56041 ran in:  14.769150733947754
Exciton, frame 56042 ran in:  14.54095983505249
Exciton, frame 56043 ran in:  13.723674297332764
Exciton, frame 56044 ran in:  14.148632526397705
Exciton, frame 56045 ran in:  15.145996332168579
Exciton, frame 56046 ran in:  14.390337705612183
Exciton, frame 56047 ran in:  14.872181177139282
Exciton, frame 56048 ran in:  14.208479881286621
Exciton, frame 56049 ran in:  14.5515775680542
Exciton, frame 56050 ran in:  14.280535697937012
Exciton, frame 56051 ran in:  14.24173903465271
Exciton, frame 56052 ran in:  14.575938940048218
Exciton, frame 56053 ran in:  14.663192987442017
Exciton, frame 56054 ran in:  14.724661588668823
Exciton, frame 56055 ran in:  14.753279685974121
Exciton, frame 56056 ran in:  14.125571250915527
Exciton, frame 56057 ran in:  10.696744918823242
Exciton, frame 56058 ran in:  11.562474727630615
Exciton, frame 56059 ran in:  14.59437084197998
Exciton, frame 56060 ran in:  14.028055191040039
Exciton, frame 56061 ran in:  11.960006713867188
Exciton, frame 56062 ran in:  14.356751680374146
Exciton, frame 56063 ran in:  11.549752950668335
Exciton, frame 56064 ran in:  14.210161685943604
Exciton, frame 56065 ran in:  14.92752742767334
Exciton, frame 56066 ran in:  13.86023473739624
Exciton, frame 56067 ran in:  10.207499980926514
Exciton, frame 56068 ran in:  14.37112307548523
Exciton, frame 56069 ran in:  14.06955862045288
Exciton, frame 56070 ran in:  14.632218360900879
Exciton, frame 56071 ran in:  13.748327493667603
Exciton, frame 56072 ran in:  11.6931791305542
Exciton, frame 56073 ran in:  11.33508825302124
Exciton, frame 56074 ran in:  11.673658609390259
Exciton, frame 56075 ran in:  14.746003866195679
Exciton, frame 56076 ran in:  14.305179357528687
Exciton, frame 56077 ran in:  13.974054098129272
Exciton, frame 56078 ran in:  14.157466173171997
Exciton, frame 56079 ran in:  14.699110984802246
Exciton, frame 56080 ran in:  11.64652156829834
Exciton, frame 56081 ran in:  14.374011039733887
Exciton, frame 56082 ran in:  14.860864400863647
Exciton, frame 56083 ran in:  14.399381160736084
Exciton, frame 56084 ran in:  14.301966190338135
Exciton, frame 56085 ran in:  14.292051792144775
Exciton, frame 56086 ran in:  13.772786378860474
Exciton, frame 56087 ran in:  14.355775117874146
Exciton, frame 56088 ran in:  11.987179279327393
Exciton, frame 56089 ran in:  14.865321397781372
Exciton, frame 56090 ran in:  14.136207580566406
Exciton, frame 56091 ran in:  14.474475622177124
Exciton, frame 56092 ran in:  14.349812030792236
Exciton, frame 56093 ran in:  14.844541311264038
Exciton, frame 56094 ran in:  15.026719331741333
Exciton, frame 56095 ran in:  14.79526400566101
Exciton, frame 56096 ran in:  14.63190484046936
Exciton, frame 56097 ran in:  15.036038875579834
Exciton, frame 56098 ran in:  14.44241976737976
Exciton, frame 56099 ran in:  13.823256015777588
Exciton, frame 56100 ran in:  14.36451005935669
Exciton, frame 56101 ran in:  14.674559116363525
Exciton, frame 56102 ran in:  14.604183197021484
Exciton, frame 56103 ran in:  14.077515602111816
Exciton, frame 56104 ran in:  14.401200771331787
Exciton, frame 56105 ran in:  11.68100881576538
Exciton, frame 56106 ran in:  15.005832195281982
