cpu-bind=MASK - bp1-compute215, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.168294 secs
Exciton, frame 80129 ran in:  12.499869585037231
Exciton, frame 80130 ran in:  12.833867073059082
Exciton, frame 80131 ran in:  11.544853925704956
Exciton, frame 80132 ran in:  11.969995975494385
Exciton, frame 80133 ran in:  12.355657577514648
Exciton, frame 80134 ran in:  12.503602027893066
Exciton, frame 80135 ran in:  13.09551477432251
Exciton, frame 80136 ran in:  12.258355617523193
Exciton, frame 80137 ran in:  11.56778860092163
Exciton, frame 80138 ran in:  13.173993587493896
Exciton, frame 80139 ran in:  12.93830132484436
Exciton, frame 80140 ran in:  12.940814971923828
Exciton, frame 80141 ran in:  11.479176044464111
Exciton, frame 80142 ran in:  12.884511470794678
Exciton, frame 80143 ran in:  11.723768711090088
Exciton, frame 80144 ran in:  11.89121389389038
Exciton, frame 80145 ran in:  11.643258810043335
Exciton, frame 80146 ran in:  11.780120611190796
Exciton, frame 80147 ran in:  11.608458518981934
Exciton, frame 80148 ran in:  11.562936305999756
Exciton, frame 80149 ran in:  11.819982290267944
Exciton, frame 80150 ran in:  11.587353706359863
Exciton, frame 80151 ran in:  12.13543963432312
Exciton, frame 80152 ran in:  11.965715169906616
Exciton, frame 80153 ran in:  12.383277654647827
Exciton, frame 80154 ran in:  11.414597034454346
Exciton, frame 80155 ran in:  11.99393105506897
Exciton, frame 80156 ran in:  11.999496698379517
Exciton, frame 80157 ran in:  11.980109930038452
Exciton, frame 80158 ran in:  11.980133771896362
Exciton, frame 80159 ran in:  12.019893884658813
Exciton, frame 80160 ran in:  12.051875829696655
Exciton, frame 80161 ran in:  11.31001877784729
Exciton, frame 80162 ran in:  11.722407341003418
Exciton, frame 80163 ran in:  12.150231838226318
Exciton, frame 80164 ran in:  12.278552293777466
Exciton, frame 80165 ran in:  11.983847618103027
Exciton, frame 80166 ran in:  11.343295097351074
Exciton, frame 80167 ran in:  12.161065816879272
Exciton, frame 80168 ran in:  12.09995698928833
Exciton, frame 80169 ran in:  11.997963428497314
Exciton, frame 80170 ran in:  12.046216249465942
Exciton, frame 80171 ran in:  11.986682891845703
Exciton, frame 80172 ran in:  11.370425701141357
Exciton, frame 80173 ran in:  12.092355251312256
Exciton, frame 80174 ran in:  12.165883779525757
Exciton, frame 80175 ran in:  12.020128011703491
Exciton, frame 80176 ran in:  12.028624534606934
Exciton, frame 80177 ran in:  11.4729323387146
Exciton, frame 80178 ran in:  11.483063697814941
Exciton, frame 80179 ran in:  11.940700054168701
Exciton, frame 80180 ran in:  12.035340070724487
Exciton, frame 80181 ran in:  11.85721230506897
Exciton, frame 80182 ran in:  11.767800569534302
Exciton, frame 80183 ran in:  12.13893747329712
