cpu-bind=MASK - bp1-compute213, task 4294967295 4294967295 [0]: mask 0x1e01feff1e01feff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.447200 secs
Exciton, frame 4129 ran in:  11.47175145149231
Exciton, frame 4130 ran in:  11.674561738967896
Exciton, frame 4131 ran in:  11.335448503494263
Exciton, frame 4132 ran in:  11.65597915649414
Exciton, frame 4133 ran in:  11.489016056060791
Exciton, frame 4134 ran in:  11.524889945983887
Exciton, frame 4135 ran in:  11.514560222625732
Exciton, frame 4136 ran in:  11.540082216262817
Exciton, frame 4137 ran in:  11.306938171386719
Exciton, frame 4138 ran in:  11.132303237915039
Exciton, frame 4139 ran in:  11.412914276123047
Exciton, frame 4140 ran in:  11.464345455169678
Exciton, frame 4141 ran in:  11.51591944694519
Exciton, frame 4142 ran in:  11.47375226020813
Exciton, frame 4143 ran in:  11.442448139190674
Exciton, frame 4144 ran in:  11.62118911743164
Exciton, frame 4145 ran in:  11.263187408447266
Exciton, frame 4146 ran in:  11.330997467041016
Exciton, frame 4147 ran in:  11.622023820877075
Exciton, frame 4148 ran in:  11.474341869354248
Exciton, frame 4149 ran in:  11.509774923324585
Exciton, frame 4150 ran in:  11.505752086639404
Exciton, frame 4151 ran in:  11.39253830909729
Exciton, frame 4152 ran in:  11.286689043045044
Exciton, frame 4153 ran in:  11.340561628341675
Exciton, frame 4154 ran in:  11.322781085968018
Exciton, frame 4155 ran in:  11.309592962265015
Exciton, frame 4156 ran in:  11.296737909317017
Exciton, frame 4157 ran in:  11.43984055519104
Exciton, frame 4158 ran in:  11.458871603012085
Exciton, frame 4159 ran in:  11.386000156402588
Exciton, frame 4160 ran in:  11.514644145965576
Exciton, frame 4161 ran in:  11.353752136230469
Exciton, frame 4162 ran in:  11.493303060531616
Exciton, frame 4163 ran in:  11.421507120132446
Exciton, frame 4164 ran in:  11.257713317871094
Exciton, frame 4165 ran in:  11.522037029266357
Exciton, frame 4166 ran in:  11.664057731628418
Exciton, frame 4167 ran in:  11.510870695114136
Exciton, frame 4168 ran in:  11.392666101455688
Exciton, frame 4169 ran in:  11.088635683059692
Exciton, frame 4170 ran in:  11.510390043258667
Exciton, frame 4171 ran in:  11.424107074737549
Exciton, frame 4172 ran in:  11.531924724578857
Exciton, frame 4173 ran in:  11.73777437210083
Exciton, frame 4174 ran in:  11.355332851409912
Exciton, frame 4175 ran in:  11.646775484085083
Exciton, frame 4176 ran in:  11.319506406784058
Exciton, frame 4177 ran in:  11.57448410987854
Exciton, frame 4178 ran in:  11.377057552337646
Exciton, frame 4179 ran in:  11.425718069076538
Exciton, frame 4180 ran in:  11.497230052947998
Exciton, frame 4181 ran in:  11.35877513885498
Exciton, frame 4182 ran in:  11.387638092041016
Exciton, frame 4183 ran in:  11.34536600112915
Exciton, frame 4184 ran in:  11.357121467590332
Exciton, frame 4185 ran in:  11.447486400604248
Exciton, frame 4186 ran in:  11.67234754562378
Exciton, frame 4187 ran in:  11.451287269592285
Exciton, frame 4188 ran in:  11.55826473236084
Exciton, frame 4189 ran in:  11.505102396011353
Exciton, frame 4190 ran in:  11.69513726234436
Exciton, frame 4191 ran in:  11.297270774841309
Exciton, frame 4192 ran in:  11.27297592163086
Exciton, frame 4193 ran in:  11.428705215454102
Exciton, frame 4194 ran in:  11.409783840179443
Exciton, frame 4195 ran in:  11.629172086715698
Exciton, frame 4196 ran in:  11.53391408920288
Exciton, frame 4197 ran in:  11.745314121246338
Exciton, frame 4198 ran in:  11.684935569763184
Exciton, frame 4199 ran in:  11.369646310806274
Exciton, frame 4200 ran in:  11.431021928787231
Exciton, frame 4201 ran in:  11.361003160476685
Exciton, frame 4202 ran in:  11.515775680541992
Exciton, frame 4203 ran in:  11.542373180389404
Exciton, frame 4204 ran in:  11.199954509735107
Exciton, frame 4205 ran in:  11.366538047790527
Exciton, frame 4206 ran in:  11.467572927474976
Exciton, frame 4207 ran in:  11.64990496635437
Exciton, frame 4208 ran in:  11.259827375411987
Exciton, frame 4209 ran in:  11.403762578964233
Exciton, frame 4210 ran in:  11.481080532073975
Exciton, frame 4211 ran in:  11.755862474441528
Exciton, frame 4212 ran in:  11.448299169540405
Exciton, frame 4213 ran in:  11.49698805809021
Exciton, frame 4214 ran in:  11.719430923461914
Exciton, frame 4215 ran in:  11.514096021652222
Exciton, frame 4216 ran in:  11.48931097984314
Exciton, frame 4217 ran in:  11.730753183364868
Exciton, frame 4218 ran in:  11.52342176437378
Exciton, frame 4219 ran in:  11.373794555664062
Exciton, frame 4220 ran in:  11.45834732055664
Exciton, frame 4221 ran in:  11.210734128952026
Exciton, frame 4222 ran in:  11.373466730117798
Exciton, frame 4223 ran in:  11.270251750946045
Exciton, frame 4224 ran in:  11.494677543640137
Exciton, frame 4225 ran in:  11.347084522247314
Exciton, frame 4226 ran in:  11.404623746871948
Exciton, frame 4227 ran in:  10.91947340965271
Exciton, frame 4228 ran in:  11.386135816574097
Exciton, frame 4229 ran in:  11.373921394348145
Exciton, frame 4230 ran in:  11.446749448776245
Exciton, frame 4231 ran in:  11.489166736602783
Exciton, frame 4232 ran in:  11.41149377822876
Exciton, frame 4233 ran in:  11.664920330047607
Exciton, frame 4234 ran in:  11.455696821212769
Exciton, frame 4235 ran in:  11.047879934310913
Exciton, frame 4236 ran in:  11.628913164138794
Exciton, frame 4237 ran in:  11.374771118164062
Exciton, frame 4238 ran in:  11.33084774017334
Exciton, frame 4239 ran in:  11.513787031173706
Exciton, frame 4240 ran in:  11.64052152633667
Exciton, frame 4241 ran in:  11.379123210906982
Exciton, frame 4242 ran in:  11.361331939697266
Exciton, frame 4243 ran in:  11.505916357040405
Exciton, frame 4244 ran in:  11.254514932632446
Exciton, frame 4245 ran in:  11.466233015060425
Exciton, frame 4246 ran in:  11.39719820022583
Exciton, frame 4247 ran in:  11.700977087020874
Exciton, frame 4248 ran in:  11.753725051879883
Exciton, frame 4249 ran in:  11.582030296325684
Exciton, frame 4250 ran in:  11.451948165893555
Exciton, frame 4251 ran in:  11.629393100738525
Exciton, frame 4252 ran in:  11.739786386489868
Exciton, frame 4253 ran in:  11.388829469680786
Exciton, frame 4254 ran in:  11.35803771018982
Exciton, frame 4255 ran in:  11.316486358642578
Exciton, frame 4256 ran in:  11.482152223587036
Exciton, frame 4257 ran in:  10.902621269226074
Exciton, frame 4258 ran in:  11.498350143432617
Exciton, frame 4259 ran in:  11.283828496932983
Exciton, frame 4260 ran in:  11.266947269439697
Exciton, frame 4261 ran in:  11.507924556732178
Exciton, frame 4262 ran in:  11.649484872817993
Exciton, frame 4263 ran in:  11.437719821929932
Exciton, frame 4264 ran in:  11.076087951660156
Exciton, frame 4265 ran in:  11.393549919128418
Exciton, frame 4266 ran in:  11.435159921646118
Exciton, frame 4267 ran in:  11.047610521316528
Exciton, frame 4268 ran in:  11.221726417541504
Exciton, frame 4269 ran in:  11.475486278533936
Exciton, frame 4270 ran in:  11.544622898101807
Exciton, frame 4271 ran in:  11.46531057357788
Exciton, frame 4272 ran in:  11.456227540969849
Exciton, frame 4273 ran in:  11.413342237472534
Exciton, frame 4274 ran in:  11.732383012771606
Exciton, frame 4275 ran in:  11.43562936782837
Exciton, frame 4276 ran in:  11.536805152893066
Exciton, frame 4277 ran in:  11.393338441848755
Exciton, frame 4278 ran in:  11.561045408248901
Exciton, frame 4279 ran in:  11.526801824569702
Exciton, frame 4280 ran in:  11.333929538726807
Exciton, frame 4281 ran in:  11.512147188186646
