cpu-bind=MASK - bp1-compute212, task 4294967295 4294967295 [0]: mask 0xffff3210ffff3210 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 53.755255 secs
Exciton, frame 32129 ran in:  10.558438777923584
Exciton, frame 32130 ran in:  10.541122913360596
Exciton, frame 32131 ran in:  10.669534683227539
Exciton, frame 32132 ran in:  10.751328468322754
Exciton, frame 32133 ran in:  14.37955355644226
Exciton, frame 32134 ran in:  15.708708047866821
Exciton, frame 32135 ran in:  10.821847915649414
Exciton, frame 32136 ran in:  10.947554349899292
Exciton, frame 32137 ran in:  12.026607036590576
Exciton, frame 32138 ran in:  12.896993160247803
Exciton, frame 32139 ran in:  10.51688551902771
Exciton, frame 32140 ran in:  10.574337720870972
Exciton, frame 32141 ran in:  15.519931554794312
Exciton, frame 32142 ran in:  14.59492564201355
Exciton, frame 32143 ran in:  10.832427024841309
Exciton, frame 32144 ran in:  15.140195608139038
Exciton, frame 32145 ran in:  11.14726734161377
Exciton, frame 32146 ran in:  11.309270143508911
Exciton, frame 32147 ran in:  10.62456202507019
Exciton, frame 32148 ran in:  10.586731433868408
Exciton, frame 32149 ran in:  11.898112773895264
Exciton, frame 32150 ran in:  10.704639434814453
Exciton, frame 32151 ran in:  14.33954668045044
Exciton, frame 32152 ran in:  14.166074991226196
Exciton, frame 32153 ran in:  10.705412149429321
Exciton, frame 32154 ran in:  10.889829874038696
Exciton, frame 32155 ran in:  10.830578327178955
Exciton, frame 32156 ran in:  10.570342302322388
Exciton, frame 32157 ran in:  10.854923963546753
Exciton, frame 32158 ran in:  10.647953510284424
Exciton, frame 32159 ran in:  14.448356866836548
Exciton, frame 32160 ran in:  11.243818998336792
Exciton, frame 32161 ran in:  11.053121328353882
Exciton, frame 32162 ran in:  12.145708560943604
Exciton, frame 32163 ran in:  10.59816288948059
Exciton, frame 32164 ran in:  14.490857601165771
Exciton, frame 32165 ran in:  15.710228681564331
Exciton, frame 32166 ran in:  14.216688394546509
Exciton, frame 32167 ran in:  15.077330589294434
Exciton, frame 32168 ran in:  14.57210111618042
Exciton, frame 32169 ran in:  11.207590103149414
Exciton, frame 32170 ran in:  14.48048734664917
Exciton, frame 32171 ran in:  10.672979354858398
Exciton, frame 32172 ran in:  10.442158937454224
Exciton, frame 32173 ran in:  12.908431768417358
Exciton, frame 32174 ran in:  14.07399034500122
Exciton, frame 32175 ran in:  12.939554691314697
Exciton, frame 32176 ran in:  14.946276426315308
Exciton, frame 32177 ran in:  14.358395338058472
Exciton, frame 32178 ran in:  13.837064981460571
Exciton, frame 32179 ran in:  13.359498023986816
Exciton, frame 32180 ran in:  15.08050537109375
Exciton, frame 32181 ran in:  11.131443500518799
Exciton, frame 32182 ran in:  14.049659729003906
Exciton, frame 32183 ran in:  14.4308340549469
Exciton, frame 32184 ran in:  14.293556451797485
Exciton, frame 32185 ran in:  13.231781721115112
Exciton, frame 32186 ran in:  14.17996096611023
Exciton, frame 32187 ran in:  14.402508735656738
Exciton, frame 32188 ran in:  10.63631534576416
Exciton, frame 32189 ran in:  10.799994945526123
Exciton, frame 32190 ran in:  14.624528884887695
Exciton, frame 32191 ran in:  13.9402174949646
Exciton, frame 32192 ran in:  14.10818862915039
Exciton, frame 32193 ran in:  14.329819679260254
Exciton, frame 32194 ran in:  13.061015129089355
Exciton, frame 32195 ran in:  14.102192401885986
Exciton, frame 32196 ran in:  11.263430118560791
Exciton, frame 32197 ran in:  11.74304723739624
Exciton, frame 32198 ran in:  10.981311559677124
Exciton, frame 32199 ran in:  14.14488172531128
Exciton, frame 32200 ran in:  10.757493019104004
Exciton, frame 32201 ran in:  11.34131669998169
Exciton, frame 32202 ran in:  13.579740285873413
Exciton, frame 32203 ran in:  10.549743890762329
Exciton, frame 32204 ran in:  14.00740385055542
Exciton, frame 32205 ran in:  13.614330053329468
Exciton, frame 32206 ran in:  15.072206258773804
Exciton, frame 32207 ran in:  15.059080123901367
Exciton, frame 32208 ran in:  13.920444965362549
Exciton, frame 32209 ran in:  10.746363878250122
Exciton, frame 32210 ran in:  14.715633153915405
Exciton, frame 32211 ran in:  14.975894451141357
Exciton, frame 32212 ran in:  10.56223750114441
Exciton, frame 32213 ran in:  11.628927946090698
Exciton, frame 32214 ran in:  15.531652688980103
Exciton, frame 32215 ran in:  10.869515419006348
Exciton, frame 32216 ran in:  14.140456199645996
Exciton, frame 32217 ran in:  14.492712020874023
Exciton, frame 32218 ran in:  11.243407964706421
Exciton, frame 32219 ran in:  10.664016723632812
Exciton, frame 32220 ran in:  10.644994258880615
Exciton, frame 32221 ran in:  10.757597208023071
Exciton, frame 32222 ran in:  10.671961545944214
Exciton, frame 32223 ran in:  15.635421752929688
Exciton, frame 32224 ran in:  14.593286991119385
Exciton, frame 32225 ran in:  11.411970615386963
Exciton, frame 32226 ran in:  11.136080503463745
Exciton, frame 32227 ran in:  10.830912351608276
Exciton, frame 32228 ran in:  14.110946893692017
Exciton, frame 32229 ran in:  12.967736959457397
Exciton, frame 32230 ran in:  13.766965627670288
Exciton, frame 32231 ran in:  10.584881067276001
Exciton, frame 32232 ran in:  14.098902702331543
Exciton, frame 32233 ran in:  15.649861574172974
Exciton, frame 32234 ran in:  10.66139268875122
Exciton, frame 32235 ran in:  11.031917810440063
Exciton, frame 32236 ran in:  11.82157301902771
Exciton, frame 32237 ran in:  11.03825569152832
Exciton, frame 32238 ran in:  10.722965002059937
Exciton, frame 32239 ran in:  10.716552734375
Exciton, frame 32240 ran in:  10.487000703811646
Exciton, frame 32241 ran in:  13.573511600494385
Exciton, frame 32242 ran in:  12.953053712844849
Exciton, frame 32243 ran in:  10.533843278884888
Exciton, frame 32244 ran in:  10.700051069259644
Exciton, frame 32245 ran in:  10.74260425567627
Exciton, frame 32246 ran in:  11.294265508651733
Exciton, frame 32247 ran in:  11.407209157943726
Exciton, frame 32248 ran in:  11.5392324924469
Exciton, frame 32249 ran in:  14.493956089019775
Exciton, frame 32250 ran in:  10.549228429794312
Exciton, frame 32251 ran in:  10.575205326080322
Exciton, frame 32252 ran in:  11.424447774887085
Exciton, frame 32253 ran in:  10.626662492752075
Exciton, frame 32254 ran in:  10.787096738815308
Exciton, frame 32255 ran in:  10.684307336807251
Exciton, frame 32256 ran in:  10.733573913574219
Exciton, frame 32257 ran in:  12.051767587661743
Exciton, frame 32258 ran in:  13.030188798904419
Exciton, frame 32259 ran in:  10.820777416229248
Exciton, frame 32260 ran in:  10.909934997558594
Exciton, frame 32261 ran in:  10.950703859329224
Exciton, frame 32262 ran in:  11.296546697616577
Exciton, frame 32263 ran in:  10.894508361816406
Exciton, frame 32264 ran in:  11.894593477249146
Exciton, frame 32265 ran in:  10.989680290222168
Exciton, frame 32266 ran in:  10.69293999671936
Exciton, frame 32267 ran in:  10.501539468765259
Exciton, frame 32268 ran in:  14.350655555725098
Exciton, frame 32269 ran in:  13.185792446136475
Exciton, frame 32270 ran in:  11.840353012084961
Exciton, frame 32271 ran in:  15.069385051727295
Exciton, frame 32272 ran in:  10.636624336242676
Exciton, frame 32273 ran in:  11.28410530090332
Exciton, frame 32274 ran in:  14.674431562423706
Exciton, frame 32275 ran in:  13.266330003738403
Exciton, frame 32276 ran in:  10.800302028656006
Exciton, frame 32277 ran in:  15.230740547180176
Exciton, frame 32278 ran in:  10.551268577575684
Exciton, frame 32279 ran in:  14.320310354232788
Exciton, frame 32280 ran in:  14.42043423652649
Exciton, frame 32281 ran in:  10.707038402557373
Exciton, frame 32282 ran in:  12.451403617858887
