cpu-bind=MASK - bp1-compute162, task 4294967295 4294967295 [0]: mask 0xfffff000fffff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 43.112978 secs
Exciton, frame 48000 ran in:  14.135521650314331
Exciton, frame 48001 ran in:  13.587714672088623
Exciton, frame 48002 ran in:  13.770660161972046
Exciton, frame 48003 ran in:  14.296536684036255
Exciton, frame 48004 ran in:  12.730740785598755
Exciton, frame 48005 ran in:  12.495086908340454
Exciton, frame 48006 ran in:  12.76239824295044
Exciton, frame 48007 ran in:  12.43712043762207
Exciton, frame 48008 ran in:  12.411014318466187
Exciton, frame 48009 ran in:  12.578474998474121
Exciton, frame 48010 ran in:  12.819720268249512
Exciton, frame 48011 ran in:  12.847028255462646
Exciton, frame 48012 ran in:  12.831335067749023
Exciton, frame 48013 ran in:  12.436593055725098
Exciton, frame 48014 ran in:  12.47850251197815
Exciton, frame 48015 ran in:  12.474650859832764
Exciton, frame 48016 ran in:  12.44571328163147
Exciton, frame 48017 ran in:  12.55528211593628
Exciton, frame 48018 ran in:  12.778027296066284
Exciton, frame 48019 ran in:  13.770252704620361
Exciton, frame 48020 ran in:  12.72973370552063
Exciton, frame 48021 ran in:  12.623036623001099
Exciton, frame 48022 ran in:  12.639684915542603
Exciton, frame 48023 ran in:  12.614615201950073
Exciton, frame 48024 ran in:  12.749969005584717
Exciton, frame 48025 ran in:  12.47638463973999
Exciton, frame 48026 ran in:  12.808419942855835
Exciton, frame 48027 ran in:  12.940711736679077
Exciton, frame 48028 ran in:  13.599474668502808
Exciton, frame 48029 ran in:  12.433756113052368
Exciton, frame 48030 ran in:  12.706729888916016
Exciton, frame 48031 ran in:  12.528961658477783
Exciton, frame 48032 ran in:  13.922125577926636
Exciton, frame 48033 ran in:  12.634604454040527
Exciton, frame 48034 ran in:  12.61428952217102
Exciton, frame 48035 ran in:  12.64692735671997
Exciton, frame 48036 ran in:  12.946529626846313
Exciton, frame 48037 ran in:  12.806341409683228
Exciton, frame 48038 ran in:  13.271568536758423
Exciton, frame 48039 ran in:  12.7433602809906
Exciton, frame 48040 ran in:  12.46226191520691
Exciton, frame 48041 ran in:  12.804491758346558
Exciton, frame 48042 ran in:  12.728336811065674
Exciton, frame 48043 ran in:  12.742473363876343
Exciton, frame 48044 ran in:  12.730613470077515
Exciton, frame 48045 ran in:  13.593597173690796
Exciton, frame 48046 ran in:  12.607671976089478
Exciton, frame 48047 ran in:  12.512485027313232
Exciton, frame 48048 ran in:  13.185257196426392
Exciton, frame 48049 ran in:  13.566177368164062
Exciton, frame 48050 ran in:  12.935190200805664
Exciton, frame 48051 ran in:  12.658630609512329
Exciton, frame 48052 ran in:  13.006775856018066
Exciton, frame 48053 ran in:  13.119749069213867
Exciton, frame 48054 ran in:  12.904425382614136
Exciton, frame 48055 ran in:  12.713916778564453
Exciton, frame 48056 ran in:  12.924991607666016
Exciton, frame 48057 ran in:  12.770405054092407
Exciton, frame 48058 ran in:  12.913782835006714
Exciton, frame 48059 ran in:  12.944114446640015
Exciton, frame 48060 ran in:  12.489306688308716
Exciton, frame 48061 ran in:  12.733268737792969
Exciton, frame 48062 ran in:  12.878981828689575
Exciton, frame 48063 ran in:  12.959195137023926
Exciton, frame 48064 ran in:  12.479357957839966
Exciton, frame 48065 ran in:  12.97663426399231
Exciton, frame 48066 ran in:  12.912292718887329
Exciton, frame 48067 ran in:  12.973238229751587
Exciton, frame 48068 ran in:  13.639188528060913
Exciton, frame 48069 ran in:  12.503237962722778
Exciton, frame 48070 ran in:  12.689913511276245
Exciton, frame 48071 ran in:  12.864461898803711
Exciton, frame 48072 ran in:  13.83186388015747
Exciton, frame 48073 ran in:  12.728639841079712
Exciton, frame 48074 ran in:  12.51825737953186
Exciton, frame 48075 ran in:  12.70743203163147
Exciton, frame 48076 ran in:  12.6419517993927
Exciton, frame 48077 ran in:  12.739634275436401
Exciton, frame 48078 ran in:  13.051800012588501
Exciton, frame 48079 ran in:  12.670651912689209
Exciton, frame 48080 ran in:  12.969183206558228
Exciton, frame 48081 ran in:  12.910601377487183
Exciton, frame 48082 ran in:  12.509234428405762
Exciton, frame 48083 ran in:  12.455574750900269
Exciton, frame 48084 ran in:  12.588176965713501
Exciton, frame 48085 ran in:  12.637537956237793
Exciton, frame 48086 ran in:  12.54815673828125
Exciton, frame 48087 ran in:  12.580045700073242
Exciton, frame 48088 ran in:  13.322669744491577
Exciton, frame 48089 ran in:  13.710853338241577
Exciton, frame 48090 ran in:  12.815285444259644
Exciton, frame 48091 ran in:  12.615006685256958
Exciton, frame 48092 ran in:  12.519419431686401
Exciton, frame 48093 ran in:  12.59372591972351
Exciton, frame 48094 ran in:  12.677788257598877
Exciton, frame 48095 ran in:  12.871180772781372
Exciton, frame 48096 ran in:  12.826156854629517
Exciton, frame 48097 ran in:  12.701894760131836
Exciton, frame 48098 ran in:  12.80515193939209
Exciton, frame 48099 ran in:  13.123811960220337
Exciton, frame 48100 ran in:  12.866922378540039
Exciton, frame 48101 ran in:  13.08681583404541
Exciton, frame 48102 ran in:  12.931966304779053
Exciton, frame 48103 ran in:  12.905895709991455
Exciton, frame 48104 ran in:  12.793961524963379
Exciton, frame 48105 ran in:  13.358459949493408
Exciton, frame 48106 ran in:  12.468281507492065
Exciton, frame 48107 ran in:  12.8457772731781
Exciton, frame 48108 ran in:  14.049497604370117
Exciton, frame 48109 ran in:  13.61619234085083
Exciton, frame 48110 ran in:  13.543494701385498
Exciton, frame 48111 ran in:  13.365004539489746
Exciton, frame 48112 ran in:  12.784390449523926
Exciton, frame 48113 ran in:  12.424848079681396
Exciton, frame 48114 ran in:  12.684603452682495
Exciton, frame 48115 ran in:  12.6079740524292
Exciton, frame 48116 ran in:  12.690074443817139
Exciton, frame 48117 ran in:  13.380362510681152
Exciton, frame 48118 ran in:  12.87430477142334
Exciton, frame 48119 ran in:  12.454593181610107
Exciton, frame 48120 ran in:  12.47117829322815
Exciton, frame 48121 ran in:  12.63611125946045
Exciton, frame 48122 ran in:  12.692276239395142
Exciton, frame 48123 ran in:  12.739992141723633
Exciton, frame 48124 ran in:  12.536231279373169
Exciton, frame 48125 ran in:  13.927820682525635
Exciton, frame 48126 ran in:  13.024883508682251
Exciton, frame 48127 ran in:  12.913497924804688
Exciton, frame 48128 ran in:  12.760468482971191
Exciton, frame 48129 ran in:  12.650334596633911
Exciton, frame 48130 ran in:  12.810978174209595
Exciton, frame 48131 ran in:  12.78662109375
Exciton, frame 48132 ran in:  12.67525029182434
Exciton, frame 48133 ran in:  12.603663444519043
Exciton, frame 48134 ran in:  12.5611252784729
Exciton, frame 48135 ran in:  12.778353214263916
Exciton, frame 48136 ran in:  12.81546688079834
Exciton, frame 48137 ran in:  12.585524082183838
Exciton, frame 48138 ran in:  12.761274337768555
Exciton, frame 48139 ran in:  12.61877179145813
Exciton, frame 48140 ran in:  12.516120195388794
Exciton, frame 48141 ran in:  12.532565832138062
Exciton, frame 48142 ran in:  12.427546739578247
Exciton, frame 48143 ran in:  12.484522342681885
Exciton, frame 48144 ran in:  12.463464498519897
Exciton, frame 48145 ran in:  13.099570512771606
Exciton, frame 48146 ran in:  12.821996688842773
Exciton, frame 48147 ran in:  12.636488676071167
Exciton, frame 48148 ran in:  12.586045503616333
Exciton, frame 48149 ran in:  12.482342720031738
Exciton, frame 48150 ran in:  12.53880763053894
Exciton, frame 48151 ran in:  12.434999227523804
Exciton, frame 48152 ran in:  12.563233613967896
Exciton, frame 48153 ran in:  12.667840957641602
Exciton, frame 48154 ran in:  12.850948810577393
Exciton, frame 48155 ran in:  12.982792377471924
Exciton, frame 48156 ran in:  13.191420078277588
Exciton, frame 48157 ran in:  12.916813611984253
Exciton, frame 48158 ran in:  13.237413167953491
Exciton, frame 48159 ran in:  13.778435230255127
Exciton, frame 48160 ran in:  12.62888503074646
Exciton, frame 48161 ran in:  12.94786286354065
Exciton, frame 48162 ran in:  12.452706336975098
Exciton, frame 48163 ran in:  12.560263395309448
Exciton, frame 48164 ran in:  12.410868406295776
Exciton, frame 48165 ran in:  14.15996766090393
Exciton, frame 48166 ran in:  12.384307861328125
