cpu-bind=MASK - bp1-compute172, task 4294967295 4294967295 [0]: mask 0xfff00ff0fff00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.102647 secs
Exciton, frame 24129 ran in:  12.674312829971313
Exciton, frame 24130 ran in:  12.598879337310791
Exciton, frame 24131 ran in:  12.918237924575806
Exciton, frame 24132 ran in:  13.777392148971558
Exciton, frame 24133 ran in:  12.976044178009033
Exciton, frame 24134 ran in:  12.794622421264648
Exciton, frame 24135 ran in:  12.602232456207275
Exciton, frame 24136 ran in:  12.566916465759277
Exciton, frame 24137 ran in:  12.53407597541809
Exciton, frame 24138 ran in:  12.56245470046997
Exciton, frame 24139 ran in:  12.477193117141724
Exciton, frame 24140 ran in:  12.54940152168274
Exciton, frame 24141 ran in:  12.803372621536255
Exciton, frame 24142 ran in:  12.565550088882446
Exciton, frame 24143 ran in:  12.993753910064697
Exciton, frame 24144 ran in:  12.829174757003784
Exciton, frame 24145 ran in:  12.637585401535034
Exciton, frame 24146 ran in:  12.510732650756836
Exciton, frame 24147 ran in:  12.615413427352905
Exciton, frame 24148 ran in:  12.551143407821655
Exciton, frame 24149 ran in:  13.219795942306519
Exciton, frame 24150 ran in:  12.599859714508057
Exciton, frame 24151 ran in:  12.551277160644531
Exciton, frame 24152 ran in:  12.511261463165283
Exciton, frame 24153 ran in:  12.785640478134155
Exciton, frame 24154 ran in:  12.841121912002563
Exciton, frame 24155 ran in:  12.651378631591797
Exciton, frame 24156 ran in:  12.657476425170898
Exciton, frame 24157 ran in:  12.430208444595337
Exciton, frame 24158 ran in:  12.623414993286133
Exciton, frame 24159 ran in:  13.044212579727173
Exciton, frame 24160 ran in:  12.585819721221924
Exciton, frame 24161 ran in:  12.458481073379517
Exciton, frame 24162 ran in:  12.835790634155273
Exciton, frame 24163 ran in:  13.406019687652588
Exciton, frame 24164 ran in:  12.764221906661987
Exciton, frame 24165 ran in:  12.739037990570068
Exciton, frame 24166 ran in:  12.603054761886597
Exciton, frame 24167 ran in:  12.457853317260742
Exciton, frame 24168 ran in:  13.005307674407959
Exciton, frame 24169 ran in:  12.576334714889526
Exciton, frame 24170 ran in:  12.521322965621948
Exciton, frame 24171 ran in:  13.952598333358765
Exciton, frame 24172 ran in:  12.93973183631897
Exciton, frame 24173 ran in:  12.562440156936646
Exciton, frame 24174 ran in:  13.871603012084961
Exciton, frame 24175 ran in:  12.8131582736969
Exciton, frame 24176 ran in:  12.52163314819336
Exciton, frame 24177 ran in:  12.63339352607727
Exciton, frame 24178 ran in:  12.760746240615845
Exciton, frame 24179 ran in:  12.754832029342651
Exciton, frame 24180 ran in:  13.249221086502075
Exciton, frame 24181 ran in:  12.695267677307129
Exciton, frame 24182 ran in:  13.75645661354065
Exciton, frame 24183 ran in:  12.77254581451416
Exciton, frame 24184 ran in:  12.582331657409668
Exciton, frame 24185 ran in:  12.472280740737915
Exciton, frame 24186 ran in:  13.436835527420044
Exciton, frame 24187 ran in:  12.755443572998047
Exciton, frame 24188 ran in:  12.546238899230957
Exciton, frame 24189 ran in:  12.592042922973633
Exciton, frame 24190 ran in:  12.752109289169312
Exciton, frame 24191 ran in:  12.573912620544434
Exciton, frame 24192 ran in:  12.727172374725342
Exciton, frame 24193 ran in:  12.74639344215393
Exciton, frame 24194 ran in:  12.495205879211426
Exciton, frame 24195 ran in:  12.52651596069336
Exciton, frame 24196 ran in:  12.593334674835205
Exciton, frame 24197 ran in:  12.705147981643677
Exciton, frame 24198 ran in:  12.756457090377808
Exciton, frame 24199 ran in:  13.702651739120483
Exciton, frame 24200 ran in:  12.554133653640747
Exciton, frame 24201 ran in:  12.599383115768433
Exciton, frame 24202 ran in:  13.223775386810303
Exciton, frame 24203 ran in:  13.673473358154297
Exciton, frame 24204 ran in:  12.653415441513062
Exciton, frame 24205 ran in:  12.504762411117554
Exciton, frame 24206 ran in:  12.584481000900269
Exciton, frame 24207 ran in:  12.31992506980896
Exciton, frame 24208 ran in:  12.542774200439453
Exciton, frame 24209 ran in:  12.459062099456787
Exciton, frame 24210 ran in:  12.581125259399414
Exciton, frame 24211 ran in:  12.772347927093506
Exciton, frame 24212 ran in:  12.56937551498413
Exciton, frame 24213 ran in:  13.794309139251709
Exciton, frame 24214 ran in:  13.011322975158691
Exciton, frame 24215 ran in:  12.560120344161987
Exciton, frame 24216 ran in:  12.51358675956726
Exciton, frame 24217 ran in:  12.540488719940186
Exciton, frame 24218 ran in:  13.767274379730225
Exciton, frame 24219 ran in:  13.039772272109985
Exciton, frame 24220 ran in:  12.626794338226318
Exciton, frame 24221 ran in:  12.84159517288208
Exciton, frame 24222 ran in:  12.520889043807983
Exciton, frame 24223 ran in:  12.72535252571106
Exciton, frame 24224 ran in:  12.781958818435669
Exciton, frame 24225 ran in:  12.620028257369995
Exciton, frame 24226 ran in:  12.899050235748291
Exciton, frame 24227 ran in:  12.534347295761108
Exciton, frame 24228 ran in:  12.628709316253662
Exciton, frame 24229 ran in:  13.382408380508423
Exciton, frame 24230 ran in:  12.650591850280762
Exciton, frame 24231 ran in:  13.149061679840088
Exciton, frame 24232 ran in:  13.338579416275024
Exciton, frame 24233 ran in:  12.715749979019165
Exciton, frame 24234 ran in:  13.80498743057251
Exciton, frame 24235 ran in:  12.704008102416992
Exciton, frame 24236 ran in:  12.884441614151001
Exciton, frame 24237 ran in:  12.464758396148682
Exciton, frame 24238 ran in:  12.698468923568726
Exciton, frame 24239 ran in:  12.55188512802124
Exciton, frame 24240 ran in:  12.545775890350342
Exciton, frame 24241 ran in:  12.581960678100586
Exciton, frame 24242 ran in:  12.573493957519531
Exciton, frame 24243 ran in:  12.75348973274231
Exciton, frame 24244 ran in:  12.670461416244507
Exciton, frame 24245 ran in:  12.568243026733398
Exciton, frame 24246 ran in:  12.891016960144043
Exciton, frame 24247 ran in:  12.564086437225342
Exciton, frame 24248 ran in:  12.56157660484314
Exciton, frame 24249 ran in:  12.669140815734863
Exciton, frame 24250 ran in:  12.935524225234985
Exciton, frame 24251 ran in:  12.582249641418457
Exciton, frame 24252 ran in:  12.524039268493652
Exciton, frame 24253 ran in:  12.860190629959106
Exciton, frame 24254 ran in:  12.892518281936646
Exciton, frame 24255 ran in:  13.402708053588867
Exciton, frame 24256 ran in:  13.679224729537964
Exciton, frame 24257 ran in:  12.468442440032959
Exciton, frame 24258 ran in:  12.613585948944092
Exciton, frame 24259 ran in:  12.853073120117188
Exciton, frame 24260 ran in:  12.68660855293274
Exciton, frame 24261 ran in:  12.558526039123535
Exciton, frame 24262 ran in:  14.017141580581665
Exciton, frame 24263 ran in:  12.96310043334961
Exciton, frame 24264 ran in:  12.656561374664307
Exciton, frame 24265 ran in:  12.502254009246826
Exciton, frame 24266 ran in:  12.504218339920044
Exciton, frame 24267 ran in:  12.59351110458374
Exciton, frame 24268 ran in:  12.461649179458618
Exciton, frame 24269 ran in:  12.510595083236694
Exciton, frame 24270 ran in:  12.490633249282837
Exciton, frame 24271 ran in:  12.403577089309692
Exciton, frame 24272 ran in:  12.594772338867188
Exciton, frame 24273 ran in:  12.729068517684937
Exciton, frame 24274 ran in:  12.55053448677063
Exciton, frame 24275 ran in:  12.620743989944458
Exciton, frame 24276 ran in:  12.609071969985962
Exciton, frame 24277 ran in:  13.283374547958374
Exciton, frame 24278 ran in:  12.637561082839966
Exciton, frame 24279 ran in:  12.847543001174927
Exciton, frame 24280 ran in:  12.729626655578613
Exciton, frame 24281 ran in:  13.975573539733887
Exciton, frame 24282 ran in:  12.81725287437439
Exciton, frame 24283 ran in:  12.6170654296875
Exciton, frame 24284 ran in:  12.955069303512573
Exciton, frame 24285 ran in:  13.04004454612732
Exciton, frame 24286 ran in:  12.65506362915039
Exciton, frame 24287 ran in:  12.597850561141968
Exciton, frame 24288 ran in:  12.581469058990479
Exciton, frame 24289 ran in:  14.008946895599365
Exciton, frame 24290 ran in:  12.672441244125366
Exciton, frame 24291 ran in:  12.54048466682434
Exciton, frame 24292 ran in:  12.459772109985352
Exciton, frame 24293 ran in:  12.494115352630615
Exciton, frame 24294 ran in:  12.687108278274536
Exciton, frame 24295 ran in:  12.506545782089233
Exciton, frame 24296 ran in:  12.589006423950195
Exciton, frame 24297 ran in:  12.627808570861816
Exciton, frame 24298 ran in:  13.165251970291138
Exciton, frame 24299 ran in:  12.531911849975586
Exciton, frame 24300 ran in:  12.681435108184814
Exciton, frame 24301 ran in:  13.121182203292847
Exciton, frame 24302 ran in:  12.653748035430908
Exciton, frame 24303 ran in:  12.515201330184937
Exciton, frame 24304 ran in:  12.480161428451538
Exciton, frame 24305 ran in:  12.65921664237976
Exciton, frame 24306 ran in:  12.855474472045898
Exciton, frame 24307 ran in:  12.576120138168335
Exciton, frame 24308 ran in:  12.598227500915527
Exciton, frame 24309 ran in:  12.497957706451416
Exciton, frame 24310 ran in:  12.715650081634521
Exciton, frame 24311 ran in:  12.528749942779541
Exciton, frame 24312 ran in:  12.53609037399292
Exciton, frame 24313 ran in:  13.160029411315918
Exciton, frame 24314 ran in:  12.53627324104309
Exciton, frame 24315 ran in:  12.626327753067017
Exciton, frame 24316 ran in:  13.242178916931152
Exciton, frame 24317 ran in:  12.39016056060791
Exciton, frame 24318 ran in:  13.092718362808228
Exciton, frame 24319 ran in:  12.871524810791016
Exciton, frame 24320 ran in:  12.534181833267212
Exciton, frame 24321 ran in:  12.486671209335327
Exciton, frame 24322 ran in:  12.534766912460327
Exciton, frame 24323 ran in:  12.798089742660522
Exciton, frame 24324 ran in:  12.457760572433472
Exciton, frame 24325 ran in:  12.708743572235107
Exciton, frame 24326 ran in:  12.484524011611938
Exciton, frame 24327 ran in:  12.53917145729065
Exciton, frame 24328 ran in:  12.6790292263031
Exciton, frame 24329 ran in:  12.880551815032959
Exciton, frame 24330 ran in:  13.141787767410278
Exciton, frame 24331 ran in:  13.883559703826904
Exciton, frame 24332 ran in:  13.313148975372314
Exciton, frame 24333 ran in:  12.865260601043701
Exciton, frame 24334 ran in:  12.813043594360352
Exciton, frame 24335 ran in:  12.700093269348145
Exciton, frame 24336 ran in:  12.409106731414795
Exciton, frame 24337 ran in:  12.801092147827148
Exciton, frame 24338 ran in:  12.495456457138062
Exciton, frame 24339 ran in:  12.760860204696655
Exciton, frame 24340 ran in:  12.7156503200531
Exciton, frame 24341 ran in:  14.109965085983276
Exciton, frame 24342 ran in:  12.624500274658203
Exciton, frame 24343 ran in:  12.582067489624023
Exciton, frame 24344 ran in:  12.738085746765137
Exciton, frame 24345 ran in:  12.505194187164307
Exciton, frame 24346 ran in:  13.45350694656372
Exciton, frame 24347 ran in:  12.628904104232788
Exciton, frame 24348 ran in:  12.848703622817993
Exciton, frame 24349 ran in:  12.563735485076904
Exciton, frame 24350 ran in:  12.419506072998047
Exciton, frame 24351 ran in:  12.782475709915161
Exciton, frame 24352 ran in:  12.612670183181763
Exciton, frame 24353 ran in:  12.778978824615479
Exciton, frame 24354 ran in:  12.547856330871582
Exciton, frame 24355 ran in:  12.544914484024048
Exciton, frame 24356 ran in:  12.637411117553711
Exciton, frame 24357 ran in:  12.366554498672485
Exciton, frame 24358 ran in:  12.648913145065308
Exciton, frame 24359 ran in:  12.46883225440979
Exciton, frame 24360 ran in:  12.613400220870972
Exciton, frame 24361 ran in:  12.532480716705322
Exciton, frame 24362 ran in:  12.511276960372925
Exciton, frame 24363 ran in:  12.517666578292847
Exciton, frame 24364 ran in:  12.722742080688477
Exciton, frame 24365 ran in:  13.8509202003479
Exciton, frame 24366 ran in:  12.566653490066528
Exciton, frame 24367 ran in:  12.721650123596191
Exciton, frame 24368 ran in:  12.601406574249268
Exciton, frame 24369 ran in:  12.785025835037231
Exciton, frame 24370 ran in:  12.571173906326294
Exciton, frame 24371 ran in:  12.655929565429688
