cpu-bind=MASK - bp1-compute175, task 4294967295 4294967295 [0]: mask 0x1ffeff001ffeff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 30.527173 secs
Exciton, frame 20000 ran in:  13.269456624984741
Exciton, frame 20001 ran in:  11.771894216537476
Exciton, frame 20002 ran in:  11.488816022872925
Exciton, frame 20003 ran in:  12.236473321914673
Exciton, frame 20004 ran in:  11.408884525299072
Exciton, frame 20005 ran in:  11.799401760101318
Exciton, frame 20006 ran in:  11.548507928848267
Exciton, frame 20007 ran in:  11.706215381622314
Exciton, frame 20008 ran in:  12.44313359260559
Exciton, frame 20009 ran in:  11.821936845779419
Exciton, frame 20010 ran in:  11.70638370513916
Exciton, frame 20011 ran in:  11.625854969024658
Exciton, frame 20012 ran in:  11.41098690032959
Exciton, frame 20013 ran in:  11.455671548843384
Exciton, frame 20014 ran in:  11.724160194396973
Exciton, frame 20015 ran in:  11.582801818847656
Exciton, frame 20016 ran in:  11.60274362564087
Exciton, frame 20017 ran in:  13.121344327926636
Exciton, frame 20018 ran in:  11.610658645629883
Exciton, frame 20019 ran in:  11.384239673614502
Exciton, frame 20020 ran in:  11.890186548233032
Exciton, frame 20021 ran in:  11.653711795806885
Exciton, frame 20022 ran in:  11.537799835205078
Exciton, frame 20023 ran in:  11.633258819580078
Exciton, frame 20024 ran in:  11.766592264175415
Exciton, frame 20025 ran in:  11.378602027893066
Exciton, frame 20026 ran in:  11.697210788726807
Exciton, frame 20027 ran in:  11.732252597808838
Exciton, frame 20028 ran in:  11.386083841323853
Exciton, frame 20029 ran in:  11.610296249389648
Exciton, frame 20030 ran in:  11.474374294281006
Exciton, frame 20031 ran in:  11.322644472122192
Exciton, frame 20032 ran in:  11.757838487625122
Exciton, frame 20033 ran in:  11.430013418197632
Exciton, frame 20034 ran in:  11.619036436080933
Exciton, frame 20035 ran in:  11.619354248046875
Exciton, frame 20036 ran in:  11.71826696395874
Exciton, frame 20037 ran in:  11.90986180305481
Exciton, frame 20038 ran in:  11.747499465942383
Exciton, frame 20039 ran in:  12.264761924743652
Exciton, frame 20040 ran in:  11.351990938186646
Exciton, frame 20041 ran in:  12.369508028030396
Exciton, frame 20042 ran in:  12.46513819694519
Exciton, frame 20043 ran in:  11.647171020507812
Exciton, frame 20044 ran in:  11.44841480255127
Exciton, frame 20045 ran in:  11.294086217880249
Exciton, frame 20046 ran in:  11.565668821334839
Exciton, frame 20047 ran in:  11.527869701385498
Exciton, frame 20048 ran in:  11.69728422164917
Exciton, frame 20049 ran in:  11.510637998580933
Exciton, frame 20050 ran in:  11.593644142150879
Exciton, frame 20051 ran in:  11.508116960525513
Exciton, frame 20052 ran in:  11.711467266082764
Exciton, frame 20053 ran in:  11.56784200668335
Exciton, frame 20054 ran in:  11.732972145080566
Exciton, frame 20055 ran in:  11.415729761123657
Exciton, frame 20056 ran in:  11.488919734954834
Exciton, frame 20057 ran in:  11.472298860549927
Exciton, frame 20058 ran in:  11.629368305206299
Exciton, frame 20059 ran in:  11.581924200057983
Exciton, frame 20060 ran in:  11.91155219078064
Exciton, frame 20061 ran in:  11.602126836776733
Exciton, frame 20062 ran in:  11.654540061950684
Exciton, frame 20063 ran in:  11.579632759094238
Exciton, frame 20064 ran in:  11.513261318206787
Exciton, frame 20065 ran in:  11.5471830368042
Exciton, frame 20066 ran in:  11.492492437362671
Exciton, frame 20067 ran in:  11.487302303314209
Exciton, frame 20068 ran in:  11.55558443069458
Exciton, frame 20069 ran in:  11.782877445220947
Exciton, frame 20070 ran in:  11.62389874458313
