cpu-bind=MASK - bp1-compute172, task 4294967295 4294967295 [0]: mask 0xfff00ff0fff00ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 36.675858 secs
Exciton, frame 64000 ran in:  15.27730679512024
Exciton, frame 64001 ran in:  13.012443780899048
Exciton, frame 64002 ran in:  12.631391048431396
Exciton, frame 64003 ran in:  14.04078722000122
Exciton, frame 64004 ran in:  13.085185527801514
Exciton, frame 64005 ran in:  12.84299635887146
Exciton, frame 64006 ran in:  12.589689493179321
Exciton, frame 64007 ran in:  12.87950086593628
Exciton, frame 64008 ran in:  14.109586238861084
Exciton, frame 64009 ran in:  13.781200647354126
Exciton, frame 64010 ran in:  12.904259443283081
Exciton, frame 64011 ran in:  12.718368291854858
Exciton, frame 64012 ran in:  12.584821462631226
Exciton, frame 64013 ran in:  12.67079472541809
Exciton, frame 64014 ran in:  12.679028749465942
Exciton, frame 64015 ran in:  13.270565032958984
Exciton, frame 64016 ran in:  12.932260274887085
Exciton, frame 64017 ran in:  13.640448093414307
Exciton, frame 64018 ran in:  12.779917240142822
Exciton, frame 64019 ran in:  12.75194501876831
Exciton, frame 64020 ran in:  12.65878963470459
Exciton, frame 64021 ran in:  12.83637261390686
Exciton, frame 64022 ran in:  12.907074213027954
Exciton, frame 64023 ran in:  12.703361988067627
Exciton, frame 64024 ran in:  12.259483337402344
Exciton, frame 64025 ran in:  13.48843002319336
Exciton, frame 64026 ran in:  14.064949035644531
Exciton, frame 64027 ran in:  12.96431303024292
Exciton, frame 64028 ran in:  13.614271402359009
Exciton, frame 64029 ran in:  13.042208909988403
Exciton, frame 64030 ran in:  12.89896035194397
Exciton, frame 64031 ran in:  13.201091289520264
Exciton, frame 64032 ran in:  13.049962997436523
Exciton, frame 64033 ran in:  12.62305498123169
Exciton, frame 64034 ran in:  12.764940977096558
Exciton, frame 64035 ran in:  13.084007024765015
Exciton, frame 64036 ran in:  13.184341669082642
Exciton, frame 64037 ran in:  13.894700288772583
Exciton, frame 64038 ran in:  12.57397747039795
Exciton, frame 64039 ran in:  12.68241572380066
Exciton, frame 64040 ran in:  13.27655816078186
Exciton, frame 64041 ran in:  12.862951278686523
Exciton, frame 64042 ran in:  12.854365110397339
Exciton, frame 64043 ran in:  12.78605055809021
Exciton, frame 64044 ran in:  12.501162767410278
Exciton, frame 64045 ran in:  13.23951244354248
Exciton, frame 64046 ran in:  12.844254970550537
Exciton, frame 64047 ran in:  14.027970552444458
Exciton, frame 64048 ran in:  12.607271432876587
Exciton, frame 64049 ran in:  12.659674882888794
Exciton, frame 64050 ran in:  12.521080493927002
Exciton, frame 64051 ran in:  12.625878095626831
Exciton, frame 64052 ran in:  12.82114315032959
Exciton, frame 64053 ran in:  12.906666278839111
Exciton, frame 64054 ran in:  13.18900203704834
Exciton, frame 64055 ran in:  12.849024057388306
Exciton, frame 64056 ran in:  13.161553859710693
Exciton, frame 64057 ran in:  13.072129964828491
Exciton, frame 64058 ran in:  12.63298487663269
Exciton, frame 64059 ran in:  12.726850748062134
Exciton, frame 64060 ran in:  12.56119680404663
Exciton, frame 64061 ran in:  12.757684230804443
Exciton, frame 64062 ran in:  13.056282043457031
Exciton, frame 64063 ran in:  13.388256072998047
Exciton, frame 64064 ran in:  13.347546100616455
Exciton, frame 64065 ran in:  12.705774068832397
Exciton, frame 64066 ran in:  13.88530158996582
Exciton, frame 64067 ran in:  12.936207294464111
Exciton, frame 64068 ran in:  13.096165895462036
Exciton, frame 64069 ran in:  12.810107707977295
Exciton, frame 64070 ran in:  13.89809536933899
Exciton, frame 64071 ran in:  12.69843864440918
Exciton, frame 64072 ran in:  12.54817533493042
Exciton, frame 64073 ran in:  12.751835584640503
Exciton, frame 64074 ran in:  13.024954557418823
Exciton, frame 64075 ran in:  13.960593223571777
Exciton, frame 64076 ran in:  12.506022453308105
Exciton, frame 64077 ran in:  12.85126280784607
Exciton, frame 64078 ran in:  13.17920994758606
Exciton, frame 64079 ran in:  13.39040470123291
Exciton, frame 64080 ran in:  13.475333452224731
Exciton, frame 64081 ran in:  13.00791049003601
Exciton, frame 64082 ran in:  12.937421560287476
Exciton, frame 64083 ran in:  13.037427186965942
Exciton, frame 64084 ran in:  12.83964991569519
Exciton, frame 64085 ran in:  12.797179222106934
Exciton, frame 64086 ran in:  12.514016389846802
Exciton, frame 64087 ran in:  12.745701551437378
Exciton, frame 64088 ran in:  12.863844871520996
Exciton, frame 64089 ran in:  12.673423290252686
Exciton, frame 64090 ran in:  12.847091436386108
Exciton, frame 64091 ran in:  13.318046808242798
Exciton, frame 64092 ran in:  12.961235284805298
