cpu-bind=MASK - bp1-compute175, task 4294967295 4294967295 [0]: mask 0x1ffeff001ffeff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 36.232964 secs
Exciton, frame 36129 ran in:  11.596092224121094
Exciton, frame 36130 ran in:  11.82580852508545
Exciton, frame 36131 ran in:  11.560694217681885
Exciton, frame 36132 ran in:  11.594462394714355
Exciton, frame 36133 ran in:  11.486648559570312
Exciton, frame 36134 ran in:  11.554649353027344
Exciton, frame 36135 ran in:  12.791684627532959
Exciton, frame 36136 ran in:  11.464539051055908
Exciton, frame 36137 ran in:  12.56632924079895
Exciton, frame 36138 ran in:  11.426418781280518
Exciton, frame 36139 ran in:  11.582234144210815
Exciton, frame 36140 ran in:  11.639601230621338
Exciton, frame 36141 ran in:  11.358271598815918
Exciton, frame 36142 ran in:  11.698791027069092
Exciton, frame 36143 ran in:  11.597458124160767
Exciton, frame 36144 ran in:  11.462865352630615
Exciton, frame 36145 ran in:  11.387094259262085
Exciton, frame 36146 ran in:  12.392035245895386
Exciton, frame 36147 ran in:  11.528991460800171
Exciton, frame 36148 ran in:  11.638529300689697
Exciton, frame 36149 ran in:  11.457948684692383
Exciton, frame 36150 ran in:  11.622272253036499
Exciton, frame 36151 ran in:  11.614672183990479
Exciton, frame 36152 ran in:  11.142812967300415
Exciton, frame 36153 ran in:  12.707025289535522
Exciton, frame 36154 ran in:  11.540241718292236
Exciton, frame 36155 ran in:  11.629650115966797
Exciton, frame 36156 ran in:  11.517125606536865
Exciton, frame 36157 ran in:  11.30383849143982
Exciton, frame 36158 ran in:  11.340204954147339
Exciton, frame 36159 ran in:  11.518927574157715
Exciton, frame 36160 ran in:  11.746715068817139
Exciton, frame 36161 ran in:  11.62332558631897
Exciton, frame 36162 ran in:  11.611484289169312
Exciton, frame 36163 ran in:  12.197120666503906
Exciton, frame 36164 ran in:  11.417115211486816
Exciton, frame 36165 ran in:  11.56850290298462
Exciton, frame 36166 ran in:  11.654451131820679
Exciton, frame 36167 ran in:  11.579728126525879
Exciton, frame 36168 ran in:  12.466507911682129
Exciton, frame 36169 ran in:  11.629938840866089
Exciton, frame 36170 ran in:  11.820340394973755
Exciton, frame 36171 ran in:  11.619527101516724
Exciton, frame 36172 ran in:  11.875710010528564
Exciton, frame 36173 ran in:  11.615990161895752
Exciton, frame 36174 ran in:  11.499156951904297
Exciton, frame 36175 ran in:  11.40524673461914
Exciton, frame 36176 ran in:  11.586984157562256
Exciton, frame 36177 ran in:  12.686039447784424
Exciton, frame 36178 ran in:  11.602059602737427
Exciton, frame 36179 ran in:  11.709892272949219
Exciton, frame 36180 ran in:  11.634875297546387
Exciton, frame 36181 ran in:  11.3724524974823
Exciton, frame 36182 ran in:  11.546172142028809
Exciton, frame 36183 ran in:  12.91780710220337
Exciton, frame 36184 ran in:  11.465415477752686
Exciton, frame 36185 ran in:  11.676578044891357
Exciton, frame 36186 ran in:  11.363822937011719
Exciton, frame 36187 ran in:  11.40321159362793
Exciton, frame 36188 ran in:  11.576148748397827
Exciton, frame 36189 ran in:  11.675723314285278
Exciton, frame 36190 ran in:  12.483108043670654
Exciton, frame 36191 ran in:  11.452495574951172
Exciton, frame 36192 ran in:  11.630271911621094
Exciton, frame 36193 ran in:  13.356961011886597
Exciton, frame 36194 ran in:  11.65210509300232
Exciton, frame 36195 ran in:  11.410855531692505
Exciton, frame 36196 ran in:  11.698800563812256
Exciton, frame 36197 ran in:  11.57998776435852
Exciton, frame 36198 ran in:  11.610930919647217
Exciton, frame 36199 ran in:  12.486772775650024
Exciton, frame 36200 ran in:  11.549341440200806
Exciton, frame 36201 ran in:  11.527765989303589
Exciton, frame 36202 ran in:  11.392477989196777
Exciton, frame 36203 ran in:  12.049771308898926
Exciton, frame 36204 ran in:  11.509702682495117
Exciton, frame 36205 ran in:  11.401175498962402
Exciton, frame 36206 ran in:  13.246293306350708
Exciton, frame 36207 ran in:  11.535442113876343
Exciton, frame 36208 ran in:  11.663978099822998
Exciton, frame 36209 ran in:  11.4385085105896
Exciton, frame 36210 ran in:  11.51768708229065
Exciton, frame 36211 ran in:  11.547979593276978
Exciton, frame 36212 ran in:  11.549875736236572
Exciton, frame 36213 ran in:  11.466509580612183
Exciton, frame 36214 ran in:  11.556740522384644
Exciton, frame 36215 ran in:  11.658990621566772
Exciton, frame 36216 ran in:  11.698324203491211
Exciton, frame 36217 ran in:  11.499485731124878
Exciton, frame 36218 ran in:  11.599846124649048
Exciton, frame 36219 ran in:  11.565447330474854
Exciton, frame 36220 ran in:  11.598649978637695
Exciton, frame 36221 ran in:  11.721317052841187
Exciton, frame 36222 ran in:  11.612672328948975
Exciton, frame 36223 ran in:  11.595634698867798
Exciton, frame 36224 ran in:  11.673896551132202
Exciton, frame 36225 ran in:  11.638505458831787
Exciton, frame 36226 ran in:  11.492758750915527
Exciton, frame 36227 ran in:  11.580282926559448
Exciton, frame 36228 ran in:  11.608964204788208
Exciton, frame 36229 ran in:  11.589512586593628
Exciton, frame 36230 ran in:  11.560147762298584
Exciton, frame 36231 ran in:  11.41175365447998
Exciton, frame 36232 ran in:  11.639728307723999
Exciton, frame 36233 ran in:  11.739192724227905
Exciton, frame 36234 ran in:  11.60746455192566
Exciton, frame 36235 ran in:  11.55835771560669
Exciton, frame 36236 ran in:  11.715752363204956
Exciton, frame 36237 ran in:  11.725977659225464
Exciton, frame 36238 ran in:  11.566555500030518
Exciton, frame 36239 ran in:  12.575985193252563
Exciton, frame 36240 ran in:  12.35702395439148
Exciton, frame 36241 ran in:  11.71915888786316
Exciton, frame 36242 ran in:  11.606197118759155
Exciton, frame 36243 ran in:  11.540400266647339
Exciton, frame 36244 ran in:  11.464415550231934
Exciton, frame 36245 ran in:  11.53108024597168
Exciton, frame 36246 ran in:  11.50105094909668
Exciton, frame 36247 ran in:  11.684674263000488
Exciton, frame 36248 ran in:  11.522693634033203
Exciton, frame 36249 ran in:  11.779472351074219
Exciton, frame 36250 ran in:  11.928431510925293
Exciton, frame 36251 ran in:  12.827860832214355
Exciton, frame 36252 ran in:  11.490407466888428
Exciton, frame 36253 ran in:  11.440282344818115
Exciton, frame 36254 ran in:  11.758927345275879
Exciton, frame 36255 ran in:  11.58804965019226
Exciton, frame 36256 ran in:  11.49179482460022
Exciton, frame 36257 ran in:  11.55190110206604
Exciton, frame 36258 ran in:  11.413918018341064
Exciton, frame 36259 ran in:  11.669848680496216
Exciton, frame 36260 ran in:  11.429413318634033
Exciton, frame 36261 ran in:  11.646463871002197
Exciton, frame 36262 ran in:  11.948812484741211
Exciton, frame 36263 ran in:  11.433295249938965
Exciton, frame 36264 ran in:  11.68002200126648
Exciton, frame 36265 ran in:  11.703330278396606
Exciton, frame 36266 ran in:  11.78054690361023
Exciton, frame 36267 ran in:  12.65766429901123
Exciton, frame 36268 ran in:  11.554696559906006
Exciton, frame 36269 ran in:  11.695375680923462
Exciton, frame 36270 ran in:  11.452852249145508
Exciton, frame 36271 ran in:  11.474783182144165
Exciton, frame 36272 ran in:  11.537192821502686
Exciton, frame 36273 ran in:  11.460074186325073
Exciton, frame 36274 ran in:  11.768414497375488
Exciton, frame 36275 ran in:  11.645041465759277
Exciton, frame 36276 ran in:  11.416273593902588
Exciton, frame 36277 ran in:  11.551076889038086
Exciton, frame 36278 ran in:  11.691005229949951
Exciton, frame 36279 ran in:  11.531432867050171
Exciton, frame 36280 ran in:  11.625571727752686
Exciton, frame 36281 ran in:  11.74701738357544
Exciton, frame 36282 ran in:  12.158993005752563
Exciton, frame 36283 ran in:  11.575417757034302
Exciton, frame 36284 ran in:  11.724066257476807
Exciton, frame 36285 ran in:  11.634958744049072
Exciton, frame 36286 ran in:  11.413599967956543
Exciton, frame 36287 ran in:  12.930978775024414
Exciton, frame 36288 ran in:  12.93186068534851
Exciton, frame 36289 ran in:  11.426135540008545
Exciton, frame 36290 ran in:  12.897475242614746
Exciton, frame 36291 ran in:  11.609713077545166
Exciton, frame 36292 ran in:  11.609203577041626
Exciton, frame 36293 ran in:  11.407188415527344
Exciton, frame 36294 ran in:  12.480461597442627
Exciton, frame 36295 ran in:  11.320618152618408
Exciton, frame 36296 ran in:  12.628497123718262
Exciton, frame 36297 ran in:  11.5407395362854
Exciton, frame 36298 ran in:  11.343637704849243
Exciton, frame 36299 ran in:  11.493911266326904
Exciton, frame 36300 ran in:  11.846495866775513
Exciton, frame 36301 ran in:  13.433594226837158
Exciton, frame 36302 ran in:  11.733663558959961
Exciton, frame 36303 ran in:  11.77207612991333
Exciton, frame 36304 ran in:  12.150233268737793
Exciton, frame 36305 ran in:  11.514879703521729
Exciton, frame 36306 ran in:  11.68056583404541
Exciton, frame 36307 ran in:  11.673388242721558
Exciton, frame 36308 ran in:  11.556261539459229
Exciton, frame 36309 ran in:  11.636648178100586
Exciton, frame 36310 ran in:  11.596521854400635
Exciton, frame 36311 ran in:  11.443731307983398
Exciton, frame 36312 ran in:  11.724737882614136
Exciton, frame 36313 ran in:  11.750460386276245
Exciton, frame 36314 ran in:  11.646724224090576
Exciton, frame 36315 ran in:  11.366117000579834
Exciton, frame 36316 ran in:  11.513076066970825
Exciton, frame 36317 ran in:  11.681334495544434
Exciton, frame 36318 ran in:  11.796759605407715
Exciton, frame 36319 ran in:  11.41235637664795
Exciton, frame 36320 ran in:  11.739227771759033
Exciton, frame 36321 ran in:  12.782049179077148
Exciton, frame 36322 ran in:  11.730445384979248
Exciton, frame 36323 ran in:  12.306201457977295
Exciton, frame 36324 ran in:  11.484267950057983
Exciton, frame 36325 ran in:  11.358770370483398
Exciton, frame 36326 ran in:  11.504505395889282
Exciton, frame 36327 ran in:  11.806396245956421
Exciton, frame 36328 ran in:  11.616666316986084
Exciton, frame 36329 ran in:  11.546832084655762
Exciton, frame 36330 ran in:  11.265631437301636
Exciton, frame 36331 ran in:  11.35336709022522
Exciton, frame 36332 ran in:  11.695466041564941
Exciton, frame 36333 ran in:  11.523214340209961
Exciton, frame 36334 ran in:  11.497969388961792
Exciton, frame 36335 ran in:  11.43128752708435
Exciton, frame 36336 ran in:  11.481264591217041
Exciton, frame 36337 ran in:  11.513433933258057
Exciton, frame 36338 ran in:  11.843461751937866
Exciton, frame 36339 ran in:  11.53812551498413
Exciton, frame 36340 ran in:  11.860569477081299
Exciton, frame 36341 ran in:  11.521312475204468
Exciton, frame 36342 ran in:  11.647023439407349
Exciton, frame 36343 ran in:  11.524543285369873
Exciton, frame 36344 ran in:  11.707772731781006
Exciton, frame 36345 ran in:  11.654536247253418
Exciton, frame 36346 ran in:  11.387818574905396
Exciton, frame 36347 ran in:  11.45884084701538
Exciton, frame 36348 ran in:  11.797241687774658
Exciton, frame 36349 ran in:  11.67440414428711
Exciton, frame 36350 ran in:  11.8047456741333
Exciton, frame 36351 ran in:  11.807188272476196
Exciton, frame 36352 ran in:  11.461316585540771
Exciton, frame 36353 ran in:  11.488733768463135
Exciton, frame 36354 ran in:  11.56853461265564
Exciton, frame 36355 ran in:  11.647562980651855
Exciton, frame 36356 ran in:  12.346850633621216
Exciton, frame 36357 ran in:  11.643147706985474
Exciton, frame 36358 ran in:  11.739380359649658
Exciton, frame 36359 ran in:  11.655616521835327
Exciton, frame 36360 ran in:  11.928476333618164
Exciton, frame 36361 ran in:  11.479269981384277
Exciton, frame 36362 ran in:  11.538549900054932
Exciton, frame 36363 ran in:  11.588028907775879
Exciton, frame 36364 ran in:  11.526103496551514
Exciton, frame 36365 ran in:  11.413338661193848
Exciton, frame 36366 ran in:  11.499377727508545
Exciton, frame 36367 ran in:  11.654891014099121
Exciton, frame 36368 ran in:  12.743269920349121
Exciton, frame 36369 ran in:  11.595893144607544
Exciton, frame 36370 ran in:  11.64194107055664
Exciton, frame 36371 ran in:  11.55091404914856
Exciton, frame 36372 ran in:  11.391828536987305
Exciton, frame 36373 ran in:  11.688314199447632
Exciton, frame 36374 ran in:  11.518422603607178
Exciton, frame 36375 ran in:  11.667623281478882
Exciton, frame 36376 ran in:  11.50411581993103
Exciton, frame 36377 ran in:  11.305198669433594
Exciton, frame 36378 ran in:  11.570114135742188
Exciton, frame 36379 ran in:  12.38904356956482
Exciton, frame 36380 ran in:  11.603816270828247
Exciton, frame 36381 ran in:  11.430200099945068
Exciton, frame 36382 ran in:  11.689188241958618
Exciton, frame 36383 ran in:  11.493309497833252
Exciton, frame 36384 ran in:  11.765306949615479
Exciton, frame 36385 ran in:  12.473629713058472
Exciton, frame 36386 ran in:  11.717866659164429
Exciton, frame 36387 ran in:  11.545679807662964
Exciton, frame 36388 ran in:  11.554839611053467
Exciton, frame 36389 ran in:  11.613979816436768
Exciton, frame 36390 ran in:  11.454835653305054
Exciton, frame 36391 ran in:  11.639009475708008
Exciton, frame 36392 ran in:  11.62440538406372
Exciton, frame 36393 ran in:  11.671374559402466
Exciton, frame 36394 ran in:  11.65707516670227
Exciton, frame 36395 ran in:  11.45267105102539
Exciton, frame 36396 ran in:  11.321913003921509
Exciton, frame 36397 ran in:  12.432428359985352
Exciton, frame 36398 ran in:  11.478691577911377
Exciton, frame 36399 ran in:  12.373018741607666
Exciton, frame 36400 ran in:  11.49782943725586
Exciton, frame 36401 ran in:  11.562039852142334
Exciton, frame 36402 ran in:  11.607203483581543
Exciton, frame 36403 ran in:  11.751303434371948
Exciton, frame 36404 ran in:  11.428225994110107
Exciton, frame 36405 ran in:  11.433411598205566
Exciton, frame 36406 ran in:  11.443604469299316
Exciton, frame 36407 ran in:  13.288149118423462
Exciton, frame 36408 ran in:  11.75046968460083
Exciton, frame 36409 ran in:  12.874056100845337
Exciton, frame 36410 ran in:  12.535753965377808
Exciton, frame 36411 ran in:  11.619077682495117
Exciton, frame 36412 ran in:  12.488354921340942
Exciton, frame 36413 ran in:  11.441784381866455
Exciton, frame 36414 ran in:  11.587195873260498
Exciton, frame 36415 ran in:  11.26186466217041
Exciton, frame 36416 ran in:  11.6227445602417
Exciton, frame 36417 ran in:  12.408744812011719
Exciton, frame 36418 ran in:  11.533849954605103
Exciton, frame 36419 ran in:  11.46850872039795
Exciton, frame 36420 ran in:  11.790216207504272
Exciton, frame 36421 ran in:  11.768295764923096
Exciton, frame 36422 ran in:  11.69175100326538
Exciton, frame 36423 ran in:  11.555759191513062
Exciton, frame 36424 ran in:  11.654551982879639
Exciton, frame 36425 ran in:  11.625351667404175
Exciton, frame 36426 ran in:  11.64266562461853
Exciton, frame 36427 ran in:  11.649480819702148
Exciton, frame 36428 ran in:  11.639074563980103
Exciton, frame 36429 ran in:  12.873396873474121
Exciton, frame 36430 ran in:  11.563392162322998
Exciton, frame 36431 ran in:  11.70142412185669
Exciton, frame 36432 ran in:  13.00822114944458
Exciton, frame 36433 ran in:  12.346839666366577
Exciton, frame 36434 ran in:  12.545852422714233
Exciton, frame 36435 ran in:  11.477347135543823
Exciton, frame 36436 ran in:  11.561817169189453
Exciton, frame 36437 ran in:  11.417801141738892
Exciton, frame 36438 ran in:  11.437818050384521
Exciton, frame 36439 ran in:  11.5181884765625
Exciton, frame 36440 ran in:  11.62014889717102
Exciton, frame 36441 ran in:  11.678113222122192
Exciton, frame 36442 ran in:  11.517654180526733
Exciton, frame 36443 ran in:  11.55115270614624
Exciton, frame 36444 ran in:  11.676560163497925
Exciton, frame 36445 ran in:  11.729362726211548
Exciton, frame 36446 ran in:  12.849902868270874
Exciton, frame 36447 ran in:  11.470528602600098
Exciton, frame 36448 ran in:  11.552077531814575
Exciton, frame 36449 ran in:  11.512651443481445
Exciton, frame 36450 ran in:  11.477691650390625
Exciton, frame 36451 ran in:  12.71167540550232
Exciton, frame 36452 ran in:  11.59782862663269
Exciton, frame 36453 ran in:  11.469640016555786
Exciton, frame 36454 ran in:  11.371498346328735
Exciton, frame 36455 ran in:  11.57596755027771
Exciton, frame 36456 ran in:  11.457225322723389
Exciton, frame 36457 ran in:  11.696081638336182
Exciton, frame 36458 ran in:  11.655339002609253
Exciton, frame 36459 ran in:  11.428783893585205
Exciton, frame 36460 ran in:  11.369075775146484
Exciton, frame 36461 ran in:  11.419034242630005
Exciton, frame 36462 ran in:  11.510693311691284
Exciton, frame 36463 ran in:  11.499799251556396
Exciton, frame 36464 ran in:  11.438015937805176
Exciton, frame 36465 ran in:  12.61621356010437
Exciton, frame 36466 ran in:  11.381004333496094
Exciton, frame 36467 ran in:  11.446605205535889
Exciton, frame 36468 ran in:  11.565796136856079
Exciton, frame 36469 ran in:  11.435738801956177
Exciton, frame 36470 ran in:  11.479038000106812
Exciton, frame 36471 ran in:  11.620824813842773
Exciton, frame 36472 ran in:  11.475107431411743
Exciton, frame 36473 ran in:  11.600193977355957
