cpu-bind=MASK - bp1-compute131, task 4294967295 4294967295 [0]: mask 0x1fefff001fefff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 47.700942 secs
Exciton, frame 16129 ran in:  12.591837882995605
Exciton, frame 16130 ran in:  13.830259799957275
Exciton, frame 16131 ran in:  13.572011947631836
Exciton, frame 16132 ran in:  13.871174097061157
Exciton, frame 16133 ran in:  13.993220806121826
Exciton, frame 16134 ran in:  12.5145583152771
Exciton, frame 16135 ran in:  13.463834047317505
Exciton, frame 16136 ran in:  13.89992904663086
Exciton, frame 16137 ran in:  13.01152229309082
Exciton, frame 16138 ran in:  13.912908792495728
Exciton, frame 16139 ran in:  13.977219820022583
Exciton, frame 16140 ran in:  13.673363447189331
Exciton, frame 16141 ran in:  14.096264362335205
Exciton, frame 16142 ran in:  13.009087800979614
Exciton, frame 16143 ran in:  12.722522974014282
Exciton, frame 16144 ran in:  13.780943870544434
Exciton, frame 16145 ran in:  14.132299900054932
Exciton, frame 16146 ran in:  12.79330849647522
Exciton, frame 16147 ran in:  13.83139967918396
Exciton, frame 16148 ran in:  13.899144172668457
Exciton, frame 16149 ran in:  12.596121549606323
Exciton, frame 16150 ran in:  13.656257629394531
Exciton, frame 16151 ran in:  13.825371503829956
Exciton, frame 16152 ran in:  13.640394926071167
Exciton, frame 16153 ran in:  13.107450008392334
Exciton, frame 16154 ran in:  13.794047355651855
Exciton, frame 16155 ran in:  13.925612449645996
Exciton, frame 16156 ran in:  12.729229211807251
Exciton, frame 16157 ran in:  14.08505654335022
Exciton, frame 16158 ran in:  13.093050241470337
Exciton, frame 16159 ran in:  13.768136262893677
Exciton, frame 16160 ran in:  13.848092079162598
Exciton, frame 16161 ran in:  14.13396692276001
Exciton, frame 16162 ran in:  14.252827644348145
Exciton, frame 16163 ran in:  13.936078310012817
Exciton, frame 16164 ran in:  14.23683214187622
Exciton, frame 16165 ran in:  13.750480651855469
Exciton, frame 16166 ran in:  13.306197881698608
Exciton, frame 16167 ran in:  12.559217929840088
Exciton, frame 16168 ran in:  12.798680305480957
Exciton, frame 16169 ran in:  13.844027042388916
Exciton, frame 16170 ran in:  14.03908658027649
Exciton, frame 16171 ran in:  13.823448181152344
Exciton, frame 16172 ran in:  12.820635795593262
Exciton, frame 16173 ran in:  13.661540746688843
Exciton, frame 16174 ran in:  12.411638021469116
Exciton, frame 16175 ran in:  13.861360311508179
Exciton, frame 16176 ran in:  13.841394186019897
Exciton, frame 16177 ran in:  13.254814147949219
Exciton, frame 16178 ran in:  13.967607975006104
Exciton, frame 16179 ran in:  13.43587040901184
Exciton, frame 16180 ran in:  14.070662260055542
Exciton, frame 16181 ran in:  13.90463662147522
