cpu-bind=MASK - bp1-compute183, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.513312 secs
Exciton, frame 72000 ran in:  12.525904655456543
Exciton, frame 72001 ran in:  10.166193962097168
Exciton, frame 72002 ran in:  13.255083799362183
Exciton, frame 72003 ran in:  10.29742169380188
Exciton, frame 72004 ran in:  11.369130373001099
Exciton, frame 72005 ran in:  10.298396587371826
Exciton, frame 72006 ran in:  11.325904130935669
Exciton, frame 72007 ran in:  10.7099027633667
Exciton, frame 72008 ran in:  10.521234035491943
Exciton, frame 72009 ran in:  11.286421060562134
Exciton, frame 72010 ran in:  10.28368067741394
Exciton, frame 72011 ran in:  10.23035717010498
Exciton, frame 72012 ran in:  10.392049312591553
Exciton, frame 72013 ran in:  10.9440016746521
Exciton, frame 72014 ran in:  10.661612033843994
Exciton, frame 72015 ran in:  10.487836360931396
Exciton, frame 72016 ran in:  10.81980299949646
Exciton, frame 72017 ran in:  10.964940309524536
Exciton, frame 72018 ran in:  10.273109912872314
Exciton, frame 72019 ran in:  10.222092866897583
Exciton, frame 72020 ran in:  10.135301113128662
Exciton, frame 72021 ran in:  10.271340370178223
Exciton, frame 72022 ran in:  10.361209154129028
Exciton, frame 72023 ran in:  10.315439462661743
Exciton, frame 72024 ran in:  12.557261943817139
Exciton, frame 72025 ran in:  10.423441171646118
Exciton, frame 72026 ran in:  10.372885704040527
Exciton, frame 72027 ran in:  10.445025444030762
Exciton, frame 72028 ran in:  10.575029611587524
Exciton, frame 72029 ran in:  10.191001892089844
Exciton, frame 72030 ran in:  10.601181507110596
Exciton, frame 72031 ran in:  10.26890230178833
Exciton, frame 72032 ran in:  10.176714181900024
Exciton, frame 72033 ran in:  10.41526746749878
Exciton, frame 72034 ran in:  10.48019528388977
Exciton, frame 72035 ran in:  10.252724885940552
Exciton, frame 72036 ran in:  10.684258699417114
Exciton, frame 72037 ran in:  11.095703601837158
Exciton, frame 72038 ran in:  10.349838733673096
Exciton, frame 72039 ran in:  10.207778930664062
Exciton, frame 72040 ran in:  10.379565000534058
Exciton, frame 72041 ran in:  10.322736024856567
Exciton, frame 72042 ran in:  10.231739044189453
Exciton, frame 72043 ran in:  10.078736305236816
Exciton, frame 72044 ran in:  10.337133407592773
Exciton, frame 72045 ran in:  10.354574203491211
Exciton, frame 72046 ran in:  10.361462354660034
Exciton, frame 72047 ran in:  10.332188606262207
Exciton, frame 72048 ran in:  10.193008422851562
Exciton, frame 72049 ran in:  10.372429847717285
