cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0x2ffd30bb2ffd30bb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 32.759545 secs
Exciton, frame 12129 ran in:  13.884200096130371
Exciton, frame 12130 ran in:  13.250541687011719
Exciton, frame 12131 ran in:  13.353383302688599
Exciton, frame 12132 ran in:  13.552992343902588
Exciton, frame 12133 ran in:  13.135168552398682
Exciton, frame 12134 ran in:  13.264657497406006
Exciton, frame 12135 ran in:  13.341974020004272
Exciton, frame 12136 ran in:  13.43444037437439
Exciton, frame 12137 ran in:  13.667539834976196
Exciton, frame 12138 ran in:  13.475766897201538
Exciton, frame 12139 ran in:  13.217639684677124
Exciton, frame 12140 ran in:  13.07340669631958
Exciton, frame 12141 ran in:  13.576435089111328
Exciton, frame 12142 ran in:  13.326711893081665
Exciton, frame 12143 ran in:  13.478936195373535
Exciton, frame 12144 ran in:  13.413456439971924
Exciton, frame 12145 ran in:  13.663467645645142
Exciton, frame 12146 ran in:  13.58323335647583
Exciton, frame 12147 ran in:  13.272268056869507
Exciton, frame 12148 ran in:  13.348467588424683
Exciton, frame 12149 ran in:  13.517518520355225
Exciton, frame 12150 ran in:  13.436326265335083
Exciton, frame 12151 ran in:  13.754896402359009
Exciton, frame 12152 ran in:  13.143773794174194
Exciton, frame 12153 ran in:  13.371776342391968
Exciton, frame 12154 ran in:  13.40298318862915
Exciton, frame 12155 ran in:  13.402448654174805
Exciton, frame 12156 ran in:  13.196778297424316
Exciton, frame 12157 ran in:  13.105603218078613
Exciton, frame 12158 ran in:  13.71071743965149
Exciton, frame 12159 ran in:  13.153390884399414
Exciton, frame 12160 ran in:  14.134647607803345
Exciton, frame 12161 ran in:  13.660220384597778
Exciton, frame 12162 ran in:  13.849143981933594
Exciton, frame 12163 ran in:  13.727015256881714
Exciton, frame 12164 ran in:  13.73744797706604
Exciton, frame 12165 ran in:  13.680814027786255
Exciton, frame 12166 ran in:  13.442933082580566
Exciton, frame 12167 ran in:  13.35179328918457
Exciton, frame 12168 ran in:  13.731489419937134
Exciton, frame 12169 ran in:  13.330456256866455
Exciton, frame 12170 ran in:  13.553858757019043
Exciton, frame 12171 ran in:  13.266021728515625
Exciton, frame 12172 ran in:  13.495599031448364
Exciton, frame 12173 ran in:  13.386966228485107
Exciton, frame 12174 ran in:  13.425452947616577
Exciton, frame 12175 ran in:  13.29435110092163
Exciton, frame 12176 ran in:  13.486494541168213
Exciton, frame 12177 ran in:  13.392483234405518
Exciton, frame 12178 ran in:  13.33085298538208
Exciton, frame 12179 ran in:  13.513410329818726
Exciton, frame 12180 ran in:  13.300532817840576
Exciton, frame 12181 ran in:  13.481035470962524
Exciton, frame 12182 ran in:  13.310643672943115
Exciton, frame 12183 ran in:  13.705075740814209
Exciton, frame 12184 ran in:  13.384243488311768
Exciton, frame 12185 ran in:  13.513217210769653
Exciton, frame 12186 ran in:  13.223108530044556
Exciton, frame 12187 ran in:  13.444461822509766
Exciton, frame 12188 ran in:  13.0918288230896
Exciton, frame 12189 ran in:  13.21724796295166
Exciton, frame 12190 ran in:  13.40543270111084
Exciton, frame 12191 ran in:  13.31039834022522
Exciton, frame 12192 ran in:  13.662178039550781
Exciton, frame 12193 ran in:  13.405479669570923
Exciton, frame 12194 ran in:  13.680632829666138
Exciton, frame 12195 ran in:  13.36473035812378
Exciton, frame 12196 ran in:  13.41870403289795
Exciton, frame 12197 ran in:  13.353604555130005
Exciton, frame 12198 ran in:  13.464635848999023
Exciton, frame 12199 ran in:  13.795044660568237
Exciton, frame 12200 ran in:  13.59200930595398
Exciton, frame 12201 ran in:  13.757147789001465
Exciton, frame 12202 ran in:  13.56897783279419
Exciton, frame 12203 ran in:  13.386537313461304
Exciton, frame 12204 ran in:  13.469067811965942
Exciton, frame 12205 ran in:  13.530268907546997
Exciton, frame 12206 ran in:  13.63697338104248
Exciton, frame 12207 ran in:  13.188474416732788
Exciton, frame 12208 ran in:  13.379775285720825
Exciton, frame 12209 ran in:  13.519208669662476
Exciton, frame 12210 ran in:  13.420440673828125
Exciton, frame 12211 ran in:  13.339399814605713
Exciton, frame 12212 ran in:  13.380694150924683
Exciton, frame 12213 ran in:  13.376943826675415
Exciton, frame 12214 ran in:  13.608160495758057
Exciton, frame 12215 ran in:  13.465100049972534
Exciton, frame 12216 ran in:  13.187143802642822
Exciton, frame 12217 ran in:  13.593457460403442
Exciton, frame 12218 ran in:  13.252044677734375
Exciton, frame 12219 ran in:  13.22261357307434
Exciton, frame 12220 ran in:  13.129684925079346
Exciton, frame 12221 ran in:  13.42396593093872
Exciton, frame 12222 ran in:  13.557429313659668
Exciton, frame 12223 ran in:  13.599817514419556
Exciton, frame 12224 ran in:  13.443691968917847
Exciton, frame 12225 ran in:  13.446467638015747
Exciton, frame 12226 ran in:  13.479832410812378
Exciton, frame 12227 ran in:  13.728981256484985
Exciton, frame 12228 ran in:  13.569372415542603
Exciton, frame 12229 ran in:  13.497327327728271
Exciton, frame 12230 ran in:  13.595951557159424
Exciton, frame 12231 ran in:  13.570232629776001
Exciton, frame 12232 ran in:  13.761079788208008
Exciton, frame 12233 ran in:  13.464809894561768
Exciton, frame 12234 ran in:  13.308815002441406
Exciton, frame 12235 ran in:  13.493696451187134
Exciton, frame 12236 ran in:  13.626739263534546
Exciton, frame 12237 ran in:  13.606193780899048
Exciton, frame 12238 ran in:  13.33328914642334
Exciton, frame 12239 ran in:  13.333131074905396
Exciton, frame 12240 ran in:  13.42434310913086
Exciton, frame 12241 ran in:  13.418206453323364
Exciton, frame 12242 ran in:  13.946964740753174
Exciton, frame 12243 ran in:  13.845332622528076
Exciton, frame 12244 ran in:  13.52851128578186
