cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xffff00f0000000000000000000000000ffff00f000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.857804 secs
Exciton, frame 7128 ran in:  15.923584938049316
Exciton, frame 7129 ran in:  27.03847074508667
Exciton, frame 7130 ran in:  15.764017105102539
Exciton, frame 7131 ran in:  27.09701919555664
Exciton, frame 7132 ran in:  16.768067121505737
Exciton, frame 7133 ran in:  15.674792766571045
Exciton, frame 7134 ran in:  14.970283508300781
Exciton, frame 7135 ran in:  13.688932418823242
Exciton, frame 7136 ran in:  15.66509747505188
Exciton, frame 7137 ran in:  18.12621235847473
Exciton, frame 7138 ran in:  15.673006296157837
Exciton, frame 7139 ran in:  15.756051778793335
Exciton, frame 7140 ran in:  15.251448631286621
Exciton, frame 7141 ran in:  15.03449010848999
Exciton, frame 7142 ran in:  15.040366172790527
Exciton, frame 7143 ran in:  15.421670913696289
Exciton, frame 7144 ran in:  27.13552951812744
Exciton, frame 7145 ran in:  26.580241441726685
Exciton, frame 7146 ran in:  16.224623680114746
Exciton, frame 7147 ran in:  27.387332916259766
Exciton, frame 7148 ran in:  27.676574230194092
Exciton, frame 7149 ran in:  21.86296510696411
Exciton, frame 7150 ran in:  14.34164834022522
Exciton, frame 7151 ran in:  19.508486032485962
Exciton, frame 7152 ran in:  15.729211807250977
Exciton, frame 7153 ran in:  14.788991689682007
Exciton, frame 7154 ran in:  15.054486751556396
Exciton, frame 7155 ran in:  22.416834115982056
Exciton, frame 7156 ran in:  14.977137565612793
Exciton, frame 7157 ran in:  16.01817011833191
Exciton, frame 7158 ran in:  15.266136646270752
Exciton, frame 7159 ran in:  15.892685890197754
Exciton, frame 7160 ran in:  14.893109798431396
Exciton, frame 7161 ran in:  15.191116094589233
Exciton, frame 7162 ran in:  15.011479616165161
Exciton, frame 7163 ran in:  15.158138513565063
Exciton, frame 7164 ran in:  28.33454656600952
Exciton, frame 7165 ran in:  15.924830913543701
Exciton, frame 7166 ran in:  14.8014235496521
Exciton, frame 7167 ran in:  15.732319116592407
Exciton, frame 7168 ran in:  15.013159275054932
Exciton, frame 7169 ran in:  14.844051122665405
Exciton, frame 7170 ran in:  14.436942338943481
Exciton, frame 7171 ran in:  20.204919576644897
Exciton, frame 7172 ran in:  17.791298627853394
Exciton, frame 7173 ran in:  27.04257345199585
Exciton, frame 7174 ran in:  14.784389734268188
Exciton, frame 7175 ran in:  16.237643480300903
Exciton, frame 7176 ran in:  16.08938217163086
Exciton, frame 7177 ran in:  14.806047439575195
Exciton, frame 7178 ran in:  26.457977533340454
Exciton, frame 7179 ran in:  14.473570823669434
Exciton, frame 7180 ran in:  25.676478147506714
Exciton, frame 7181 ran in:  16.11809277534485
Exciton, frame 7182 ran in:  14.701020240783691
Exciton, frame 7183 ran in:  14.2930588722229
Exciton, frame 7184 ran in:  13.916471719741821
Exciton, frame 7185 ran in:  14.517681360244751
Exciton, frame 7186 ran in:  16.232353925704956
Exciton, frame 7187 ran in:  15.875357866287231
Exciton, frame 7188 ran in:  26.44445538520813
Exciton, frame 7189 ran in:  14.476124048233032
Exciton, frame 7190 ran in:  15.686187505722046
Exciton, frame 7191 ran in:  15.193231344223022
Exciton, frame 7192 ran in:  14.700339794158936
Exciton, frame 7193 ran in:  14.816126108169556
Exciton, frame 7194 ran in:  15.164882183074951
Exciton, frame 7195 ran in:  15.01731538772583
Exciton, frame 7196 ran in:  14.8605215549469
Exciton, frame 7197 ran in:  15.64786148071289
Exciton, frame 7198 ran in:  14.688967227935791
Exciton, frame 7199 ran in:  14.550223112106323
Exciton, frame 7200 ran in:  16.57569718360901
Exciton, frame 7201 ran in:  14.829757690429688
Exciton, frame 7202 ran in:  15.279687404632568
Exciton, frame 7203 ran in:  15.27705454826355
Exciton, frame 7204 ran in:  14.479567766189575
Exciton, frame 7205 ran in:  27.008849382400513
Exciton, frame 7206 ran in:  14.761751174926758
Exciton, frame 7207 ran in:  15.606719493865967
Exciton, frame 7208 ran in:  14.503645896911621
Exciton, frame 7209 ran in:  15.295995235443115
Exciton, frame 7210 ran in:  15.801798820495605
Exciton, frame 7211 ran in:  14.732385158538818
Exciton, frame 7212 ran in:  15.225696325302124
Exciton, frame 7213 ran in:  22.73740839958191
Exciton, frame 7214 ran in:  14.700974464416504
Exciton, frame 7215 ran in:  28.089117288589478
Exciton, frame 7216 ran in:  15.557087898254395
Exciton, frame 7217 ran in:  27.43735408782959
Exciton, frame 7218 ran in:  15.047180652618408
Exciton, frame 7219 ran in:  16.071406364440918
Exciton, frame 7220 ran in:  16.5237557888031
Exciton, frame 7221 ran in:  14.58662462234497
Exciton, frame 7222 ran in:  15.027408361434937
Exciton, frame 7223 ran in:  20.837636947631836
Exciton, frame 7224 ran in:  16.317530632019043
Exciton, frame 7225 ran in:  15.124731540679932
Exciton, frame 7226 ran in:  14.541513204574585
Exciton, frame 7227 ran in:  28.56213641166687
Exciton, frame 7228 ran in:  28.878380060195923
Exciton, frame 7229 ran in:  14.965476512908936
Exciton, frame 7230 ran in:  15.286454200744629
Exciton, frame 7231 ran in:  14.607219934463501
Exciton, frame 7232 ran in:  18.972776651382446
Exciton, frame 7233 ran in:  24.024590730667114
Exciton, frame 7234 ran in:  22.65440058708191
Exciton, frame 7235 ran in:  14.627635717391968
Exciton, frame 7236 ran in:  15.529752016067505
Exciton, frame 7237 ran in:  16.190326690673828
Exciton, frame 7238 ran in:  15.740334033966064
Exciton, frame 7239 ran in:  15.156534671783447
Exciton, frame 7240 ran in:  15.589491128921509
Exciton, frame 7241 ran in:  15.821211814880371
Exciton, frame 7242 ran in:  15.701295375823975
Exciton, frame 7243 ran in:  14.68437147140503
Exciton, frame 7244 ran in:  14.369484186172485
Exciton, frame 7245 ran in:  14.579152345657349
Exciton, frame 7246 ran in:  15.90868067741394
Exciton, frame 7247 ran in:  14.648835182189941
Exciton, frame 7248 ran in:  15.40662169456482
Exciton, frame 7249 ran in:  14.38916826248169
Exciton, frame 7250 ran in:  15.52845311164856
Exciton, frame 7251 ran in:  15.141818046569824
Exciton, frame 7252 ran in:  15.753572225570679
Exciton, frame 7253 ran in:  14.446098566055298
Exciton, frame 7254 ran in:  15.111890316009521
Exciton, frame 7255 ran in:  14.538687944412231
Exciton, frame 7256 ran in:  15.28604769706726
Exciton, frame 7257 ran in:  15.338097095489502
Exciton, frame 7258 ran in:  15.692018032073975
Exciton, frame 7259 ran in:  15.730539083480835
Exciton, frame 7260 ran in:  14.628201007843018
Exciton, frame 7261 ran in:  14.679238557815552
Exciton, frame 7262 ran in:  27.759078979492188
Exciton, frame 7263 ran in:  15.747413635253906
Exciton, frame 7264 ran in:  14.771237850189209
Exciton, frame 7265 ran in:  15.536999464035034
Exciton, frame 7266 ran in:  27.789439916610718
Exciton, frame 7267 ran in:  15.399771928787231
Exciton, frame 7268 ran in:  15.482454061508179
Exciton, frame 7269 ran in:  25.979190349578857
Exciton, frame 7270 ran in:  15.721827983856201
Exciton, frame 7271 ran in:  15.036849021911621
Exciton, frame 7272 ran in:  14.884536981582642
Exciton, frame 7273 ran in:  14.456031084060669
Exciton, frame 7274 ran in:  26.894845247268677
Exciton, frame 7275 ran in:  15.013957738876343
Exciton, frame 7276 ran in:  15.885442733764648
Exciton, frame 7277 ran in:  16.34699845314026
Exciton, frame 7278 ran in:  14.552372455596924
Exciton, frame 7279 ran in:  16.67047643661499
Exciton, frame 7280 ran in:  15.902175903320312
Exciton, frame 7281 ran in:  15.64340329170227
Exciton, frame 7282 ran in:  14.323760509490967
Exciton, frame 7283 ran in:  15.079814672470093
Exciton, frame 7284 ran in:  26.583154678344727
Exciton, frame 7285 ran in:  14.974327802658081
Exciton, frame 7286 ran in:  18.367756605148315
Exciton, frame 7287 ran in:  17.2457058429718
Exciton, frame 7288 ran in:  16.95023226737976
Exciton, frame 7289 ran in:  17.00334334373474
Exciton, frame 7290 ran in:  16.72641944885254
