cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 58.239989 secs
Exciton, frame 4129 ran in:  12.408486604690552
Exciton, frame 4130 ran in:  12.615829229354858
Exciton, frame 4131 ran in:  12.224080801010132
Exciton, frame 4132 ran in:  12.456210136413574
Exciton, frame 4133 ran in:  12.828328371047974
Exciton, frame 4134 ran in:  12.510681629180908
Exciton, frame 4135 ran in:  12.414044618606567
Exciton, frame 4136 ran in:  12.146026372909546
Exciton, frame 4137 ran in:  12.550638198852539
Exciton, frame 4138 ran in:  12.581365585327148
Exciton, frame 4139 ran in:  12.28445553779602
Exciton, frame 4140 ran in:  12.518787622451782
Exciton, frame 4141 ran in:  12.786771297454834
Exciton, frame 4142 ran in:  12.570383310317993
Exciton, frame 4143 ran in:  13.15036129951477
Exciton, frame 4144 ran in:  12.62281060218811
Exciton, frame 4145 ran in:  12.897001266479492
Exciton, frame 4146 ran in:  12.924636125564575
Exciton, frame 4147 ran in:  12.292098045349121
Exciton, frame 4148 ran in:  12.884427309036255
Exciton, frame 4149 ran in:  12.490288496017456
Exciton, frame 4150 ran in:  13.55220103263855
Exciton, frame 4151 ran in:  13.47405195236206
Exciton, frame 4152 ran in:  12.512910842895508
Exciton, frame 4153 ran in:  12.563018321990967
Exciton, frame 4154 ran in:  12.461358308792114
Exciton, frame 4155 ran in:  12.62413239479065
Exciton, frame 4156 ran in:  12.645064353942871
Exciton, frame 4157 ran in:  12.856507301330566
Exciton, frame 4158 ran in:  12.437440633773804
Exciton, frame 4159 ran in:  12.75818395614624
Exciton, frame 4160 ran in:  12.798420190811157
Exciton, frame 4161 ran in:  12.688470602035522
Exciton, frame 4162 ran in:  13.214838743209839
Exciton, frame 4163 ran in:  12.861305952072144
Exciton, frame 4164 ran in:  12.428653478622437
Exciton, frame 4165 ran in:  12.984103679656982
Exciton, frame 4166 ran in:  12.790573596954346
Exciton, frame 4167 ran in:  12.174122333526611
Exciton, frame 4168 ran in:  12.776103734970093
Exciton, frame 4169 ran in:  12.508396863937378
Exciton, frame 4170 ran in:  12.628150224685669
Exciton, frame 4171 ran in:  12.629831075668335
Exciton, frame 4172 ran in:  12.749818325042725
Exciton, frame 4173 ran in:  12.645942211151123
Exciton, frame 4174 ran in:  12.285287857055664
Exciton, frame 4175 ran in:  12.475166082382202
Exciton, frame 4176 ran in:  13.26109528541565
Exciton, frame 4177 ran in:  12.700284242630005
Exciton, frame 4178 ran in:  12.564500093460083
Exciton, frame 4179 ran in:  12.272725582122803
Exciton, frame 4180 ran in:  13.529212713241577
Exciton, frame 4181 ran in:  12.340245723724365
Exciton, frame 4182 ran in:  12.929354667663574
Exciton, frame 4183 ran in:  12.751079082489014
Exciton, frame 4184 ran in:  12.387063264846802
Exciton, frame 4185 ran in:  12.520182847976685
Exciton, frame 4186 ran in:  12.608181238174438
Exciton, frame 4187 ran in:  12.45012092590332
Exciton, frame 4188 ran in:  12.477483034133911
Exciton, frame 4189 ran in:  12.740781307220459
Exciton, frame 4190 ran in:  12.659521341323853
Exciton, frame 4191 ran in:  12.666939496994019
Exciton, frame 4192 ran in:  12.386375665664673
Exciton, frame 4193 ran in:  12.953243970870972
Exciton, frame 4194 ran in:  12.632317781448364
Exciton, frame 4195 ran in:  13.495007991790771
Exciton, frame 4196 ran in:  13.517103433609009
Exciton, frame 4197 ran in:  12.771335124969482
Exciton, frame 4198 ran in:  12.453458786010742
Exciton, frame 4199 ran in:  12.82995867729187
Exciton, frame 4200 ran in:  12.68849778175354
Exciton, frame 4201 ran in:  12.718676567077637
Exciton, frame 4202 ran in:  12.845595121383667
Exciton, frame 4203 ran in:  12.54576587677002
Exciton, frame 4204 ran in:  12.931422233581543
Exciton, frame 4205 ran in:  12.995034456253052
Exciton, frame 4206 ran in:  12.587466478347778
Exciton, frame 4207 ran in:  12.628006219863892
Exciton, frame 4208 ran in:  12.676840543746948
Exciton, frame 4209 ran in:  12.440364360809326
Exciton, frame 4210 ran in:  12.773735046386719
Exciton, frame 4211 ran in:  12.721303701400757
Exciton, frame 4212 ran in:  12.826820611953735
Exciton, frame 4213 ran in:  12.785045146942139
Exciton, frame 4214 ran in:  12.674009084701538
Exciton, frame 4215 ran in:  12.800024032592773
Exciton, frame 4216 ran in:  12.683942556381226
Exciton, frame 4217 ran in:  12.69372034072876
Exciton, frame 4218 ran in:  12.834359407424927
Exciton, frame 4219 ran in:  12.578803539276123
Exciton, frame 4220 ran in:  12.606330871582031
Exciton, frame 4221 ran in:  12.682064771652222
Exciton, frame 4222 ran in:  12.40658450126648
Exciton, frame 4223 ran in:  12.817259073257446
Exciton, frame 4224 ran in:  12.40542459487915
Exciton, frame 4225 ran in:  12.539231538772583
Exciton, frame 4226 ran in:  12.608214855194092
Exciton, frame 4227 ran in:  12.370633363723755
