#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	1	-2870977.9873140436	300.1309427956601	0
0.0%	2	-2871519.9873140436	300.21425148778786	0.0794
0.1%	3	-2871795.9873140436	300.41800988186003	0.071
0.1%	4	-2871463.9873140436	300.4093790797716	0.0734
0.1%	5	-2870288.9873140436	300.0954584841806	0.0747
0.1%	6	-2869775.9873140436	299.7101214949483	0.0756
0.1%	7	-2870783.9873140436	299.86130658148437	0.0762
0.2%	8	-2871985.9873140436	300.345811724805	0.0768
0.2%	9	-2872405.9873140436	300.7079158301277	0.0749
0.2%	10	-2871363.9873140436	300.48812467339326	0.0753
0.2%	11	-2870207.9873140436	299.91184003532027	0.0756
0.2%	12	-2870464.9873140436	299.75789858602633	0.0759
0.3%	13	-2871326.9873140436	300.10846017692455	0.0762
0.3%	14	-2871840.9873140436	300.44854498076194	0.0749
0.3%	15	-2871376.9873140436	300.5349726363585	0.0751
0.3%	16	-2870317.9873140436	300.10019006156074	0.0753
0.3%	17	-2870209.9873140436	299.8092397578711	0.0753
0.4%	18	-2870616.9873140436	299.86188905811446	0.0755
0.4%	19	-2870905.9873140436	300.03076381014716	0.0756
0.4%	20	-2870842.9873140436	300.0728636314437	0.0758
0.4%	21	-2870342.9873140436	299.9523773285557	0.076
0.4%	22	-2870284.9873140436	299.8630607100339	0.0761
0.5%	23	-2870647.9873140436	299.9314401171265	0.0763
0.5%	24	-2870927.9873140436	300.10099990537236	0.0756
0.5%	25	-2871320.9873140436	300.2690954395198	0.0757
0.5%	26	-2871205.9873140436	300.35963431157467	0.0758
0.5%	27	-2870893.9873140436	300.22478795369403	0.0758
0.6%	28	-2870845.9873140436	300.07247084501034	0.0759
0.6%	29	-2870791.9873140436	300.00619974229096	0.076
0.6%	30	-2871121.9873140436	300.043138277406	0.0761
0.6%	31	-2871482.9873140436	300.20415532840354	0.0761
0.6%	32	-2871606.9873140436	300.2325503523737	0.0762
0.7%	33	-2871960.9873140436	300.3153723806607	0.0763
0.7%	34	-2872268.9873140436	300.43759804259344	0.0764
0.7%	35	-2872543.9873140436	300.4925173230297	0.0759
0.7%	36	-2872521.9873140436	300.56417992681645	0.0759
0.7%	37	-2871895.9873140436	300.38264488481116	0.076
0.8%	38	-2871358.9873140436	300.1099248446597	0.076
0.8%	39	-2871045.9873140436	299.97626349119076	0.076
0.8%	40	-2870833.9873140436	299.8805340918681	0.0761
0.8%	41	-2870753.9873140436	299.8987692520096	0.0762
0.8%	42	-2870609.9873140436	299.7971450064737	0.0763
0.9%	43	-2870563.9873140436	299.77337025807793	0.0763
0.9%	44	-2870549.9873140436	299.7255038833529	0.076
0.9%	45	-2870409.9873140436	299.68641838057204	0.076
0.9%	46	-2870457.9873140436	299.65271395910736	0.0761
0.9%	47	-2870448.9873140436	299.6935614660065	0.0761
1.0%	48	-2870345.9873140436	299.65559800236593	0.0762
1.0%	49	-2870206.9873140436	299.60698394962816	0.0762
1.0%	50	-2869998.433978824	299.52984921716364	0.0763
1.0%	51	-2869808.433978824	299.4725099358329	0.0763
1.0%	52	-2869691.433978824	299.5097604890758	0.076
1.1%	53	-2869720.433978824	299.54652321005545	0.0761
1.1%	54	-2869876.433978824	299.6192680367438	0.0761
1.1%	55	-2869600.433978824	299.6593738517703	0.0761
1.1%	56	-2869065.433978824	299.46814615087845	0.0761
1.1%	57	-2868674.433978824	299.2497153446161	0.0762
1.2%	58	-2868814.433978824	299.1854259152545	0.0762
1.2%	59	-2869330.433978824	299.46880846434476	0.0763
1.2%	60	-2869420.433978824	299.6144164171994	0.0763
1.2%	61	-2868912.433978824	299.53372296267275	0.076
1.2%	62	-2868200.433978824	299.26716839454764	0.0761
1.3%	63	-2867872.433978824	299.0485944455629	0.0761
1.3%	64	-2868312.433978824	299.1445410267622	0.0761
1.3%	65	-2869086.433978824	299.42686347874496	0.0762
1.3%	66	-2869718.433978824	299.70226158293013	0.0762
1.3%	67	-2870032.433978824	299.9285904703373	0.0762
1.4%	68	-2869940.433978824	299.9477520548269	0.0763
1.4%	69	-2869778.433978824	299.88790206256306	0.0761
1.4%	70	-2869312.433978824	299.84619660210575	0.0761
1.4%	71	-2868781.433978824	299.5974651492863	0.0761
1.4%	72	-2868801.433978824	299.48857571484115	0.0761
1.5%	73	-2869283.433978824	299.6954449578481	0.0762
1.5%	74	-2869811.433978824	299.8798653053202	0.0762
1.5%	75	-2869718.433978824	299.8964985181073	0.0762
1.5%	76	-2869054.433978824	299.654415062671	0.0763
1.5%	77	-2868880.433978824	299.4975719996238	0.0763
1.6%	78	-2869386.433978824	299.48890376892575	0.0761
1.6%	79	-2870582.433978824	299.7950764378231	0.0761
1.6%	80	-2871581.433978824	300.2854275713835	0.0761
1.6%	81	-2871892.433978824	300.4993896784428	0.0762
1.6%	82	-2872016.433978824	300.5119272379797	0.0762
1.7%	83	-2871966.433978824	300.51243450291406	0.0762
1.7%	84	-2871546.433978824	300.38712017487865	0.0761
1.7%	85	-2870678.433978824	300.08397675712786	0.0761
1.7%	86	-2869601.433978824	299.6604072841984	0.0761
1.7%	87	-2869354.433978824	299.3512170337954	0.0762
1.8%	88	-2869841.433978824	299.4634054858639	0.0762
