#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	5	-2867186.165705394	300.49690783312946	0
0.0%	10	-2867118.165705394	300.3903804697165	0.396
0.0%	15	-2867220.165705394	300.21208835842424	0.354
0.0%	20	-2867981.165705394	300.55602947436006	0.365
0.1%	25	-2866372.165705394	299.9304298129299	0.372
0.1%	30	-2866535.165705394	299.8239287495422	0.374
0.1%	35	-2867218.165705394	299.79560948205494	0.379
0.1%	40	-2867036.165705394	299.87355383607695	0.381
0.1%	45	-2869748.165705394	300.85707476903735	0.372
0.1%	50	-2870412.165705394	301.08763353471056	0.374
0.1%	55	-2869378.165705394	300.4636877778916	0.375
0.1%	60	-2868688.165705394	300.10678389244543	0.378
0.1%	65	-2866669.165705394	299.5440221495665	0.38
0.1%	70	-2869906.165705394	300.88208280369366	0.374
0.1%	75	-2868673.165705394	299.9888339165213	0.375
0.2%	80	-2868471.165705394	299.96659151365225	0.376
0.2%	85	-2870071.165705394	300.62325446208854	0.377
0.2%	90	-2866807.165705394	299.478822238599	0.377
0.2%	95	-2869517.165705394	300.38277081346655	0.378
0.2%	100	-2867521.036892364	299.6449699954131	0.378
0.2%	105	-2869108.036892364	300.0953470515069	0.379
0.2%	110	-2870080.036892364	300.56406730544745	0.38
0.2%	115	-2866794.036892364	299.27749588871586	0.381
0.2%	120	-2868836.036892364	299.87129738877974	0.377
0.2%	125	-2868056.036892364	299.63404806883324	0.377
0.3%	130	-2871042.036892364	300.7587834361066	0.378
0.3%	135	-2868938.036892364	299.7517072844734	0.378
0.3%	140	-2868199.036892364	299.4581057609448	0.378
0.3%	145	-2868230.036892364	299.5225104420327	0.379
0.3%	150	-2867775.036892364	299.6110147890789	0.379
0.3%	155	-2868752.036892364	299.85008813857803	0.379
0.3%	160	-2868975.036892364	299.88565957962584	0.38
0.3%	165	-2869794.036892364	300.3442021703419	0.38
0.3%	170	-2869920.036892364	300.40710104485254	0.381
0.3%	175	-2866870.036892364	299.2973205484628	0.378
0.4%	180	-2868021.036892364	299.6942421663638	0.379
0.4%	185	-2866978.036892364	299.45806932843885	0.379
0.4%	190	-2865704.036892364	299.1293265211715	0.379
0.4%	195	-2865951.036892364	299.18737770028525	0.38
0.4%	200	-2866985.036892364	299.3059274890185	0.38
0.4%	205	-2867942.036892364	299.76925563990767	0.38
0.4%	210	-2867582.036892364	299.7229805996769	0.381
0.4%	215	-2867019.036892364	299.6106316217689	0.381
0.4%	220	-2865592.036892364	299.22657046317164	0.379
0.5%	225	-2868495.1638721246	300.33776717177983	0.379
0.5%	230	-2868388.1638721246	300.12196613213774	0.379
0.5%	235	-2867829.1638721246	299.56980400750695	0.379
0.5%	240	-2868032.1638721246	299.6656372169246	0.38
0.5%	245	-2868564.1638721246	299.8336276677217	0.38
0.5%	250	-2868026.1638721246	300.0373444675255	0.38
0.5%	255	-2869152.1638721246	300.5052230041741	0.38
0.5%	260	-2869026.1638721246	300.2850236387651	0.379
0.5%	265	-2869210.1638721246	300.3146435145325	0.379
0.5%	270	-2868722.1638721246	300.3245421649669	0.379
0.6%	275	-2867355.1638721246	299.9682726072829	0.38
0.6%	280	-2868242.1638721246	300.00311579299876	0.38
0.6%	285	-2871316.1638721246	301.20306232130577	0.38
0.6%	290	-2867774.1638721246	299.87474117908357	0.38
0.6%	295	-2867996.1638721246	300.1937609012073	0.38
0.6%	300	-2867750.1638721246	299.95057618069274	0.381
0.6%	305	-2868582.1638721246	300.24284386008617	0.379
0.6%	310	-2869711.1638721246	300.4034520083467	0.38
0.6%	315	-2871574.1638721246	300.91949551677686	0.38
0.6%	320	-2870892.1638721246	300.7012962657032	0.38
0.7%	325	-2870212.1638721246	300.274311085507	0.38
0.7%	330	-2868785.1638721246	299.9260127891153	0.38
0.7%	335	-2870090.1638721246	300.3929110070093	0.38
0.7%	340	-2869312.1638721246	300.2279500480174	0.381
0.7%	345	-2869402.1638721246	299.9866598750369	0.379
0.7%	350	-2870690.1638721246	300.2112854228426	0.38
0.7%	355	-2869284.1638721246	299.80333177234843	0.38
0.7%	360	-2871329.1638721246	300.73746248597087	0.38
0.7%	365	-2867418.1638721246	299.22970172627	0.38
0.7%	370	-2870232.1638721246	300.2959510118194	0.38
0.8%	375	-2869716.1638721246	299.7838302709694	0.38
0.8%	380	-2870854.1638721246	300.62147201474187	0.38
0.8%	385	-2870297.1638721246	300.2792182656369	0.381
0.8%	390	-2868658.1638721246	299.9745466629493	0.38
0.8%	395	-2870826.1638721246	300.74833942999993	0.38
0.8%	400	-2869198.1638721246	300.2381278336888	0.38
0.8%	405	-2869530.1638721246	300.29928031427215	0.38
0.8%	410	-2869703.1638721246	300.64535826802785	0.38
0.8%	415	-2869536.1638721246	300.41497242717105	0.381
0.8%	420	-2869231.1638721246	300.3319533321673	0.38
0.8%	425	-2870024.5546882767	300.33766522728547	0.38
0.9%	430	-2870124.5546882767	300.47610642592196	0.38
0.9%	435	-2869355.5546882767	300.2049544307817	0.38
0.9%	440	-2869311.5546882767	300.0170777460383	0.38
0.9%	445	-2870581.5546882767	300.4597742511449	0.379
0.9%	450	-2868553.5546882767	299.52964610591727	0.379
0.9%	455	-2869470.5546882767	300.07355549558025	0.379
0.9%	460	-2869316.5546882767	299.8446524192176	0.38
0.9%	465	-2870246.5546882767	300.3042133372002	0.38
0.9%	470	-2870050.5546882767	300.12552118592714	0.38
0.9%	475	-2870842.192933943	300.40450079600964	0.38
1.0%	480	-2870181.192933943	300.041012515332	0.38
1.0%	485	-2870461.192933943	300.0719466508772	0.38
1.0%	490	-2870728.192933943	300.1314185851688	0.38
1.0%	495	-2870882.192933943	300.3138965521498	0.38
