#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	50	-2865811.8511354923	300.53720182282166	0
0.0%	100	-2866138.9870408922	300.3145388553005	3.53
0.0%	150	-2865211.1083597336	300.0595417151992	3.17
0.0%	200	-2867769.4285259414	301.17897942822384	3.25
0.1%	250	-2866855.4285259414	300.9867871208055	3.29
0.1%	300	-2865417.4285259414	301.1944968023241	3.33
0.1%	350	-2865899.884537814	301.0748496077475	3.35
0.1%	400	-2865141.2866635807	300.50235366980905	3.37
0.1%	450	-2866882.1473652124	301.2495695375996	3.29
0.1%	500	-2865143.1926945243	300.7033758365312	3.31
0.1%	550	-2866941.1926945243	300.8853192531711	3.33
0.1%	600	-2866755.4695162755	300.61943953109505	3.34
0.1%	650	-2865309.4695162755	300.0348061617843	3.35
0.1%	700	-2865445.4695162755	299.8017307255244	3.31
0.1%	750	-2868577.4695162755	300.3786443456316	3.32
0.2%	800	-2867530.9820796065	300.25477123004123	3.32
0.2%	850	-2868511.6456206813	300.74822264790413	3.33
0.2%	900	-2869286.920373751	300.6317530684038	3.34
0.2%	950	-2866286.1287576314	299.57672407249447	3.34
0.2%	1000	-2868455.1993350964	300.2830912418557	3.35
0.2%	1050	-2867121.1993350964	299.69424208596655	3.36
0.2%	1100	-2869223.2707884014	300.6274521204383	3.36
0.2%	1150	-2869331.0594324507	301.05723419814444	3.37
0.2%	1200	-2867786.899927493	300.22004724362097	3.34
0.2%	1250	-2867847.2906072587	300.2496954116766	3.34
0.3%	1300	-2869614.791116258	300.7218452175982	3.34
0.3%	1350	-2867626.791116258	299.80913362208474	3.35
0.3%	1400	-2869273.496304048	300.3665540141768	3.35
0.3%	1450	-2869767.496304048	300.2322908285553	3.35
0.3%	1500	-2869565.496304048	299.68732659557844	3.35
0.3%	1550	-2869216.498878941	299.88534759950096	3.36
0.3%	1600	-2869365.935833456	300.2077368287116	3.36
