#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
21.2%	106	-2871049.5410304293	300.1138013913134	0.0772
21.4%	107	-2871297.5410304293	300.1094645604104	0.0772
21.6%	108	-2871483.5410304293	300.2300407400743	0.0773
21.8%	109	-2871370.5410304293	300.20949325039726	0.0773
22.0%	110	-2870923.5410304293	300.1877540580038	0.0772
22.2%	111	-2870503.5410304293	299.94520139687296	0.0772
22.4%	112	-2870608.5410304293	299.8401208323264	0.0772
22.6%	113	-2870929.5410304293	299.8629618684466	0.0772
22.8%	114	-2871223.5410304293	299.906400109936	0.0772
23.0%	115	-2871371.5410304293	299.9298919778829	0.0772
23.2%	116	-2871436.5410304293	299.9588917437318	0.0772
23.4%	117	-2871738.5410304293	300.00796269198287	0.0772
23.6%	118	-2872077.5410304293	300.12913902020745	0.0773
23.8%	119	-2872127.5410304293	300.18678165248974	0.0771
24.0%	120	-2871758.5410304293	300.05804575344104	0.0771
24.2%	121	-2871118.5410304293	299.7828777953669	0.0772
24.4%	122	-2871015.5410304293	299.6415081874632	0.0772
24.6%	123	-2871599.5410304293	299.77468177315137	0.0772
24.8%	124	-2872285.5410304293	300.01528658320376	0.0772
25.0%	125	-2872319.5410304293	300.09249972052595	0.0772
25.2%	126	-2871991.5410304293	299.9759372279584	0.0772
25.4%	127	-2871725.5410304293	299.8006641580289	0.0771
25.6%	128	-2871938.5410304293	299.84308462083203	0.0771
25.8%	129	-2872408.5410304293	299.98950805364433	0.0771
26.0%	130	-2872454.5410304293	300.0871724746967	0.0771
26.2%	131	-2871841.5410304293	299.9773390891292	0.0772
26.4%	132	-2871275.5410304293	299.7305378858064	0.0772
26.6%	133	-2871261.5410304293	299.538698295594	0.0772
26.8%	134	-2871958.5410304293	299.7454925291963	0.0772
27.0%	135	-2872445.5410304293	300.0936125742865	0.0772
27.2%	136	-2872254.5410304293	300.2412015614909	0.0771
27.4%	137	-2871607.5410304293	300.04317658241087	0.0771
27.6%	138	-2871097.5410304293	299.73475390589067	0.0772
27.8%	139	-2871361.5410304293	299.5816158187694	0.0772
28.0%	140	-2872393.5410304293	299.94907600032394	0.0772
28.2%	141	-2873187.5410304293	300.3406229076881	0.0772
28.4%	142	-2872992.5410304293	300.5088854418626	0.0772
28.6%	143	-2871649.5410304293	300.17249556586114	0.0772
28.8%	144	-2870370.5410304293	299.6196236203584	0.0771
29.0%	145	-2870073.5410304293	299.32298748949717	0.0771
29.2%	146	-2870689.5410304293	299.46007337053385	0.0771
29.4%	147	-2871475.5410304293	299.78796369365233	0.0771
29.6%	148	-2871727.5410304293	300.011507715805	0.0772
29.8%	149	-2871913.5410304293	300.0408884223347	0.0772
30.0%	150	-2872507.033562107	300.2376283535745	0.0772
30.2%	151	-2873055.033562107	300.47740828143435	0.0772
30.4%	152	-2873022.033562107	300.6597922060703	0.0772
30.6%	153	-2871817.033562107	300.4698627473198	0.0771
30.8%	154	-2870595.033562107	299.8895973207996	0.0771
31.0%	155	-2870443.033562107	299.50980099597666	0.0772
31.2%	156	-2871145.033562107	299.59640235151545	0.0772
31.4%	157	-2872181.033562107	299.9853707698228	0.0772
31.6%	158	-2872675.033562107	300.24175100726785	0.0772
31.8%	159	-2872661.033562107	300.363015582327	0.0771
32.0%	160	-2872649.033562107	300.3235827693466	0.0771
32.2%	161	-2872383.033562107	300.34119927659805	0.0772
32.4%	162	-2871897.033562107	300.1550283712223	0.0772
32.6%	163	-2871481.033562107	300.0037286478465	0.0772
32.8%	164	-2871360.033562107	299.9520701242081	0.0771
33.0%	165	-2871724.033562107	299.9473114415596	0.0771
33.2%	166	-2872089.033562107	300.15483128990684	0.0771
33.4%	167	-2872155.033562107	300.26412319954784	0.0771
33.6%	168	-2871929.033562107	300.2871986683823	0.0771
33.8%	169	-2871721.033562107	300.13838494951375	0.0771
34.0%	170	-2871647.033562107	300.07706818754264	0.0771
34.2%	171	-2871800.033562107	300.07714904920726	0.0771
34.4%	172	-2872349.033562107	300.17445945087707	0.0772
34.6%	173	-2873025.033562107	300.40612435778763	0.0772
34.8%	174	-2873618.033562107	300.71001205505075	0.0771
35.0%	175	-2873714.033562107	300.8329316973516	0.0771
35.2%	176	-2873005.033562107	300.67796348875305	0.0771
35.4%	177	-2872098.033562107	300.35403099109277	0.0771
35.6%	178	-2871367.033562107	300.0360895014771	0.0771
35.8%	179	-2871569.033562107	299.9212396598152	0.0771
36.0%	180	-2872380.033562107	300.2277547416994	0.0771
36.2%	181	-2872711.033562107	300.4438019144361	0.0771
36.4%	182	-2872561.033562107	300.40094056253577	0.0772
36.6%	183	-2872029.033562107	300.3721623120511	0.0772
36.8%	184	-2871467.033562107	300.15201338401295	0.0772
37.0%	185	-2871570.033562107	300.11972344883515	0.0771
37.2%	186	-2871441.033562107	300.13761426920684	0.0771
37.4%	187	-2871085.033562107	300.02643522831454	0.0771
37.6%	188	-2870461.033562107	299.8931151653377	0.0771
37.8%	189	-2870071.033562107	299.614940639543	0.0772
38.0%	190	-2871057.033562107	299.68765776417683	0.0772
38.2%	191	-2872441.033562107	300.26308228666153	0.0772
38.4%	192	-2872854.033562107	300.61539905686146	0.0772
38.6%	193	-2872319.033562107	300.5251742429653	0.0772
38.8%	194	-2871315.033562107	300.1620802816564	0.0771
39.0%	195	-2871124.033562107	299.87706616502555	0.0771
39.2%	196	-2871455.033562107	300.0025122868093	0.0771
39.4%	197	-2871490.033562107	299.98576696679856	0.0771
39.6%	198	-2871200.033562107	299.98170836235926	0.0771
