#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
0.0%	50	-2866818.7179653123	300.5656097776763	0
0.0%	100	-2868241.7179653123	300.945416555631	3.18
0.0%	150	-2866736.7179653123	300.39924240180085	5.68
0.0%	200	-2868067.2248097043	300.93505064745636	4.81
0.0%	250	-2867735.214835653	300.6843537745058	6.05
0.0%	300	-2867103.214835653	300.4108951443905	5.05
0.0%	350	-2868740.8447622117	300.5732486839457	5.82
0.0%	400	-2869035.8447622117	300.9833758968826	5.37
0.0%	450	-2867504.520194147	300.6233793602318	5.97
0.1%	500	-2867028.520194147	300.15129126877594	5.57
0.1%	550	-2866413.520194147	300.31369610783156	6.04
0.1%	600	-2865590.520194147	299.9320760006991	5.69
0.1%	650	-2869372.742357731	301.15848053130395	6.1
0.1%	700	-2867938.742357731	300.54157655707934	5.8
0.1%	750	-2867875.6583176833	300.53209417566535	6.14
0.1%	800	-2868179.601434661	300.63150699733774	5.88
0.1%	850	-2866548.016829159	300.55338113781806	6.18
0.1%	900	-2866775.4672922287	300.19471164800456	5.83
0.1%	950	-2868342.4672922287	300.39545607865233	6.09
0.1%	1000	-2866857.4672922287	299.8491605227341	5.87
0.1%	1050	-2869943.4672922287	300.69341971232546	6.11
0.1%	1100	-2868709.4672922287	301.0522478156486	5.91
0.1%	1150	-2865588.6819829997	300.25936572106485	6.12
0.1%	1200	-2866504.6819829997	300.5311140457828	5.95
0.1%	1250	-2866366.60519588	299.97870410147465	6.14
0.1%	1300	-2866636.9371890984	299.6682974111388	5.97
0.1%	1350	-2868031.9371890984	300.01177248131904	6.15
0.1%	1400	-2869675.9371890984	300.43633162719846	5.99
0.1%	1450	-2868341.9371890984	300.2540207796747	6.16
0.1%	1500	-2868208.4927266818	300.50731820543075	6.01
0.2%	1550	-2867247.4927266818	299.82296157404704	6.17
0.2%	1600	-2867328.9863446243	299.54885947367507	6.03
0.2%	1650	-2868848.9863446243	300.03681607414904	6.18
0.2%	1700	-2868645.2168529313	299.86206483033914	6.05
0.2%	1750	-2868198.216454802	299.76543356830115	6.19
0.2%	1800	-2867858.9514352456	299.64956978573315	6.07
0.2%	1850	-2868843.9514352456	300.41435864887046	6.2
0.2%	1900	-2867884.9514352456	300.3063244727853	6.09
0.2%	1950	-2865856.279825406	299.87804477013174	6.21
0.2%	2000	-2867307.790235957	300.44396368343087	6.11
0.2%	2050	-2867350.790235957	300.72532046999936	6.23
0.2%	2100	-2867219.082584657	300.913169886269	6.07
0.2%	2150	-2868113.8914149273	301.0936312698874	6.19
0.2%	2200	-2867405.934558606	301.5832735869119	6.09
0.2%	2250	-2866600.709083192	300.96466413748095	6.2
0.2%	2300	-2866273.709083192	300.50072363122536	6.1
0.2%	2350	-2865057.709083192	299.90423666583916	6.2
0.2%	2400	-2866290.709083192	300.4232118758977	6.11
0.2%	2450	-2866241.0233062394	300.26076416230325	6.21
0.2%	2500	-2865287.0233062394	299.7869090826056	6.13
0.3%	2550	-2866485.7479635775	299.9971100865696	6.22
0.3%	2600	-2866949.7479635775	299.6806660798752	6.14
0.3%	2650	-2868173.8974385336	300.84068596761114	6.23
0.3%	2700	-2866530.8974385336	300.83332331971343	6.15
0.3%	2750	-2867157.5006190594	300.769790608993	6.24
0.3%	2800	-2864847.4270717427	299.95423169290564	6.12
0.3%	2850	-2866524.4270717427	300.11800565605	6.21
0.3%	2900	-2867752.2881778665	301.0740961213549	6.13
0.3%	2950	-2865786.2881778665	300.0342400885524	6.21
0.3%	3000	-2868248.2881778665	300.8752654172702	6.14
0.3%	3050	-2867815.2881778665	300.62942264831634	6.22
0.3%	3100	-2865110.2881778665	300.1584581352947	6.14
0.3%	3150	-2866217.4369965065	300.47900066194734	6.22
0.3%	3200	-2866297.4369965065	300.614458022829	6.15
0.3%	3250	-2865416.4369965065	300.7320355700203	6.23
0.3%	3300	-2864387.2467227466	300.3709515357334	6.16
0.3%	3350	-2866030.2467227466	301.0309619278925	6.23
0.3%	3400	-2864023.97475658	300.35817883269584	6.14
0.3%	3450	-2866530.811863266	301.03157402967975	6.21
0.3%	3500	-2865780.7081280947	300.56943910412684	6.14
0.4%	3550	-2867329.880047815	301.0455816892277	6.21
0.4%	3600	-2865921.007522585	300.9688680881233	6.14
0.4%	3650	-2866343.007522585	301.17397820146493	6.21
0.4%	3700	-2866401.007522585	300.89942557923496	6.15
0.4%	3750	-2865639.007522585	300.7159545958678	6.21
0.4%	3800	-2867044.0411099363	300.46189985258883	6.16
0.4%	3850	-2866579.765747305	300.72392560014487	6.22
0.4%	3900	-2866214.1706715245	300.4441467768558	6.16
0.4%	3950	-2866946.1706715245	301.02731132571375	6.22
0.4%	4000	-2864826.1706715245	300.8346331510556	6.17
0.4%	4050	-2864758.3047791924	300.60013548424564	6.23
0.4%	4100	-2866725.3047791924	301.29214754913045	6.17
0.4%	4150	-2865480.5788978413	300.65222402892664	6.23
0.4%	4200	-2864289.5788978413	300.34698275374257	6.18
0.4%	4250	-2866370.329566827	300.89199106270985	6.23
0.4%	4300	-2867013.9448378105	301.2731850179497	6.18
0.4%	4350	-2865393.0814949833	300.1391550838373	6.24
0.4%	4400	-2865183.0814949833	300.55561722998317	6.19
0.4%	4450	-2865499.352000946	300.4085491492746	6.24
