cpu-bind=MASK - bp1-compute068, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 38.513663 secs
Exciton, frame 1129 ran in:  12.134615421295166
Exciton, frame 1130 ran in:  12.439544916152954
Exciton, frame 1131 ran in:  12.149768114089966
Exciton, frame 1132 ran in:  12.146886348724365
Exciton, frame 1133 ran in:  11.975146055221558
Exciton, frame 1134 ran in:  12.044503927230835
Exciton, frame 1135 ran in:  12.063769340515137
Exciton, frame 1136 ran in:  12.00130033493042
Exciton, frame 1137 ran in:  12.452754735946655
Exciton, frame 1138 ran in:  12.565133810043335
Exciton, frame 1139 ran in:  12.430281400680542
Exciton, frame 1140 ran in:  12.007022380828857
Exciton, frame 1141 ran in:  12.109070539474487
Exciton, frame 1142 ran in:  11.98435926437378
Exciton, frame 1143 ran in:  11.942246913909912
Exciton, frame 1144 ran in:  12.241291284561157
Exciton, frame 1145 ran in:  12.070756673812866
Exciton, frame 1146 ran in:  12.41295838356018
Exciton, frame 1147 ran in:  12.285484790802002
Exciton, frame 1148 ran in:  12.45128345489502
Exciton, frame 1149 ran in:  12.202296257019043
Exciton, frame 1150 ran in:  12.342175960540771
Exciton, frame 1151 ran in:  12.392984867095947
Exciton, frame 1152 ran in:  12.352837085723877
Exciton, frame 1153 ran in:  12.357632637023926
Exciton, frame 1154 ran in:  11.881886959075928
Exciton, frame 1155 ran in:  12.238359689712524
Exciton, frame 1156 ran in:  11.932873487472534
Exciton, frame 1157 ran in:  12.166091203689575
Exciton, frame 1158 ran in:  12.471077680587769
Exciton, frame 1159 ran in:  12.208674669265747
Exciton, frame 1160 ran in:  12.180262804031372
Exciton, frame 1161 ran in:  11.82086443901062
Exciton, frame 1162 ran in:  12.139287948608398
Exciton, frame 1163 ran in:  12.015347719192505
Exciton, frame 1164 ran in:  12.327226400375366
Exciton, frame 1165 ran in:  12.300178050994873
Exciton, frame 1166 ran in:  12.019804239273071
Exciton, frame 1167 ran in:  11.92134690284729
Exciton, frame 1168 ran in:  11.951582908630371
Exciton, frame 1169 ran in:  12.027461051940918
Exciton, frame 1170 ran in:  12.451772689819336
Exciton, frame 1171 ran in:  12.010451793670654
Exciton, frame 1172 ran in:  12.05660343170166
Exciton, frame 1173 ran in:  11.814544677734375
Exciton, frame 1174 ran in:  12.039012908935547
Exciton, frame 1175 ran in:  11.840065479278564
Exciton, frame 1176 ran in:  12.335602760314941
Exciton, frame 1177 ran in:  12.025426149368286
Exciton, frame 1178 ran in:  12.327333688735962
Exciton, frame 1179 ran in:  11.935794353485107
Exciton, frame 1180 ran in:  12.062058448791504
Exciton, frame 1181 ran in:  12.02449893951416
Exciton, frame 1182 ran in:  12.655910968780518
Exciton, frame 1183 ran in:  12.18678903579712
Exciton, frame 1184 ran in:  12.157865524291992
Exciton, frame 1185 ran in:  12.508779764175415
Exciton, frame 1186 ran in:  11.809793472290039
Exciton, frame 1187 ran in:  12.367729663848877
Exciton, frame 1188 ran in:  12.127921342849731
Exciton, frame 1189 ran in:  12.496058225631714
Exciton, frame 1190 ran in:  12.209433555603027
Exciton, frame 1191 ran in:  12.174538612365723
Exciton, frame 1192 ran in:  12.187392234802246
Exciton, frame 1193 ran in:  12.285384178161621
Exciton, frame 1194 ran in:  12.323567628860474
Exciton, frame 1195 ran in:  11.994417905807495
Exciton, frame 1196 ran in:  12.259144306182861
Exciton, frame 1197 ran in:  12.237658739089966
Exciton, frame 1198 ran in:  11.632853031158447
Exciton, frame 1199 ran in:  12.245445728302002
Exciton, frame 1200 ran in:  11.663019180297852
Exciton, frame 1201 ran in:  11.925145864486694
Exciton, frame 1202 ran in:  12.280240297317505
Exciton, frame 1203 ran in:  12.151504755020142
Exciton, frame 1204 ran in:  11.818075895309448
Exciton, frame 1205 ran in:  12.441991329193115
Exciton, frame 1206 ran in:  12.085038900375366
Exciton, frame 1207 ran in:  12.020590782165527
Exciton, frame 1208 ran in:  12.545600652694702
Exciton, frame 1209 ran in:  11.983890533447266
Exciton, frame 1210 ran in:  12.235345125198364
Exciton, frame 1211 ran in:  12.061946392059326
Exciton, frame 1212 ran in:  11.983383655548096
Exciton, frame 1213 ran in:  12.18000054359436
Exciton, frame 1214 ran in:  12.023937940597534
Exciton, frame 1215 ran in:  12.00736117362976
Exciton, frame 1216 ran in:  12.430415153503418
Exciton, frame 1217 ran in:  11.971069574356079
Exciton, frame 1218 ran in:  12.463990211486816
Exciton, frame 1219 ran in:  12.11062502861023
Exciton, frame 1220 ran in:  12.426966428756714
Exciton, frame 1221 ran in:  12.306061506271362
Exciton, frame 1222 ran in:  12.279623985290527
Exciton, frame 1223 ran in:  12.475765466690063
Exciton, frame 1224 ran in:  12.529529094696045
Exciton, frame 1225 ran in:  12.588945150375366
Exciton, frame 1226 ran in:  12.548932313919067
Exciton, frame 1227 ran in:  12.306254148483276
Exciton, frame 1228 ran in:  12.335486888885498
Exciton, frame 1229 ran in:  12.299811363220215
Exciton, frame 1230 ran in:  12.03428339958191
Exciton, frame 1231 ran in:  12.289620399475098
Exciton, frame 1232 ran in:  12.133968353271484
Exciton, frame 1233 ran in:  12.012901544570923
Exciton, frame 1234 ran in:  12.226356744766235
Exciton, frame 1235 ran in:  12.050018310546875
Exciton, frame 1236 ran in:  11.968935012817383
Exciton, frame 1237 ran in:  11.701010704040527
Exciton, frame 1238 ran in:  12.412487506866455
Exciton, frame 1239 ran in:  12.161780595779419
Exciton, frame 1240 ran in:  12.121588706970215
Exciton, frame 1241 ran in:  12.004363298416138
Exciton, frame 1242 ran in:  11.919783353805542
Exciton, frame 1243 ran in:  11.929484367370605
Exciton, frame 1244 ran in:  12.144885540008545
Exciton, frame 1245 ran in:  12.382714033126831
Exciton, frame 1246 ran in:  12.619582891464233
Exciton, frame 1247 ran in:  12.090229272842407
Exciton, frame 1248 ran in:  12.14805793762207
Exciton, frame 1249 ran in:  12.112290859222412
Exciton, frame 1250 ran in:  12.38837194442749
Exciton, frame 1251 ran in:  12.206663608551025
Exciton, frame 1252 ran in:  12.314447164535522
Exciton, frame 1253 ran in:  12.366447448730469
Exciton, frame 1254 ran in:  12.248914241790771
Exciton, frame 1255 ran in:  12.828419923782349
Exciton, frame 1256 ran in:  12.308637857437134
Exciton, frame 1257 ran in:  12.185584306716919
Exciton, frame 1258 ran in:  12.433575630187988
Exciton, frame 1259 ran in:  12.38804292678833
Exciton, frame 1260 ran in:  12.081684350967407
Exciton, frame 1261 ran in:  11.789254903793335
Exciton, frame 1262 ran in:  12.101377010345459
Exciton, frame 1263 ran in:  12.274081468582153
Exciton, frame 1264 ran in:  12.016490697860718
Exciton, frame 1265 ran in:  12.149563312530518
Exciton, frame 1266 ran in:  12.016409158706665
Exciton, frame 1267 ran in:  11.949869871139526
Exciton, frame 1268 ran in:  12.03095817565918
Exciton, frame 1269 ran in:  12.155754566192627
Exciton, frame 1270 ran in:  12.104193925857544
Exciton, frame 1271 ran in:  11.795524597167969
Exciton, frame 1272 ran in:  12.205704689025879
Exciton, frame 1273 ran in:  12.345998525619507
Exciton, frame 1274 ran in:  12.20344877243042
Exciton, frame 1275 ran in:  12.493832349777222
Exciton, frame 1276 ran in:  12.667369604110718
Exciton, frame 1277 ran in:  12.018393278121948
Exciton, frame 1278 ran in:  11.862082481384277
Exciton, frame 1279 ran in:  12.15743350982666
Exciton, frame 1280 ran in:  12.082094192504883
Exciton, frame 1281 ran in:  12.390244722366333
Exciton, frame 1282 ran in:  12.15949296951294
Exciton, frame 1283 ran in:  12.05171537399292
Exciton, frame 1284 ran in:  12.01547360420227
Exciton, frame 1285 ran in:  12.247436285018921
Exciton, frame 1286 ran in:  12.232925415039062
Exciton, frame 1287 ran in:  11.871848106384277
Exciton, frame 1288 ran in:  12.309024095535278
Exciton, frame 1289 ran in:  11.805065155029297
Exciton, frame 1290 ran in:  11.991772174835205
Exciton, frame 1291 ran in:  12.311803579330444
Exciton, frame 1292 ran in:  12.213843822479248
Exciton, frame 1293 ran in:  12.48897123336792
Exciton, frame 1294 ran in:  12.169119834899902
Exciton, frame 1295 ran in:  12.25468134880066
Exciton, frame 1296 ran in:  12.07490587234497
Exciton, frame 1297 ran in:  12.306757688522339
Exciton, frame 1298 ran in:  12.073051691055298
Exciton, frame 1299 ran in:  12.480127334594727
Exciton, frame 1300 ran in:  12.210292339324951
Exciton, frame 1301 ran in:  12.502687692642212
Exciton, frame 1302 ran in:  12.179955244064331
Exciton, frame 1303 ran in:  12.625578165054321
Exciton, frame 1304 ran in:  12.361820697784424
Exciton, frame 1305 ran in:  12.238032341003418
Exciton, frame 1306 ran in:  12.048899173736572
Exciton, frame 1307 ran in:  12.75589632987976
