cpu-bind=MASK - bp1-compute130, task 4294967295 4294967295 [0]: mask 0x3bfdff003bfdff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 43.442608 secs
Exciton, frame 8129 ran in:  12.614622354507446
Exciton, frame 8130 ran in:  12.538618803024292
Exciton, frame 8131 ran in:  12.551205158233643
Exciton, frame 8132 ran in:  14.636720657348633
Exciton, frame 8133 ran in:  14.276897668838501
Exciton, frame 8134 ran in:  12.306876182556152
Exciton, frame 8135 ran in:  13.054160356521606
Exciton, frame 8136 ran in:  14.12043046951294
Exciton, frame 8137 ran in:  12.398104667663574
Exciton, frame 8138 ran in:  12.792230367660522
Exciton, frame 8139 ran in:  12.79831314086914
Exciton, frame 8140 ran in:  12.824182987213135
Exciton, frame 8141 ran in:  12.692752361297607
Exciton, frame 8142 ran in:  12.458728313446045
Exciton, frame 8143 ran in:  12.5572509765625
Exciton, frame 8144 ran in:  12.557548761367798
Exciton, frame 8145 ran in:  13.898110389709473
Exciton, frame 8146 ran in:  12.878072023391724
Exciton, frame 8147 ran in:  12.98499870300293
Exciton, frame 8148 ran in:  13.144126176834106
Exciton, frame 8149 ran in:  14.22272276878357
Exciton, frame 8150 ran in:  13.268640041351318
Exciton, frame 8151 ran in:  12.257903575897217
Exciton, frame 8152 ran in:  12.767019271850586
Exciton, frame 8153 ran in:  12.642739057540894
Exciton, frame 8154 ran in:  13.878847360610962
Exciton, frame 8155 ran in:  13.489959001541138
Exciton, frame 8156 ran in:  13.536082029342651
Exciton, frame 8157 ran in:  12.820050239562988
Exciton, frame 8158 ran in:  12.582568645477295
Exciton, frame 8159 ran in:  13.093941688537598
Exciton, frame 8160 ran in:  12.704078197479248
Exciton, frame 8161 ran in:  14.338657855987549
Exciton, frame 8162 ran in:  12.658604621887207
Exciton, frame 8163 ran in:  12.607695817947388
Exciton, frame 8164 ran in:  12.431082248687744
Exciton, frame 8165 ran in:  12.90185022354126
Exciton, frame 8166 ran in:  12.500086069107056
Exciton, frame 8167 ran in:  12.354074716567993
Exciton, frame 8168 ran in:  12.309153318405151
Exciton, frame 8169 ran in:  12.708603620529175
Exciton, frame 8170 ran in:  12.822663068771362
Exciton, frame 8171 ran in:  12.482579708099365
Exciton, frame 8172 ran in:  12.5122971534729
Exciton, frame 8173 ran in:  12.270808458328247
Exciton, frame 8174 ran in:  13.044660568237305
