cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xd6dba6b6d6dba6b6 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 84.837916 secs
Exciton, frame 134 ran in:  13.877525806427002
Exciton, frame 135 ran in:  13.64855694770813
Exciton, frame 136 ran in:  13.64523196220398
Exciton, frame 137 ran in:  14.00422215461731
Exciton, frame 138 ran in:  14.182922840118408
Exciton, frame 139 ran in:  13.700587034225464
Exciton, frame 140 ran in:  13.720855712890625
Exciton, frame 141 ran in:  14.038165807723999
Exciton, frame 142 ran in:  13.99153757095337
Exciton, frame 143 ran in:  14.014673233032227
Exciton, frame 144 ran in:  13.690155982971191
Exciton, frame 145 ran in:  13.87077784538269
Exciton, frame 146 ran in:  13.760058641433716
Exciton, frame 147 ran in:  14.176129817962646
Exciton, frame 148 ran in:  14.0193932056427
Exciton, frame 149 ran in:  14.012017965316772
Exciton, frame 150 ran in:  13.87387728691101
Exciton, frame 151 ran in:  13.576072216033936
Exciton, frame 152 ran in:  13.830766201019287
Exciton, frame 153 ran in:  13.978670835494995
Exciton, frame 154 ran in:  13.945412874221802
Exciton, frame 155 ran in:  13.779119968414307
Exciton, frame 156 ran in:  13.946065425872803
Exciton, frame 157 ran in:  13.564655303955078
Exciton, frame 158 ran in:  13.528674840927124
Exciton, frame 159 ran in:  13.769942998886108
Exciton, frame 160 ran in:  13.504345178604126
Exciton, frame 161 ran in:  14.024275302886963
Exciton, frame 162 ran in:  13.660901546478271
Exciton, frame 163 ran in:  13.66691255569458
Exciton, frame 164 ran in:  13.793255090713501
Exciton, frame 165 ran in:  13.69710087776184
Exciton, frame 166 ran in:  13.936972618103027
Exciton, frame 167 ran in:  13.653684377670288
Exciton, frame 168 ran in:  13.759512901306152
Exciton, frame 169 ran in:  13.835887432098389
Exciton, frame 170 ran in:  13.645132303237915
Exciton, frame 171 ran in:  13.70314621925354
Exciton, frame 172 ran in:  13.734885454177856
Exciton, frame 173 ran in:  13.852447986602783
Exciton, frame 174 ran in:  13.80074143409729
Exciton, frame 175 ran in:  13.682406425476074
Exciton, frame 176 ran in:  13.722156047821045
Exciton, frame 177 ran in:  13.767921447753906
Exciton, frame 178 ran in:  13.629950761795044
Exciton, frame 179 ran in:  13.837171077728271
Exciton, frame 180 ran in:  13.557090282440186
Exciton, frame 181 ran in:  13.896539211273193
Exciton, frame 182 ran in:  13.814126014709473
Exciton, frame 183 ran in:  13.61203145980835
Exciton, frame 184 ran in:  13.87354040145874
Exciton, frame 185 ran in:  13.912585735321045
Exciton, frame 186 ran in:  13.577110290527344
Exciton, frame 187 ran in:  14.20896601676941
Exciton, frame 188 ran in:  13.600531339645386
Exciton, frame 189 ran in:  13.88756537437439
Exciton, frame 190 ran in:  13.57017731666565
Exciton, frame 191 ran in:  13.828818559646606
Exciton, frame 192 ran in:  13.580012559890747
Exciton, frame 193 ran in:  13.66108751296997
Exciton, frame 194 ran in:  13.641781330108643
Exciton, frame 195 ran in:  13.717068433761597
Exciton, frame 196 ran in:  13.493539094924927
Exciton, frame 197 ran in:  13.747644901275635
Exciton, frame 198 ran in:  14.103984117507935
Exciton, frame 199 ran in:  13.86851978302002
Exciton, frame 200 ran in:  13.773892641067505
Exciton, frame 201 ran in:  13.919595003128052
Exciton, frame 202 ran in:  13.750383853912354
Exciton, frame 203 ran in:  13.871453762054443
Exciton, frame 204 ran in:  13.758267641067505
Exciton, frame 205 ran in:  13.811453104019165
Exciton, frame 206 ran in:  13.588942766189575
Exciton, frame 207 ran in:  14.251311302185059
