cpu-bind=MASK - bp1-compute157, task 4294967295 4294967295 [0]: mask 0x1fbf6dd01fbf6dd set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 21.669063 secs
Exciton, frame 4129 ran in:  13.995174169540405
Exciton, frame 4130 ran in:  13.868425607681274
Exciton, frame 4131 ran in:  13.92512583732605
Exciton, frame 4132 ran in:  14.033404111862183
Exciton, frame 4133 ran in:  14.036129474639893
Exciton, frame 4134 ran in:  14.041343927383423
Exciton, frame 4135 ran in:  13.930184364318848
Exciton, frame 4136 ran in:  13.962186336517334
Exciton, frame 4137 ran in:  13.897036790847778
Exciton, frame 4138 ran in:  13.52688717842102
Exciton, frame 4139 ran in:  13.15754771232605
Exciton, frame 4140 ran in:  13.961260557174683
Exciton, frame 4141 ran in:  13.983918905258179
Exciton, frame 4142 ran in:  13.99367904663086
Exciton, frame 4143 ran in:  13.996477603912354
Exciton, frame 4144 ran in:  13.753960847854614
Exciton, frame 4145 ran in:  14.031736373901367
Exciton, frame 4146 ran in:  13.95989990234375
Exciton, frame 4147 ran in:  13.986657619476318
Exciton, frame 4148 ran in:  14.04322600364685
Exciton, frame 4149 ran in:  13.79034423828125
Exciton, frame 4150 ran in:  13.809118032455444
Exciton, frame 4151 ran in:  14.061940908432007
Exciton, frame 4152 ran in:  13.773874998092651
Exciton, frame 4153 ran in:  14.118135929107666
Exciton, frame 4154 ran in:  13.94977879524231
Exciton, frame 4155 ran in:  13.838143825531006
Exciton, frame 4156 ran in:  13.992762565612793
Exciton, frame 4157 ran in:  13.343426942825317
Exciton, frame 4158 ran in:  13.591645956039429
Exciton, frame 4159 ran in:  13.536484956741333
Exciton, frame 4160 ran in:  14.136396884918213
Exciton, frame 4161 ran in:  13.974403619766235
Exciton, frame 4162 ran in:  13.523127794265747
Exciton, frame 4163 ran in:  13.704414367675781
Exciton, frame 4164 ran in:  13.930847883224487
Exciton, frame 4165 ran in:  13.578603982925415
Exciton, frame 4166 ran in:  13.458966970443726
Exciton, frame 4167 ran in:  13.58944034576416
Exciton, frame 4168 ran in:  14.166038036346436
Exciton, frame 4169 ran in:  13.879528999328613
Exciton, frame 4170 ran in:  14.07346248626709
Exciton, frame 4171 ran in:  13.877380132675171
Exciton, frame 4172 ran in:  14.124793529510498
Exciton, frame 4173 ran in:  13.97306513786316
Exciton, frame 4174 ran in:  13.938455581665039
Exciton, frame 4175 ran in:  14.011789798736572
Exciton, frame 4176 ran in:  13.975315809249878
