cpu-bind=MASK - bp1-compute129, task 4294967295 4294967295 [0]: mask 0x7ffbbb007ffbbb set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 75.113663 secs
Exciton, frame 3129 ran in:  14.008278846740723
Exciton, frame 3130 ran in:  13.589850902557373
Exciton, frame 3131 ran in:  13.610962152481079
Exciton, frame 3132 ran in:  13.508673667907715
Exciton, frame 3133 ran in:  13.406501054763794
Exciton, frame 3134 ran in:  13.32281231880188
Exciton, frame 3135 ran in:  13.356789588928223
Exciton, frame 3136 ran in:  13.914022207260132
Exciton, frame 3137 ran in:  13.425631523132324
Exciton, frame 3138 ran in:  13.52250075340271
Exciton, frame 3139 ran in:  13.579435586929321
Exciton, frame 3140 ran in:  13.630887746810913
Exciton, frame 3141 ran in:  13.91805100440979
Exciton, frame 3142 ran in:  13.619119882583618
Exciton, frame 3143 ran in:  13.791606187820435
Exciton, frame 3144 ran in:  13.64605188369751
Exciton, frame 3145 ran in:  13.674508094787598
Exciton, frame 3146 ran in:  13.774515151977539
Exciton, frame 3147 ran in:  13.433112621307373
Exciton, frame 3148 ran in:  13.492448806762695
Exciton, frame 3149 ran in:  13.530229330062866
Exciton, frame 3150 ran in:  13.332757472991943
Exciton, frame 3151 ran in:  13.507970333099365
Exciton, frame 3152 ran in:  13.740390062332153
Exciton, frame 3153 ran in:  13.706998586654663
Exciton, frame 3154 ran in:  13.710025548934937
Exciton, frame 3155 ran in:  13.23846173286438
Exciton, frame 3156 ran in:  13.462970495223999
Exciton, frame 3157 ran in:  13.450456857681274
Exciton, frame 3158 ran in:  13.651100635528564
Exciton, frame 3159 ran in:  13.34102487564087
Exciton, frame 3160 ran in:  13.33328127861023
Exciton, frame 3161 ran in:  13.617343425750732
Exciton, frame 3162 ran in:  13.52800440788269
Exciton, frame 3163 ran in:  13.750765562057495
Exciton, frame 3164 ran in:  13.906448602676392
Exciton, frame 3165 ran in:  14.17116379737854
Exciton, frame 3166 ran in:  13.532789707183838
Exciton, frame 3167 ran in:  14.035790205001831
Exciton, frame 3168 ran in:  13.948357582092285
Exciton, frame 3169 ran in:  13.911908388137817
Exciton, frame 3170 ran in:  13.46252179145813
Exciton, frame 3171 ran in:  13.598161220550537
Exciton, frame 3172 ran in:  13.720857858657837
Exciton, frame 3173 ran in:  13.678162336349487
Exciton, frame 3174 ran in:  13.694916725158691
Exciton, frame 3175 ran in:  13.3133385181427
Exciton, frame 3176 ran in:  13.366685628890991
Exciton, frame 3177 ran in:  13.59674620628357
Exciton, frame 3178 ran in:  13.5869722366333
Exciton, frame 3179 ran in:  13.342984676361084
Exciton, frame 3180 ran in:  13.62652325630188
Exciton, frame 3181 ran in:  13.540674448013306
Exciton, frame 3182 ran in:  13.440863132476807
Exciton, frame 3183 ran in:  13.627554416656494
Exciton, frame 3184 ran in:  13.39728331565857
Exciton, frame 3185 ran in:  13.680148839950562
Exciton, frame 3186 ran in:  13.82320785522461
Exciton, frame 3187 ran in:  13.42677116394043
Exciton, frame 3188 ran in:  13.857180118560791
Exciton, frame 3189 ran in:  13.870349645614624
Exciton, frame 3190 ran in:  13.24204158782959
Exciton, frame 3191 ran in:  14.104587078094482
Exciton, frame 3192 ran in:  13.661821365356445
Exciton, frame 3193 ran in:  13.729569435119629
Exciton, frame 3194 ran in:  13.256523132324219
Exciton, frame 3195 ran in:  13.432567596435547
Exciton, frame 3196 ran in:  13.824837446212769
Exciton, frame 3197 ran in:  13.954477310180664
Exciton, frame 3198 ran in:  13.171119451522827
Exciton, frame 3199 ran in:  13.631794929504395
Exciton, frame 3200 ran in:  13.672773361206055
Exciton, frame 3201 ran in:  13.686919927597046
Exciton, frame 3202 ran in:  13.790947198867798
Exciton, frame 3203 ran in:  13.48318099975586
Exciton, frame 3204 ran in:  13.453701496124268
Exciton, frame 3205 ran in:  14.2115318775177
Exciton, frame 3206 ran in:  13.767330169677734
Exciton, frame 3207 ran in:  13.533676862716675
Exciton, frame 3208 ran in:  13.483551263809204
Exciton, frame 3209 ran in:  13.459286451339722
Exciton, frame 3210 ran in:  13.596626996994019
Exciton, frame 3211 ran in:  13.347790956497192
Exciton, frame 3212 ran in:  13.876315116882324
Exciton, frame 3213 ran in:  13.624149322509766
Exciton, frame 3214 ran in:  13.523083686828613
Exciton, frame 3215 ran in:  13.901927947998047
Exciton, frame 3216 ran in:  13.458401918411255
Exciton, frame 3217 ran in:  13.491530895233154
Exciton, frame 3218 ran in:  13.392472743988037
Exciton, frame 3219 ran in:  13.475057125091553
Exciton, frame 3220 ran in:  13.557202577590942
Exciton, frame 3221 ran in:  13.869797945022583
Exciton, frame 3222 ran in:  13.535184860229492
Exciton, frame 3223 ran in:  13.9297194480896
Exciton, frame 3224 ran in:  13.518568515777588
Exciton, frame 3225 ran in:  13.63701605796814
Exciton, frame 3226 ran in:  13.307529211044312
Exciton, frame 3227 ran in:  13.542636156082153
Exciton, frame 3228 ran in:  13.408468008041382
Exciton, frame 3229 ran in:  13.921369552612305
Exciton, frame 3230 ran in:  14.026364803314209
Exciton, frame 3231 ran in:  13.390864133834839
Exciton, frame 3232 ran in:  13.280751705169678
Exciton, frame 3233 ran in:  13.804841041564941
Exciton, frame 3234 ran in:  13.642457008361816
Exciton, frame 3235 ran in:  13.831667423248291
Exciton, frame 3236 ran in:  13.47679352760315
Exciton, frame 3237 ran in:  13.491539001464844
Exciton, frame 3238 ran in:  13.550362586975098
Exciton, frame 3239 ran in:  13.969212770462036
Exciton, frame 3240 ran in:  13.695446252822876
Exciton, frame 3241 ran in:  13.703254461288452
Exciton, frame 3242 ran in:  13.329216241836548
Exciton, frame 3243 ran in:  13.489637851715088
Exciton, frame 3244 ran in:  13.501988172531128
Exciton, frame 3245 ran in:  13.443237066268921
Exciton, frame 3246 ran in:  13.853638172149658
Exciton, frame 3247 ran in:  13.837416172027588
Exciton, frame 3248 ran in:  13.777825593948364
Exciton, frame 3249 ran in:  13.68820333480835
Exciton, frame 3250 ran in:  13.527698278427124
Exciton, frame 3251 ran in:  13.482187747955322
Exciton, frame 3252 ran in:  13.71230435371399
Exciton, frame 3253 ran in:  13.636406421661377
Exciton, frame 3254 ran in:  13.650454998016357
Exciton, frame 3255 ran in:  13.532668352127075
Exciton, frame 3256 ran in:  13.584367990493774
Exciton, frame 3257 ran in:  13.878862380981445
Exciton, frame 3258 ran in:  13.335555791854858
Exciton, frame 3259 ran in:  13.545119285583496
Exciton, frame 3260 ran in:  13.472020626068115
Exciton, frame 3261 ran in:  13.647391080856323
Exciton, frame 3262 ran in:  13.556368350982666
Exciton, frame 3263 ran in:  14.131153583526611
Exciton, frame 3264 ran in:  13.273534774780273
Exciton, frame 3265 ran in:  13.446900367736816
Exciton, frame 3266 ran in:  13.593145847320557
Exciton, frame 3267 ran in:  13.637423515319824
Exciton, frame 3268 ran in:  13.286353588104248
Exciton, frame 3269 ran in:  13.90341329574585
Exciton, frame 3270 ran in:  13.633671283721924
Exciton, frame 3271 ran in:  13.705203294754028
Exciton, frame 3272 ran in:  13.220680475234985
Exciton, frame 3273 ran in:  13.787475109100342
Exciton, frame 3274 ran in:  13.782126188278198
Exciton, frame 3275 ran in:  13.696157217025757
Exciton, frame 3276 ran in:  13.714274406433105
Exciton, frame 3277 ran in:  13.393304824829102
Exciton, frame 3278 ran in:  13.574800252914429
Exciton, frame 3279 ran in:  13.254809617996216
Exciton, frame 3280 ran in:  14.084837436676025
Exciton, frame 3281 ran in:  14.118968486785889
Exciton, frame 3282 ran in:  14.026829957962036
Exciton, frame 3283 ran in:  13.740106582641602
Exciton, frame 3284 ran in:  13.599698781967163
Exciton, frame 3285 ran in:  13.537968397140503
Exciton, frame 3286 ran in:  14.093647956848145
Exciton, frame 3287 ran in:  13.631319522857666
Exciton, frame 3288 ran in:  13.68202829360962
Exciton, frame 3289 ran in:  13.558810949325562
Exciton, frame 3290 ran in:  14.160410642623901
Exciton, frame 3291 ran in:  13.53222370147705
Exciton, frame 3292 ran in:  13.962119579315186
Exciton, frame 3293 ran in:  13.511939287185669
Exciton, frame 3294 ran in:  13.357395887374878
Exciton, frame 3295 ran in:  13.559765338897705
Exciton, frame 3296 ran in:  13.403541088104248
Exciton, frame 3297 ran in:  13.908472776412964
Exciton, frame 3298 ran in:  13.459486246109009
Exciton, frame 3299 ran in:  13.428106784820557
Exciton, frame 3300 ran in:  13.70822024345398
Exciton, frame 3301 ran in:  13.040664434432983
Exciton, frame 3302 ran in:  13.565940141677856
Exciton, frame 3303 ran in:  13.348266124725342
Exciton, frame 3304 ran in:  13.773805379867554
Exciton, frame 3305 ran in:  13.746517181396484
Exciton, frame 3306 ran in:  13.945611953735352
Exciton, frame 3307 ran in:  14.11391305923462
Exciton, frame 3308 ran in:  13.44232702255249
Exciton, frame 3309 ran in:  13.39740800857544
Exciton, frame 3310 ran in:  13.621132612228394
Exciton, frame 3311 ran in:  13.80741286277771
