cpu-bind=MASK - bp1-compute178, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 67.885117 secs
Exciton, frame 3000 ran in:  15.045506477355957
Exciton, frame 3001 ran in:  13.505569458007812
Exciton, frame 3002 ran in:  12.761538743972778
Exciton, frame 3003 ran in:  10.447445631027222
Exciton, frame 3004 ran in:  10.561386823654175
Exciton, frame 3005 ran in:  10.879667282104492
Exciton, frame 3006 ran in:  11.62168025970459
Exciton, frame 3007 ran in:  11.36592411994934
Exciton, frame 3008 ran in:  14.37025237083435
Exciton, frame 3009 ran in:  10.47390103340149
Exciton, frame 3010 ran in:  10.825523138046265
Exciton, frame 3011 ran in:  10.640840291976929
Exciton, frame 3012 ran in:  10.595534801483154
Exciton, frame 3013 ran in:  10.667590856552124
Exciton, frame 3014 ran in:  11.118020296096802
Exciton, frame 3015 ran in:  10.467612504959106
Exciton, frame 3016 ran in:  10.610214233398438
Exciton, frame 3017 ran in:  12.223753213882446
Exciton, frame 3018 ran in:  10.405669689178467
Exciton, frame 3019 ran in:  10.241891860961914
Exciton, frame 3020 ran in:  10.791912317276001
Exciton, frame 3021 ran in:  10.253947734832764
Exciton, frame 3022 ran in:  10.54828667640686
Exciton, frame 3023 ran in:  13.849026203155518
Exciton, frame 3024 ran in:  11.49027156829834
Exciton, frame 3025 ran in:  11.436722993850708
Exciton, frame 3026 ran in:  10.622902393341064
Exciton, frame 3027 ran in:  10.496524810791016
Exciton, frame 3028 ran in:  10.463041067123413
Exciton, frame 3029 ran in:  10.57346773147583
Exciton, frame 3030 ran in:  10.318418025970459
Exciton, frame 3031 ran in:  10.789690494537354
Exciton, frame 3032 ran in:  10.812548637390137
Exciton, frame 3033 ran in:  12.54678988456726
Exciton, frame 3034 ran in:  10.545027256011963
Exciton, frame 3035 ran in:  10.598652839660645
Exciton, frame 3036 ran in:  10.696353435516357
Exciton, frame 3037 ran in:  10.076181888580322
Exciton, frame 3038 ran in:  10.161343812942505
Exciton, frame 3039 ran in:  10.964562177658081
