cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xfffff000000000000000000000000000fffff00 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 41.501223 secs
Exciton, frame 4000 ran in:  16.341034173965454
Exciton, frame 4001 ran in:  14.182034730911255
Exciton, frame 4002 ran in:  14.151165962219238
Exciton, frame 4003 ran in:  13.991227388381958
Exciton, frame 4004 ran in:  14.274572849273682
Exciton, frame 4005 ran in:  14.135843276977539
Exciton, frame 4006 ran in:  14.407480716705322
Exciton, frame 4007 ran in:  14.248142004013062
Exciton, frame 4008 ran in:  13.934994459152222
Exciton, frame 4009 ran in:  14.173925638198853
Exciton, frame 4010 ran in:  14.046034812927246
Exciton, frame 4011 ran in:  14.094601392745972
Exciton, frame 4012 ran in:  14.064746618270874
Exciton, frame 4013 ran in:  14.248539924621582
Exciton, frame 4014 ran in:  14.19415807723999
Exciton, frame 4015 ran in:  14.184574127197266
Exciton, frame 4016 ran in:  14.305865049362183
Exciton, frame 4017 ran in:  14.108505487442017
Exciton, frame 4018 ran in:  13.902056694030762
Exciton, frame 4019 ran in:  14.197778224945068
Exciton, frame 4020 ran in:  14.245565414428711
Exciton, frame 4021 ran in:  14.206412315368652
Exciton, frame 4022 ran in:  14.276859760284424
Exciton, frame 4023 ran in:  14.176866292953491
Exciton, frame 4024 ran in:  14.045016765594482
Exciton, frame 4025 ran in:  14.120035409927368
Exciton, frame 4026 ran in:  14.379458665847778
Exciton, frame 4027 ran in:  14.273709297180176
Exciton, frame 4028 ran in:  14.155970335006714
Exciton, frame 4029 ran in:  13.9671311378479
Exciton, frame 4030 ran in:  14.495728492736816
Exciton, frame 4031 ran in:  14.143804550170898
Exciton, frame 4032 ran in:  14.306882858276367
Exciton, frame 4033 ran in:  14.080754280090332
Exciton, frame 4034 ran in:  14.292901992797852
Exciton, frame 4035 ran in:  14.305326461791992
Exciton, frame 4036 ran in:  14.350455284118652
Exciton, frame 4037 ran in:  14.349193811416626
