cpu-bind=MASK - bp1-compute086, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 51.487985 secs
Exciton, frame 2000 ran in:  14.867674827575684
Exciton, frame 2001 ran in:  13.031324625015259
Exciton, frame 2002 ran in:  12.904778242111206
Exciton, frame 2003 ran in:  12.366267681121826
Exciton, frame 2004 ran in:  12.813191890716553
Exciton, frame 2005 ran in:  12.544813632965088
Exciton, frame 2006 ran in:  12.858413457870483
Exciton, frame 2007 ran in:  12.465747356414795
Exciton, frame 2008 ran in:  12.354594230651855
Exciton, frame 2009 ran in:  13.121219158172607
Exciton, frame 2010 ran in:  12.720581293106079
Exciton, frame 2011 ran in:  12.863996267318726
Exciton, frame 2012 ran in:  12.51938533782959
Exciton, frame 2013 ran in:  12.942592859268188
Exciton, frame 2014 ran in:  12.774564981460571
Exciton, frame 2015 ran in:  12.520853281021118
Exciton, frame 2016 ran in:  12.77090334892273
Exciton, frame 2017 ran in:  13.010215282440186
Exciton, frame 2018 ran in:  12.385162830352783
Exciton, frame 2019 ran in:  11.513027667999268
Exciton, frame 2020 ran in:  12.165941953659058
Exciton, frame 2021 ran in:  11.66034483909607
Exciton, frame 2022 ran in:  11.933472633361816
Exciton, frame 2023 ran in:  12.093104362487793
Exciton, frame 2024 ran in:  12.053330898284912
Exciton, frame 2025 ran in:  11.650888442993164
Exciton, frame 2026 ran in:  11.690030574798584
Exciton, frame 2027 ran in:  11.96983814239502
Exciton, frame 2028 ran in:  12.094387531280518
Exciton, frame 2029 ran in:  11.696525573730469
Exciton, frame 2030 ran in:  11.79832124710083
Exciton, frame 2031 ran in:  11.776274681091309
Exciton, frame 2032 ran in:  11.893566370010376
Exciton, frame 2033 ran in:  11.977184534072876
Exciton, frame 2034 ran in:  11.648106336593628
Exciton, frame 2035 ran in:  12.491715431213379
Exciton, frame 2036 ran in:  11.628199100494385
Exciton, frame 2037 ran in:  12.077688932418823
Exciton, frame 2038 ran in:  11.995433568954468
Exciton, frame 2039 ran in:  11.983025789260864
Exciton, frame 2040 ran in:  12.028322219848633
Exciton, frame 2041 ran in:  11.809165716171265
Exciton, frame 2042 ran in:  11.705195188522339
Exciton, frame 2043 ran in:  11.653780698776245
Exciton, frame 2044 ran in:  11.990918397903442
Exciton, frame 2045 ran in:  12.417697668075562
Exciton, frame 2046 ran in:  12.392573833465576
Exciton, frame 2047 ran in:  12.162135601043701
Exciton, frame 2048 ran in:  11.73194146156311
Exciton, frame 2049 ran in:  11.854704141616821
Exciton, frame 2050 ran in:  11.85116982460022
Exciton, frame 2051 ran in:  11.697116613388062
Exciton, frame 2052 ran in:  11.864460945129395
Exciton, frame 2053 ran in:  11.906438112258911
Exciton, frame 2054 ran in:  12.084616899490356
Exciton, frame 2055 ran in:  12.053563594818115
Exciton, frame 2056 ran in:  12.125945091247559
Exciton, frame 2057 ran in:  12.001793384552002
Exciton, frame 2058 ran in:  12.128485441207886
Exciton, frame 2059 ran in:  11.695465803146362
Exciton, frame 2060 ran in:  11.485882997512817
Exciton, frame 2061 ran in:  12.042163372039795
