cpu-bind=MASK - bp1-compute135, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.777590 secs
Exciton, frame 120000 ran in:  14.34564208984375
Exciton, frame 120001 ran in:  11.888222694396973
Exciton, frame 120002 ran in:  12.321977615356445
Exciton, frame 120003 ran in:  12.645883321762085
Exciton, frame 120004 ran in:  12.294734716415405
Exciton, frame 120005 ran in:  11.792054414749146
Exciton, frame 120006 ran in:  12.0548734664917
Exciton, frame 120007 ran in:  11.995639562606812
Exciton, frame 120008 ran in:  12.214133739471436
Exciton, frame 120009 ran in:  11.800546884536743
Exciton, frame 120010 ran in:  11.635966777801514
Exciton, frame 120011 ran in:  12.597224950790405
Exciton, frame 120012 ran in:  11.945278882980347
Exciton, frame 120013 ran in:  11.853797674179077
Exciton, frame 120014 ran in:  11.640902996063232
Exciton, frame 120015 ran in:  11.856666803359985
Exciton, frame 120016 ran in:  12.181768655776978
Exciton, frame 120017 ran in:  12.174318075180054
Exciton, frame 120018 ran in:  11.98357605934143
Exciton, frame 120019 ran in:  12.007389307022095
Exciton, frame 120020 ran in:  12.778793096542358
Exciton, frame 120021 ran in:  11.937132835388184
Exciton, frame 120022 ran in:  11.93508768081665
Exciton, frame 120023 ran in:  11.92309856414795
Exciton, frame 120024 ran in:  11.918972730636597
Exciton, frame 120025 ran in:  11.876999378204346
Exciton, frame 120026 ran in:  12.020610570907593
Exciton, frame 120027 ran in:  12.011510848999023
Exciton, frame 120028 ran in:  11.94918441772461
Exciton, frame 120029 ran in:  11.812028169631958
Exciton, frame 120030 ran in:  11.9303879737854
Exciton, frame 120031 ran in:  12.083479404449463
Exciton, frame 120032 ran in:  11.853583335876465
Exciton, frame 120033 ran in:  11.744337320327759
Exciton, frame 120034 ran in:  12.296895742416382
Exciton, frame 120035 ran in:  11.929023742675781
Exciton, frame 120036 ran in:  11.996541023254395
Exciton, frame 120037 ran in:  11.692120552062988
Exciton, frame 120038 ran in:  12.11010479927063
Exciton, frame 120039 ran in:  11.577898979187012
Exciton, frame 120040 ran in:  11.873014450073242
Exciton, frame 120041 ran in:  12.3565092086792
Exciton, frame 120042 ran in:  12.00937271118164
Exciton, frame 120043 ran in:  11.76420783996582
Exciton, frame 120044 ran in:  11.619702816009521
Exciton, frame 120045 ran in:  11.727219820022583
Exciton, frame 120046 ran in:  11.904438018798828
Exciton, frame 120047 ran in:  11.861283779144287
Exciton, frame 120048 ran in:  11.930551528930664
Exciton, frame 120049 ran in:  12.099401950836182
Exciton, frame 120050 ran in:  11.988234043121338
Exciton, frame 120051 ran in:  11.825005292892456
Exciton, frame 120052 ran in:  12.099281549453735
Exciton, frame 120053 ran in:  12.09203052520752
Exciton, frame 120054 ran in:  11.755070209503174
Exciton, frame 120055 ran in:  12.675331115722656
Exciton, frame 120056 ran in:  11.918458700180054
Exciton, frame 120057 ran in:  11.910772562026978
Exciton, frame 120058 ran in:  11.867917537689209
Exciton, frame 120059 ran in:  11.839504957199097
Exciton, frame 120060 ran in:  11.807498216629028
Exciton, frame 120061 ran in:  12.325610876083374
Exciton, frame 120062 ran in:  12.192509412765503
Exciton, frame 120063 ran in:  11.85308575630188
Exciton, frame 120064 ran in:  11.872363805770874
Exciton, frame 120065 ran in:  12.153198957443237
Exciton, frame 120066 ran in:  11.867896556854248
Exciton, frame 120067 ran in:  11.909397840499878
Exciton, frame 120068 ran in:  12.057370901107788
Exciton, frame 120069 ran in:  12.188910245895386
Exciton, frame 120070 ran in:  11.985580921173096
Exciton, frame 120071 ran in:  11.909481287002563
Exciton, frame 120072 ran in:  12.176235437393188
Exciton, frame 120073 ran in:  11.757315158843994
Exciton, frame 120074 ran in:  11.886733055114746
Exciton, frame 120075 ran in:  12.388549327850342
Exciton, frame 120076 ran in:  11.641090393066406
Exciton, frame 120077 ran in:  11.652591228485107
Exciton, frame 120078 ran in:  11.829221963882446
Exciton, frame 120079 ran in:  11.870069980621338
Exciton, frame 120080 ran in:  11.778044700622559
Exciton, frame 120081 ran in:  12.104081869125366
Exciton, frame 120082 ran in:  11.880077123641968
Exciton, frame 120083 ran in:  11.894866704940796
Exciton, frame 120084 ran in:  11.995075225830078
Exciton, frame 120085 ran in:  11.938598871231079
Exciton, frame 120086 ran in:  12.072234869003296
Exciton, frame 120087 ran in:  11.79635739326477
Exciton, frame 120088 ran in:  12.055687427520752
Exciton, frame 120089 ran in:  11.93231463432312
Exciton, frame 120090 ran in:  12.04372525215149
Exciton, frame 120091 ran in:  11.84227466583252
Exciton, frame 120092 ran in:  11.880368709564209
Exciton, frame 120093 ran in:  11.733726263046265
Exciton, frame 120094 ran in:  11.966634035110474
Exciton, frame 120095 ran in:  11.747657537460327
Exciton, frame 120096 ran in:  12.189288139343262
Exciton, frame 120097 ran in:  11.910525798797607
Exciton, frame 120098 ran in:  11.953614234924316
Exciton, frame 120099 ran in:  12.15346384048462
Exciton, frame 120100 ran in:  11.934985399246216
Exciton, frame 120101 ran in:  12.208479642868042
Exciton, frame 120102 ran in:  11.834329605102539
Exciton, frame 120103 ran in:  11.879956245422363
Exciton, frame 120104 ran in:  11.843261480331421
Exciton, frame 120105 ran in:  11.966418027877808
Exciton, frame 120106 ran in:  11.97374439239502
Exciton, frame 120107 ran in:  12.158968448638916
Exciton, frame 120108 ran in:  11.885080575942993
Exciton, frame 120109 ran in:  11.911140203475952
Exciton, frame 120110 ran in:  11.91472578048706
Exciton, frame 120111 ran in:  11.973576784133911
Exciton, frame 120112 ran in:  11.768356800079346
Exciton, frame 120113 ran in:  11.73412275314331
Exciton, frame 120114 ran in:  11.9032142162323
Exciton, frame 120115 ran in:  11.881459951400757
Exciton, frame 120116 ran in:  11.952180862426758
Exciton, frame 120117 ran in:  11.922130107879639
Exciton, frame 120118 ran in:  11.915526390075684
Exciton, frame 120119 ran in:  11.861374616622925
Exciton, frame 120120 ran in:  12.036142826080322
Exciton, frame 120121 ran in:  11.908682346343994
Exciton, frame 120122 ran in:  11.993108987808228
Exciton, frame 120123 ran in:  11.688965797424316
Exciton, frame 120124 ran in:  11.981974840164185
Exciton, frame 120125 ran in:  13.27356505393982
Exciton, frame 120126 ran in:  12.057389259338379
Exciton, frame 120127 ran in:  11.957334518432617
Exciton, frame 120128 ran in:  12.009810447692871
Exciton, frame 120129 ran in:  11.9494149684906
Exciton, frame 120130 ran in:  13.96172308921814
Exciton, frame 120131 ran in:  11.843890905380249
Exciton, frame 120132 ran in:  11.828137636184692
Exciton, frame 120133 ran in:  11.972021579742432
Exciton, frame 120134 ran in:  11.889185667037964
Exciton, frame 120135 ran in:  12.385820150375366
Exciton, frame 120136 ran in:  12.0540771484375
Exciton, frame 120137 ran in:  11.968795776367188
Exciton, frame 120138 ran in:  12.146646499633789
Exciton, frame 120139 ran in:  11.867380142211914
Exciton, frame 120140 ran in:  12.143791675567627
Exciton, frame 120141 ran in:  11.874882936477661
Exciton, frame 120142 ran in:  12.145962238311768
Exciton, frame 120143 ran in:  12.114858150482178
Exciton, frame 120144 ran in:  12.17378282546997
Exciton, frame 120145 ran in:  12.306375741958618
Exciton, frame 120146 ran in:  12.1514892578125
Exciton, frame 120147 ran in:  11.862831115722656
Exciton, frame 120148 ran in:  11.920504093170166
Exciton, frame 120149 ran in:  11.701375007629395
Exciton, frame 120150 ran in:  11.84057879447937
Exciton, frame 120151 ran in:  11.685261487960815
Exciton, frame 120152 ran in:  12.324217319488525
Exciton, frame 120153 ran in:  12.593186140060425
Exciton, frame 120154 ran in:  11.73414134979248
Exciton, frame 120155 ran in:  12.040712118148804
Exciton, frame 120156 ran in:  12.087967157363892
Exciton, frame 120157 ran in:  11.91095232963562
Exciton, frame 120158 ran in:  11.94484281539917
Exciton, frame 120159 ran in:  12.415637969970703
Exciton, frame 120160 ran in:  11.662805080413818
Exciton, frame 120161 ran in:  11.6736421585083
Exciton, frame 120162 ran in:  11.779062032699585
Exciton, frame 120163 ran in:  12.779099941253662
Exciton, frame 120164 ran in:  12.039839267730713
Exciton, frame 120165 ran in:  12.388224840164185
Exciton, frame 120166 ran in:  11.850308895111084
Exciton, frame 120167 ran in:  12.01329255104065
Exciton, frame 120168 ran in:  11.977824687957764
Exciton, frame 120169 ran in:  11.84985065460205
Exciton, frame 120170 ran in:  11.85569143295288
Exciton, frame 120171 ran in:  12.091127872467041
Exciton, frame 120172 ran in:  11.860745668411255
Exciton, frame 120173 ran in:  12.091810941696167
Exciton, frame 120174 ran in:  11.789092540740967
Exciton, frame 120175 ran in:  11.956282377243042
Exciton, frame 120176 ran in:  12.08535647392273
Exciton, frame 120177 ran in:  11.879939079284668
Exciton, frame 120178 ran in:  11.896173000335693
Exciton, frame 120179 ran in:  11.778091192245483
Exciton, frame 120180 ran in:  11.91266942024231
Exciton, frame 120181 ran in:  11.988728046417236
Exciton, frame 120182 ran in:  12.014960765838623
Exciton, frame 120183 ran in:  11.774564266204834
Exciton, frame 120184 ran in:  11.711431741714478
Exciton, frame 120185 ran in:  11.801297426223755
Exciton, frame 120186 ran in:  11.720438957214355
Exciton, frame 120187 ran in:  12.066354990005493
Exciton, frame 120188 ran in:  11.828286170959473
Exciton, frame 120189 ran in:  11.668017148971558
Exciton, frame 120190 ran in:  11.941575527191162
Exciton, frame 120191 ran in:  12.421412706375122
Exciton, frame 120192 ran in:  11.82175612449646
Exciton, frame 120193 ran in:  12.124816417694092
Exciton, frame 120194 ran in:  11.989846229553223
Exciton, frame 120195 ran in:  12.114336967468262
Exciton, frame 120196 ran in:  12.119426012039185
Exciton, frame 120197 ran in:  11.652072668075562
Exciton, frame 120198 ran in:  11.71855354309082
Exciton, frame 120199 ran in:  11.787426948547363
Exciton, frame 120200 ran in:  11.903239011764526
Exciton, frame 120201 ran in:  11.616508722305298
Exciton, frame 120202 ran in:  11.989356756210327
Exciton, frame 120203 ran in:  11.970701217651367
Exciton, frame 120204 ran in:  11.884666919708252
Exciton, frame 120205 ran in:  11.81903862953186
Exciton, frame 120206 ran in:  11.947619199752808
Exciton, frame 120207 ran in:  11.919697284698486
Exciton, frame 120208 ran in:  11.765711784362793
Exciton, frame 120209 ran in:  11.795161008834839
Exciton, frame 120210 ran in:  12.038524866104126
Exciton, frame 120211 ran in:  11.951637268066406
Exciton, frame 120212 ran in:  11.989701986312866
Exciton, frame 120213 ran in:  11.970268249511719
Exciton, frame 120214 ran in:  11.909607410430908
Exciton, frame 120215 ran in:  11.992767572402954
Exciton, frame 120216 ran in:  12.054322242736816
Exciton, frame 120217 ran in:  11.888804912567139
Exciton, frame 120218 ran in:  11.874212503433228
Exciton, frame 120219 ran in:  11.963398218154907
Exciton, frame 120220 ran in:  11.67700719833374
Exciton, frame 120221 ran in:  11.837666749954224
Exciton, frame 120222 ran in:  11.865909337997437
Exciton, frame 120223 ran in:  11.736898183822632
Exciton, frame 120224 ran in:  11.728252649307251
Exciton, frame 120225 ran in:  11.924665451049805
Exciton, frame 120226 ran in:  11.863348960876465
