cpu-bind=MASK - bp1-compute198, task 4294967295 4294967295 [0]: mask 0xfffff000fffff000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.989841 secs
Exciton, frame 111000 ran in:  12.914273023605347
Exciton, frame 111001 ran in:  10.341001033782959
Exciton, frame 111002 ran in:  10.324042558670044
Exciton, frame 111003 ran in:  10.192675352096558
Exciton, frame 111004 ran in:  10.151796102523804
Exciton, frame 111005 ran in:  10.259196043014526
Exciton, frame 111006 ran in:  10.766430377960205
Exciton, frame 111007 ran in:  10.253434896469116
Exciton, frame 111008 ran in:  10.35685133934021
Exciton, frame 111009 ran in:  10.23697829246521
Exciton, frame 111010 ran in:  11.036479711532593
Exciton, frame 111011 ran in:  10.624879360198975
Exciton, frame 111012 ran in:  10.268503427505493
Exciton, frame 111013 ran in:  10.361165046691895
Exciton, frame 111014 ran in:  10.35015058517456
Exciton, frame 111015 ran in:  10.230461359024048
Exciton, frame 111016 ran in:  10.252798080444336
Exciton, frame 111017 ran in:  10.27088713645935
Exciton, frame 111018 ran in:  10.15327262878418
Exciton, frame 111019 ran in:  10.1056649684906
Exciton, frame 111020 ran in:  10.207408666610718
Exciton, frame 111021 ran in:  10.20986032485962
Exciton, frame 111022 ran in:  10.343570947647095
Exciton, frame 111023 ran in:  10.464383840560913
Exciton, frame 111024 ran in:  10.302861452102661
Exciton, frame 111025 ran in:  10.18858528137207
Exciton, frame 111026 ran in:  10.367282629013062
Exciton, frame 111027 ran in:  10.256727695465088
Exciton, frame 111028 ran in:  10.185851335525513
Exciton, frame 111029 ran in:  10.090396404266357
Exciton, frame 111030 ran in:  10.307326555252075
Exciton, frame 111031 ran in:  10.275730848312378
Exciton, frame 111032 ran in:  10.210723161697388
Exciton, frame 111033 ran in:  10.359417200088501
Exciton, frame 111034 ran in:  10.170241355895996
Exciton, frame 111035 ran in:  10.238670587539673
Exciton, frame 111036 ran in:  10.293681144714355
Exciton, frame 111037 ran in:  10.19234323501587
Exciton, frame 111038 ran in:  10.919118881225586
Exciton, frame 111039 ran in:  10.23389220237732
Exciton, frame 111040 ran in:  10.233097791671753
Exciton, frame 111041 ran in:  10.378231287002563
Exciton, frame 111042 ran in:  10.12645149230957
Exciton, frame 111043 ran in:  10.083419561386108
Exciton, frame 111044 ran in:  10.075942516326904
Exciton, frame 111045 ran in:  10.12654185295105
Exciton, frame 111046 ran in:  10.067736387252808
Exciton, frame 111047 ran in:  10.061214447021484
Exciton, frame 111048 ran in:  10.307934999465942
Exciton, frame 111049 ran in:  10.290395021438599
Exciton, frame 111050 ran in:  10.36203646659851
Exciton, frame 111051 ran in:  10.12201189994812
Exciton, frame 111052 ran in:  10.130646228790283
Exciton, frame 111053 ran in:  10.031147003173828
Exciton, frame 111054 ran in:  10.074268579483032
Exciton, frame 111055 ran in:  10.196044921875
Exciton, frame 111056 ran in:  10.150829553604126
Exciton, frame 111057 ran in:  10.570384740829468
Exciton, frame 111058 ran in:  10.429081439971924
Exciton, frame 111059 ran in:  10.786539316177368
Exciton, frame 111060 ran in:  10.204999923706055
Exciton, frame 111061 ran in:  10.18976092338562
Exciton, frame 111062 ran in:  10.105935335159302
Exciton, frame 111063 ran in:  10.44117546081543
Exciton, frame 111064 ran in:  10.240628719329834
Exciton, frame 111065 ran in:  10.305624723434448
Exciton, frame 111066 ran in:  10.11373496055603
Exciton, frame 111067 ran in:  10.203183650970459
Exciton, frame 111068 ran in:  10.161938190460205
Exciton, frame 111069 ran in:  10.353449821472168
Exciton, frame 111070 ran in:  10.32208514213562
Exciton, frame 111071 ran in:  10.094560861587524
Exciton, frame 111072 ran in:  10.250621557235718
Exciton, frame 111073 ran in:  10.242030620574951
Exciton, frame 111074 ran in:  10.294636964797974
Exciton, frame 111075 ran in:  10.127858877182007
Exciton, frame 111076 ran in:  10.261462211608887
Exciton, frame 111077 ran in:  9.958454370498657
Exciton, frame 111078 ran in:  10.370814323425293
