cpu-bind=MASK - bp1-compute158, task 4294967295 4294967295 [0]: mask 0x7f0f8e8f7f0f8e8f set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.897210 secs
Exciton, frame 18128 ran in:  14.37979769706726
Exciton, frame 18129 ran in:  14.222521781921387
Exciton, frame 18130 ran in:  14.369139909744263
Exciton, frame 18131 ran in:  14.319463729858398
Exciton, frame 18132 ran in:  14.658040285110474
Exciton, frame 18133 ran in:  14.168002605438232
Exciton, frame 18134 ran in:  14.293409824371338
Exciton, frame 18135 ran in:  14.157349586486816
Exciton, frame 18136 ran in:  14.348840713500977
Exciton, frame 18137 ran in:  14.233506679534912
Exciton, frame 18138 ran in:  14.469728231430054
Exciton, frame 18139 ran in:  14.415768384933472
Exciton, frame 18140 ran in:  14.193473815917969
Exciton, frame 18141 ran in:  14.727267980575562
Exciton, frame 18142 ran in:  14.572107791900635
Exciton, frame 18143 ran in:  14.252451658248901
Exciton, frame 18144 ran in:  14.081408500671387
Exciton, frame 18145 ran in:  14.048542022705078
Exciton, frame 18146 ran in:  14.06599760055542
Exciton, frame 18147 ran in:  14.008601903915405
Exciton, frame 18148 ran in:  14.65593695640564
Exciton, frame 18149 ran in:  14.677073240280151
Exciton, frame 18150 ran in:  14.249309062957764
Exciton, frame 18151 ran in:  14.070176839828491
Exciton, frame 18152 ran in:  14.16809344291687
Exciton, frame 18153 ran in:  14.14860200881958
Exciton, frame 18154 ran in:  14.400863885879517
Exciton, frame 18155 ran in:  14.30068039894104
Exciton, frame 18156 ran in:  13.948790550231934
Exciton, frame 18157 ran in:  14.349505186080933
Exciton, frame 18158 ran in:  14.322794914245605
Exciton, frame 18159 ran in:  14.074807405471802
Exciton, frame 18160 ran in:  14.241275548934937
Exciton, frame 18161 ran in:  14.016441822052002
Exciton, frame 18162 ran in:  14.061843872070312
Exciton, frame 18163 ran in:  14.293789863586426
Exciton, frame 18164 ran in:  14.270217657089233
Exciton, frame 18165 ran in:  14.214813232421875
Exciton, frame 18166 ran in:  14.264281511306763
Exciton, frame 18167 ran in:  14.147974014282227
Exciton, frame 18168 ran in:  14.255038022994995
Exciton, frame 18169 ran in:  14.236962080001831
Exciton, frame 18170 ran in:  14.144490480422974
Exciton, frame 18171 ran in:  14.145589351654053
Exciton, frame 18172 ran in:  14.212855100631714
Exciton, frame 18173 ran in:  14.634308338165283
Exciton, frame 18174 ran in:  14.380631446838379
Exciton, frame 18175 ran in:  14.180566549301147
Exciton, frame 18176 ran in:  14.204866170883179
Exciton, frame 18177 ran in:  14.330230236053467
Exciton, frame 18178 ran in:  14.054426670074463
Exciton, frame 18179 ran in:  14.197606325149536
Exciton, frame 18180 ran in:  14.360480308532715
Exciton, frame 18181 ran in:  14.097708463668823
Exciton, frame 18182 ran in:  14.173474073410034
Exciton, frame 18183 ran in:  14.351024389266968
Exciton, frame 18184 ran in:  14.156358003616333
Exciton, frame 18185 ran in:  14.2007896900177
Exciton, frame 18186 ran in:  14.398560762405396
Exciton, frame 18187 ran in:  14.21346926689148
Exciton, frame 18188 ran in:  14.170114517211914
Exciton, frame 18189 ran in:  14.135368585586548
Exciton, frame 18190 ran in:  13.98765254020691
Exciton, frame 18191 ran in:  14.212905406951904
Exciton, frame 18192 ran in:  14.184003353118896
Exciton, frame 18193 ran in:  14.209608793258667
Exciton, frame 18194 ran in:  14.106935262680054
Exciton, frame 18195 ran in:  14.359764814376831
Exciton, frame 18196 ran in:  14.61286973953247
Exciton, frame 18197 ran in:  14.472350358963013
Exciton, frame 18198 ran in:  14.13730263710022
