cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.747597 secs
Exciton, frame 33129 ran in:  11.99187159538269
Exciton, frame 33130 ran in:  11.856465578079224
Exciton, frame 33131 ran in:  11.931236028671265
Exciton, frame 33132 ran in:  12.000746726989746
Exciton, frame 33133 ran in:  12.020528078079224
Exciton, frame 33134 ran in:  11.997430086135864
Exciton, frame 33135 ran in:  12.196592807769775
Exciton, frame 33136 ran in:  12.108787298202515
Exciton, frame 33137 ran in:  11.768611669540405
Exciton, frame 33138 ran in:  12.352933645248413
Exciton, frame 33139 ran in:  11.882926940917969
Exciton, frame 33140 ran in:  12.80387258529663
Exciton, frame 33141 ran in:  11.675276517868042
Exciton, frame 33142 ran in:  11.707245826721191
Exciton, frame 33143 ran in:  12.051382780075073
Exciton, frame 33144 ran in:  12.157345294952393
Exciton, frame 33145 ran in:  11.992713689804077
Exciton, frame 33146 ran in:  12.054967164993286
Exciton, frame 33147 ran in:  11.953664541244507
Exciton, frame 33148 ran in:  12.344144821166992
Exciton, frame 33149 ran in:  11.888933897018433
Exciton, frame 33150 ran in:  11.896783828735352
Exciton, frame 33151 ran in:  11.885194063186646
Exciton, frame 33152 ran in:  11.993113994598389
Exciton, frame 33153 ran in:  11.830935001373291
Exciton, frame 33154 ran in:  11.839539527893066
Exciton, frame 33155 ran in:  11.956593036651611
Exciton, frame 33156 ran in:  11.96263599395752
Exciton, frame 33157 ran in:  12.011018753051758
Exciton, frame 33158 ran in:  12.015009880065918
Exciton, frame 33159 ran in:  11.776206970214844
Exciton, frame 33160 ran in:  12.01642370223999
Exciton, frame 33161 ran in:  12.05111837387085
Exciton, frame 33162 ran in:  11.97954797744751
Exciton, frame 33163 ran in:  11.605799198150635
Exciton, frame 33164 ran in:  11.663617372512817
Exciton, frame 33165 ran in:  11.896202564239502
Exciton, frame 33166 ran in:  12.306330680847168
Exciton, frame 33167 ran in:  11.968150615692139
Exciton, frame 33168 ran in:  11.954653978347778
Exciton, frame 33169 ran in:  12.162051916122437
Exciton, frame 33170 ran in:  11.769250392913818
Exciton, frame 33171 ran in:  12.020495176315308
Exciton, frame 33172 ran in:  11.964786767959595
Exciton, frame 33173 ran in:  11.687069654464722
Exciton, frame 33174 ran in:  12.050850629806519
Exciton, frame 33175 ran in:  11.992340803146362
Exciton, frame 33176 ran in:  12.094666957855225
Exciton, frame 33177 ran in:  11.81479811668396
Exciton, frame 33178 ran in:  11.939895391464233
Exciton, frame 33179 ran in:  12.00212025642395
Exciton, frame 33180 ran in:  11.997872829437256
Exciton, frame 33181 ran in:  11.92169976234436
Exciton, frame 33182 ran in:  11.80548644065857
Exciton, frame 33183 ran in:  12.088387250900269
Exciton, frame 33184 ran in:  12.011971712112427
Exciton, frame 33185 ran in:  12.192924976348877
Exciton, frame 33186 ran in:  11.825948238372803
Exciton, frame 33187 ran in:  11.883641719818115
Exciton, frame 33188 ran in:  12.152804374694824
Exciton, frame 33189 ran in:  12.212925910949707
Exciton, frame 33190 ran in:  11.93018126487732
Exciton, frame 33191 ran in:  12.230169773101807
Exciton, frame 33192 ran in:  12.33080244064331
Exciton, frame 33193 ran in:  11.626956939697266
Exciton, frame 33194 ran in:  12.243979454040527
Exciton, frame 33195 ran in:  12.020434617996216
Exciton, frame 33196 ran in:  11.944226264953613
Exciton, frame 33197 ran in:  12.11121654510498
Exciton, frame 33198 ran in:  11.896174192428589
Exciton, frame 33199 ran in:  11.650529384613037
Exciton, frame 33200 ran in:  11.798494577407837
Exciton, frame 33201 ran in:  11.9705970287323
Exciton, frame 33202 ran in:  12.209871292114258
Exciton, frame 33203 ran in:  11.617352962493896
Exciton, frame 33204 ran in:  11.947698831558228
Exciton, frame 33205 ran in:  11.841376304626465
Exciton, frame 33206 ran in:  11.911788940429688
Exciton, frame 33207 ran in:  12.018774509429932
Exciton, frame 33208 ran in:  11.861971139907837
Exciton, frame 33209 ran in:  12.138931274414062
Exciton, frame 33210 ran in:  12.026423215866089
Exciton, frame 33211 ran in:  11.739862442016602
Exciton, frame 33212 ran in:  12.18432354927063
Exciton, frame 33213 ran in:  11.975024700164795
Exciton, frame 33214 ran in:  11.788983583450317
Exciton, frame 33215 ran in:  11.785958051681519
Exciton, frame 33216 ran in:  11.851057767868042
Exciton, frame 33217 ran in:  12.49873685836792
Exciton, frame 33218 ran in:  12.101882219314575
Exciton, frame 33219 ran in:  11.67664122581482
Exciton, frame 33220 ran in:  11.986368179321289
Exciton, frame 33221 ran in:  11.907378435134888
Exciton, frame 33222 ran in:  11.834270715713501
Exciton, frame 33223 ran in:  11.980523347854614
Exciton, frame 33224 ran in:  11.802956104278564
Exciton, frame 33225 ran in:  11.841625928878784
Exciton, frame 33226 ran in:  12.194778442382812
Exciton, frame 33227 ran in:  11.86877179145813
Exciton, frame 33228 ran in:  11.720314025878906
Exciton, frame 33229 ran in:  11.892606019973755
Exciton, frame 33230 ran in:  11.914781093597412
Exciton, frame 33231 ran in:  12.11937141418457
Exciton, frame 33232 ran in:  11.869662046432495
Exciton, frame 33233 ran in:  11.78131365776062
Exciton, frame 33234 ran in:  12.020190954208374
Exciton, frame 33235 ran in:  12.534185647964478
Exciton, frame 33236 ran in:  11.798751592636108
Exciton, frame 33237 ran in:  11.494592428207397
Exciton, frame 33238 ran in:  11.89120101928711
Exciton, frame 33239 ran in:  11.818033933639526
Exciton, frame 33240 ran in:  12.326125621795654
Exciton, frame 33241 ran in:  11.772111892700195
Exciton, frame 33242 ran in:  11.895289421081543
Exciton, frame 33243 ran in:  11.689424514770508
Exciton, frame 33244 ran in:  12.08464002609253
Exciton, frame 33245 ran in:  14.225183725357056
Exciton, frame 33246 ran in:  12.012559413909912
Exciton, frame 33247 ran in:  12.039602041244507
Exciton, frame 33248 ran in:  12.265559673309326
Exciton, frame 33249 ran in:  12.255058288574219
Exciton, frame 33250 ran in:  11.64414668083191
Exciton, frame 33251 ran in:  11.708184242248535
Exciton, frame 33252 ran in:  11.423148393630981
Exciton, frame 33253 ran in:  11.627651691436768
Exciton, frame 33254 ran in:  11.939277172088623
Exciton, frame 33255 ran in:  11.958339214324951
Exciton, frame 33256 ran in:  11.990875244140625
Exciton, frame 33257 ran in:  11.997222900390625
Exciton, frame 33258 ran in:  11.846735000610352
Exciton, frame 33259 ran in:  11.970399141311646
Exciton, frame 33260 ran in:  12.188497304916382
Exciton, frame 33261 ran in:  11.733746528625488
Exciton, frame 33262 ran in:  12.02095103263855
Exciton, frame 33263 ran in:  12.019556999206543
Exciton, frame 33264 ran in:  12.496494054794312
Exciton, frame 33265 ran in:  12.135047197341919
Exciton, frame 33266 ran in:  11.891871452331543
Exciton, frame 33267 ran in:  12.682531356811523
Exciton, frame 33268 ran in:  12.25837230682373
Exciton, frame 33269 ran in:  12.942822694778442
Exciton, frame 33270 ran in:  11.69834303855896
Exciton, frame 33271 ran in:  11.779088258743286
Exciton, frame 33272 ran in:  11.935037851333618
Exciton, frame 33273 ran in:  11.809274196624756
Exciton, frame 33274 ran in:  11.837700605392456
Exciton, frame 33275 ran in:  12.080956935882568
Exciton, frame 33276 ran in:  12.40187692642212
Exciton, frame 33277 ran in:  12.01456880569458
Exciton, frame 33278 ran in:  11.756857633590698
Exciton, frame 33279 ran in:  11.811416864395142
Exciton, frame 33280 ran in:  11.782578468322754
Exciton, frame 33281 ran in:  11.94498586654663
Exciton, frame 33282 ran in:  11.497336626052856
Exciton, frame 33283 ran in:  12.054351568222046
Exciton, frame 33284 ran in:  11.879235982894897
Exciton, frame 33285 ran in:  12.125182151794434
Exciton, frame 33286 ran in:  11.93014931678772
Exciton, frame 33287 ran in:  11.829988479614258
Exciton, frame 33288 ran in:  11.822624444961548
Exciton, frame 33289 ran in:  11.698855876922607
Exciton, frame 33290 ran in:  11.933277368545532
Exciton, frame 33291 ran in:  11.918457984924316
Exciton, frame 33292 ran in:  11.914498567581177
