cpu-bind=MASK - bp1-compute095, task 4294967295 4294967295 [0]: mask 0x3fcfff3fcfff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.683531 secs
Exciton, frame 39129 ran in:  11.965929985046387
Exciton, frame 39130 ran in:  12.075898170471191
Exciton, frame 39131 ran in:  11.84298038482666
Exciton, frame 39132 ran in:  11.695505142211914
Exciton, frame 39133 ran in:  11.910367250442505
Exciton, frame 39134 ran in:  11.863793849945068
Exciton, frame 39135 ran in:  11.89985179901123
Exciton, frame 39136 ran in:  11.93464207649231
Exciton, frame 39137 ran in:  11.888228178024292
Exciton, frame 39138 ran in:  11.930943012237549
Exciton, frame 39139 ran in:  12.093926668167114
Exciton, frame 39140 ran in:  11.837326765060425
Exciton, frame 39141 ran in:  11.853144884109497
Exciton, frame 39142 ran in:  12.126896858215332
Exciton, frame 39143 ran in:  12.034669876098633
Exciton, frame 39144 ran in:  11.602993488311768
Exciton, frame 39145 ran in:  11.881444692611694
Exciton, frame 39146 ran in:  12.054925918579102
Exciton, frame 39147 ran in:  11.95349645614624
Exciton, frame 39148 ran in:  12.128810405731201
Exciton, frame 39149 ran in:  12.081148147583008
Exciton, frame 39150 ran in:  12.306367635726929
Exciton, frame 39151 ran in:  11.94570279121399
Exciton, frame 39152 ran in:  12.39548921585083
Exciton, frame 39153 ran in:  11.832430362701416
Exciton, frame 39154 ran in:  12.154125452041626
Exciton, frame 39155 ran in:  11.88483476638794
Exciton, frame 39156 ran in:  11.827828407287598
Exciton, frame 39157 ran in:  11.987775325775146
Exciton, frame 39158 ran in:  12.226562261581421
Exciton, frame 39159 ran in:  11.813182592391968
Exciton, frame 39160 ran in:  11.798515796661377
Exciton, frame 39161 ran in:  12.147247552871704
Exciton, frame 39162 ran in:  11.880805253982544
Exciton, frame 39163 ran in:  11.800105333328247
Exciton, frame 39164 ran in:  12.119731903076172
Exciton, frame 39165 ran in:  11.689754962921143
Exciton, frame 39166 ran in:  12.006259679794312
Exciton, frame 39167 ran in:  12.262037992477417
Exciton, frame 39168 ran in:  12.170775413513184
Exciton, frame 39169 ran in:  11.658082723617554
Exciton, frame 39170 ran in:  11.982547044754028
Exciton, frame 39171 ran in:  11.95827603340149
Exciton, frame 39172 ran in:  12.040430545806885
Exciton, frame 39173 ran in:  11.652116060256958
Exciton, frame 39174 ran in:  11.966425657272339
Exciton, frame 39175 ran in:  11.740352153778076
Exciton, frame 39176 ran in:  11.556872844696045
Exciton, frame 39177 ran in:  11.90511155128479
Exciton, frame 39178 ran in:  11.641121625900269
Exciton, frame 39179 ran in:  12.021173477172852
Exciton, frame 39180 ran in:  12.096694231033325
Exciton, frame 39181 ran in:  12.01127290725708
Exciton, frame 39182 ran in:  12.057958841323853
Exciton, frame 39183 ran in:  11.879388332366943
Exciton, frame 39184 ran in:  12.045599937438965
Exciton, frame 39185 ran in:  11.791910886764526
Exciton, frame 39186 ran in:  12.00089406967163
Exciton, frame 39187 ran in:  12.111583471298218
Exciton, frame 39188 ran in:  12.373435258865356
Exciton, frame 39189 ran in:  12.496236801147461
Exciton, frame 39190 ran in:  11.611844301223755
Exciton, frame 39191 ran in:  12.183432340621948
Exciton, frame 39192 ran in:  12.085776567459106
Exciton, frame 39193 ran in:  11.513810157775879
Exciton, frame 39194 ran in:  11.926884889602661
Exciton, frame 39195 ran in:  11.947765827178955
Exciton, frame 39196 ran in:  11.769887447357178
Exciton, frame 39197 ran in:  11.995104551315308
Exciton, frame 39198 ran in:  11.845500469207764
Exciton, frame 39199 ran in:  12.115063428878784
Exciton, frame 39200 ran in:  11.525409698486328
Exciton, frame 39201 ran in:  11.545345783233643
Exciton, frame 39202 ran in:  11.972381830215454
Exciton, frame 39203 ran in:  12.636561393737793
Exciton, frame 39204 ran in:  11.675970315933228
Exciton, frame 39205 ran in:  11.875649452209473
Exciton, frame 39206 ran in:  12.225293636322021
Exciton, frame 39207 ran in:  11.98641586303711
Exciton, frame 39208 ran in:  11.79487133026123
