cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0x3f3fff003f3fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.103444 secs
Exciton, frame 87129 ran in:  13.03364872932434
Exciton, frame 87130 ran in:  13.16016936302185
Exciton, frame 87131 ran in:  13.071850061416626
Exciton, frame 87132 ran in:  13.135994911193848
Exciton, frame 87133 ran in:  13.241686820983887
Exciton, frame 87134 ran in:  13.228318214416504
Exciton, frame 87135 ran in:  13.366004228591919
Exciton, frame 87136 ran in:  13.366467714309692
Exciton, frame 87137 ran in:  13.247105121612549
Exciton, frame 87138 ran in:  12.941259622573853
Exciton, frame 87139 ran in:  12.948134422302246
Exciton, frame 87140 ran in:  13.095874309539795
Exciton, frame 87141 ran in:  13.192220687866211
Exciton, frame 87142 ran in:  13.134527921676636
Exciton, frame 87143 ran in:  13.693042278289795
Exciton, frame 87144 ran in:  13.119182109832764
Exciton, frame 87145 ran in:  12.861295223236084
Exciton, frame 87146 ran in:  13.181699752807617
Exciton, frame 87147 ran in:  13.305042266845703
Exciton, frame 87148 ran in:  13.198057889938354
Exciton, frame 87149 ran in:  13.045201539993286
Exciton, frame 87150 ran in:  12.986062049865723
Exciton, frame 87151 ran in:  13.048952341079712
Exciton, frame 87152 ran in:  13.08169960975647
Exciton, frame 87153 ran in:  12.992923259735107
Exciton, frame 87154 ran in:  13.074549436569214
Exciton, frame 87155 ran in:  12.995063543319702
Exciton, frame 87156 ran in:  13.326004266738892
Exciton, frame 87157 ran in:  13.607743501663208
Exciton, frame 87158 ran in:  13.130476713180542
Exciton, frame 87159 ran in:  12.976248979568481
Exciton, frame 87160 ran in:  13.066482782363892
Exciton, frame 87161 ran in:  13.109282732009888
Exciton, frame 87162 ran in:  12.980126142501831
Exciton, frame 87163 ran in:  13.102320671081543
Exciton, frame 87164 ran in:  13.44619083404541
Exciton, frame 87165 ran in:  13.221368074417114
Exciton, frame 87166 ran in:  13.18519639968872
Exciton, frame 87167 ran in:  13.385037899017334
Exciton, frame 87168 ran in:  13.091805219650269
Exciton, frame 87169 ran in:  12.676173448562622
Exciton, frame 87170 ran in:  13.113401889801025
Exciton, frame 87171 ran in:  13.300796031951904
Exciton, frame 87172 ran in:  13.310689210891724
Exciton, frame 87173 ran in:  13.200695514678955
Exciton, frame 87174 ran in:  13.240048170089722
Exciton, frame 87175 ran in:  13.437726020812988
Exciton, frame 87176 ran in:  13.137965679168701
Exciton, frame 87177 ran in:  13.326436042785645
Exciton, frame 87178 ran in:  12.918253421783447
Exciton, frame 87179 ran in:  12.89084005355835
Exciton, frame 87180 ran in:  13.109103202819824
Exciton, frame 87181 ran in:  13.147295951843262
Exciton, frame 87182 ran in:  12.770503520965576
Exciton, frame 87183 ran in:  13.19678258895874
Exciton, frame 87184 ran in:  13.289551019668579
Exciton, frame 87185 ran in:  13.109554052352905
Exciton, frame 87186 ran in:  13.11150598526001
Exciton, frame 87187 ran in:  13.156288146972656
Exciton, frame 87188 ran in:  13.085348129272461
Exciton, frame 87189 ran in:  13.043978214263916
Exciton, frame 87190 ran in:  12.818389892578125
Exciton, frame 87191 ran in:  13.203956842422485
Exciton, frame 87192 ran in:  13.026176452636719
Exciton, frame 87193 ran in:  13.078381776809692
Exciton, frame 87194 ran in:  13.391639947891235
Exciton, frame 87195 ran in:  12.95187258720398
Exciton, frame 87196 ran in:  13.02812647819519
Exciton, frame 87197 ran in:  13.058374881744385
Exciton, frame 87198 ran in:  12.952692747116089
Exciton, frame 87199 ran in:  12.66893720626831
Exciton, frame 87200 ran in:  13.065837144851685
Exciton, frame 87201 ran in:  13.191874980926514
Exciton, frame 87202 ran in:  13.310518503189087
Exciton, frame 87203 ran in:  13.136075735092163
Exciton, frame 87204 ran in:  13.26323127746582
Exciton, frame 87205 ran in:  13.45202374458313
Exciton, frame 87206 ran in:  13.186872243881226
Exciton, frame 87207 ran in:  13.10459017753601
Exciton, frame 87208 ran in:  13.237382650375366
Exciton, frame 87209 ran in:  13.152440547943115
Exciton, frame 87210 ran in:  12.981816291809082
Exciton, frame 87211 ran in:  12.789454221725464
Exciton, frame 87212 ran in:  13.152041912078857
Exciton, frame 87213 ran in:  12.899287223815918
Exciton, frame 87214 ran in:  12.983320951461792
Exciton, frame 87215 ran in:  13.128243207931519
Exciton, frame 87216 ran in:  13.172722101211548
Exciton, frame 87217 ran in:  12.651148319244385
Exciton, frame 87218 ran in:  12.937451362609863
Exciton, frame 87219 ran in:  12.854981422424316
Exciton, frame 87220 ran in:  13.393381595611572
Exciton, frame 87221 ran in:  13.231367826461792
Exciton, frame 87222 ran in:  13.02357006072998
Exciton, frame 87223 ran in:  13.01767873764038
Exciton, frame 87224 ran in:  13.555903911590576
