cpu-bind=MASK - bp1-compute060, task 4294967295 4294967295 [0]: mask 0x7fffe57fffe5 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.767935 secs
Exciton, frame 9129 ran in:  12.727307796478271
Exciton, frame 9130 ran in:  13.124335289001465
Exciton, frame 9131 ran in:  12.762303829193115
Exciton, frame 9132 ran in:  12.745789289474487
Exciton, frame 9133 ran in:  12.722188711166382
Exciton, frame 9134 ran in:  12.85233211517334
Exciton, frame 9135 ran in:  13.216652631759644
Exciton, frame 9136 ran in:  12.91673469543457
Exciton, frame 9137 ran in:  12.913578271865845
Exciton, frame 9138 ran in:  13.045450687408447
Exciton, frame 9139 ran in:  12.794711589813232
Exciton, frame 9140 ran in:  11.9741530418396
Exciton, frame 9141 ran in:  12.334023714065552
Exciton, frame 9142 ran in:  12.655675649642944
Exciton, frame 9143 ran in:  12.206791162490845
Exciton, frame 9144 ran in:  12.356982946395874
Exciton, frame 9145 ran in:  12.34900188446045
Exciton, frame 9146 ran in:  12.860718250274658
Exciton, frame 9147 ran in:  12.793306350708008
Exciton, frame 9148 ran in:  13.03877305984497
Exciton, frame 9149 ran in:  12.460340976715088
Exciton, frame 9150 ran in:  12.78035593032837
Exciton, frame 9151 ran in:  12.679967880249023
Exciton, frame 9152 ran in:  12.754735231399536
Exciton, frame 9153 ran in:  12.686216831207275
Exciton, frame 9154 ran in:  12.336602449417114
Exciton, frame 9155 ran in:  12.324086904525757
Exciton, frame 9156 ran in:  12.551933288574219
Exciton, frame 9157 ran in:  12.287291288375854
Exciton, frame 9158 ran in:  12.232457876205444
Exciton, frame 9159 ran in:  12.173165559768677
Exciton, frame 9160 ran in:  12.22387146949768
Exciton, frame 9161 ran in:  12.295021533966064
Exciton, frame 9162 ran in:  12.145612001419067
Exciton, frame 9163 ran in:  12.262926578521729
Exciton, frame 9164 ran in:  13.115285158157349
Exciton, frame 9165 ran in:  12.298553705215454
Exciton, frame 9166 ran in:  12.06139087677002
Exciton, frame 9167 ran in:  11.941386938095093
Exciton, frame 9168 ran in:  12.289231300354004
Exciton, frame 9169 ran in:  12.256108045578003
Exciton, frame 9170 ran in:  12.226160049438477
Exciton, frame 9171 ran in:  12.027355432510376
Exciton, frame 9172 ran in:  12.889570236206055
Exciton, frame 9173 ran in:  12.003263473510742
Exciton, frame 9174 ran in:  12.17157506942749
Exciton, frame 9175 ran in:  12.239351511001587
Exciton, frame 9176 ran in:  12.490988731384277
Exciton, frame 9177 ran in:  12.581380605697632
Exciton, frame 9178 ran in:  12.699847936630249
Exciton, frame 9179 ran in:  12.913442134857178
Exciton, frame 9180 ran in:  11.939620018005371
Exciton, frame 9181 ran in:  12.012425899505615
Exciton, frame 9182 ran in:  12.09352159500122
Exciton, frame 9183 ran in:  12.523838520050049
Exciton, frame 9184 ran in:  12.691535711288452
Exciton, frame 9185 ran in:  12.377681970596313
