cpu-bind=MASK - bp1-compute148, task 4294967295 4294967295 [0]: mask 0xfffff000fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 22.280640 secs
Exciton, frame 12000 ran in:  14.312320232391357
Exciton, frame 12001 ran in:  13.551353693008423
Exciton, frame 12002 ran in:  13.692884683609009
Exciton, frame 12003 ran in:  13.6835355758667
Exciton, frame 12004 ran in:  14.207907438278198
Exciton, frame 12005 ran in:  13.909381628036499
Exciton, frame 12006 ran in:  14.119595289230347
Exciton, frame 12007 ran in:  13.524600505828857
Exciton, frame 12008 ran in:  13.791208744049072
Exciton, frame 12009 ran in:  13.86200475692749
Exciton, frame 12010 ran in:  13.86383581161499
Exciton, frame 12011 ran in:  13.583739995956421
Exciton, frame 12012 ran in:  14.375484466552734
Exciton, frame 12013 ran in:  13.667659282684326
Exciton, frame 12014 ran in:  14.365849733352661
Exciton, frame 12015 ran in:  13.836950540542603
Exciton, frame 12016 ran in:  13.936288118362427
Exciton, frame 12017 ran in:  13.942963123321533
Exciton, frame 12018 ran in:  13.4940025806427
Exciton, frame 12019 ran in:  13.421645164489746
Exciton, frame 12020 ran in:  13.666952848434448
Exciton, frame 12021 ran in:  14.307101249694824
Exciton, frame 12022 ran in:  13.399632215499878
Exciton, frame 12023 ran in:  13.525753498077393
Exciton, frame 12024 ran in:  14.417685747146606
Exciton, frame 12025 ran in:  14.578940153121948
Exciton, frame 12026 ran in:  13.988822937011719
Exciton, frame 12027 ran in:  14.099465131759644
Exciton, frame 12028 ran in:  13.538149118423462
Exciton, frame 12029 ran in:  13.30026912689209
Exciton, frame 12030 ran in:  13.699387311935425
Exciton, frame 12031 ran in:  14.443152666091919
Exciton, frame 12032 ran in:  14.206157445907593
Exciton, frame 12033 ran in:  13.293581247329712
Exciton, frame 12034 ran in:  13.662943601608276
Exciton, frame 12035 ran in:  14.308435201644897
Exciton, frame 12036 ran in:  14.77798056602478
Exciton, frame 12037 ran in:  14.193830251693726
Exciton, frame 12038 ran in:  13.719602823257446
Exciton, frame 12039 ran in:  14.130208015441895
Exciton, frame 12040 ran in:  14.077746868133545
Exciton, frame 12041 ran in:  14.331849336624146
Exciton, frame 12042 ran in:  13.455680847167969
Exciton, frame 12043 ran in:  13.912822008132935
Exciton, frame 12044 ran in:  13.803076028823853
Exciton, frame 12045 ran in:  14.011610269546509
Exciton, frame 12046 ran in:  13.711361408233643
Exciton, frame 12047 ran in:  14.232416868209839
Exciton, frame 12048 ran in:  13.747411012649536
Exciton, frame 12049 ran in:  13.397382974624634
Exciton, frame 12050 ran in:  13.354348182678223
Exciton, frame 12051 ran in:  13.81309199333191
Exciton, frame 12052 ran in:  14.008511304855347
Exciton, frame 12053 ran in:  13.554654359817505
Exciton, frame 12054 ran in:  13.881430864334106
Exciton, frame 12055 ran in:  14.027272939682007
Exciton, frame 12056 ran in:  13.36965298652649
Exciton, frame 12057 ran in:  13.462646484375
Exciton, frame 12058 ran in:  14.03263807296753
Exciton, frame 12059 ran in:  13.61686372756958
Exciton, frame 12060 ran in:  13.492998838424683
Exciton, frame 12061 ran in:  14.290565967559814
Exciton, frame 12062 ran in:  13.895451307296753
Exciton, frame 12063 ran in:  14.357653617858887
Exciton, frame 12064 ran in:  13.941362142562866
Exciton, frame 12065 ran in:  13.989067554473877
