cpu-bind=MASK - bp1-compute175, task 4294967295 4294967295 [0]: mask 0xfffff000fffff000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.139094 secs
Exciton, frame 117000 ran in:  12.053411960601807
Exciton, frame 117001 ran in:  10.211682796478271
Exciton, frame 117002 ran in:  10.461750030517578
Exciton, frame 117003 ran in:  10.33894658088684
Exciton, frame 117004 ran in:  10.491860628128052
Exciton, frame 117005 ran in:  10.292525053024292
Exciton, frame 117006 ran in:  10.676593542098999
Exciton, frame 117007 ran in:  10.312402248382568
Exciton, frame 117008 ran in:  10.28211498260498
Exciton, frame 117009 ran in:  10.294094324111938
Exciton, frame 117010 ran in:  10.359551668167114
Exciton, frame 117011 ran in:  10.174869060516357
Exciton, frame 117012 ran in:  10.247652053833008
Exciton, frame 117013 ran in:  10.268396377563477
Exciton, frame 117014 ran in:  10.268227338790894
Exciton, frame 117015 ran in:  10.512420654296875
Exciton, frame 117016 ran in:  10.316787719726562
Exciton, frame 117017 ran in:  10.456210374832153
Exciton, frame 117018 ran in:  10.374406576156616
Exciton, frame 117019 ran in:  10.40481162071228
Exciton, frame 117020 ran in:  10.437074422836304
Exciton, frame 117021 ran in:  10.407833337783813
Exciton, frame 117022 ran in:  10.25628924369812
Exciton, frame 117023 ran in:  10.294089078903198
Exciton, frame 117024 ran in:  10.42751169204712
Exciton, frame 117025 ran in:  10.377079486846924
Exciton, frame 117026 ran in:  10.323197364807129
Exciton, frame 117027 ran in:  10.38792610168457
Exciton, frame 117028 ran in:  10.230235815048218
Exciton, frame 117029 ran in:  10.46949577331543
Exciton, frame 117030 ran in:  10.801572561264038
Exciton, frame 117031 ran in:  10.515291929244995
Exciton, frame 117032 ran in:  10.258814811706543
Exciton, frame 117033 ran in:  10.312305927276611
Exciton, frame 117034 ran in:  10.651291370391846
Exciton, frame 117035 ran in:  10.595061540603638
Exciton, frame 117036 ran in:  10.392354011535645
Exciton, frame 117037 ran in:  10.33533763885498
Exciton, frame 117038 ran in:  10.43665862083435
Exciton, frame 117039 ran in:  10.172030687332153
Exciton, frame 117040 ran in:  10.368313789367676
Exciton, frame 117041 ran in:  10.42230749130249
Exciton, frame 117042 ran in:  10.23845362663269
Exciton, frame 117043 ran in:  11.158290147781372
Exciton, frame 117044 ran in:  10.111294031143188
Exciton, frame 117045 ran in:  10.415990114212036
Exciton, frame 117046 ran in:  10.446266651153564
Exciton, frame 117047 ran in:  10.280526638031006
Exciton, frame 117048 ran in:  10.349907636642456
Exciton, frame 117049 ran in:  10.201332569122314
Exciton, frame 117050 ran in:  10.435794115066528
Exciton, frame 117051 ran in:  10.409945487976074
Exciton, frame 117052 ran in:  10.366929531097412
Exciton, frame 117053 ran in:  10.481413841247559
Exciton, frame 117054 ran in:  10.245956897735596
Exciton, frame 117055 ran in:  10.36240005493164
Exciton, frame 117056 ran in:  10.270960807800293
Exciton, frame 117057 ran in:  10.274848937988281
Exciton, frame 117058 ran in:  10.33902883529663
Exciton, frame 117059 ran in:  10.41074538230896
Exciton, frame 117060 ran in:  10.255581855773926
Exciton, frame 117061 ran in:  10.253277063369751
Exciton, frame 117062 ran in:  10.336527109146118
Exciton, frame 117063 ran in:  10.382586240768433
Exciton, frame 117064 ran in:  10.481487035751343
Exciton, frame 117065 ran in:  10.383961200714111
Exciton, frame 117066 ran in:  10.559283018112183
Exciton, frame 117067 ran in:  10.280330181121826
Exciton, frame 117068 ran in:  10.430795669555664
Exciton, frame 117069 ran in:  10.487703561782837
Exciton, frame 117070 ran in:  10.219949007034302
Exciton, frame 117071 ran in:  10.506915092468262
Exciton, frame 117072 ran in:  10.401095390319824
Exciton, frame 117073 ran in:  10.434201002120972
Exciton, frame 117074 ran in:  10.391797304153442
Exciton, frame 117075 ran in:  10.232165098190308
Exciton, frame 117076 ran in:  10.32102346420288
Exciton, frame 117077 ran in:  10.340008735656738
Exciton, frame 117078 ran in:  10.385136365890503
Exciton, frame 117079 ran in:  10.32888388633728
Exciton, frame 117080 ran in:  10.5805823802948
Exciton, frame 117081 ran in:  10.308844566345215
Exciton, frame 117082 ran in:  10.45160722732544
Exciton, frame 117083 ran in:  10.499927759170532
Exciton, frame 117084 ran in:  10.53995394706726
Exciton, frame 117085 ran in:  10.336567878723145
Exciton, frame 117086 ran in:  10.298682928085327
Exciton, frame 117087 ran in:  10.928962230682373
Exciton, frame 117088 ran in:  10.382400751113892
Exciton, frame 117089 ran in:  10.25443434715271
Exciton, frame 117090 ran in:  10.491301536560059
Exciton, frame 117091 ran in:  10.386331796646118
Exciton, frame 117092 ran in:  10.229583978652954
Exciton, frame 117093 ran in:  10.327154397964478
Exciton, frame 117094 ran in:  10.733783960342407
Exciton, frame 117095 ran in:  10.490617513656616
Exciton, frame 117096 ran in:  10.471637487411499
Exciton, frame 117097 ran in:  10.258898735046387
Exciton, frame 117098 ran in:  10.293889999389648
Exciton, frame 117099 ran in:  10.207607746124268
Exciton, frame 117100 ran in:  10.25656533241272
Exciton, frame 117101 ran in:  10.253268718719482
Exciton, frame 117102 ran in:  10.43908977508545
Exciton, frame 117103 ran in:  10.375941276550293
Exciton, frame 117104 ran in:  10.338923215866089
Exciton, frame 117105 ran in:  10.368893384933472
Exciton, frame 117106 ran in:  10.361316204071045
Exciton, frame 117107 ran in:  10.316950559616089
Exciton, frame 117108 ran in:  10.263094425201416
Exciton, frame 117109 ran in:  10.30132794380188
Exciton, frame 117110 ran in:  10.465325117111206
Exciton, frame 117111 ran in:  10.457268714904785
Exciton, frame 117112 ran in:  10.289544820785522
Exciton, frame 117113 ran in:  10.402739763259888
Exciton, frame 117114 ran in:  10.368370532989502
Exciton, frame 117115 ran in:  10.449645757675171
Exciton, frame 117116 ran in:  10.163248777389526
Exciton, frame 117117 ran in:  10.20617413520813
Exciton, frame 117118 ran in:  10.302083253860474
Exciton, frame 117119 ran in:  10.699418306350708
Exciton, frame 117120 ran in:  10.26198410987854
Exciton, frame 117121 ran in:  10.27686333656311
Exciton, frame 117122 ran in:  10.433028936386108
Exciton, frame 117123 ran in:  10.223356246948242
Exciton, frame 117124 ran in:  10.43617868423462
Exciton, frame 117125 ran in:  10.349352359771729
Exciton, frame 117126 ran in:  10.30058741569519
Exciton, frame 117127 ran in:  10.375681638717651
Exciton, frame 117128 ran in:  10.171447277069092
Exciton, frame 117129 ran in:  10.356370687484741
Exciton, frame 117130 ran in:  10.42355728149414
Exciton, frame 117131 ran in:  10.375267267227173
Exciton, frame 117132 ran in:  10.589061260223389
Exciton, frame 117133 ran in:  10.415849685668945
Exciton, frame 117134 ran in:  10.320550441741943
Exciton, frame 117135 ran in:  10.325335025787354
Exciton, frame 117136 ran in:  10.360840797424316
Exciton, frame 117137 ran in:  10.416279077529907
Exciton, frame 117138 ran in:  10.120673179626465
Exciton, frame 117139 ran in:  10.300339698791504
Exciton, frame 117140 ran in:  10.436113595962524
Exciton, frame 117141 ran in:  10.170560121536255
Exciton, frame 117142 ran in:  10.309734106063843
Exciton, frame 117143 ran in:  10.189685821533203
Exciton, frame 117144 ran in:  10.38564682006836
Exciton, frame 117145 ran in:  10.421844244003296
Exciton, frame 117146 ran in:  10.197354078292847
Exciton, frame 117147 ran in:  10.176709651947021
Exciton, frame 117148 ran in:  10.151593685150146
Exciton, frame 117149 ran in:  10.77909541130066
Exciton, frame 117150 ran in:  10.932345628738403
Exciton, frame 117151 ran in:  10.8222017288208
Exciton, frame 117152 ran in:  10.389851570129395
Exciton, frame 117153 ran in:  10.263194799423218
Exciton, frame 117154 ran in:  10.235921382904053
Exciton, frame 117155 ran in:  10.335525512695312
Exciton, frame 117156 ran in:  10.321415901184082
Exciton, frame 117157 ran in:  10.508304357528687
Exciton, frame 117158 ran in:  10.246761083602905
Exciton, frame 117159 ran in:  10.191081762313843
Exciton, frame 117160 ran in:  10.727732419967651
Exciton, frame 117161 ran in:  10.427526950836182
Exciton, frame 117162 ran in:  10.269710540771484
