cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0xf000000007f9fe000000000000000000f000000007f9fe000000000000000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.798286 secs
Exciton, frame 114128 ran in:  16.647130727767944
Exciton, frame 114129 ran in:  16.774526596069336
Exciton, frame 114130 ran in:  16.594584941864014
Exciton, frame 114131 ran in:  16.45855164527893
Exciton, frame 114132 ran in:  16.68984603881836
Exciton, frame 114133 ran in:  16.49421191215515
Exciton, frame 114134 ran in:  16.636558055877686
Exciton, frame 114135 ran in:  16.714869022369385
Exciton, frame 114136 ran in:  16.674360513687134
Exciton, frame 114137 ran in:  16.593833684921265
Exciton, frame 114138 ran in:  16.298654794692993
Exciton, frame 114139 ran in:  16.31343698501587
Exciton, frame 114140 ran in:  16.398558139801025
Exciton, frame 114141 ran in:  16.45530366897583
Exciton, frame 114142 ran in:  16.456178188323975
Exciton, frame 114143 ran in:  16.60914707183838
Exciton, frame 114144 ran in:  16.709510803222656
Exciton, frame 114145 ran in:  16.373881340026855
Exciton, frame 114146 ran in:  16.703078508377075
Exciton, frame 114147 ran in:  16.27120304107666
Exciton, frame 114148 ran in:  16.678442239761353
Exciton, frame 114149 ran in:  16.61590600013733
Exciton, frame 114150 ran in:  16.916993856430054
Exciton, frame 114151 ran in:  16.780615091323853
Exciton, frame 114152 ran in:  16.79354238510132
Exciton, frame 114153 ran in:  16.57201862335205
Exciton, frame 114154 ran in:  16.319632053375244
Exciton, frame 114155 ran in:  16.715681314468384
Exciton, frame 114156 ran in:  16.619229555130005
Exciton, frame 114157 ran in:  16.67630434036255
Exciton, frame 114158 ran in:  16.547078371047974
Exciton, frame 114159 ran in:  16.052444458007812
Exciton, frame 114160 ran in:  16.680843114852905
Exciton, frame 114161 ran in:  16.938037633895874
Exciton, frame 114162 ran in:  16.909385442733765
Exciton, frame 114163 ran in:  16.891010999679565
Exciton, frame 114164 ran in:  16.553918838500977
Exciton, frame 114165 ran in:  16.04740810394287
Exciton, frame 114166 ran in:  16.53919291496277
Exciton, frame 114167 ran in:  16.471861362457275
Exciton, frame 114168 ran in:  16.601120233535767
Exciton, frame 114169 ran in:  16.609763145446777
Exciton, frame 114170 ran in:  16.34304118156433
Exciton, frame 114171 ran in:  16.66524863243103
Exciton, frame 114172 ran in:  16.69510817527771
Exciton, frame 114173 ran in:  16.716254711151123
Exciton, frame 114174 ran in:  16.622177839279175
Exciton, frame 114175 ran in:  16.598883867263794
Exciton, frame 114176 ran in:  16.597899436950684
Exciton, frame 114177 ran in:  16.62512516975403
Exciton, frame 114178 ran in:  16.553346157073975
Exciton, frame 114179 ran in:  16.631493091583252
Exciton, frame 114180 ran in:  16.720383644104004
Exciton, frame 114181 ran in:  16.668850421905518
Exciton, frame 114182 ran in:  16.386350393295288
Exciton, frame 114183 ran in:  16.507818460464478
Exciton, frame 114184 ran in:  16.433788061141968
Exciton, frame 114185 ran in:  16.422751665115356
Exciton, frame 114186 ran in:  16.70648503303528
Exciton, frame 114187 ran in:  16.451047658920288
Exciton, frame 114188 ran in:  16.29860520362854
Exciton, frame 114189 ran in:  16.86618137359619
Exciton, frame 114190 ran in:  16.321412563323975
Exciton, frame 114191 ran in:  16.34561514854431
Exciton, frame 114192 ran in:  16.395753145217896
Exciton, frame 114193 ran in:  15.999255418777466
Exciton, frame 114194 ran in:  16.40463423728943
Exciton, frame 114195 ran in:  16.426677227020264
Exciton, frame 114196 ran in:  16.57216453552246
Exciton, frame 114197 ran in:  16.57833456993103
Exciton, frame 114198 ran in:  16.223079204559326
Exciton, frame 114199 ran in:  15.953232049942017
Exciton, frame 114200 ran in:  16.439408540725708
Exciton, frame 114201 ran in:  16.45439887046814
Exciton, frame 114202 ran in:  16.279403924942017
Exciton, frame 114203 ran in:  16.441645622253418
Exciton, frame 114204 ran in:  16.399038791656494
Exciton, frame 114205 ran in:  16.63159489631653
Exciton, frame 114206 ran in:  16.66279911994934
Exciton, frame 114207 ran in:  16.577381134033203
Exciton, frame 114208 ran in:  16.475127935409546
Exciton, frame 114209 ran in:  16.584290266036987
Exciton, frame 114210 ran in:  16.709338665008545
Exciton, frame 114211 ran in:  16.730807304382324
Exciton, frame 114212 ran in:  16.644135236740112
Exciton, frame 114213 ran in:  16.238410711288452
Exciton, frame 114214 ran in:  16.484498262405396
Exciton, frame 114215 ran in:  16.217602729797363
Exciton, frame 114216 ran in:  16.6297345161438
Exciton, frame 114217 ran in:  16.950153350830078
Exciton, frame 114218 ran in:  16.667948484420776
Exciton, frame 114219 ran in:  16.44187617301941
Exciton, frame 114220 ran in:  16.371537923812866
Exciton, frame 114221 ran in:  16.551326036453247
Exciton, frame 114222 ran in:  16.80713963508606
Exciton, frame 114223 ran in:  16.40358281135559
Exciton, frame 114224 ran in:  16.644940614700317
Exciton, frame 114225 ran in:  16.556637287139893
Exciton, frame 114226 ran in:  16.231210470199585
Exciton, frame 114227 ran in:  16.45049548149109
Exciton, frame 114228 ran in:  16.578005075454712
Exciton, frame 114229 ran in:  16.44351053237915
Exciton, frame 114230 ran in:  16.91030526161194
Exciton, frame 114231 ran in:  16.614695072174072
Exciton, frame 114232 ran in:  16.576806783676147
Exciton, frame 114233 ran in:  16.627830982208252
Exciton, frame 114234 ran in:  16.77081561088562
Exciton, frame 114235 ran in:  16.547367811203003
Exciton, frame 114236 ran in:  16.317262887954712
Exciton, frame 114237 ran in:  16.37373423576355
Exciton, frame 114238 ran in:  16.31357765197754
Exciton, frame 114239 ran in:  16.903751850128174
Exciton, frame 114240 ran in:  16.166285037994385
Exciton, frame 114241 ran in:  16.687753438949585
Exciton, frame 114242 ran in:  16.499714136123657
Exciton, frame 114243 ran in:  16.461798906326294
Exciton, frame 114244 ran in:  16.628902912139893
Exciton, frame 114245 ran in:  16.799662828445435
Exciton, frame 114246 ran in:  16.526259899139404
Exciton, frame 114247 ran in:  16.654174089431763
Exciton, frame 114248 ran in:  16.621276378631592
Exciton, frame 114249 ran in:  16.44036054611206
Exciton, frame 114250 ran in:  16.06454062461853
Exciton, frame 114251 ran in:  16.884685039520264
Exciton, frame 114252 ran in:  16.34121346473694
Exciton, frame 114253 ran in:  16.622633695602417
Exciton, frame 114254 ran in:  16.508010387420654
Exciton, frame 114255 ran in:  16.26467251777649
Exciton, frame 114256 ran in:  16.306945323944092
Exciton, frame 114257 ran in:  16.31346893310547
Exciton, frame 114258 ran in:  16.349205493927002
Exciton, frame 114259 ran in:  16.258911848068237
Exciton, frame 114260 ran in:  16.683289527893066
Exciton, frame 114261 ran in:  16.817726850509644
Exciton, frame 114262 ran in:  16.562257051467896
Exciton, frame 114263 ran in:  16.390536308288574
Exciton, frame 114264 ran in:  16.422291040420532
Exciton, frame 114265 ran in:  16.570086002349854
Exciton, frame 114266 ran in:  16.586963415145874
Exciton, frame 114267 ran in:  16.65985608100891
Exciton, frame 114268 ran in:  16.465679168701172
Exciton, frame 114269 ran in:  16.509073972702026
Exciton, frame 114270 ran in:  16.56959366798401
Exciton, frame 114271 ran in:  16.794006824493408
Exciton, frame 114272 ran in:  16.50830602645874
Exciton, frame 114273 ran in:  16.756390810012817
Exciton, frame 114274 ran in:  16.716644048690796
Exciton, frame 114275 ran in:  16.474305868148804
Exciton, frame 114276 ran in:  16.404773473739624
Exciton, frame 114277 ran in:  16.490183115005493
Exciton, frame 114278 ran in:  16.81983971595764
Exciton, frame 114279 ran in:  16.649887323379517
Exciton, frame 114280 ran in:  16.602675199508667
Exciton, frame 114281 ran in:  16.536316633224487
Exciton, frame 114282 ran in:  16.71039605140686
Exciton, frame 114283 ran in:  16.631369829177856
Exciton, frame 114284 ran in:  16.408575296401978
Exciton, frame 114285 ran in:  16.575268268585205
Exciton, frame 114286 ran in:  16.77718687057495
Exciton, frame 114287 ran in:  16.41960644721985
Exciton, frame 114288 ran in:  16.473450422286987
Exciton, frame 114289 ran in:  16.605611562728882
Exciton, frame 114290 ran in:  16.6150004863739
Exciton, frame 114291 ran in:  16.620325326919556
Exciton, frame 114292 ran in:  16.658801794052124
Exciton, frame 114293 ran in:  16.61349320411682
Exciton, frame 114294 ran in:  16.352885246276855
Exciton, frame 114295 ran in:  16.770427942276
Exciton, frame 114296 ran in:  16.463955402374268
Exciton, frame 114297 ran in:  16.32063388824463
Exciton, frame 114298 ran in:  16.323642253875732
Exciton, frame 114299 ran in:  16.669832229614258
Exciton, frame 114300 ran in:  16.54106569290161
Exciton, frame 114301 ran in:  16.57002329826355
Exciton, frame 114302 ran in:  16.240731954574585
Exciton, frame 114303 ran in:  16.578206062316895
Exciton, frame 114304 ran in:  16.787895917892456
Exciton, frame 114305 ran in:  16.489041805267334
Exciton, frame 114306 ran in:  16.54864263534546
Exciton, frame 114307 ran in:  16.547951221466064
Exciton, frame 114308 ran in:  16.478267908096313
Exciton, frame 114309 ran in:  16.70694637298584
Exciton, frame 114310 ran in:  16.463117599487305
Exciton, frame 114311 ran in:  16.4949848651886
Exciton, frame 114312 ran in:  16.289168119430542
Exciton, frame 114313 ran in:  16.822829961776733
Exciton, frame 114314 ran in:  16.559326171875
Exciton, frame 114315 ran in:  16.804187059402466
Exciton, frame 114316 ran in:  16.76674771308899
Exciton, frame 114317 ran in:  16.829365253448486
Exciton, frame 114318 ran in:  16.7155442237854
Exciton, frame 114319 ran in:  16.420350313186646
Exciton, frame 114320 ran in:  16.474661588668823
Exciton, frame 114321 ran in:  16.553807973861694
Exciton, frame 114322 ran in:  16.83538246154785
Exciton, frame 114323 ran in:  16.89929175376892
Exciton, frame 114324 ran in:  16.710001468658447
Exciton, frame 114325 ran in:  16.6530659198761
Exciton, frame 114326 ran in:  16.46022605895996
Exciton, frame 114327 ran in:  16.608437299728394
Exciton, frame 114328 ran in:  16.534273624420166
Exciton, frame 114329 ran in:  16.511938095092773
Exciton, frame 114330 ran in:  16.635926961898804
Exciton, frame 114331 ran in:  16.59399962425232
Exciton, frame 114332 ran in:  16.76823139190674
Exciton, frame 114333 ran in:  16.315269470214844
Exciton, frame 114334 ran in:  16.54265594482422
Exciton, frame 114335 ran in:  16.276323556900024
Exciton, frame 114336 ran in:  16.586246013641357
Exciton, frame 114337 ran in:  16.560803413391113
Exciton, frame 114338 ran in:  16.15837812423706
Exciton, frame 114339 ran in:  16.189573049545288
Exciton, frame 114340 ran in:  16.17768430709839
Exciton, frame 114341 ran in:  16.43572759628296
Exciton, frame 114342 ran in:  16.407329559326172
Exciton, frame 114343 ran in:  16.69678568840027
Exciton, frame 114344 ran in:  17.07316517829895
Exciton, frame 114345 ran in:  16.55159068107605
Exciton, frame 114346 ran in:  16.641030311584473
Exciton, frame 114347 ran in:  16.576343297958374
Exciton, frame 114348 ran in:  16.571680784225464
Exciton, frame 114349 ran in:  16.38399863243103
Exciton, frame 114350 ran in:  16.771629571914673
Exciton, frame 114351 ran in:  16.40670394897461
Exciton, frame 114352 ran in:  16.58782935142517
Exciton, frame 114353 ran in:  16.62187647819519
Exciton, frame 114354 ran in:  16.355899333953857
Exciton, frame 114355 ran in:  16.844716787338257
Exciton, frame 114356 ran in:  16.713135957717896
Exciton, frame 114357 ran in:  16.395116806030273
Exciton, frame 114358 ran in:  16.514967441558838
Exciton, frame 114359 ran in:  16.578710317611694
Exciton, frame 114360 ran in:  16.480231285095215
Exciton, frame 114361 ran in:  16.771741151809692
Exciton, frame 114362 ran in:  16.77010941505432
Exciton, frame 114363 ran in:  16.700287580490112
Exciton, frame 114364 ran in:  16.54131841659546
Exciton, frame 114365 ran in:  16.034554481506348
Exciton, frame 114366 ran in:  16.821805953979492
Exciton, frame 114367 ran in:  16.15722966194153
Exciton, frame 114368 ran in:  16.594650506973267
Exciton, frame 114369 ran in:  16.7460880279541
Exciton, frame 114370 ran in:  16.606364488601685
Exciton, frame 114371 ran in:  16.63458013534546
Exciton, frame 114372 ran in:  16.834162950515747
Exciton, frame 114373 ran in:  16.959301710128784
Exciton, frame 114374 ran in:  16.84584927558899
Exciton, frame 114375 ran in:  16.902724742889404
Exciton, frame 114376 ran in:  16.597636222839355
Exciton, frame 114377 ran in:  16.837568521499634
Exciton, frame 114378 ran in:  16.772642374038696
Exciton, frame 114379 ran in:  16.565330743789673
Exciton, frame 114380 ran in:  16.270442008972168
Exciton, frame 114381 ran in:  16.533856868743896
Exciton, frame 114382 ran in:  16.66476345062256
Exciton, frame 114383 ran in:  16.72705078125
Exciton, frame 114384 ran in:  16.165440797805786
Exciton, frame 114385 ran in:  16.367810249328613
Exciton, frame 114386 ran in:  16.34046196937561
Exciton, frame 114387 ran in:  16.365100383758545
Exciton, frame 114388 ran in:  16.17595887184143
Exciton, frame 114389 ran in:  16.48731803894043
Exciton, frame 114390 ran in:  16.16787600517273
Exciton, frame 114391 ran in:  16.551149129867554
Exciton, frame 114392 ran in:  16.476367950439453
Exciton, frame 114393 ran in:  16.191821575164795
Exciton, frame 114394 ran in:  16.650817394256592
Exciton, frame 114395 ran in:  16.14653205871582
Exciton, frame 114396 ran in:  16.67800760269165
Exciton, frame 114397 ran in:  17.06008219718933
Exciton, frame 114398 ran in:  16.849016666412354
Exciton, frame 114399 ran in:  16.5488862991333
Exciton, frame 114400 ran in:  16.90104627609253
Exciton, frame 114401 ran in:  16.518921375274658
Exciton, frame 114402 ran in:  16.772891521453857
Exciton, frame 114403 ran in:  16.73719358444214
Exciton, frame 114404 ran in:  16.536365747451782
Exciton, frame 114405 ran in:  16.59739661216736
Exciton, frame 114406 ran in:  16.892328023910522
Exciton, frame 114407 ran in:  16.579347133636475
Exciton, frame 114408 ran in:  16.409700632095337
Exciton, frame 114409 ran in:  16.373818159103394
Exciton, frame 114410 ran in:  16.23937153816223
Exciton, frame 114411 ran in:  16.867424726486206
Exciton, frame 114412 ran in:  16.549241542816162
Exciton, frame 114413 ran in:  16.620599031448364
Exciton, frame 114414 ran in:  16.67625904083252
Exciton, frame 114415 ran in:  16.75622272491455
Exciton, frame 114416 ran in:  16.741074800491333
Exciton, frame 114417 ran in:  16.2793071269989
Exciton, frame 114418 ran in:  16.72700572013855
Exciton, frame 114419 ran in:  16.84707522392273
Exciton, frame 114420 ran in:  16.795112371444702
Exciton, frame 114421 ran in:  16.23548436164856
Exciton, frame 114422 ran in:  16.402040243148804
Exciton, frame 114423 ran in:  16.608734369277954
Exciton, frame 114424 ran in:  16.78158688545227
Exciton, frame 114425 ran in:  16.545167446136475
Exciton, frame 114426 ran in:  16.75616955757141
Exciton, frame 114427 ran in:  16.763354539871216
Exciton, frame 114428 ran in:  16.623680591583252
Exciton, frame 114429 ran in:  16.59969162940979
Exciton, frame 114430 ran in:  16.484832048416138
Exciton, frame 114431 ran in:  16.616047382354736
Exciton, frame 114432 ran in:  16.59282684326172
Exciton, frame 114433 ran in:  16.604269981384277
Exciton, frame 114434 ran in:  16.627779006958008
Exciton, frame 114435 ran in:  16.732404232025146
Exciton, frame 114436 ran in:  16.55790400505066
Exciton, frame 114437 ran in:  16.241238832473755
Exciton, frame 114438 ran in:  16.62710165977478
Exciton, frame 114439 ran in:  16.430542469024658
Exciton, frame 114440 ran in:  16.52743148803711
Exciton, frame 114441 ran in:  17.07748031616211
Exciton, frame 114442 ran in:  16.75597596168518
Exciton, frame 114443 ran in:  16.625885486602783
Exciton, frame 114444 ran in:  16.731287956237793
