cpu-bind=MASK - bp1-compute135, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.354406 secs
Exciton, frame 135000 ran in:  13.17889142036438
Exciton, frame 135001 ran in:  11.894867897033691
Exciton, frame 135002 ran in:  12.010767459869385
Exciton, frame 135003 ran in:  12.046603202819824
Exciton, frame 135004 ran in:  12.255194187164307
Exciton, frame 135005 ran in:  11.673197031021118
Exciton, frame 135006 ran in:  11.817723274230957
Exciton, frame 135007 ran in:  12.100144863128662
Exciton, frame 135008 ran in:  12.26198148727417
Exciton, frame 135009 ran in:  12.234570980072021
Exciton, frame 135010 ran in:  11.966718435287476
Exciton, frame 135011 ran in:  12.387544870376587
Exciton, frame 135012 ran in:  11.896739482879639
Exciton, frame 135013 ran in:  11.863879442214966
Exciton, frame 135014 ran in:  11.828392267227173
Exciton, frame 135015 ran in:  12.150777101516724
Exciton, frame 135016 ran in:  11.917128086090088
Exciton, frame 135017 ran in:  11.402620315551758
Exciton, frame 135018 ran in:  11.835113048553467
Exciton, frame 135019 ran in:  12.006916522979736
Exciton, frame 135020 ran in:  12.101038455963135
Exciton, frame 135021 ran in:  11.851167440414429
Exciton, frame 135022 ran in:  11.981216192245483
Exciton, frame 135023 ran in:  11.746299028396606
Exciton, frame 135024 ran in:  12.36881160736084
Exciton, frame 135025 ran in:  12.690328121185303
Exciton, frame 135026 ran in:  12.494706392288208
Exciton, frame 135027 ran in:  12.588957071304321
Exciton, frame 135028 ran in:  11.894316673278809
Exciton, frame 135029 ran in:  12.134266376495361
Exciton, frame 135030 ran in:  11.70951509475708
Exciton, frame 135031 ran in:  12.669060945510864
Exciton, frame 135032 ran in:  12.109424352645874
Exciton, frame 135033 ran in:  12.018735647201538
Exciton, frame 135034 ran in:  12.284947633743286
Exciton, frame 135035 ran in:  12.037224054336548
Exciton, frame 135036 ran in:  11.701492547988892
Exciton, frame 135037 ran in:  11.868234157562256
Exciton, frame 135038 ran in:  11.514543294906616
Exciton, frame 135039 ran in:  11.832219362258911
Exciton, frame 135040 ran in:  11.70567798614502
Exciton, frame 135041 ran in:  12.167152643203735
Exciton, frame 135042 ran in:  12.112208127975464
Exciton, frame 135043 ran in:  11.882740497589111
Exciton, frame 135044 ran in:  11.847886800765991
Exciton, frame 135045 ran in:  12.159138441085815
Exciton, frame 135046 ran in:  11.686264276504517
Exciton, frame 135047 ran in:  12.072211027145386
Exciton, frame 135048 ran in:  12.024850606918335
Exciton, frame 135049 ran in:  11.87607717514038
Exciton, frame 135050 ran in:  11.950382947921753
Exciton, frame 135051 ran in:  11.945616245269775
Exciton, frame 135052 ran in:  11.942914724349976
Exciton, frame 135053 ran in:  11.789097785949707
Exciton, frame 135054 ran in:  11.812362670898438
Exciton, frame 135055 ran in:  11.827464818954468
Exciton, frame 135056 ran in:  11.989009857177734
Exciton, frame 135057 ran in:  11.683517694473267
Exciton, frame 135058 ran in:  11.812955141067505
Exciton, frame 135059 ran in:  11.678093433380127
Exciton, frame 135060 ran in:  11.842555284500122
Exciton, frame 135061 ran in:  12.045683860778809
Exciton, frame 135062 ran in:  11.89149522781372
Exciton, frame 135063 ran in:  12.022604703903198
Exciton, frame 135064 ran in:  12.016799211502075
Exciton, frame 135065 ran in:  11.807311773300171
Exciton, frame 135066 ran in:  11.669384002685547
Exciton, frame 135067 ran in:  11.851690292358398
Exciton, frame 135068 ran in:  11.89237642288208
Exciton, frame 135069 ran in:  11.91638970375061
Exciton, frame 135070 ran in:  11.871907472610474
Exciton, frame 135071 ran in:  11.636215448379517
Exciton, frame 135072 ran in:  11.986817359924316
Exciton, frame 135073 ran in:  12.360681533813477
Exciton, frame 135074 ran in:  11.738971471786499
Exciton, frame 135075 ran in:  12.323315143585205
Exciton, frame 135076 ran in:  11.853055238723755
Exciton, frame 135077 ran in:  12.04234004020691
Exciton, frame 135078 ran in:  11.813587188720703
Exciton, frame 135079 ran in:  11.742294788360596
Exciton, frame 135080 ran in:  12.092640161514282
Exciton, frame 135081 ran in:  11.983744144439697
Exciton, frame 135082 ran in:  12.231096029281616
Exciton, frame 135083 ran in:  12.09174108505249
Exciton, frame 135084 ran in:  11.89265751838684
Exciton, frame 135085 ran in:  11.91349196434021
Exciton, frame 135086 ran in:  11.909990549087524
Exciton, frame 135087 ran in:  11.921626806259155
Exciton, frame 135088 ran in:  13.250051021575928
Exciton, frame 135089 ran in:  12.081510543823242
Exciton, frame 135090 ran in:  14.177491188049316
Exciton, frame 135091 ran in:  12.046331405639648
Exciton, frame 135092 ran in:  11.824771881103516
Exciton, frame 135093 ran in:  11.746773719787598
Exciton, frame 135094 ran in:  12.053243398666382
Exciton, frame 135095 ran in:  11.919372320175171
Exciton, frame 135096 ran in:  12.210603952407837
Exciton, frame 135097 ran in:  12.015411615371704
Exciton, frame 135098 ran in:  12.102285623550415
Exciton, frame 135099 ran in:  11.636458158493042
Exciton, frame 135100 ran in:  11.676754236221313
Exciton, frame 135101 ran in:  11.903779029846191
Exciton, frame 135102 ran in:  12.260315656661987
Exciton, frame 135103 ran in:  11.98236346244812
Exciton, frame 135104 ran in:  11.937772512435913
Exciton, frame 135105 ran in:  12.202955722808838
Exciton, frame 135106 ran in:  11.887482643127441
Exciton, frame 135107 ran in:  12.176023483276367
Exciton, frame 135108 ran in:  12.050312519073486
Exciton, frame 135109 ran in:  11.930220127105713
Exciton, frame 135110 ran in:  11.772029638290405
Exciton, frame 135111 ran in:  11.85114598274231
Exciton, frame 135112 ran in:  11.985005855560303
Exciton, frame 135113 ran in:  11.869165897369385
Exciton, frame 135114 ran in:  11.68699836730957
Exciton, frame 135115 ran in:  11.851328372955322
Exciton, frame 135116 ran in:  11.62147569656372
Exciton, frame 135117 ran in:  11.951732158660889
Exciton, frame 135118 ran in:  11.918405294418335
Exciton, frame 135119 ran in:  11.761766195297241
Exciton, frame 135120 ran in:  11.72280502319336
Exciton, frame 135121 ran in:  11.861159563064575
Exciton, frame 135122 ran in:  11.911302328109741
Exciton, frame 135123 ran in:  11.89452052116394
Exciton, frame 135124 ran in:  11.720584154129028
Exciton, frame 135125 ran in:  11.815344095230103
Exciton, frame 135126 ran in:  11.798236608505249
Exciton, frame 135127 ran in:  11.952840805053711
Exciton, frame 135128 ran in:  11.894879817962646
Exciton, frame 135129 ran in:  11.922425270080566
Exciton, frame 135130 ran in:  11.531089067459106
Exciton, frame 135131 ran in:  11.648038625717163
Exciton, frame 135132 ran in:  11.781375408172607
Exciton, frame 135133 ran in:  12.36290955543518
Exciton, frame 135134 ran in:  12.103542804718018
Exciton, frame 135135 ran in:  12.296870946884155
Exciton, frame 135136 ran in:  11.645070791244507
Exciton, frame 135137 ran in:  11.786202192306519
Exciton, frame 135138 ran in:  11.925091743469238
Exciton, frame 135139 ran in:  11.883422136306763
Exciton, frame 135140 ran in:  11.6233069896698
Exciton, frame 135141 ran in:  11.863161325454712
Exciton, frame 135142 ran in:  11.832566022872925
Exciton, frame 135143 ran in:  11.884678363800049
Exciton, frame 135144 ran in:  11.90969204902649
Exciton, frame 135145 ran in:  12.211223840713501
Exciton, frame 135146 ran in:  11.858490228652954
Exciton, frame 135147 ran in:  11.71141004562378
Exciton, frame 135148 ran in:  11.774190425872803
Exciton, frame 135149 ran in:  11.815150022506714
Exciton, frame 135150 ran in:  12.567182779312134
Exciton, frame 135151 ran in:  11.844793319702148
Exciton, frame 135152 ran in:  11.885308980941772
Exciton, frame 135153 ran in:  12.140063285827637
Exciton, frame 135154 ran in:  12.003921747207642
Exciton, frame 135155 ran in:  12.05509877204895
Exciton, frame 135156 ran in:  11.956611156463623
Exciton, frame 135157 ran in:  11.992263555526733
Exciton, frame 135158 ran in:  11.86464810371399
Exciton, frame 135159 ran in:  12.081058502197266
Exciton, frame 135160 ran in:  11.9141685962677
Exciton, frame 135161 ran in:  11.848923921585083
Exciton, frame 135162 ran in:  11.965676546096802
Exciton, frame 135163 ran in:  11.939315795898438
Exciton, frame 135164 ran in:  12.172362804412842
Exciton, frame 135165 ran in:  11.752735376358032
Exciton, frame 135166 ran in:  12.030330419540405
Exciton, frame 135167 ran in:  11.768863201141357
Exciton, frame 135168 ran in:  11.885658979415894
Exciton, frame 135169 ran in:  11.652914762496948
Exciton, frame 135170 ran in:  12.093669414520264
Exciton, frame 135171 ran in:  12.192068815231323
Exciton, frame 135172 ran in:  11.994609117507935
Exciton, frame 135173 ran in:  12.182233810424805
Exciton, frame 135174 ran in:  12.19657826423645
Exciton, frame 135175 ran in:  12.003324747085571
