cpu-bind=MASK - bp1-compute139, task 4294967295 4294967295 [0]: mask 0xff0fff00ff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.398987 secs
Exciton, frame 129129 ran in:  13.27708649635315
Exciton, frame 129130 ran in:  13.306824684143066
Exciton, frame 129131 ran in:  12.979568481445312
Exciton, frame 129132 ran in:  13.152522325515747
Exciton, frame 129133 ran in:  13.189991235733032
Exciton, frame 129134 ran in:  13.334214687347412
Exciton, frame 129135 ran in:  13.307733297348022
Exciton, frame 129136 ran in:  13.192337274551392
Exciton, frame 129137 ran in:  13.263314723968506
Exciton, frame 129138 ran in:  13.06444764137268
Exciton, frame 129139 ran in:  12.618309736251831
Exciton, frame 129140 ran in:  13.630699157714844
Exciton, frame 129141 ran in:  13.275504112243652
Exciton, frame 129142 ran in:  13.394412755966187
Exciton, frame 129143 ran in:  13.183428287506104
Exciton, frame 129144 ran in:  13.274325132369995
Exciton, frame 129145 ran in:  13.073601961135864
Exciton, frame 129146 ran in:  13.347559690475464
Exciton, frame 129147 ran in:  13.111766815185547
Exciton, frame 129148 ran in:  13.093451976776123
Exciton, frame 129149 ran in:  13.180859804153442
Exciton, frame 129150 ran in:  13.073108434677124
Exciton, frame 129151 ran in:  13.18990683555603
Exciton, frame 129152 ran in:  13.617462396621704
Exciton, frame 129153 ran in:  12.89611554145813
Exciton, frame 129154 ran in:  13.467247247695923
Exciton, frame 129155 ran in:  13.048856496810913
Exciton, frame 129156 ran in:  13.137309789657593
Exciton, frame 129157 ran in:  13.198876857757568
Exciton, frame 129158 ran in:  13.261884689331055
Exciton, frame 129159 ran in:  13.179121971130371
Exciton, frame 129160 ran in:  13.131438732147217
Exciton, frame 129161 ran in:  13.332635641098022
Exciton, frame 129162 ran in:  13.107322931289673
Exciton, frame 129163 ran in:  12.85793137550354
Exciton, frame 129164 ran in:  13.2328462600708
Exciton, frame 129165 ran in:  13.33069896697998
Exciton, frame 129166 ran in:  13.412310361862183
Exciton, frame 129167 ran in:  13.361074686050415
Exciton, frame 129168 ran in:  13.039791584014893
Exciton, frame 129169 ran in:  12.998605251312256
Exciton, frame 129170 ran in:  13.185873031616211
Exciton, frame 129171 ran in:  13.167271137237549
Exciton, frame 129172 ran in:  13.252668857574463
Exciton, frame 129173 ran in:  13.373366355895996
Exciton, frame 129174 ran in:  13.287444114685059
Exciton, frame 129175 ran in:  13.199832916259766
Exciton, frame 129176 ran in:  13.21980881690979
Exciton, frame 129177 ran in:  12.71911334991455
Exciton, frame 129178 ran in:  13.326912879943848
Exciton, frame 129179 ran in:  13.076913356781006
Exciton, frame 129180 ran in:  12.70952033996582
Exciton, frame 129181 ran in:  13.002991199493408
Exciton, frame 129182 ran in:  12.739847898483276
Exciton, frame 129183 ran in:  13.140408039093018
Exciton, frame 129184 ran in:  12.975581884384155
