cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0x7fa7ff7fa7ff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.488590 secs
Exciton, frame 30129 ran in:  12.153734683990479
Exciton, frame 30130 ran in:  12.013172388076782
Exciton, frame 30131 ran in:  12.200815916061401
Exciton, frame 30132 ran in:  12.418984651565552
Exciton, frame 30133 ran in:  12.413019180297852
Exciton, frame 30134 ran in:  12.020709037780762
Exciton, frame 30135 ran in:  12.22887897491455
Exciton, frame 30136 ran in:  12.45063853263855
Exciton, frame 30137 ran in:  12.32902979850769
Exciton, frame 30138 ran in:  12.912589073181152
Exciton, frame 30139 ran in:  13.048430681228638
Exciton, frame 30140 ran in:  12.936623573303223
Exciton, frame 30141 ran in:  12.265654802322388
Exciton, frame 30142 ran in:  12.92147946357727
Exciton, frame 30143 ran in:  13.009214162826538
Exciton, frame 30144 ran in:  12.738729476928711
Exciton, frame 30145 ran in:  12.74544095993042
Exciton, frame 30146 ran in:  12.880370378494263
Exciton, frame 30147 ran in:  12.438043355941772
Exciton, frame 30148 ran in:  12.882128715515137
Exciton, frame 30149 ran in:  13.030180931091309
Exciton, frame 30150 ran in:  12.945369243621826
Exciton, frame 30151 ran in:  12.891865491867065
Exciton, frame 30152 ran in:  13.043899774551392
Exciton, frame 30153 ran in:  12.74524974822998
Exciton, frame 30154 ran in:  13.051038026809692
Exciton, frame 30155 ran in:  12.904150485992432
Exciton, frame 30156 ran in:  12.791123628616333
Exciton, frame 30157 ran in:  12.643668174743652
Exciton, frame 30158 ran in:  12.603698253631592
Exciton, frame 30159 ran in:  12.688586950302124
Exciton, frame 30160 ran in:  12.772043466567993
Exciton, frame 30161 ran in:  12.768593072891235
Exciton, frame 30162 ran in:  12.934721946716309
Exciton, frame 30163 ran in:  12.636898279190063
Exciton, frame 30164 ran in:  12.92241096496582
Exciton, frame 30165 ran in:  12.892899990081787
Exciton, frame 30166 ran in:  13.329756021499634
Exciton, frame 30167 ran in:  12.864380359649658
Exciton, frame 30168 ran in:  12.8984534740448
Exciton, frame 30169 ran in:  13.039845943450928
Exciton, frame 30170 ran in:  12.665926218032837
Exciton, frame 30171 ran in:  12.799771308898926
Exciton, frame 30172 ran in:  12.782273530960083
Exciton, frame 30173 ran in:  12.81423306465149
Exciton, frame 30174 ran in:  12.832824945449829
Exciton, frame 30175 ran in:  12.916456937789917
Exciton, frame 30176 ran in:  13.003482103347778
Exciton, frame 30177 ran in:  13.002174377441406
Exciton, frame 30178 ran in:  12.825423955917358
Exciton, frame 30179 ran in:  12.804879188537598
Exciton, frame 30180 ran in:  13.095052003860474
Exciton, frame 30181 ran in:  12.956244707107544
Exciton, frame 30182 ran in:  12.809181451797485
Exciton, frame 30183 ran in:  13.057565450668335
Exciton, frame 30184 ran in:  12.557518482208252
Exciton, frame 30185 ran in:  13.092546939849854
Exciton, frame 30186 ran in:  13.012664318084717
Exciton, frame 30187 ran in:  12.73599624633789
Exciton, frame 30188 ran in:  12.761004447937012
Exciton, frame 30189 ran in:  12.927987813949585
Exciton, frame 30190 ran in:  12.817479848861694
Exciton, frame 30191 ran in:  12.805821180343628
Exciton, frame 30192 ran in:  12.841231346130371
Exciton, frame 30193 ran in:  12.950451135635376
Exciton, frame 30194 ran in:  12.723902702331543
Exciton, frame 30195 ran in:  12.753933191299438
Exciton, frame 30196 ran in:  12.769956350326538
Exciton, frame 30197 ran in:  12.8969566822052
Exciton, frame 30198 ran in:  13.00138783454895
Exciton, frame 30199 ran in:  12.881539344787598
Exciton, frame 30200 ran in:  12.897352457046509
Exciton, frame 30201 ran in:  12.792591094970703
Exciton, frame 30202 ran in:  12.96828556060791
Exciton, frame 30203 ran in:  13.104267120361328
Exciton, frame 30204 ran in:  13.052995920181274
Exciton, frame 30205 ran in:  13.03442931175232
Exciton, frame 30206 ran in:  13.028347969055176
Exciton, frame 30207 ran in:  12.86800765991211
Exciton, frame 30208 ran in:  12.752213954925537
Exciton, frame 30209 ran in:  13.044899702072144
Exciton, frame 30210 ran in:  12.708681583404541
Exciton, frame 30211 ran in:  12.856317281723022
Exciton, frame 30212 ran in:  12.829853773117065
Exciton, frame 30213 ran in:  12.968656778335571
Exciton, frame 30214 ran in:  12.731775522232056
Exciton, frame 30215 ran in:  12.759657382965088
Exciton, frame 30216 ran in:  12.622365236282349
Exciton, frame 30217 ran in:  13.03978943824768
Exciton, frame 30218 ran in:  13.033996820449829
Exciton, frame 30219 ran in:  12.949897289276123
Exciton, frame 30220 ran in:  12.669252634048462
Exciton, frame 30221 ran in:  13.101527690887451
Exciton, frame 30222 ran in:  12.890344381332397
Exciton, frame 30223 ran in:  12.846237659454346
Exciton, frame 30224 ran in:  12.774566888809204
Exciton, frame 30225 ran in:  12.989978551864624
Exciton, frame 30226 ran in:  13.030829906463623
Exciton, frame 30227 ran in:  13.12195873260498
Exciton, frame 30228 ran in:  12.904262065887451
Exciton, frame 30229 ran in:  12.774767875671387
Exciton, frame 30230 ran in:  12.850101947784424
Exciton, frame 30231 ran in:  12.794899225234985
Exciton, frame 30232 ran in:  13.03043818473816
Exciton, frame 30233 ran in:  12.822043895721436
Exciton, frame 30234 ran in:  13.256349563598633
Exciton, frame 30235 ran in:  12.97987961769104
Exciton, frame 30236 ran in:  12.7623872756958
Exciton, frame 30237 ran in:  13.027162790298462
Exciton, frame 30238 ran in:  12.619569778442383
Exciton, frame 30239 ran in:  12.882675170898438
Exciton, frame 30240 ran in:  12.900845527648926
Exciton, frame 30241 ran in:  12.922501802444458
Exciton, frame 30242 ran in:  12.901169300079346
Exciton, frame 30243 ran in:  12.810238361358643
Exciton, frame 30244 ran in:  12.734144449234009
Exciton, frame 30245 ran in:  13.076714992523193
Exciton, frame 30246 ran in:  12.698285102844238
Exciton, frame 30247 ran in:  12.93571925163269
