cpu-bind=MASK - bp1-compute192, task 4294967295 4294967295 [0]: mask 0xfc007ffefc007ffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.852066 secs
Exciton, frame 78129 ran in:  10.877696990966797
Exciton, frame 78130 ran in:  10.637398958206177
Exciton, frame 78131 ran in:  11.109746217727661
Exciton, frame 78132 ran in:  10.939197301864624
Exciton, frame 78133 ran in:  10.543001174926758
Exciton, frame 78134 ran in:  10.962056398391724
Exciton, frame 78135 ran in:  10.90993618965149
Exciton, frame 78136 ran in:  10.859506368637085
Exciton, frame 78137 ran in:  10.673032999038696
Exciton, frame 78138 ran in:  11.005584716796875
Exciton, frame 78139 ran in:  10.789920091629028
Exciton, frame 78140 ran in:  10.843032360076904
Exciton, frame 78141 ran in:  10.697179794311523
Exciton, frame 78142 ran in:  11.332205295562744
Exciton, frame 78143 ran in:  10.884207248687744
Exciton, frame 78144 ran in:  11.159934520721436
Exciton, frame 78145 ran in:  11.146043300628662
Exciton, frame 78146 ran in:  10.983464241027832
Exciton, frame 78147 ran in:  11.386248350143433
Exciton, frame 78148 ran in:  11.221576929092407
Exciton, frame 78149 ran in:  11.050994873046875
Exciton, frame 78150 ran in:  11.198575019836426
Exciton, frame 78151 ran in:  10.724773645401001
Exciton, frame 78152 ran in:  11.017210483551025
Exciton, frame 78153 ran in:  11.993979215621948
Exciton, frame 78154 ran in:  11.019527912139893
Exciton, frame 78155 ran in:  10.914114713668823
Exciton, frame 78156 ran in:  11.373955488204956
Exciton, frame 78157 ran in:  10.84515380859375
Exciton, frame 78158 ran in:  11.288256645202637
Exciton, frame 78159 ran in:  10.688074350357056
Exciton, frame 78160 ran in:  11.20435118675232
Exciton, frame 78161 ran in:  11.946831226348877
Exciton, frame 78162 ran in:  11.06299090385437
Exciton, frame 78163 ran in:  11.429906129837036
Exciton, frame 78164 ran in:  11.122010469436646
Exciton, frame 78165 ran in:  11.522216320037842
Exciton, frame 78166 ran in:  12.112941026687622
Exciton, frame 78167 ran in:  11.223289489746094
Exciton, frame 78168 ran in:  11.83677864074707
Exciton, frame 78169 ran in:  11.708796501159668
Exciton, frame 78170 ran in:  10.691529989242554
Exciton, frame 78171 ran in:  11.405618906021118
Exciton, frame 78172 ran in:  12.045791149139404
Exciton, frame 78173 ran in:  11.082728385925293
Exciton, frame 78174 ran in:  11.319976329803467
Exciton, frame 78175 ran in:  10.937338829040527
Exciton, frame 78176 ran in:  11.559107065200806
Exciton, frame 78177 ran in:  10.801403999328613
Exciton, frame 78178 ran in:  10.899659872055054
Exciton, frame 78179 ran in:  11.01135516166687
Exciton, frame 78180 ran in:  11.317102909088135
Exciton, frame 78181 ran in:  11.090023040771484
Exciton, frame 78182 ran in:  11.175252914428711
Exciton, frame 78183 ran in:  10.55099606513977
Exciton, frame 78184 ran in:  11.058942556381226
Exciton, frame 78185 ran in:  11.18254566192627
Exciton, frame 78186 ran in:  10.948631763458252
Exciton, frame 78187 ran in:  11.238482236862183
Exciton, frame 78188 ran in:  10.88261866569519
Exciton, frame 78189 ran in:  11.740725040435791
Exciton, frame 78190 ran in:  10.92387843132019
Exciton, frame 78191 ran in:  11.08283519744873
Exciton, frame 78192 ran in:  10.940044164657593
Exciton, frame 78193 ran in:  11.542900085449219
Exciton, frame 78194 ran in:  12.234043598175049
Exciton, frame 78195 ran in:  11.110160112380981
Exciton, frame 78196 ran in:  11.107109546661377
Exciton, frame 78197 ran in:  10.855622053146362
Exciton, frame 78198 ran in:  11.420882940292358
Exciton, frame 78199 ran in:  11.130003929138184
Exciton, frame 78200 ran in:  10.547249555587769
Exciton, frame 78201 ran in:  11.067986726760864
Exciton, frame 78202 ran in:  11.098995447158813
Exciton, frame 78203 ran in:  11.574047565460205
Exciton, frame 78204 ran in:  11.247150182723999
Exciton, frame 78205 ran in:  10.668610572814941
Exciton, frame 78206 ran in:  11.219946384429932
Exciton, frame 78207 ran in:  11.553038358688354
Exciton, frame 78208 ran in:  10.828588008880615
Exciton, frame 78209 ran in:  11.88465690612793
Exciton, frame 78210 ran in:  11.0834321975708
Exciton, frame 78211 ran in:  12.117330312728882
Exciton, frame 78212 ran in:  10.96004319190979
Exciton, frame 78213 ran in:  10.943471431732178
Exciton, frame 78214 ran in:  10.688651084899902
Exciton, frame 78215 ran in:  10.88371205329895
Exciton, frame 78216 ran in:  10.58741569519043
Exciton, frame 78217 ran in:  11.070022821426392
Exciton, frame 78218 ran in:  11.50532579421997
Exciton, frame 78219 ran in:  11.264270544052124
Exciton, frame 78220 ran in:  10.729266166687012
Exciton, frame 78221 ran in:  11.024338483810425
Exciton, frame 78222 ran in:  11.188003301620483
Exciton, frame 78223 ran in:  11.34865403175354
Exciton, frame 78224 ran in:  11.380303859710693
Exciton, frame 78225 ran in:  11.612270593643188
Exciton, frame 78226 ran in:  10.981709241867065
Exciton, frame 78227 ran in:  10.862040758132935
Exciton, frame 78228 ran in:  10.902246475219727
Exciton, frame 78229 ran in:  11.170549869537354
Exciton, frame 78230 ran in:  11.520320177078247
Exciton, frame 78231 ran in:  11.31069564819336
Exciton, frame 78232 ran in:  10.692597389221191
Exciton, frame 78233 ran in:  10.939448118209839
Exciton, frame 78234 ran in:  10.885181903839111
Exciton, frame 78235 ran in:  10.589577674865723
Exciton, frame 78236 ran in:  11.423236846923828
Exciton, frame 78237 ran in:  10.981454372406006
Exciton, frame 78238 ran in:  11.448379516601562
Exciton, frame 78239 ran in:  11.216735601425171
Exciton, frame 78240 ran in:  11.271834373474121
Exciton, frame 78241 ran in:  11.049519777297974
Exciton, frame 78242 ran in:  10.957672357559204
Exciton, frame 78243 ran in:  10.846018075942993
Exciton, frame 78244 ran in:  10.54640793800354
Exciton, frame 78245 ran in:  10.839833498001099
Exciton, frame 78246 ran in:  10.856688022613525
Exciton, frame 78247 ran in:  10.820083856582642
Exciton, frame 78248 ran in:  11.223389625549316
Exciton, frame 78249 ran in:  10.587933540344238
Exciton, frame 78250 ran in:  10.826328754425049
Exciton, frame 78251 ran in:  10.930108308792114
Exciton, frame 78252 ran in:  10.714290142059326
Exciton, frame 78253 ran in:  10.960365772247314
Exciton, frame 78254 ran in:  10.97786831855774
Exciton, frame 78255 ran in:  10.530015707015991
Exciton, frame 78256 ran in:  10.951133489608765
Exciton, frame 78257 ran in:  11.163883447647095
Exciton, frame 78258 ran in:  10.888188362121582
Exciton, frame 78259 ran in:  11.202918291091919
Exciton, frame 78260 ran in:  10.839301824569702
Exciton, frame 78261 ran in:  10.661557912826538
Exciton, frame 78262 ran in:  10.953135251998901
Exciton, frame 78263 ran in:  10.709481716156006
Exciton, frame 78264 ran in:  11.025315046310425
Exciton, frame 78265 ran in:  11.17765498161316
Exciton, frame 78266 ran in:  11.112963676452637
Exciton, frame 78267 ran in:  10.537258386611938
Exciton, frame 78268 ran in:  10.916662216186523
Exciton, frame 78269 ran in:  10.94680118560791
Exciton, frame 78270 ran in:  11.150253057479858
Exciton, frame 78271 ran in:  11.187490463256836
Exciton, frame 78272 ran in:  10.914705276489258
Exciton, frame 78273 ran in:  10.96858024597168
Exciton, frame 78274 ran in:  11.210468292236328
Exciton, frame 78275 ran in:  10.352356195449829
Exciton, frame 78276 ran in:  10.907302379608154
Exciton, frame 78277 ran in:  10.934585332870483
Exciton, frame 78278 ran in:  10.80570673942566
Exciton, frame 78279 ran in:  11.058039426803589
Exciton, frame 78280 ran in:  10.887362480163574
Exciton, frame 78281 ran in:  10.83471393585205
Exciton, frame 78282 ran in:  11.185439109802246
Exciton, frame 78283 ran in:  10.78731393814087
Exciton, frame 78284 ran in:  10.796278715133667
Exciton, frame 78285 ran in:  11.007862329483032
Exciton, frame 78286 ran in:  10.63111925125122
Exciton, frame 78287 ran in:  10.920519828796387
Exciton, frame 78288 ran in:  10.99317455291748
Exciton, frame 78289 ran in:  10.968149900436401
Exciton, frame 78290 ran in:  11.13606071472168
Exciton, frame 78291 ran in:  11.196905612945557
Exciton, frame 78292 ran in:  11.117961406707764
Exciton, frame 78293 ran in:  11.035989761352539
Exciton, frame 78294 ran in:  11.044164419174194
Exciton, frame 78295 ran in:  10.612741708755493
Exciton, frame 78296 ran in:  10.601283311843872
Exciton, frame 78297 ran in:  10.998242139816284
Exciton, frame 78298 ran in:  10.832727432250977
Exciton, frame 78299 ran in:  10.549054145812988
Exciton, frame 78300 ran in:  11.499613285064697
Exciton, frame 78301 ran in:  12.566192626953125
Exciton, frame 78302 ran in:  11.29443073272705
Exciton, frame 78303 ran in:  11.00815749168396
Exciton, frame 78304 ran in:  11.367027282714844
Exciton, frame 78305 ran in:  10.822734832763672
Exciton, frame 78306 ran in:  11.254543781280518
Exciton, frame 78307 ran in:  12.153752088546753
Exciton, frame 78308 ran in:  10.70889401435852
Exciton, frame 78309 ran in:  11.187001943588257
Exciton, frame 78310 ran in:  11.421026945114136
Exciton, frame 78311 ran in:  11.112671852111816
Exciton, frame 78312 ran in:  10.871047496795654
Exciton, frame 78313 ran in:  11.319077491760254
Exciton, frame 78314 ran in:  10.923010110855103
Exciton, frame 78315 ran in:  11.202553272247314
Exciton, frame 78316 ran in:  10.535036563873291
Exciton, frame 78317 ran in:  10.998713493347168
Exciton, frame 78318 ran in:  10.983762979507446
Exciton, frame 78319 ran in:  10.876297950744629
Exciton, frame 78320 ran in:  10.74564504623413
Exciton, frame 78321 ran in:  11.202043294906616
Exciton, frame 78322 ran in:  10.7702317237854
Exciton, frame 78323 ran in:  11.234719038009644
Exciton, frame 78324 ran in:  10.824375867843628
Exciton, frame 78325 ran in:  11.19161081314087
Exciton, frame 78326 ran in:  10.944890975952148
Exciton, frame 78327 ran in:  10.860734701156616
Exciton, frame 78328 ran in:  11.12934422492981
Exciton, frame 78329 ran in:  11.713073492050171
Exciton, frame 78330 ran in:  11.249155282974243
Exciton, frame 78331 ran in:  10.858125448226929
Exciton, frame 78332 ran in:  10.984803438186646
Exciton, frame 78333 ran in:  10.817801713943481
Exciton, frame 78334 ran in:  10.891364097595215
Exciton, frame 78335 ran in:  11.190170049667358
Exciton, frame 78336 ran in:  11.223945379257202
Exciton, frame 78337 ran in:  11.190488576889038
Exciton, frame 78338 ran in:  11.003384828567505
Exciton, frame 78339 ran in:  11.377759218215942
Exciton, frame 78340 ran in:  10.555388689041138
Exciton, frame 78341 ran in:  10.882130146026611
Exciton, frame 78342 ran in:  10.917741537094116
Exciton, frame 78343 ran in:  10.758642196655273
Exciton, frame 78344 ran in:  10.667820930480957
Exciton, frame 78345 ran in:  11.057547330856323
Exciton, frame 78346 ran in:  10.914564609527588
Exciton, frame 78347 ran in:  11.343238115310669
Exciton, frame 78348 ran in:  11.106446981430054
Exciton, frame 78349 ran in:  10.901597499847412
Exciton, frame 78350 ran in:  11.292308807373047
Exciton, frame 78351 ran in:  10.496279954910278
Exciton, frame 78352 ran in:  10.970351934432983
Exciton, frame 78353 ran in:  10.808611154556274
Exciton, frame 78354 ran in:  10.81412124633789
Exciton, frame 78355 ran in:  10.90395712852478
Exciton, frame 78356 ran in:  11.138752698898315
Exciton, frame 78357 ran in:  10.898714065551758
Exciton, frame 78358 ran in:  10.878581285476685
Exciton, frame 78359 ran in:  11.463571071624756
Exciton, frame 78360 ran in:  11.319363117218018
Exciton, frame 78361 ran in:  11.256881713867188
Exciton, frame 78362 ran in:  11.17602014541626
Exciton, frame 78363 ran in:  11.005707025527954
Exciton, frame 78364 ran in:  10.999594449996948
Exciton, frame 78365 ran in:  11.262578010559082
Exciton, frame 78366 ran in:  11.395966529846191
Exciton, frame 78367 ran in:  11.094306468963623
Exciton, frame 78368 ran in:  11.242818117141724
Exciton, frame 78369 ran in:  11.29348111152649
Exciton, frame 78370 ran in:  11.249646425247192
Exciton, frame 78371 ran in:  11.209372997283936
Exciton, frame 78372 ran in:  11.40178370475769
Exciton, frame 78373 ran in:  11.347301721572876
Exciton, frame 78374 ran in:  11.167403221130371
Exciton, frame 78375 ran in:  10.859074831008911
Exciton, frame 78376 ran in:  10.90870189666748
Exciton, frame 78377 ran in:  11.04962420463562
Exciton, frame 78378 ran in:  11.034626007080078
Exciton, frame 78379 ran in:  11.014203310012817
Exciton, frame 78380 ran in:  10.976319313049316
Exciton, frame 78381 ran in:  11.110968351364136
Exciton, frame 78382 ran in:  11.310854196548462
Exciton, frame 78383 ran in:  11.480985879898071
Exciton, frame 78384 ran in:  11.118607759475708
Exciton, frame 78385 ran in:  11.372483968734741
Exciton, frame 78386 ran in:  11.861131191253662
Exciton, frame 78387 ran in:  11.356020450592041
Exciton, frame 78388 ran in:  11.272236347198486
Exciton, frame 78389 ran in:  10.965324640274048
Exciton, frame 78390 ran in:  10.964576005935669
Exciton, frame 78391 ran in:  10.929698467254639
Exciton, frame 78392 ran in:  10.866593837738037
Exciton, frame 78393 ran in:  10.868760824203491
Exciton, frame 78394 ran in:  10.967787027359009
Exciton, frame 78395 ran in:  11.242918729782104
Exciton, frame 78396 ran in:  11.464693546295166
Exciton, frame 78397 ran in:  10.845256567001343
Exciton, frame 78398 ran in:  11.142238140106201
Exciton, frame 78399 ran in:  10.851050853729248
Exciton, frame 78400 ran in:  11.02744722366333
Exciton, frame 78401 ran in:  11.126383781433105
Exciton, frame 78402 ran in:  11.15427565574646
Exciton, frame 78403 ran in:  11.911165475845337
Exciton, frame 78404 ran in:  11.100145101547241
Exciton, frame 78405 ran in:  11.39941692352295
Exciton, frame 78406 ran in:  11.14708924293518
Exciton, frame 78407 ran in:  10.944875001907349
Exciton, frame 78408 ran in:  10.907923460006714
Exciton, frame 78409 ran in:  11.178151845932007
Exciton, frame 78410 ran in:  11.09329605102539
Exciton, frame 78411 ran in:  10.927170276641846
Exciton, frame 78412 ran in:  12.832130670547485
Exciton, frame 78413 ran in:  11.343837022781372
Exciton, frame 78414 ran in:  11.382791996002197
Exciton, frame 78415 ran in:  11.147944927215576
Exciton, frame 78416 ran in:  10.841909170150757
Exciton, frame 78417 ran in:  10.958455801010132
Exciton, frame 78418 ran in:  10.951662540435791
Exciton, frame 78419 ran in:  11.030786514282227
Exciton, frame 78420 ran in:  10.800255537033081
Exciton, frame 78421 ran in:  10.89153528213501
Exciton, frame 78422 ran in:  11.02955675125122
Exciton, frame 78423 ran in:  10.946843147277832
Exciton, frame 78424 ran in:  11.03523063659668
Exciton, frame 78425 ran in:  10.934167385101318
Exciton, frame 78426 ran in:  10.835301637649536
Exciton, frame 78427 ran in:  11.05682110786438
Exciton, frame 78428 ran in:  11.13518762588501
Exciton, frame 78429 ran in:  10.906799554824829
Exciton, frame 78430 ran in:  10.937819004058838
Exciton, frame 78431 ran in:  10.986141681671143
Exciton, frame 78432 ran in:  10.759443759918213
Exciton, frame 78433 ran in:  10.812037706375122
Exciton, frame 78434 ran in:  11.096591711044312
Exciton, frame 78435 ran in:  10.850734949111938
Exciton, frame 78436 ran in:  11.01940393447876
Exciton, frame 78437 ran in:  10.897752046585083
Exciton, frame 78438 ran in:  10.867016315460205
Exciton, frame 78439 ran in:  11.060216903686523
Exciton, frame 78440 ran in:  10.855930805206299
Exciton, frame 78441 ran in:  10.846328735351562
Exciton, frame 78442 ran in:  10.837802171707153
Exciton, frame 78443 ran in:  12.282497644424438
Exciton, frame 78444 ran in:  11.260007858276367
Exciton, frame 78445 ran in:  11.0364248752594
Exciton, frame 78446 ran in:  11.190728187561035
Exciton, frame 78447 ran in:  11.12153697013855
Exciton, frame 78448 ran in:  10.834559202194214
Exciton, frame 78449 ran in:  10.601258754730225
Exciton, frame 78450 ran in:  11.016708612442017
Exciton, frame 78451 ran in:  11.140368700027466
Exciton, frame 78452 ran in:  11.011524677276611
Exciton, frame 78453 ran in:  10.871851444244385
Exciton, frame 78454 ran in:  11.194342374801636
Exciton, frame 78455 ran in:  10.882663011550903
Exciton, frame 78456 ran in:  11.13521671295166
Exciton, frame 78457 ran in:  10.94144868850708
Exciton, frame 78458 ran in:  10.804443359375
Exciton, frame 78459 ran in:  11.37617826461792
Exciton, frame 78460 ran in:  11.493191957473755
Exciton, frame 78461 ran in:  11.098878145217896
Exciton, frame 78462 ran in:  10.728473901748657
Exciton, frame 78463 ran in:  11.168869733810425
Exciton, frame 78464 ran in:  11.3400137424469
Exciton, frame 78465 ran in:  11.728971719741821
Exciton, frame 78466 ran in:  10.753578662872314
Exciton, frame 78467 ran in:  11.309434413909912
Exciton, frame 78468 ran in:  11.394440174102783
Exciton, frame 78469 ran in:  11.069823741912842
Exciton, frame 78470 ran in:  10.795928001403809
Exciton, frame 78471 ran in:  10.97159743309021
Exciton, frame 78472 ran in:  12.34316611289978
Exciton, frame 78473 ran in:  10.856152296066284
Exciton, frame 78474 ran in:  11.493752241134644
Exciton, frame 78475 ran in:  11.106189012527466
Exciton, frame 78476 ran in:  11.456848382949829
Exciton, frame 78477 ran in:  11.58074164390564
Exciton, frame 78478 ran in:  11.35124945640564
Exciton, frame 78479 ran in:  10.69622278213501
Exciton, frame 78480 ran in:  11.349782943725586
Exciton, frame 78481 ran in:  10.982940673828125
Exciton, frame 78482 ran in:  11.834341287612915
Exciton, frame 78483 ran in:  10.945347547531128
Exciton, frame 78484 ran in:  11.35693097114563
Exciton, frame 78485 ran in:  11.126785039901733
Exciton, frame 78486 ran in:  11.639986753463745
Exciton, frame 78487 ran in:  11.5973379611969
Exciton, frame 78488 ran in:  12.5456702709198
Exciton, frame 78489 ran in:  11.087167501449585
Exciton, frame 78490 ran in:  10.892561674118042
Exciton, frame 78491 ran in:  12.00761103630066
Exciton, frame 78492 ran in:  11.786672830581665
Exciton, frame 78493 ran in:  11.03022813796997
Exciton, frame 78494 ran in:  11.113797664642334
Exciton, frame 78495 ran in:  11.236048698425293
Exciton, frame 78496 ran in:  10.621828079223633
Exciton, frame 78497 ran in:  11.211104393005371
Exciton, frame 78498 ran in:  11.109361410140991
Exciton, frame 78499 ran in:  10.644717454910278
Exciton, frame 78500 ran in:  11.53000807762146
Exciton, frame 78501 ran in:  10.908054113388062
Exciton, frame 78502 ran in:  12.74918270111084
Exciton, frame 78503 ran in:  10.578683376312256
Exciton, frame 78504 ran in:  11.066750526428223
Exciton, frame 78505 ran in:  11.332594156265259
Exciton, frame 78506 ran in:  10.944762706756592
Exciton, frame 78507 ran in:  10.515908241271973
Exciton, frame 78508 ran in:  11.159029006958008
Exciton, frame 78509 ran in:  10.938325643539429
Exciton, frame 78510 ran in:  10.913372278213501
Exciton, frame 78511 ran in:  11.226356744766235
Exciton, frame 78512 ran in:  11.175610065460205
Exciton, frame 78513 ran in:  10.888983726501465
Exciton, frame 78514 ran in:  11.043627500534058
Exciton, frame 78515 ran in:  10.847761869430542
Exciton, frame 78516 ran in:  10.573527336120605
Exciton, frame 78517 ran in:  10.81173324584961
Exciton, frame 78518 ran in:  10.498372077941895
Exciton, frame 78519 ran in:  11.011855125427246
Exciton, frame 78520 ran in:  10.742335796356201
Exciton, frame 78521 ran in:  11.323524951934814
Exciton, frame 78522 ran in:  11.383474111557007
Exciton, frame 78523 ran in:  11.227197647094727
Exciton, frame 78524 ran in:  10.998772144317627
Exciton, frame 78525 ran in:  11.012512922286987
Exciton, frame 78526 ran in:  10.768898963928223
Exciton, frame 78527 ran in:  11.369145393371582
Exciton, frame 78528 ran in:  11.472878217697144
Exciton, frame 78529 ran in:  10.864152193069458
Exciton, frame 78530 ran in:  11.06337594985962
Exciton, frame 78531 ran in:  11.077095985412598
Exciton, frame 78532 ran in:  10.827683687210083
Exciton, frame 78533 ran in:  11.256394624710083
Exciton, frame 78534 ran in:  11.110459089279175
Exciton, frame 78535 ran in:  11.090439081192017
Exciton, frame 78536 ran in:  10.755021572113037
Exciton, frame 78537 ran in:  11.06229567527771
Exciton, frame 78538 ran in:  11.172520637512207
Exciton, frame 78539 ran in:  11.032370805740356
Exciton, frame 78540 ran in:  11.027442693710327
Exciton, frame 78541 ran in:  11.076781272888184
Exciton, frame 78542 ran in:  11.010026693344116
Exciton, frame 78543 ran in:  10.824815273284912
Exciton, frame 78544 ran in:  10.59103536605835
Exciton, frame 78545 ran in:  10.741442918777466
Exciton, frame 78546 ran in:  10.947197437286377
Exciton, frame 78547 ran in:  10.773159503936768
Exciton, frame 78548 ran in:  10.796647310256958
Exciton, frame 78549 ran in:  11.098972797393799
Exciton, frame 78550 ran in:  10.945363283157349
Exciton, frame 78551 ran in:  10.909376621246338
Exciton, frame 78552 ran in:  11.333604097366333
Exciton, frame 78553 ran in:  10.992549180984497
Exciton, frame 78554 ran in:  11.096905708312988
Exciton, frame 78555 ran in:  10.687853574752808
Exciton, frame 78556 ran in:  11.97780966758728
Exciton, frame 78557 ran in:  10.95906662940979
Exciton, frame 78558 ran in:  11.013745069503784
Exciton, frame 78559 ran in:  10.772631883621216
Exciton, frame 78560 ran in:  11.20049262046814
Exciton, frame 78561 ran in:  10.706271409988403
Exciton, frame 78562 ran in:  10.852315902709961
Exciton, frame 78563 ran in:  10.810242891311646
Exciton, frame 78564 ran in:  10.761842012405396
Exciton, frame 78565 ran in:  11.075119972229004
Exciton, frame 78566 ran in:  11.069202423095703
Exciton, frame 78567 ran in:  10.826145648956299
