cpu-bind=MASK - bp1-compute167, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.403918 secs
Exciton, frame 69000 ran in:  14.27358341217041
Exciton, frame 69001 ran in:  12.7433340549469
Exciton, frame 69002 ran in:  12.922954082489014
Exciton, frame 69003 ran in:  12.292349338531494
Exciton, frame 69004 ran in:  12.654668092727661
Exciton, frame 69005 ran in:  12.99314284324646
Exciton, frame 69006 ran in:  13.056599378585815
Exciton, frame 69007 ran in:  13.020731210708618
Exciton, frame 69008 ran in:  12.874476671218872
Exciton, frame 69009 ran in:  12.826229572296143
Exciton, frame 69010 ran in:  12.630584955215454
Exciton, frame 69011 ran in:  12.723067998886108
Exciton, frame 69012 ran in:  12.723487377166748
Exciton, frame 69013 ran in:  12.827183961868286
Exciton, frame 69014 ran in:  13.046300172805786
Exciton, frame 69015 ran in:  12.678135395050049
Exciton, frame 69016 ran in:  13.48405933380127
Exciton, frame 69017 ran in:  12.641340255737305
Exciton, frame 69018 ran in:  12.97072696685791
Exciton, frame 69019 ran in:  12.407120943069458
Exciton, frame 69020 ran in:  12.745782852172852
Exciton, frame 69021 ran in:  12.438762187957764
Exciton, frame 69022 ran in:  12.557238101959229
Exciton, frame 69023 ran in:  13.244367599487305
Exciton, frame 69024 ran in:  12.840490818023682
Exciton, frame 69025 ran in:  13.15213942527771
Exciton, frame 69026 ran in:  12.841879606246948
Exciton, frame 69027 ran in:  12.455971717834473
Exciton, frame 69028 ran in:  12.81327772140503
Exciton, frame 69029 ran in:  12.810762882232666
Exciton, frame 69030 ran in:  13.163682222366333
Exciton, frame 69031 ran in:  13.326136589050293
Exciton, frame 69032 ran in:  12.608872652053833
Exciton, frame 69033 ran in:  13.077117204666138
Exciton, frame 69034 ran in:  12.458775043487549
Exciton, frame 69035 ran in:  12.883915662765503
Exciton, frame 69036 ran in:  13.268885850906372
Exciton, frame 69037 ran in:  13.303872108459473
Exciton, frame 69038 ran in:  13.00180983543396
Exciton, frame 69039 ran in:  12.625622510910034
Exciton, frame 69040 ran in:  13.090124368667603
Exciton, frame 69041 ran in:  13.349271297454834
Exciton, frame 69042 ran in:  11.902377843856812
Exciton, frame 69043 ran in:  12.495130777359009
Exciton, frame 69044 ran in:  12.591792821884155
Exciton, frame 69045 ran in:  13.22784161567688
Exciton, frame 69046 ran in:  13.261942863464355
Exciton, frame 69047 ran in:  13.277601957321167
Exciton, frame 69048 ran in:  12.389853954315186
Exciton, frame 69049 ran in:  13.053037643432617
Exciton, frame 69050 ran in:  13.250686168670654
Exciton, frame 69051 ran in:  13.007275342941284
Exciton, frame 69052 ran in:  12.874977827072144
Exciton, frame 69053 ran in:  13.362380266189575
Exciton, frame 69054 ran in:  13.293646097183228
Exciton, frame 69055 ran in:  13.643399953842163
Exciton, frame 69056 ran in:  12.91383171081543
Exciton, frame 69057 ran in:  12.822498083114624
Exciton, frame 69058 ran in:  13.154277801513672
Exciton, frame 69059 ran in:  12.425914287567139
Exciton, frame 69060 ran in:  12.982194423675537
Exciton, frame 69061 ran in:  12.633909702301025
Exciton, frame 69062 ran in:  13.115036725997925
