cpu-bind=MASK - bp1-compute167, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 20.806676 secs
Exciton, frame 105000 ran in:  13.386371612548828
Exciton, frame 105001 ran in:  12.079375743865967
Exciton, frame 105002 ran in:  13.417035818099976
Exciton, frame 105003 ran in:  12.048469543457031
Exciton, frame 105004 ran in:  11.698649168014526
Exciton, frame 105005 ran in:  11.944446802139282
Exciton, frame 105006 ran in:  12.304053544998169
Exciton, frame 105007 ran in:  12.716573476791382
Exciton, frame 105008 ran in:  11.774290084838867
Exciton, frame 105009 ran in:  11.79260802268982
Exciton, frame 105010 ran in:  12.125371932983398
Exciton, frame 105011 ran in:  12.340580701828003
Exciton, frame 105012 ran in:  12.193317651748657
Exciton, frame 105013 ran in:  11.65998363494873
Exciton, frame 105014 ran in:  12.122560739517212
Exciton, frame 105015 ran in:  12.076484441757202
Exciton, frame 105016 ran in:  12.235149383544922
Exciton, frame 105017 ran in:  12.540969371795654
Exciton, frame 105018 ran in:  12.389163494110107
Exciton, frame 105019 ran in:  11.935011625289917
Exciton, frame 105020 ran in:  11.959455728530884
Exciton, frame 105021 ran in:  11.946492671966553
Exciton, frame 105022 ran in:  12.184520721435547
Exciton, frame 105023 ran in:  12.186424493789673
Exciton, frame 105024 ran in:  12.983133792877197
Exciton, frame 105025 ran in:  11.76365041732788
Exciton, frame 105026 ran in:  12.531455039978027
Exciton, frame 105027 ran in:  11.79850149154663
Exciton, frame 105028 ran in:  12.364797830581665
Exciton, frame 105029 ran in:  11.94928240776062
Exciton, frame 105030 ran in:  11.806780815124512
Exciton, frame 105031 ran in:  12.128680944442749
Exciton, frame 105032 ran in:  11.824680805206299
Exciton, frame 105033 ran in:  12.241479396820068
Exciton, frame 105034 ran in:  12.061442613601685
Exciton, frame 105035 ran in:  11.597370386123657
Exciton, frame 105036 ran in:  12.592153310775757
Exciton, frame 105037 ran in:  12.220738887786865
Exciton, frame 105038 ran in:  11.753944635391235
Exciton, frame 105039 ran in:  12.154728412628174
Exciton, frame 105040 ran in:  12.29281210899353
Exciton, frame 105041 ran in:  11.882376909255981
Exciton, frame 105042 ran in:  11.931156396865845
Exciton, frame 105043 ran in:  11.86686110496521
Exciton, frame 105044 ran in:  11.89910101890564
Exciton, frame 105045 ran in:  12.300967693328857
Exciton, frame 105046 ran in:  12.017023801803589
Exciton, frame 105047 ran in:  11.973994016647339
Exciton, frame 105048 ran in:  11.716350793838501
Exciton, frame 105049 ran in:  12.302602291107178
Exciton, frame 105050 ran in:  12.00787353515625
Exciton, frame 105051 ran in:  12.071412086486816
Exciton, frame 105052 ran in:  11.911439895629883
Exciton, frame 105053 ran in:  12.222598314285278
Exciton, frame 105054 ran in:  12.615539073944092
Exciton, frame 105055 ran in:  11.962346076965332
Exciton, frame 105056 ran in:  13.350486040115356
Exciton, frame 105057 ran in:  12.151206970214844
Exciton, frame 105058 ran in:  12.430968999862671
Exciton, frame 105059 ran in:  12.148167133331299
Exciton, frame 105060 ran in:  12.203819036483765
Exciton, frame 105061 ran in:  12.120878458023071
Exciton, frame 105062 ran in:  12.304780721664429
Exciton, frame 105063 ran in:  12.616207599639893
Exciton, frame 105064 ran in:  12.077287673950195
Exciton, frame 105065 ran in:  11.959563970565796
Exciton, frame 105066 ran in:  11.75931191444397
Exciton, frame 105067 ran in:  11.950703859329224
Exciton, frame 105068 ran in:  12.164745330810547
Exciton, frame 105069 ran in:  12.715885400772095
Exciton, frame 105070 ran in:  11.683068990707397
Exciton, frame 105071 ran in:  12.116329193115234
Exciton, frame 105072 ran in:  11.863188028335571
Exciton, frame 105073 ran in:  12.100421905517578
Exciton, frame 105074 ran in:  12.22993779182434
Exciton, frame 105075 ran in:  11.664733409881592
Exciton, frame 105076 ran in:  11.868844032287598
Exciton, frame 105077 ran in:  11.843843460083008
Exciton, frame 105078 ran in:  12.462135314941406
Exciton, frame 105079 ran in:  12.414214611053467
Exciton, frame 105080 ran in:  12.168975591659546
Exciton, frame 105081 ran in:  11.874170541763306
Exciton, frame 105082 ran in:  11.947944164276123
Exciton, frame 105083 ran in:  11.856333255767822
Exciton, frame 105084 ran in:  11.828720569610596
Exciton, frame 105085 ran in:  12.439582824707031
Exciton, frame 105086 ran in:  11.814317226409912
Exciton, frame 105087 ran in:  11.87468409538269
Exciton, frame 105088 ran in:  12.05212926864624
Exciton, frame 105089 ran in:  11.722865343093872
Exciton, frame 105090 ran in:  11.796655654907227
Exciton, frame 105091 ran in:  12.103475570678711
Exciton, frame 105092 ran in:  11.921873331069946
Exciton, frame 105093 ran in:  11.862277269363403
Exciton, frame 105094 ran in:  11.623108863830566
Exciton, frame 105095 ran in:  12.274155139923096
Exciton, frame 105096 ran in:  12.014277935028076
Exciton, frame 105097 ran in:  11.991036176681519
Exciton, frame 105098 ran in:  11.961010694503784
Exciton, frame 105099 ran in:  11.890955924987793
Exciton, frame 105100 ran in:  12.05018401145935
Exciton, frame 105101 ran in:  11.857807874679565
Exciton, frame 105102 ran in:  12.126673460006714
Exciton, frame 105103 ran in:  11.846954822540283
Exciton, frame 105104 ran in:  11.84661054611206
Exciton, frame 105105 ran in:  11.86273717880249
Exciton, frame 105106 ran in:  11.859683275222778
Exciton, frame 105107 ran in:  11.840773820877075
Exciton, frame 105108 ran in:  12.1325843334198
Exciton, frame 105109 ran in:  11.875402927398682
Exciton, frame 105110 ran in:  11.720787525177002
Exciton, frame 105111 ran in:  12.342587947845459
Exciton, frame 105112 ran in:  11.920589208602905
Exciton, frame 105113 ran in:  12.201009035110474
Exciton, frame 105114 ran in:  11.823578596115112
Exciton, frame 105115 ran in:  12.72293758392334
Exciton, frame 105116 ran in:  12.121983766555786
Exciton, frame 105117 ran in:  12.336317539215088
Exciton, frame 105118 ran in:  11.928541898727417
Exciton, frame 105119 ran in:  12.48954463005066
Exciton, frame 105120 ran in:  12.103552103042603
Exciton, frame 105121 ran in:  12.090302467346191
Exciton, frame 105122 ran in:  12.263923645019531
Exciton, frame 105123 ran in:  12.323520421981812
Exciton, frame 105124 ran in:  11.870504379272461
Exciton, frame 105125 ran in:  11.96821641921997
Exciton, frame 105126 ran in:  12.00400185585022
Exciton, frame 105127 ran in:  12.06030821800232
Exciton, frame 105128 ran in:  11.838897228240967
Exciton, frame 105129 ran in:  12.515546083450317
Exciton, frame 105130 ran in:  12.043880701065063
Exciton, frame 105131 ran in:  11.832454919815063
Exciton, frame 105132 ran in:  12.366497039794922
