cpu-bind=MASK - bp1-compute155, task 4294967295 4294967295 [0]: mask 0xf000fffff000ffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.743730 secs
Exciton, frame 3129 ran in:  12.323127031326294
Exciton, frame 3130 ran in:  11.926154851913452
Exciton, frame 3131 ran in:  11.969762802124023
Exciton, frame 3132 ran in:  11.965917348861694
Exciton, frame 3133 ran in:  12.530705213546753
Exciton, frame 3134 ran in:  11.797434568405151
Exciton, frame 3135 ran in:  12.095768451690674
Exciton, frame 3136 ran in:  11.834962606430054
Exciton, frame 3137 ran in:  12.01111102104187
Exciton, frame 3138 ran in:  11.958218097686768
Exciton, frame 3139 ran in:  11.781230211257935
Exciton, frame 3140 ran in:  12.000978231430054
Exciton, frame 3141 ran in:  12.324752807617188
Exciton, frame 3142 ran in:  12.332719564437866
Exciton, frame 3143 ran in:  11.857200622558594
Exciton, frame 3144 ran in:  12.189568758010864
Exciton, frame 3145 ran in:  11.978549242019653
Exciton, frame 3146 ran in:  12.114943265914917
Exciton, frame 3147 ran in:  12.315013647079468
Exciton, frame 3148 ran in:  11.912898302078247
Exciton, frame 3149 ran in:  12.333428621292114
Exciton, frame 3150 ran in:  11.945677280426025
Exciton, frame 3151 ran in:  11.991074085235596
Exciton, frame 3152 ran in:  11.794587850570679
Exciton, frame 3153 ran in:  12.371141910552979
Exciton, frame 3154 ran in:  11.899735689163208
Exciton, frame 3155 ran in:  11.872413158416748
Exciton, frame 3156 ran in:  11.90496826171875
Exciton, frame 3157 ran in:  12.082472562789917
Exciton, frame 3158 ran in:  11.970982789993286
Exciton, frame 3159 ran in:  11.720515727996826
Exciton, frame 3160 ran in:  12.288845539093018
Exciton, frame 3161 ran in:  11.854644298553467
Exciton, frame 3162 ran in:  11.915129661560059
Exciton, frame 3163 ran in:  12.076932430267334
Exciton, frame 3164 ran in:  11.931075096130371
Exciton, frame 3165 ran in:  11.91008448600769
Exciton, frame 3166 ran in:  11.929398775100708
Exciton, frame 3167 ran in:  11.913350582122803
Exciton, frame 3168 ran in:  11.9019136428833
Exciton, frame 3169 ran in:  12.052484035491943
Exciton, frame 3170 ran in:  11.658535718917847
Exciton, frame 3171 ran in:  12.124652624130249
Exciton, frame 3172 ran in:  11.928143501281738
Exciton, frame 3173 ran in:  11.924258708953857
Exciton, frame 3174 ran in:  11.887542247772217
Exciton, frame 3175 ran in:  12.032590389251709
Exciton, frame 3176 ran in:  11.861247777938843
Exciton, frame 3177 ran in:  12.402645111083984
Exciton, frame 3178 ran in:  12.035618782043457
Exciton, frame 3179 ran in:  11.796028137207031
Exciton, frame 3180 ran in:  12.086456298828125
Exciton, frame 3181 ran in:  11.82751750946045
Exciton, frame 3182 ran in:  11.7598557472229
Exciton, frame 3183 ran in:  11.98764967918396
Exciton, frame 3184 ran in:  11.722575426101685
Exciton, frame 3185 ran in:  12.504862785339355
Exciton, frame 3186 ran in:  12.30926775932312
Exciton, frame 3187 ran in:  11.752748012542725
Exciton, frame 3188 ran in:  12.27055287361145
Exciton, frame 3189 ran in:  12.034351587295532
Exciton, frame 3190 ran in:  11.951115846633911
Exciton, frame 3191 ran in:  11.912183284759521
Exciton, frame 3192 ran in:  12.08695125579834
