cpu-bind=MASK - bp1-compute134, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.741877 secs
Exciton, frame 123000 ran in:  14.667349338531494
Exciton, frame 123001 ran in:  12.073196172714233
Exciton, frame 123002 ran in:  13.202596187591553
Exciton, frame 123003 ran in:  13.185432195663452
Exciton, frame 123004 ran in:  12.960911750793457
Exciton, frame 123005 ran in:  12.949169158935547
Exciton, frame 123006 ran in:  13.045909881591797
Exciton, frame 123007 ran in:  13.131338119506836
Exciton, frame 123008 ran in:  12.98881983757019
Exciton, frame 123009 ran in:  13.21155309677124
Exciton, frame 123010 ran in:  13.256103515625
Exciton, frame 123011 ran in:  13.263543367385864
Exciton, frame 123012 ran in:  12.907151222229004
Exciton, frame 123013 ran in:  13.190677642822266
Exciton, frame 123014 ran in:  12.966150045394897
Exciton, frame 123015 ran in:  13.112374305725098
Exciton, frame 123016 ran in:  12.831424713134766
Exciton, frame 123017 ran in:  13.309510946273804
Exciton, frame 123018 ran in:  13.249494075775146
Exciton, frame 123019 ran in:  13.211085557937622
Exciton, frame 123020 ran in:  13.156385898590088
Exciton, frame 123021 ran in:  13.355070352554321
Exciton, frame 123022 ran in:  13.599475622177124
Exciton, frame 123023 ran in:  13.461093187332153
Exciton, frame 123024 ran in:  12.158161163330078
Exciton, frame 123025 ran in:  12.267740726470947
Exciton, frame 123026 ran in:  12.485642671585083
Exciton, frame 123027 ran in:  12.913541316986084
Exciton, frame 123028 ran in:  12.6363205909729
Exciton, frame 123029 ran in:  13.884178638458252
Exciton, frame 123030 ran in:  14.16340970993042
Exciton, frame 123031 ran in:  12.36518669128418
Exciton, frame 123032 ran in:  14.010535478591919
Exciton, frame 123033 ran in:  12.326980590820312
Exciton, frame 123034 ran in:  12.048338413238525
Exciton, frame 123035 ran in:  11.918403625488281
Exciton, frame 123036 ran in:  11.915027141571045
Exciton, frame 123037 ran in:  13.840546607971191
Exciton, frame 123038 ran in:  12.181514263153076
Exciton, frame 123039 ran in:  12.824456930160522
Exciton, frame 123040 ran in:  12.22531795501709
Exciton, frame 123041 ran in:  11.718839168548584
Exciton, frame 123042 ran in:  12.234118461608887
Exciton, frame 123043 ran in:  12.227204322814941
Exciton, frame 123044 ran in:  13.33797812461853
Exciton, frame 123045 ran in:  13.199128150939941
Exciton, frame 123046 ran in:  14.11517858505249
Exciton, frame 123047 ran in:  12.535461187362671
Exciton, frame 123048 ran in:  14.021293640136719
Exciton, frame 123049 ran in:  13.86687707901001
Exciton, frame 123050 ran in:  12.583051919937134
Exciton, frame 123051 ran in:  14.531622648239136
Exciton, frame 123052 ran in:  12.412233591079712
Exciton, frame 123053 ran in:  12.273195028305054
Exciton, frame 123054 ran in:  12.094201803207397
Exciton, frame 123055 ran in:  13.709803342819214
Exciton, frame 123056 ran in:  12.146509885787964
Exciton, frame 123057 ran in:  11.992621898651123
Exciton, frame 123058 ran in:  11.956060409545898
Exciton, frame 123059 ran in:  12.165913820266724
Exciton, frame 123060 ran in:  12.331953525543213
Exciton, frame 123061 ran in:  12.29276728630066
Exciton, frame 123062 ran in:  12.656115770339966
Exciton, frame 123063 ran in:  12.157908201217651
Exciton, frame 123064 ran in:  11.974998235702515
Exciton, frame 123065 ran in:  12.011675119400024
Exciton, frame 123066 ran in:  12.115934133529663
Exciton, frame 123067 ran in:  12.530892372131348
Exciton, frame 123068 ran in:  12.043927669525146
Exciton, frame 123069 ran in:  11.991849184036255
Exciton, frame 123070 ran in:  11.609383344650269
Exciton, frame 123071 ran in:  13.60722541809082
Exciton, frame 123072 ran in:  12.051483392715454
Exciton, frame 123073 ran in:  12.81334400177002
Exciton, frame 123074 ran in:  12.37135100364685
Exciton, frame 123075 ran in:  12.818670749664307
Exciton, frame 123076 ran in:  11.868968725204468
Exciton, frame 123077 ran in:  12.377423524856567
Exciton, frame 123078 ran in:  13.475447416305542
Exciton, frame 123079 ran in:  12.761075019836426
Exciton, frame 123080 ran in:  11.728857278823853
Exciton, frame 123081 ran in:  12.115352630615234
Exciton, frame 123082 ran in:  12.131255149841309
Exciton, frame 123083 ran in:  12.248824119567871
Exciton, frame 123084 ran in:  12.31535792350769
Exciton, frame 123085 ran in:  12.18938684463501
Exciton, frame 123086 ran in:  12.311613321304321
Exciton, frame 123087 ran in:  12.050982475280762
Exciton, frame 123088 ran in:  12.497523069381714
Exciton, frame 123089 ran in:  12.067614316940308
Exciton, frame 123090 ran in:  12.340005159378052
Exciton, frame 123091 ran in:  12.157702445983887
Exciton, frame 123092 ran in:  12.534455299377441
Exciton, frame 123093 ran in:  12.345950603485107
Exciton, frame 123094 ran in:  12.238540410995483
Exciton, frame 123095 ran in:  12.669898748397827
Exciton, frame 123096 ran in:  11.886497497558594
Exciton, frame 123097 ran in:  13.448184967041016
Exciton, frame 123098 ran in:  14.087674617767334
Exciton, frame 123099 ran in:  12.014025211334229
Exciton, frame 123100 ran in:  12.295353651046753
Exciton, frame 123101 ran in:  12.65423321723938
Exciton, frame 123102 ran in:  12.302292823791504
Exciton, frame 123103 ran in:  12.661386728286743
Exciton, frame 123104 ran in:  14.202572584152222
Exciton, frame 123105 ran in:  13.21421480178833
Exciton, frame 123106 ran in:  12.309265375137329
Exciton, frame 123107 ran in:  11.889348983764648
Exciton, frame 123108 ran in:  12.26470160484314
Exciton, frame 123109 ran in:  12.118250131607056
Exciton, frame 123110 ran in:  13.731014728546143
Exciton, frame 123111 ran in:  12.785010576248169
Exciton, frame 123112 ran in:  11.88643503189087
Exciton, frame 123113 ran in:  12.774659872055054
Exciton, frame 123114 ran in:  11.702720165252686
Exciton, frame 123115 ran in:  12.650096416473389
Exciton, frame 123116 ran in:  12.17910623550415
Exciton, frame 123117 ran in:  13.841820001602173
Exciton, frame 123118 ran in:  13.027964115142822
Exciton, frame 123119 ran in:  12.895200490951538
Exciton, frame 123120 ran in:  12.990924596786499
Exciton, frame 123121 ran in:  11.931905746459961
Exciton, frame 123122 ran in:  12.139075994491577
Exciton, frame 123123 ran in:  11.551701545715332
Exciton, frame 123124 ran in:  13.550923585891724
Exciton, frame 123125 ran in:  13.751255512237549
Exciton, frame 123126 ran in:  12.154683351516724
Exciton, frame 123127 ran in:  13.008731842041016
Exciton, frame 123128 ran in:  12.012753963470459
Exciton, frame 123129 ran in:  12.292125463485718
Exciton, frame 123130 ran in:  11.973064184188843
Exciton, frame 123131 ran in:  12.616028785705566
Exciton, frame 123132 ran in:  14.077418088912964
Exciton, frame 123133 ran in:  12.437234878540039
Exciton, frame 123134 ran in:  12.11055302619934
Exciton, frame 123135 ran in:  12.30160117149353
Exciton, frame 123136 ran in:  12.055472373962402
Exciton, frame 123137 ran in:  11.939297199249268
Exciton, frame 123138 ran in:  12.275819540023804
Exciton, frame 123139 ran in:  12.036116600036621
Exciton, frame 123140 ran in:  11.978441953659058
Exciton, frame 123141 ran in:  12.322821855545044
Exciton, frame 123142 ran in:  12.287642478942871
Exciton, frame 123143 ran in:  12.206998825073242
Exciton, frame 123144 ran in:  12.817764282226562
