cpu-bind=MASK - bp1-compute038, task 4294967295 4294967295 [0]: mask 0xff0fffff0fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.268157 secs
Exciton, frame 147129 ran in:  10.694586992263794
Exciton, frame 147130 ran in:  10.823343753814697
Exciton, frame 147131 ran in:  10.846837043762207
Exciton, frame 147132 ran in:  10.886627435684204
Exciton, frame 147133 ran in:  10.767634153366089
Exciton, frame 147134 ran in:  10.93197751045227
Exciton, frame 147135 ran in:  10.762380838394165
Exciton, frame 147136 ran in:  10.754730463027954
Exciton, frame 147137 ran in:  10.6996328830719
Exciton, frame 147138 ran in:  10.946342945098877
Exciton, frame 147139 ran in:  10.87464189529419
Exciton, frame 147140 ran in:  11.11612606048584
Exciton, frame 147141 ran in:  11.673968315124512
Exciton, frame 147142 ran in:  11.838071346282959
Exciton, frame 147143 ran in:  11.309141397476196
Exciton, frame 147144 ran in:  11.43734097480774
Exciton, frame 147145 ran in:  11.18729043006897
Exciton, frame 147146 ran in:  11.228055000305176
Exciton, frame 147147 ran in:  10.851212501525879
Exciton, frame 147148 ran in:  10.840709924697876
Exciton, frame 147149 ran in:  11.002487659454346
Exciton, frame 147150 ran in:  10.552780151367188
Exciton, frame 147151 ran in:  11.07885217666626
Exciton, frame 147152 ran in:  11.54507565498352
Exciton, frame 147153 ran in:  10.802383422851562
Exciton, frame 147154 ran in:  10.859273433685303
Exciton, frame 147155 ran in:  10.958693504333496
Exciton, frame 147156 ran in:  10.995630025863647
Exciton, frame 147157 ran in:  11.133912801742554
Exciton, frame 147158 ran in:  10.889002084732056
Exciton, frame 147159 ran in:  10.823885440826416
Exciton, frame 147160 ran in:  10.808061838150024
Exciton, frame 147161 ran in:  11.036459684371948
Exciton, frame 147162 ran in:  11.169543504714966
Exciton, frame 147163 ran in:  11.146543025970459
Exciton, frame 147164 ran in:  10.673013687133789
Exciton, frame 147165 ran in:  11.181323289871216
Exciton, frame 147166 ran in:  10.716365575790405
Exciton, frame 147167 ran in:  11.004769086837769
Exciton, frame 147168 ran in:  10.837386846542358
Exciton, frame 147169 ran in:  10.920743465423584
Exciton, frame 147170 ran in:  11.22056770324707
Exciton, frame 147171 ran in:  11.121555805206299
Exciton, frame 147172 ran in:  11.404053211212158
Exciton, frame 147173 ran in:  11.254024267196655
Exciton, frame 147174 ran in:  10.895087480545044
Exciton, frame 147175 ran in:  11.13362169265747
Exciton, frame 147176 ran in:  10.90585994720459
Exciton, frame 147177 ran in:  11.015507698059082
Exciton, frame 147178 ran in:  10.61609172821045
Exciton, frame 147179 ran in:  11.046432733535767
Exciton, frame 147180 ran in:  11.114786148071289
Exciton, frame 147181 ran in:  11.098890542984009
Exciton, frame 147182 ran in:  11.296417713165283
Exciton, frame 147183 ran in:  10.766767263412476
Exciton, frame 147184 ran in:  11.078304767608643
Exciton, frame 147185 ran in:  10.583232879638672
Exciton, frame 147186 ran in:  10.825446128845215
Exciton, frame 147187 ran in:  11.065765857696533
Exciton, frame 147188 ran in:  11.280478239059448
Exciton, frame 147189 ran in:  11.904390811920166
Exciton, frame 147190 ran in:  10.859599828720093
Exciton, frame 147191 ran in:  11.262971639633179
Exciton, frame 147192 ran in:  11.350029468536377
Exciton, frame 147193 ran in:  11.590217351913452
