cpu-bind=MASK - bp1-compute065, task 4294967295 4294967295 [0]: mask 0xffdfdcffdfdc set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.691583 secs
Exciton, frame 48129 ran in:  12.381301641464233
Exciton, frame 48130 ran in:  12.360793828964233
Exciton, frame 48131 ran in:  12.799978017807007
Exciton, frame 48132 ran in:  12.320460319519043
Exciton, frame 48133 ran in:  13.456582307815552
Exciton, frame 48134 ran in:  13.154447317123413
Exciton, frame 48135 ran in:  12.112899541854858
Exciton, frame 48136 ran in:  12.843814134597778
Exciton, frame 48137 ran in:  12.347836017608643
Exciton, frame 48138 ran in:  12.657203674316406
Exciton, frame 48139 ran in:  13.146727800369263
Exciton, frame 48140 ran in:  12.416741371154785
Exciton, frame 48141 ran in:  12.268562316894531
Exciton, frame 48142 ran in:  12.236634492874146
Exciton, frame 48143 ran in:  13.403592348098755
Exciton, frame 48144 ran in:  12.570059537887573
Exciton, frame 48145 ran in:  12.267668008804321
Exciton, frame 48146 ran in:  12.441779375076294
Exciton, frame 48147 ran in:  12.045685529708862
Exciton, frame 48148 ran in:  12.338054895401001
Exciton, frame 48149 ran in:  12.213774919509888
Exciton, frame 48150 ran in:  12.213186264038086
Exciton, frame 48151 ran in:  13.184099197387695
Exciton, frame 48152 ran in:  12.428539037704468
Exciton, frame 48153 ran in:  12.119756937026978
Exciton, frame 48154 ran in:  12.162603616714478
Exciton, frame 48155 ran in:  12.313456773757935
Exciton, frame 48156 ran in:  13.180955648422241
Exciton, frame 48157 ran in:  13.118536233901978
Exciton, frame 48158 ran in:  13.287439584732056
Exciton, frame 48159 ran in:  13.29309868812561
Exciton, frame 48160 ran in:  12.181257486343384
Exciton, frame 48161 ran in:  12.248156785964966
Exciton, frame 48162 ran in:  12.659507989883423
Exciton, frame 48163 ran in:  12.137073993682861
Exciton, frame 48164 ran in:  12.085644483566284
Exciton, frame 48165 ran in:  12.088883399963379
Exciton, frame 48166 ran in:  12.088384866714478
Exciton, frame 48167 ran in:  12.190776824951172
Exciton, frame 48168 ran in:  12.195438861846924
Exciton, frame 48169 ran in:  12.926227331161499
Exciton, frame 48170 ran in:  12.200137615203857
Exciton, frame 48171 ran in:  12.400967597961426
Exciton, frame 48172 ran in:  12.452134370803833
Exciton, frame 48173 ran in:  12.474952220916748
Exciton, frame 48174 ran in:  12.286315202713013
Exciton, frame 48175 ran in:  12.234206676483154
Exciton, frame 48176 ran in:  12.076209783554077
Exciton, frame 48177 ran in:  12.202562093734741
Exciton, frame 48178 ran in:  13.038886785507202
Exciton, frame 48179 ran in:  12.936540365219116
Exciton, frame 48180 ran in:  13.246890306472778
Exciton, frame 48181 ran in:  13.065497636795044
Exciton, frame 48182 ran in:  12.891997814178467
Exciton, frame 48183 ran in:  12.955939292907715
Exciton, frame 48184 ran in:  12.211156606674194
Exciton, frame 48185 ran in:  12.38870620727539
Exciton, frame 48186 ran in:  12.162679672241211
