cpu-bind=MASK - bp1-compute135, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.590045 secs
Exciton, frame 81000 ran in:  13.232803583145142
Exciton, frame 81001 ran in:  12.750189542770386
Exciton, frame 81002 ran in:  13.039361953735352
Exciton, frame 81003 ran in:  12.565202236175537
Exciton, frame 81004 ran in:  12.738646507263184
Exciton, frame 81005 ran in:  12.659155368804932
Exciton, frame 81006 ran in:  13.211910724639893
Exciton, frame 81007 ran in:  13.330558061599731
Exciton, frame 81008 ran in:  13.14154052734375
Exciton, frame 81009 ran in:  12.78652310371399
Exciton, frame 81010 ran in:  12.718439817428589
Exciton, frame 81011 ran in:  12.289664506912231
Exciton, frame 81012 ran in:  12.940988063812256
Exciton, frame 81013 ran in:  13.197293519973755
Exciton, frame 81014 ran in:  12.786520957946777
Exciton, frame 81015 ran in:  12.795980453491211
Exciton, frame 81016 ran in:  12.609805583953857
Exciton, frame 81017 ran in:  12.96719741821289
Exciton, frame 81018 ran in:  13.409682750701904
Exciton, frame 81019 ran in:  12.752280950546265
Exciton, frame 81020 ran in:  13.1343994140625
Exciton, frame 81021 ran in:  13.165663719177246
Exciton, frame 81022 ran in:  12.80777382850647
Exciton, frame 81023 ran in:  12.522664785385132
Exciton, frame 81024 ran in:  12.89066767692566
Exciton, frame 81025 ran in:  13.06451153755188
Exciton, frame 81026 ran in:  13.094931840896606
Exciton, frame 81027 ran in:  13.181863784790039
Exciton, frame 81028 ran in:  12.834263563156128
Exciton, frame 81029 ran in:  13.219959497451782
Exciton, frame 81030 ran in:  12.223850011825562
Exciton, frame 81031 ran in:  12.805819034576416
Exciton, frame 81032 ran in:  13.148171424865723
Exciton, frame 81033 ran in:  13.03195595741272
Exciton, frame 81034 ran in:  12.9980788230896
Exciton, frame 81035 ran in:  12.628244638442993
Exciton, frame 81036 ran in:  12.976677894592285
