cpu-bind=MASK - bp1-compute126, task 4294967295 4294967295 [0]: mask 0xff9edfff9edf set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 23.997831 secs
Exciton, frame 99129 ran in:  12.849190711975098
Exciton, frame 99130 ran in:  12.767711639404297
Exciton, frame 99131 ran in:  13.095827341079712
Exciton, frame 99132 ran in:  12.981918573379517
Exciton, frame 99133 ran in:  12.800378322601318
Exciton, frame 99134 ran in:  12.8925461769104
Exciton, frame 99135 ran in:  12.977025747299194
Exciton, frame 99136 ran in:  12.82436490058899
Exciton, frame 99137 ran in:  12.82949948310852
Exciton, frame 99138 ran in:  12.835994005203247
Exciton, frame 99139 ran in:  13.028730869293213
Exciton, frame 99140 ran in:  13.090109825134277
Exciton, frame 99141 ran in:  13.133445024490356
Exciton, frame 99142 ran in:  12.983863592147827
Exciton, frame 99143 ran in:  13.00601315498352
Exciton, frame 99144 ran in:  13.27348017692566
Exciton, frame 99145 ran in:  13.051015377044678
Exciton, frame 99146 ran in:  12.785872459411621
Exciton, frame 99147 ran in:  13.006861209869385
Exciton, frame 99148 ran in:  13.09440302848816
Exciton, frame 99149 ran in:  12.826775312423706
Exciton, frame 99150 ran in:  12.875992059707642
Exciton, frame 99151 ran in:  12.746755838394165
Exciton, frame 99152 ran in:  12.94513463973999
Exciton, frame 99153 ran in:  12.970667362213135
Exciton, frame 99154 ran in:  12.933674097061157
Exciton, frame 99155 ran in:  12.929024696350098
Exciton, frame 99156 ran in:  13.145616054534912
Exciton, frame 99157 ran in:  12.984043836593628
Exciton, frame 99158 ran in:  12.721760034561157
Exciton, frame 99159 ran in:  13.070029258728027
Exciton, frame 99160 ran in:  12.977603673934937
Exciton, frame 99161 ran in:  12.871922492980957
Exciton, frame 99162 ran in:  12.90282392501831
Exciton, frame 99163 ran in:  13.231216430664062
Exciton, frame 99164 ran in:  13.033180952072144
Exciton, frame 99165 ran in:  13.030241012573242
Exciton, frame 99166 ran in:  13.153508186340332
Exciton, frame 99167 ran in:  12.986668586730957
Exciton, frame 99168 ran in:  12.916245937347412
Exciton, frame 99169 ran in:  12.949331760406494
Exciton, frame 99170 ran in:  12.984405755996704
Exciton, frame 99171 ran in:  13.039263725280762
Exciton, frame 99172 ran in:  12.897657632827759
Exciton, frame 99173 ran in:  13.029380559921265
Exciton, frame 99174 ran in:  12.878536939620972
Exciton, frame 99175 ran in:  12.98814082145691
Exciton, frame 99176 ran in:  13.101057767868042
Exciton, frame 99177 ran in:  12.688018798828125
Exciton, frame 99178 ran in:  12.894506216049194
Exciton, frame 99179 ran in:  13.056428909301758
Exciton, frame 99180 ran in:  12.790204763412476
Exciton, frame 99181 ran in:  13.218232870101929
Exciton, frame 99182 ran in:  12.951483249664307
Exciton, frame 99183 ran in:  12.878656148910522
Exciton, frame 99184 ran in:  13.001466989517212
Exciton, frame 99185 ran in:  13.17197585105896
Exciton, frame 99186 ran in:  12.972919225692749
Exciton, frame 99187 ran in:  12.894196510314941
Exciton, frame 99188 ran in:  12.818185329437256
Exciton, frame 99189 ran in:  13.08821177482605
Exciton, frame 99190 ran in:  12.877214193344116
Exciton, frame 99191 ran in:  13.104702949523926
Exciton, frame 99192 ran in:  12.905177116394043
Exciton, frame 99193 ran in:  13.0071542263031
Exciton, frame 99194 ran in:  12.638336658477783
Exciton, frame 99195 ran in:  12.91231369972229
Exciton, frame 99196 ran in:  13.037311792373657
Exciton, frame 99197 ran in:  12.992316007614136
Exciton, frame 99198 ran in:  12.806034564971924
Exciton, frame 99199 ran in:  13.04230546951294
Exciton, frame 99200 ran in:  12.931299924850464
Exciton, frame 99201 ran in:  12.966196060180664
Exciton, frame 99202 ran in:  13.060977220535278
Exciton, frame 99203 ran in:  13.127819299697876
Exciton, frame 99204 ran in:  12.998884201049805
Exciton, frame 99205 ran in:  13.131081819534302
Exciton, frame 99206 ran in:  13.238230466842651
Exciton, frame 99207 ran in:  12.916858673095703
Exciton, frame 99208 ran in:  13.002453804016113
Exciton, frame 99209 ran in:  13.13249945640564
Exciton, frame 99210 ran in:  12.925518274307251
Exciton, frame 99211 ran in:  13.093446254730225
Exciton, frame 99212 ran in:  13.042787075042725
Exciton, frame 99213 ran in:  13.02570128440857
Exciton, frame 99214 ran in:  13.070438861846924
Exciton, frame 99215 ran in:  12.808919429779053
Exciton, frame 99216 ran in:  12.982895374298096
Exciton, frame 99217 ran in:  13.02585744857788
Exciton, frame 99218 ran in:  13.10442042350769
Exciton, frame 99219 ran in:  13.399637699127197
Exciton, frame 99220 ran in:  12.775123357772827
Exciton, frame 99221 ran in:  13.052706241607666
Exciton, frame 99222 ran in:  12.936067342758179
Exciton, frame 99223 ran in:  13.001949071884155
Exciton, frame 99224 ran in:  13.050974369049072
Exciton, frame 99225 ran in:  13.22049069404602
Exciton, frame 99226 ran in:  13.017885446548462
Exciton, frame 99227 ran in:  13.106508731842041
Exciton, frame 99228 ran in:  13.02210807800293
Exciton, frame 99229 ran in:  13.17124629020691
Exciton, frame 99230 ran in:  13.085800886154175
Exciton, frame 99231 ran in:  12.963539123535156
Exciton, frame 99232 ran in:  12.780370712280273
Exciton, frame 99233 ran in:  12.937852144241333
Exciton, frame 99234 ran in:  13.046852827072144
Exciton, frame 99235 ran in:  13.00104284286499
Exciton, frame 99236 ran in:  13.116559505462646
Exciton, frame 99237 ran in:  12.679601907730103
Exciton, frame 99238 ran in:  12.904089450836182
Exciton, frame 99239 ran in:  12.842823028564453
Exciton, frame 99240 ran in:  12.974544525146484
Exciton, frame 99241 ran in:  12.940992832183838
Exciton, frame 99242 ran in:  13.089882373809814
Exciton, frame 99243 ran in:  12.921063661575317
Exciton, frame 99244 ran in:  12.977086305618286
Exciton, frame 99245 ran in:  12.986871719360352
Exciton, frame 99246 ran in:  12.716959476470947
Exciton, frame 99247 ran in:  12.821161270141602
Exciton, frame 99248 ran in:  12.87970781326294
Exciton, frame 99249 ran in:  13.088015794754028
Exciton, frame 99250 ran in:  12.967594623565674
Exciton, frame 99251 ran in:  13.1314218044281
Exciton, frame 99252 ran in:  13.002242088317871
Exciton, frame 99253 ran in:  13.205668449401855
Exciton, frame 99254 ran in:  13.135263681411743
Exciton, frame 99255 ran in:  12.993726253509521
Exciton, frame 99256 ran in:  13.128529787063599
Exciton, frame 99257 ran in:  12.84683108329773
Exciton, frame 99258 ran in:  12.894885778427124
Exciton, frame 99259 ran in:  12.935832500457764
Exciton, frame 99260 ran in:  12.772286653518677
Exciton, frame 99261 ran in:  13.05545449256897
Exciton, frame 99262 ran in:  12.74817442893982
Exciton, frame 99263 ran in:  13.051965951919556
Exciton, frame 99264 ran in:  12.738603353500366
Exciton, frame 99265 ran in:  12.87551236152649
Exciton, frame 99266 ran in:  12.980430841445923
Exciton, frame 99267 ran in:  12.924984693527222
Exciton, frame 99268 ran in:  12.722532987594604
Exciton, frame 99269 ran in:  12.73274302482605
Exciton, frame 99270 ran in:  12.830665826797485
Exciton, frame 99271 ran in:  12.831467390060425
Exciton, frame 99272 ran in:  13.146650552749634
Exciton, frame 99273 ran in:  12.830835342407227
Exciton, frame 99274 ran in:  12.946223497390747
Exciton, frame 99275 ran in:  12.927922010421753
Exciton, frame 99276 ran in:  12.949649095535278
Exciton, frame 99277 ran in:  13.28306245803833
Exciton, frame 99278 ran in:  12.764211654663086
Exciton, frame 99279 ran in:  12.96984314918518
Exciton, frame 99280 ran in:  12.847005605697632
Exciton, frame 99281 ran in:  12.974068641662598
Exciton, frame 99282 ran in:  12.885103225708008
Exciton, frame 99283 ran in:  13.091459035873413
Exciton, frame 99284 ran in:  12.997087001800537
Exciton, frame 99285 ran in:  13.14733624458313
Exciton, frame 99286 ran in:  13.115139722824097
Exciton, frame 99287 ran in:  13.095975875854492
Exciton, frame 99288 ran in:  13.1297926902771
Exciton, frame 99289 ran in:  12.98136591911316
Exciton, frame 99290 ran in:  12.888085126876831
Exciton, frame 99291 ran in:  13.088545083999634
Exciton, frame 99292 ran in:  13.026684761047363
