cpu-bind=MASK - bp1-compute093, task 4294967295 4294967295 [0]: mask 0xf78ffff78fff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.090245 secs
Exciton, frame 36129 ran in:  12.010122060775757
Exciton, frame 36130 ran in:  11.93821382522583
Exciton, frame 36131 ran in:  13.004972696304321
Exciton, frame 36132 ran in:  11.96632432937622
Exciton, frame 36133 ran in:  11.922115564346313
Exciton, frame 36134 ran in:  12.035367488861084
Exciton, frame 36135 ran in:  11.907446384429932
Exciton, frame 36136 ran in:  12.01493501663208
Exciton, frame 36137 ran in:  12.162972211837769
Exciton, frame 36138 ran in:  11.97966718673706
Exciton, frame 36139 ran in:  12.10202693939209
Exciton, frame 36140 ran in:  12.125514030456543
Exciton, frame 36141 ran in:  12.009672403335571
Exciton, frame 36142 ran in:  12.068158149719238
Exciton, frame 36143 ran in:  12.285559177398682
Exciton, frame 36144 ran in:  11.768918991088867
Exciton, frame 36145 ran in:  12.149457931518555
Exciton, frame 36146 ran in:  12.194649696350098
Exciton, frame 36147 ran in:  11.902423620223999
Exciton, frame 36148 ran in:  11.784138679504395
Exciton, frame 36149 ran in:  11.982159614562988
Exciton, frame 36150 ran in:  11.738091468811035
Exciton, frame 36151 ran in:  11.809687614440918
Exciton, frame 36152 ran in:  11.52717399597168
Exciton, frame 36153 ran in:  11.995925903320312
Exciton, frame 36154 ran in:  12.160640001296997
Exciton, frame 36155 ran in:  11.762619256973267
Exciton, frame 36156 ran in:  11.956787109375
Exciton, frame 36157 ran in:  11.786603927612305
Exciton, frame 36158 ran in:  12.557252883911133
Exciton, frame 36159 ran in:  12.266566514968872
Exciton, frame 36160 ran in:  12.048824548721313
Exciton, frame 36161 ran in:  12.085324764251709
Exciton, frame 36162 ran in:  12.195476055145264
Exciton, frame 36163 ran in:  12.459315538406372
Exciton, frame 36164 ran in:  11.882487535476685
Exciton, frame 36165 ran in:  12.371289491653442
Exciton, frame 36166 ran in:  11.654193639755249
Exciton, frame 36167 ran in:  11.704490900039673
Exciton, frame 36168 ran in:  12.312349319458008
Exciton, frame 36169 ran in:  12.092787504196167
Exciton, frame 36170 ran in:  12.44881796836853
Exciton, frame 36171 ran in:  11.806482553482056
Exciton, frame 36172 ran in:  12.098041772842407
Exciton, frame 36173 ran in:  12.53273344039917
Exciton, frame 36174 ran in:  12.135263919830322
Exciton, frame 36175 ran in:  11.684631824493408
Exciton, frame 36176 ran in:  11.744096994400024
Exciton, frame 36177 ran in:  12.245139122009277
Exciton, frame 36178 ran in:  11.840466737747192
Exciton, frame 36179 ran in:  11.968084812164307
Exciton, frame 36180 ran in:  11.559203624725342
Exciton, frame 36181 ran in:  11.774644613265991
Exciton, frame 36182 ran in:  11.844999313354492
Exciton, frame 36183 ran in:  12.138485431671143
Exciton, frame 36184 ran in:  12.609303951263428
Exciton, frame 36185 ran in:  12.115296602249146
Exciton, frame 36186 ran in:  11.76516580581665
Exciton, frame 36187 ran in:  11.91486668586731
Exciton, frame 36188 ran in:  11.87675929069519
Exciton, frame 36189 ran in:  11.895307779312134
Exciton, frame 36190 ran in:  11.954512596130371
Exciton, frame 36191 ran in:  12.422092199325562
Exciton, frame 36192 ran in:  12.186033964157104
Exciton, frame 36193 ran in:  12.262094974517822
Exciton, frame 36194 ran in:  11.774554252624512
Exciton, frame 36195 ran in:  11.991421222686768
Exciton, frame 36196 ran in:  11.985175848007202
Exciton, frame 36197 ran in:  11.797918319702148
Exciton, frame 36198 ran in:  12.250799417495728
Exciton, frame 36199 ran in:  11.763077735900879
Exciton, frame 36200 ran in:  11.901911735534668
Exciton, frame 36201 ran in:  12.2097487449646
Exciton, frame 36202 ran in:  11.837486028671265
Exciton, frame 36203 ran in:  11.704854965209961
Exciton, frame 36204 ran in:  12.127158403396606
Exciton, frame 36205 ran in:  12.019250631332397
Exciton, frame 36206 ran in:  11.794337034225464
Exciton, frame 36207 ran in:  12.263497829437256
Exciton, frame 36208 ran in:  11.542908430099487
Exciton, frame 36209 ran in:  11.99587082862854
Exciton, frame 36210 ran in:  11.998849630355835
Exciton, frame 36211 ran in:  12.492309808731079
Exciton, frame 36212 ran in:  12.495309591293335
Exciton, frame 36213 ran in:  11.639354228973389
Exciton, frame 36214 ran in:  12.267766952514648
Exciton, frame 36215 ran in:  12.477199792861938
Exciton, frame 36216 ran in:  12.261629819869995
Exciton, frame 36217 ran in:  11.817813158035278
Exciton, frame 36218 ran in:  11.907078981399536
Exciton, frame 36219 ran in:  11.836931467056274
Exciton, frame 36220 ran in:  12.044819831848145
Exciton, frame 36221 ran in:  12.02975606918335
Exciton, frame 36222 ran in:  11.814109325408936
Exciton, frame 36223 ran in:  12.00192666053772
Exciton, frame 36224 ran in:  12.516538143157959
Exciton, frame 36225 ran in:  12.565691709518433
Exciton, frame 36226 ran in:  11.758894681930542
Exciton, frame 36227 ran in:  11.731734275817871
Exciton, frame 36228 ran in:  12.243199110031128
Exciton, frame 36229 ran in:  12.094369411468506
Exciton, frame 36230 ran in:  12.123027086257935
Exciton, frame 36231 ran in:  12.229487657546997
Exciton, frame 36232 ran in:  11.72435212135315
Exciton, frame 36233 ran in:  12.358280658721924
Exciton, frame 36234 ran in:  11.960760354995728
Exciton, frame 36235 ran in:  11.755932807922363
Exciton, frame 36236 ran in:  11.969419240951538
Exciton, frame 36237 ran in:  12.653951644897461
Exciton, frame 36238 ran in:  11.871592998504639
Exciton, frame 36239 ran in:  12.259846448898315
Exciton, frame 36240 ran in:  12.002978563308716
Exciton, frame 36241 ran in:  11.854398727416992
Exciton, frame 36242 ran in:  12.034031867980957
Exciton, frame 36243 ran in:  12.01133918762207
Exciton, frame 36244 ran in:  11.993752002716064
Exciton, frame 36245 ran in:  12.259392499923706
Exciton, frame 36246 ran in:  12.47178339958191
Exciton, frame 36247 ran in:  12.306849718093872
