cpu-bind=MASK - bp1-compute134, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.458669 secs
Exciton, frame 84000 ran in:  13.497163772583008
Exciton, frame 84001 ran in:  12.116514682769775
Exciton, frame 84002 ran in:  13.898285627365112
Exciton, frame 84003 ran in:  12.660790920257568
Exciton, frame 84004 ran in:  12.910253763198853
Exciton, frame 84005 ran in:  11.68608808517456
Exciton, frame 84006 ran in:  12.156544923782349
Exciton, frame 84007 ran in:  12.285547494888306
Exciton, frame 84008 ran in:  11.566943168640137
Exciton, frame 84009 ran in:  12.553820133209229
Exciton, frame 84010 ran in:  12.93960690498352
Exciton, frame 84011 ran in:  14.134923696517944
Exciton, frame 84012 ran in:  12.341643571853638
Exciton, frame 84013 ran in:  12.52830457687378
Exciton, frame 84014 ran in:  12.284509658813477
Exciton, frame 84015 ran in:  12.03834342956543
Exciton, frame 84016 ran in:  12.294191598892212
Exciton, frame 84017 ran in:  13.152401208877563
Exciton, frame 84018 ran in:  12.055527925491333
Exciton, frame 84019 ran in:  12.108955383300781
Exciton, frame 84020 ran in:  11.985527992248535
Exciton, frame 84021 ran in:  12.07576060295105
Exciton, frame 84022 ran in:  12.355544805526733
Exciton, frame 84023 ran in:  12.661324501037598
Exciton, frame 84024 ran in:  12.466766595840454
Exciton, frame 84025 ran in:  11.944602251052856
Exciton, frame 84026 ran in:  11.991731405258179
Exciton, frame 84027 ran in:  12.52009630203247
Exciton, frame 84028 ran in:  12.103846073150635
Exciton, frame 84029 ran in:  12.26193618774414
Exciton, frame 84030 ran in:  12.796490907669067
Exciton, frame 84031 ran in:  12.064725160598755
Exciton, frame 84032 ran in:  14.322592496871948
Exciton, frame 84033 ran in:  13.5841383934021
Exciton, frame 84034 ran in:  12.402683973312378
Exciton, frame 84035 ran in:  12.630716323852539
Exciton, frame 84036 ran in:  13.167407035827637
Exciton, frame 84037 ran in:  12.536564588546753
Exciton, frame 84038 ran in:  12.373611211776733
Exciton, frame 84039 ran in:  13.063015699386597
Exciton, frame 84040 ran in:  12.102996587753296
Exciton, frame 84041 ran in:  11.77007269859314
Exciton, frame 84042 ran in:  12.596625089645386
Exciton, frame 84043 ran in:  11.783073902130127
Exciton, frame 84044 ran in:  12.546287298202515
Exciton, frame 84045 ran in:  11.98580527305603
Exciton, frame 84046 ran in:  12.156062602996826
Exciton, frame 84047 ran in:  12.202367782592773
Exciton, frame 84048 ran in:  12.984107971191406
Exciton, frame 84049 ran in:  12.497790336608887
Exciton, frame 84050 ran in:  12.435161828994751
Exciton, frame 84051 ran in:  12.62882399559021
Exciton, frame 84052 ran in:  11.799129486083984
Exciton, frame 84053 ran in:  13.210596799850464
Exciton, frame 84054 ran in:  12.041491508483887
Exciton, frame 84055 ran in:  12.49251103401184
Exciton, frame 84056 ran in:  13.023576259613037
Exciton, frame 84057 ran in:  12.457292556762695
Exciton, frame 84058 ran in:  11.964172601699829
Exciton, frame 84059 ran in:  12.287268161773682
Exciton, frame 84060 ran in:  13.691550493240356
Exciton, frame 84061 ran in:  12.221150398254395
Exciton, frame 84062 ran in:  12.071244478225708
Exciton, frame 84063 ran in:  12.032074928283691
Exciton, frame 84064 ran in:  12.797967672348022
Exciton, frame 84065 ran in:  12.430251121520996
Exciton, frame 84066 ran in:  12.348052740097046
Exciton, frame 84067 ran in:  12.041485071182251
Exciton, frame 84068 ran in:  13.096692323684692
Exciton, frame 84069 ran in:  12.745965003967285
Exciton, frame 84070 ran in:  14.073519229888916
Exciton, frame 84071 ran in:  12.882680892944336
Exciton, frame 84072 ran in:  12.113281011581421
Exciton, frame 84073 ran in:  11.994932889938354
Exciton, frame 84074 ran in:  12.498194456100464
Exciton, frame 84075 ran in:  13.32076096534729
Exciton, frame 84076 ran in:  11.857560634613037
Exciton, frame 84077 ran in:  11.892385959625244
Exciton, frame 84078 ran in:  12.01771354675293
Exciton, frame 84079 ran in:  11.991743564605713
Exciton, frame 84080 ran in:  11.947400569915771
Exciton, frame 84081 ran in:  11.696051120758057
Exciton, frame 84082 ran in:  12.504746437072754
Exciton, frame 84083 ran in:  12.074422121047974
Exciton, frame 84084 ran in:  11.982484579086304
Exciton, frame 84085 ran in:  12.114999294281006
Exciton, frame 84086 ran in:  14.01831579208374
Exciton, frame 84087 ran in:  12.93242597579956
Exciton, frame 84088 ran in:  13.038071870803833
Exciton, frame 84089 ran in:  12.04206395149231
Exciton, frame 84090 ran in:  13.724216938018799
Exciton, frame 84091 ran in:  12.117122411727905
Exciton, frame 84092 ran in:  12.124866962432861
Exciton, frame 84093 ran in:  12.254908800125122
Exciton, frame 84094 ran in:  12.63313364982605
Exciton, frame 84095 ran in:  12.01352071762085
Exciton, frame 84096 ran in:  13.877230405807495
Exciton, frame 84097 ran in:  13.064069271087646
Exciton, frame 84098 ran in:  13.44174599647522
Exciton, frame 84099 ran in:  14.140808820724487
Exciton, frame 84100 ran in:  12.198535680770874
Exciton, frame 84101 ran in:  12.275498151779175
Exciton, frame 84102 ran in:  12.180299997329712
Exciton, frame 84103 ran in:  12.282527208328247
Exciton, frame 84104 ran in:  12.242578029632568
Exciton, frame 84105 ran in:  12.613429546356201
Exciton, frame 84106 ran in:  12.413273572921753
Exciton, frame 84107 ran in:  11.734212875366211
Exciton, frame 84108 ran in:  12.530430316925049
Exciton, frame 84109 ran in:  12.059168100357056
Exciton, frame 84110 ran in:  13.705113410949707
Exciton, frame 84111 ran in:  11.856971979141235
Exciton, frame 84112 ran in:  12.037274599075317
Exciton, frame 84113 ran in:  12.026552200317383
Exciton, frame 84114 ran in:  11.335070610046387
Exciton, frame 84115 ran in:  12.28542160987854
Exciton, frame 84116 ran in:  12.38385820388794
Exciton, frame 84117 ran in:  11.733577489852905
Exciton, frame 84118 ran in:  12.438247442245483
Exciton, frame 84119 ran in:  13.483134746551514
Exciton, frame 84120 ran in:  12.241326332092285
Exciton, frame 84121 ran in:  13.162536859512329
Exciton, frame 84122 ran in:  12.282485246658325
Exciton, frame 84123 ran in:  13.72001314163208
Exciton, frame 84124 ran in:  12.59361481666565
Exciton, frame 84125 ran in:  12.56748366355896
Exciton, frame 84126 ran in:  12.665044069290161
Exciton, frame 84127 ran in:  13.99635934829712
Exciton, frame 84128 ran in:  12.74423885345459
Exciton, frame 84129 ran in:  12.434895992279053
Exciton, frame 84130 ran in:  12.217550992965698
Exciton, frame 84131 ran in:  14.567935705184937
Exciton, frame 84132 ran in:  12.443454504013062
Exciton, frame 84133 ran in:  12.100166082382202
Exciton, frame 84134 ran in:  13.750810384750366
Exciton, frame 84135 ran in:  12.012869119644165
Exciton, frame 84136 ran in:  11.708832025527954
Exciton, frame 84137 ran in:  12.197606325149536
Exciton, frame 84138 ran in:  13.830257177352905
Exciton, frame 84139 ran in:  12.6296706199646
Exciton, frame 84140 ran in:  12.131078720092773
Exciton, frame 84141 ran in:  12.080790519714355
Exciton, frame 84142 ran in:  13.122697353363037
Exciton, frame 84143 ran in:  11.645488262176514
Exciton, frame 84144 ran in:  13.348114490509033
Exciton, frame 84145 ran in:  12.25911283493042
Exciton, frame 84146 ran in:  12.62467074394226
Exciton, frame 84147 ran in:  12.23690676689148
Exciton, frame 84148 ran in:  12.346842050552368
Exciton, frame 84149 ran in:  13.968392133712769
Exciton, frame 84150 ran in:  12.240225315093994
Exciton, frame 84151 ran in:  11.888268232345581
Exciton, frame 84152 ran in:  12.58161187171936
Exciton, frame 84153 ran in:  12.778892517089844
Exciton, frame 84154 ran in:  12.093542575836182
Exciton, frame 84155 ran in:  11.692974090576172
Exciton, frame 84156 ran in:  12.110173225402832
Exciton, frame 84157 ran in:  12.557576656341553
Exciton, frame 84158 ran in:  12.24280333518982
Exciton, frame 84159 ran in:  12.207930088043213
Exciton, frame 84160 ran in:  12.156121253967285
Exciton, frame 84161 ran in:  12.309334993362427
Exciton, frame 84162 ran in:  12.203057050704956
Exciton, frame 84163 ran in:  13.012125253677368
Exciton, frame 84164 ran in:  11.87321138381958
Exciton, frame 84165 ran in:  12.290092468261719
Exciton, frame 84166 ran in:  12.124764919281006
Exciton, frame 84167 ran in:  12.072391510009766
Exciton, frame 84168 ran in:  12.542035818099976
Exciton, frame 84169 ran in:  13.843516826629639
Exciton, frame 84170 ran in:  12.167598962783813
Exciton, frame 84171 ran in:  12.053850889205933
Exciton, frame 84172 ran in:  12.249013185501099
Exciton, frame 84173 ran in:  12.277495622634888
Exciton, frame 84174 ran in:  12.12812352180481
Exciton, frame 84175 ran in:  12.154458999633789
