cpu-bind=MASK - bp1-compute194, task 4294967295 4294967295 [0]: mask 0x107f9fe0000000013000000000000000107f9fe000000001300000000 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 13.874515 secs
Exciton, frame 60128 ran in:  17.656113386154175
Exciton, frame 60129 ran in:  17.563815116882324
Exciton, frame 60130 ran in:  18.65817642211914
Exciton, frame 60131 ran in:  18.46987009048462
Exciton, frame 60132 ran in:  16.42375373840332
Exciton, frame 60133 ran in:  18.09626579284668
Exciton, frame 60134 ran in:  17.66526198387146
Exciton, frame 60135 ran in:  18.136873960494995
Exciton, frame 60136 ran in:  18.31508207321167
Exciton, frame 60137 ran in:  18.53667950630188
Exciton, frame 60138 ran in:  18.165766716003418
Exciton, frame 60139 ran in:  17.527567386627197
Exciton, frame 60140 ran in:  16.42118525505066
Exciton, frame 60141 ran in:  17.777854681015015
Exciton, frame 60142 ran in:  18.731361150741577
Exciton, frame 60143 ran in:  18.360705852508545
Exciton, frame 60144 ran in:  16.613131523132324
Exciton, frame 60145 ran in:  18.173668146133423
Exciton, frame 60146 ran in:  17.753313779830933
Exciton, frame 60147 ran in:  18.22872829437256
Exciton, frame 60148 ran in:  19.25066328048706
Exciton, frame 60149 ran in:  18.968198776245117
Exciton, frame 60150 ran in:  18.283262014389038
Exciton, frame 60151 ran in:  18.05394220352173
Exciton, frame 60152 ran in:  18.80332040786743
Exciton, frame 60153 ran in:  18.064183712005615
Exciton, frame 60154 ran in:  17.89507246017456
Exciton, frame 60155 ran in:  18.906936168670654
Exciton, frame 60156 ran in:  17.855304956436157
Exciton, frame 60157 ran in:  18.80767512321472
Exciton, frame 60158 ran in:  20.04262614250183
Exciton, frame 60159 ran in:  16.815078020095825
Exciton, frame 60160 ran in:  17.51841974258423
Exciton, frame 60161 ran in:  17.51876473426819
Exciton, frame 60162 ran in:  18.5798237323761
Exciton, frame 60163 ran in:  19.77827286720276
Exciton, frame 60164 ran in:  18.904417037963867
Exciton, frame 60165 ran in:  18.634764194488525
Exciton, frame 60166 ran in:  16.5744366645813
Exciton, frame 60167 ran in:  18.890073776245117
Exciton, frame 60168 ran in:  19.01469898223877
Exciton, frame 60169 ran in:  16.834590435028076
Exciton, frame 60170 ran in:  18.008070945739746
Exciton, frame 60171 ran in:  18.59643244743347
Exciton, frame 60172 ran in:  17.97432780265808
Exciton, frame 60173 ran in:  18.647138833999634
Exciton, frame 60174 ran in:  18.476121425628662
Exciton, frame 60175 ran in:  18.340155124664307
Exciton, frame 60176 ran in:  18.892685890197754
Exciton, frame 60177 ran in:  17.95035982131958
Exciton, frame 60178 ran in:  17.144075393676758
Exciton, frame 60179 ran in:  16.247769832611084
Exciton, frame 60180 ran in:  18.005521059036255
Exciton, frame 60181 ran in:  18.20803141593933
Exciton, frame 60182 ran in:  18.87201428413391
Exciton, frame 60183 ran in:  17.65450406074524
Exciton, frame 60184 ran in:  18.99101758003235
Exciton, frame 60185 ran in:  17.664886474609375
Exciton, frame 60186 ran in:  18.228707551956177
Exciton, frame 60187 ran in:  18.35603642463684
Exciton, frame 60188 ran in:  18.65977191925049
Exciton, frame 60189 ran in:  18.778332471847534
Exciton, frame 60190 ran in:  18.967618942260742
Exciton, frame 60191 ran in:  18.285861492156982
Exciton, frame 60192 ran in:  19.305686473846436
Exciton, frame 60193 ran in:  19.003321886062622
Exciton, frame 60194 ran in:  18.936192512512207
Exciton, frame 60195 ran in:  17.3615243434906
Exciton, frame 60196 ran in:  17.459495544433594
Exciton, frame 60197 ran in:  18.663023233413696
Exciton, frame 60198 ran in:  18.517091989517212
Exciton, frame 60199 ran in:  19.1880886554718
Exciton, frame 60200 ran in:  18.14032554626465
Exciton, frame 60201 ran in:  19.082146644592285
Exciton, frame 60202 ran in:  18.08632469177246
Exciton, frame 60203 ran in:  19.367307424545288
Exciton, frame 60204 ran in:  17.888918161392212
Exciton, frame 60205 ran in:  18.81410551071167
Exciton, frame 60206 ran in:  18.767975568771362
Exciton, frame 60207 ran in:  17.59874725341797
Exciton, frame 60208 ran in:  17.756173372268677
Exciton, frame 60209 ran in:  17.715970039367676
Exciton, frame 60210 ran in:  18.91182565689087
Exciton, frame 60211 ran in:  19.204099893569946
Exciton, frame 60212 ran in:  17.43140459060669
Exciton, frame 60213 ran in:  18.132604360580444
Exciton, frame 60214 ran in:  17.694546937942505
Exciton, frame 60215 ran in:  18.742493152618408
Exciton, frame 60216 ran in:  16.986467838287354
Exciton, frame 60217 ran in:  22.225361347198486
Exciton, frame 60218 ran in:  18.507482290267944
Exciton, frame 60219 ran in:  15.735188007354736
Exciton, frame 60220 ran in:  18.626097679138184
Exciton, frame 60221 ran in:  16.118122816085815
