cpu-bind=MASK - bp1-compute148, task 4294967295 4294967295 [0]: mask 0xfffff000fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.599864 secs
Exciton, frame 144000 ran in:  14.382202386856079
Exciton, frame 144001 ran in:  13.706337690353394
Exciton, frame 144002 ran in:  14.145187616348267
Exciton, frame 144003 ran in:  13.358937978744507
Exciton, frame 144004 ran in:  13.520872592926025
Exciton, frame 144005 ran in:  13.612556457519531
Exciton, frame 144006 ran in:  13.729602813720703
Exciton, frame 144007 ran in:  13.715362787246704
Exciton, frame 144008 ran in:  13.42097783088684
Exciton, frame 144009 ran in:  14.291049242019653
Exciton, frame 144010 ran in:  13.555184602737427
Exciton, frame 144011 ran in:  14.362525939941406
Exciton, frame 144012 ran in:  13.514816522598267
Exciton, frame 144013 ran in:  13.53892970085144
Exciton, frame 144014 ran in:  14.257628679275513
Exciton, frame 144015 ran in:  14.157973289489746
Exciton, frame 144016 ran in:  13.723615407943726
Exciton, frame 144017 ran in:  14.582877397537231
Exciton, frame 144018 ran in:  13.848482370376587
Exciton, frame 144019 ran in:  14.130810737609863
Exciton, frame 144020 ran in:  13.996071100234985
Exciton, frame 144021 ran in:  14.279083013534546
Exciton, frame 144022 ran in:  14.211426734924316
Exciton, frame 144023 ran in:  13.2811279296875
Exciton, frame 144024 ran in:  13.657742500305176
Exciton, frame 144025 ran in:  13.544710636138916
Exciton, frame 144026 ran in:  13.968449354171753
Exciton, frame 144027 ran in:  14.172276496887207
Exciton, frame 144028 ran in:  13.543765783309937
Exciton, frame 144029 ran in:  14.066816568374634
Exciton, frame 144030 ran in:  13.702799558639526
Exciton, frame 144031 ran in:  13.999504566192627
Exciton, frame 144032 ran in:  13.992540121078491
Exciton, frame 144033 ran in:  14.061882734298706
Exciton, frame 144034 ran in:  14.071554899215698
Exciton, frame 144035 ran in:  14.01998257637024
Exciton, frame 144036 ran in:  13.768696784973145
Exciton, frame 144037 ran in:  13.69392204284668
Exciton, frame 144038 ran in:  13.646345138549805
Exciton, frame 144039 ran in:  13.777903079986572
Exciton, frame 144040 ran in:  14.142541646957397
Exciton, frame 144041 ran in:  13.677175760269165
Exciton, frame 144042 ran in:  13.82566523551941
Exciton, frame 144043 ran in:  14.19942855834961
Exciton, frame 144044 ran in:  13.69368839263916
