cpu-bind=MASK - bp1-compute054, task 4294967295 4294967295 [0]: mask 0xfffff0fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.724509 secs
Exciton, frame 27000 ran in:  14.396929502487183
Exciton, frame 27001 ran in:  12.389963865280151
Exciton, frame 27002 ran in:  12.339709520339966
Exciton, frame 27003 ran in:  13.086261987686157
Exciton, frame 27004 ran in:  12.596519470214844
Exciton, frame 27005 ran in:  12.151254892349243
Exciton, frame 27006 ran in:  13.065553665161133
Exciton, frame 27007 ran in:  12.59583067893982
Exciton, frame 27008 ran in:  12.765088081359863
Exciton, frame 27009 ran in:  12.728896379470825
Exciton, frame 27010 ran in:  12.293238878250122
Exciton, frame 27011 ran in:  12.95184850692749
Exciton, frame 27012 ran in:  12.144278526306152
Exciton, frame 27013 ran in:  12.698158502578735
Exciton, frame 27014 ran in:  11.950207233428955
Exciton, frame 27015 ran in:  12.839022874832153
Exciton, frame 27016 ran in:  11.859910488128662
Exciton, frame 27017 ran in:  12.660893678665161
Exciton, frame 27018 ran in:  12.026729345321655
Exciton, frame 27019 ran in:  12.063643217086792
Exciton, frame 27020 ran in:  12.177602529525757
Exciton, frame 27021 ran in:  12.623811483383179
Exciton, frame 27022 ran in:  12.688949584960938
Exciton, frame 27023 ran in:  13.029540300369263
Exciton, frame 27024 ran in:  12.943762063980103
Exciton, frame 27025 ran in:  13.137029886245728
Exciton, frame 27026 ran in:  11.884246110916138
Exciton, frame 27027 ran in:  11.776891231536865
Exciton, frame 27028 ran in:  11.68542218208313
Exciton, frame 27029 ran in:  12.180723667144775
Exciton, frame 27030 ran in:  11.8803551197052
Exciton, frame 27031 ran in:  13.257842779159546
Exciton, frame 27032 ran in:  12.819146871566772
Exciton, frame 27033 ran in:  12.500922679901123
Exciton, frame 27034 ran in:  11.894023418426514
Exciton, frame 27035 ran in:  11.781338214874268
Exciton, frame 27036 ran in:  12.944869995117188
Exciton, frame 27037 ran in:  13.006645917892456
Exciton, frame 27038 ran in:  12.208872079849243
Exciton, frame 27039 ran in:  11.963369369506836
Exciton, frame 27040 ran in:  11.762207269668579
Exciton, frame 27041 ran in:  11.844241619110107
Exciton, frame 27042 ran in:  11.996517658233643
Exciton, frame 27043 ran in:  12.72517204284668
Exciton, frame 27044 ran in:  11.932460308074951
Exciton, frame 27045 ran in:  12.079925060272217
Exciton, frame 27046 ran in:  12.291607141494751
Exciton, frame 27047 ran in:  11.804093360900879
Exciton, frame 27048 ran in:  13.090812683105469
Exciton, frame 27049 ran in:  12.783526420593262
Exciton, frame 27050 ran in:  13.070533752441406
Exciton, frame 27051 ran in:  11.845115184783936
Exciton, frame 27052 ran in:  12.439562320709229
Exciton, frame 27053 ran in:  12.807718992233276
Exciton, frame 27054 ran in:  13.108187675476074
Exciton, frame 27055 ran in:  11.957575798034668
Exciton, frame 27056 ran in:  11.980592250823975
Exciton, frame 27057 ran in:  12.856498003005981
Exciton, frame 27058 ran in:  13.021610260009766
Exciton, frame 27059 ran in:  11.73103666305542
Exciton, frame 27060 ran in:  11.855234384536743
Exciton, frame 27061 ran in:  11.74630093574524
Exciton, frame 27062 ran in:  12.078813791275024
Exciton, frame 27063 ran in:  11.8305082321167
Exciton, frame 27064 ran in:  11.684682369232178
Exciton, frame 27065 ran in:  11.904980659484863
Exciton, frame 27066 ran in:  11.85862398147583
Exciton, frame 27067 ran in:  13.223087549209595
Exciton, frame 27068 ran in:  11.807931661605835
Exciton, frame 27069 ran in:  11.809251308441162
Exciton, frame 27070 ran in:  11.840639591217041
Exciton, frame 27071 ran in:  12.227215766906738
Exciton, frame 27072 ran in:  12.051172733306885
Exciton, frame 27073 ran in:  11.869486808776855
Exciton, frame 27074 ran in:  11.989026546478271
Exciton, frame 27075 ran in:  11.860388278961182
Exciton, frame 27076 ran in:  11.89191222190857
Exciton, frame 27077 ran in:  11.949642419815063
Exciton, frame 27078 ran in:  11.865736722946167
Exciton, frame 27079 ran in:  11.747976064682007
Exciton, frame 27080 ran in:  11.93900990486145
Exciton, frame 27081 ran in:  11.78177785873413
Exciton, frame 27082 ran in:  11.831718683242798
Exciton, frame 27083 ran in:  12.64263105392456
Exciton, frame 27084 ran in:  11.861699104309082
Exciton, frame 27085 ran in:  13.091193675994873
Exciton, frame 27086 ran in:  13.054866552352905
Exciton, frame 27087 ran in:  11.792495489120483
Exciton, frame 27088 ran in:  11.703061819076538
Exciton, frame 27089 ran in:  12.422525882720947
Exciton, frame 27090 ran in:  11.95531702041626
Exciton, frame 27091 ran in:  12.69242811203003
Exciton, frame 27092 ran in:  11.958966970443726
Exciton, frame 27093 ran in:  12.003036499023438
Exciton, frame 27094 ran in:  12.547562599182129
Exciton, frame 27095 ran in:  12.253196001052856
Exciton, frame 27096 ran in:  12.44659423828125
Exciton, frame 27097 ran in:  12.519572734832764
Exciton, frame 27098 ran in:  13.031419515609741
Exciton, frame 27099 ran in:  11.895538091659546
Exciton, frame 27100 ran in:  12.466465473175049
Exciton, frame 27101 ran in:  11.785778522491455
Exciton, frame 27102 ran in:  11.910841226577759
Exciton, frame 27103 ran in:  12.17516040802002
Exciton, frame 27104 ran in:  12.582288265228271
Exciton, frame 27105 ran in:  11.824499368667603
Exciton, frame 27106 ran in:  12.027018785476685
Exciton, frame 27107 ran in:  12.827835083007812
Exciton, frame 27108 ran in:  12.05026888847351
Exciton, frame 27109 ran in:  11.96719479560852
Exciton, frame 27110 ran in:  11.95276665687561
Exciton, frame 27111 ran in:  13.132486820220947
Exciton, frame 27112 ran in:  12.956263542175293
Exciton, frame 27113 ran in:  11.816350936889648
Exciton, frame 27114 ran in:  13.084660530090332
Exciton, frame 27115 ran in:  11.909965515136719
Exciton, frame 27116 ran in:  12.030532598495483
Exciton, frame 27117 ran in:  12.043457508087158
Exciton, frame 27118 ran in:  12.017669439315796
Exciton, frame 27119 ran in:  11.855361700057983
Exciton, frame 27120 ran in:  11.91847825050354
Exciton, frame 27121 ran in:  12.066474199295044
Exciton, frame 27122 ran in:  12.380998849868774
Exciton, frame 27123 ran in:  12.199726104736328
Exciton, frame 27124 ran in:  12.721672058105469
Exciton, frame 27125 ran in:  12.602109432220459
Exciton, frame 27126 ran in:  12.971144676208496
Exciton, frame 27127 ran in:  11.893544435501099
Exciton, frame 27128 ran in:  11.953116655349731
Exciton, frame 27129 ran in:  11.960914134979248
Exciton, frame 27130 ran in:  11.795484781265259
Exciton, frame 27131 ran in:  11.825345039367676
Exciton, frame 27132 ran in:  11.78591537475586
Exciton, frame 27133 ran in:  11.96712327003479
Exciton, frame 27134 ran in:  11.905796527862549
Exciton, frame 27135 ran in:  11.890726566314697
Exciton, frame 27136 ran in:  11.876302480697632
Exciton, frame 27137 ran in:  11.898643732070923
Exciton, frame 27138 ran in:  11.748887300491333
Exciton, frame 27139 ran in:  13.037305116653442
Exciton, frame 27140 ran in:  13.082680463790894
Exciton, frame 27141 ran in:  12.00955057144165
Exciton, frame 27142 ran in:  11.90859603881836
Exciton, frame 27143 ran in:  11.675303220748901
Exciton, frame 27144 ran in:  12.600255012512207
Exciton, frame 27145 ran in:  11.66678762435913
Exciton, frame 27146 ran in:  11.934957265853882
Exciton, frame 27147 ran in:  12.641523599624634
Exciton, frame 27148 ran in:  11.803294897079468
Exciton, frame 27149 ran in:  11.92006778717041
Exciton, frame 27150 ran in:  11.903802394866943
Exciton, frame 27151 ran in:  12.000893592834473
Exciton, frame 27152 ran in:  11.933493375778198
Exciton, frame 27153 ran in:  11.776779651641846
Exciton, frame 27154 ran in:  11.852423429489136
Exciton, frame 27155 ran in:  12.802739143371582
Exciton, frame 27156 ran in:  12.087924242019653
Exciton, frame 27157 ran in:  11.893916368484497
Exciton, frame 27158 ran in:  11.80182147026062
Exciton, frame 27159 ran in:  13.005142450332642
Exciton, frame 27160 ran in:  11.789626359939575
Exciton, frame 27161 ran in:  11.867317914962769
Exciton, frame 27162 ran in:  11.737656116485596
Exciton, frame 27163 ran in:  11.727905511856079
Exciton, frame 27164 ran in:  12.522191047668457
Exciton, frame 27165 ran in:  12.325441837310791
Exciton, frame 27166 ran in:  13.089877605438232
Exciton, frame 27167 ran in:  12.9377281665802
Exciton, frame 27168 ran in:  12.819987058639526
Exciton, frame 27169 ran in:  12.603252410888672
Exciton, frame 27170 ran in:  12.036066770553589
Exciton, frame 27171 ran in:  11.981738567352295
Exciton, frame 27172 ran in:  12.048411130905151
Exciton, frame 27173 ran in:  11.87487244606018
Exciton, frame 27174 ran in:  13.077644109725952
Exciton, frame 27175 ran in:  12.080160856246948
Exciton, frame 27176 ran in:  13.048506259918213
Exciton, frame 27177 ran in:  11.84773302078247
Exciton, frame 27178 ran in:  11.773772716522217
Exciton, frame 27179 ran in:  12.772836208343506
Exciton, frame 27180 ran in:  12.937185049057007
Exciton, frame 27181 ran in:  11.82140564918518
Exciton, frame 27182 ran in:  11.841139554977417
Exciton, frame 27183 ran in:  12.928995370864868
