cpu-bind=MASK - bp1-compute140, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 15.011459 secs
Exciton, frame 63000 ran in:  14.369755029678345
Exciton, frame 63001 ran in:  13.024472713470459
Exciton, frame 63002 ran in:  13.23658800125122
Exciton, frame 63003 ran in:  13.295377254486084
Exciton, frame 63004 ran in:  13.33214783668518
Exciton, frame 63005 ran in:  13.115990400314331
Exciton, frame 63006 ran in:  13.07748007774353
Exciton, frame 63007 ran in:  13.224129915237427
Exciton, frame 63008 ran in:  13.272372722625732
Exciton, frame 63009 ran in:  13.120644092559814
Exciton, frame 63010 ran in:  12.543459177017212
Exciton, frame 63011 ran in:  13.233774185180664
Exciton, frame 63012 ran in:  13.206032514572144
Exciton, frame 63013 ran in:  13.306355953216553
Exciton, frame 63014 ran in:  13.080809593200684
Exciton, frame 63015 ran in:  13.060548543930054
Exciton, frame 63016 ran in:  12.621517896652222
Exciton, frame 63017 ran in:  12.713675260543823
Exciton, frame 63018 ran in:  12.80309772491455
Exciton, frame 63019 ran in:  13.135581016540527
Exciton, frame 63020 ran in:  12.158487319946289
Exciton, frame 63021 ran in:  12.891432285308838
Exciton, frame 63022 ran in:  13.335700273513794
Exciton, frame 63023 ran in:  12.923048257827759
Exciton, frame 63024 ran in:  13.101890087127686
Exciton, frame 63025 ran in:  12.54392123222351
Exciton, frame 63026 ran in:  12.852591276168823
Exciton, frame 63027 ran in:  12.84715223312378
Exciton, frame 63028 ran in:  13.220005750656128
Exciton, frame 63029 ran in:  12.531648397445679
Exciton, frame 63030 ran in:  12.662081956863403
Exciton, frame 63031 ran in:  12.491125106811523
Exciton, frame 63032 ran in:  12.8682119846344
Exciton, frame 63033 ran in:  13.28464150428772
Exciton, frame 63034 ran in:  12.599757432937622
Exciton, frame 63035 ran in:  12.93916392326355
Exciton, frame 63036 ran in:  12.922713279724121
Exciton, frame 63037 ran in:  12.920623779296875
Exciton, frame 63038 ran in:  13.002105474472046
Exciton, frame 63039 ran in:  13.241209983825684
Exciton, frame 63040 ran in:  13.09911322593689
Exciton, frame 63041 ran in:  13.18628716468811
Exciton, frame 63042 ran in:  12.767565488815308
Exciton, frame 63043 ran in:  12.344812154769897
Exciton, frame 63044 ran in:  12.749585390090942
Exciton, frame 63045 ran in:  12.655707120895386
Exciton, frame 63046 ran in:  13.38443636894226
Exciton, frame 63047 ran in:  12.931643724441528
Exciton, frame 63048 ran in:  13.097530841827393
Exciton, frame 63049 ran in:  13.14463996887207
Exciton, frame 63050 ran in:  12.450462579727173
Exciton, frame 63051 ran in:  12.235335111618042
Exciton, frame 63052 ran in:  12.693234205245972
Exciton, frame 63053 ran in:  13.151550054550171
Exciton, frame 63054 ran in:  13.161115884780884
Exciton, frame 63055 ran in:  12.178841352462769
Exciton, frame 63056 ran in:  12.417187213897705
Exciton, frame 63057 ran in:  12.983113527297974
Exciton, frame 63058 ran in:  12.824545860290527
Exciton, frame 63059 ran in:  13.08760404586792
Exciton, frame 63060 ran in:  12.335861206054688
Exciton, frame 63061 ran in:  12.550097227096558
Exciton, frame 63062 ran in:  12.872708320617676
Exciton, frame 63063 ran in:  12.84909725189209
Exciton, frame 63064 ran in:  12.654000520706177
Exciton, frame 63065 ran in:  12.707281827926636
Exciton, frame 63066 ran in:  12.303733348846436
Exciton, frame 63067 ran in:  13.046697854995728
Exciton, frame 63068 ran in:  12.717655658721924
Exciton, frame 63069 ran in:  13.015681982040405
Exciton, frame 63070 ran in:  12.88318419456482
