cpu-bind=MASK - bp1-compute184, task 4294967295 4294967295 [0]: mask 0x1ffffe001ffffe set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.885451 secs
Exciton, frame 134 ran in:  12.129476547241211
Exciton, frame 135 ran in:  10.779719591140747
Exciton, frame 136 ran in:  12.033793210983276
Exciton, frame 137 ran in:  12.122620105743408
Exciton, frame 138 ran in:  12.308112621307373
Exciton, frame 139 ran in:  10.666351079940796
Exciton, frame 140 ran in:  12.32272481918335
Exciton, frame 141 ran in:  12.244606018066406
Exciton, frame 142 ran in:  12.081520318984985
Exciton, frame 143 ran in:  11.847297191619873
Exciton, frame 144 ran in:  11.443806886672974
Exciton, frame 145 ran in:  10.479854822158813
Exciton, frame 146 ran in:  12.3812894821167
Exciton, frame 147 ran in:  11.40861701965332
Exciton, frame 148 ran in:  12.261942863464355
Exciton, frame 149 ran in:  11.828851461410522
Exciton, frame 150 ran in:  12.040811538696289
Exciton, frame 151 ran in:  12.034514904022217
Exciton, frame 152 ran in:  12.144169330596924
Exciton, frame 153 ran in:  10.645447254180908
Exciton, frame 154 ran in:  10.735541105270386
Exciton, frame 155 ran in:  12.203388690948486
Exciton, frame 156 ran in:  10.560261964797974
Exciton, frame 157 ran in:  10.385718822479248
Exciton, frame 158 ran in:  12.043389797210693
Exciton, frame 159 ran in:  11.691033840179443
Exciton, frame 160 ran in:  11.969441413879395
Exciton, frame 161 ran in:  12.362703800201416
Exciton, frame 162 ran in:  12.161756992340088
Exciton, frame 163 ran in:  11.70317816734314
Exciton, frame 164 ran in:  12.360890865325928
Exciton, frame 165 ran in:  11.145381450653076
Exciton, frame 166 ran in:  12.135406732559204
Exciton, frame 167 ran in:  11.921101808547974
Exciton, frame 168 ran in:  11.879170894622803
Exciton, frame 169 ran in:  11.099637031555176
Exciton, frame 170 ran in:  11.131465435028076
Exciton, frame 171 ran in:  11.558435916900635
Exciton, frame 172 ran in:  12.258594036102295
Exciton, frame 173 ran in:  11.183980464935303
Exciton, frame 174 ran in:  11.999475955963135
Exciton, frame 175 ran in:  12.141849040985107
Exciton, frame 176 ran in:  12.308334589004517
Exciton, frame 177 ran in:  11.9188072681427
Exciton, frame 178 ran in:  12.038488149642944
Exciton, frame 179 ran in:  12.128541231155396
Exciton, frame 180 ran in:  12.185155630111694
Exciton, frame 181 ran in:  12.18137502670288
Exciton, frame 182 ran in:  12.177284479141235
Exciton, frame 183 ran in:  12.22857666015625
Exciton, frame 184 ran in:  11.824936151504517
Exciton, frame 185 ran in:  12.271466255187988
Exciton, frame 186 ran in:  12.216854810714722
Exciton, frame 187 ran in:  12.000499725341797
Exciton, frame 188 ran in:  11.99067497253418
Exciton, frame 189 ran in:  11.904109001159668
Exciton, frame 190 ran in:  11.288750410079956
Exciton, frame 191 ran in:  11.979933738708496
Exciton, frame 192 ran in:  10.520000457763672
Exciton, frame 193 ran in:  12.142520427703857
Exciton, frame 194 ran in:  12.061235427856445
Exciton, frame 195 ran in:  12.04194164276123
Exciton, frame 196 ran in:  12.32462215423584
Exciton, frame 197 ran in:  11.866127014160156
Exciton, frame 198 ran in:  11.937523365020752
Exciton, frame 199 ran in:  11.997143030166626
Exciton, frame 200 ran in:  12.16590666770935
Exciton, frame 201 ran in:  11.527930974960327
Exciton, frame 202 ran in:  11.960299253463745
Exciton, frame 203 ran in:  11.858893394470215
