cpu-bind=MASK - bp1-compute148, task 4294967295 4294967295 [0]: mask 0xfffff000fffff0 set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 16.711456 secs
Exciton, frame 45000 ran in:  14.434546947479248
Exciton, frame 45001 ran in:  13.729988813400269
Exciton, frame 45002 ran in:  13.717303991317749
Exciton, frame 45003 ran in:  13.822322607040405
Exciton, frame 45004 ran in:  13.58283805847168
Exciton, frame 45005 ran in:  13.985862493515015
Exciton, frame 45006 ran in:  13.499375104904175
Exciton, frame 45007 ran in:  13.586107015609741
Exciton, frame 45008 ran in:  13.867469310760498
Exciton, frame 45009 ran in:  13.94864273071289
Exciton, frame 45010 ran in:  13.993571758270264
Exciton, frame 45011 ran in:  14.023080110549927
Exciton, frame 45012 ran in:  14.295006036758423
Exciton, frame 45013 ran in:  14.251442909240723
Exciton, frame 45014 ran in:  14.001253128051758
Exciton, frame 45015 ran in:  14.396537780761719
Exciton, frame 45016 ran in:  14.42052936553955
Exciton, frame 45017 ran in:  14.504947185516357
Exciton, frame 45018 ran in:  13.79095983505249
Exciton, frame 45019 ran in:  13.84358835220337
Exciton, frame 45020 ran in:  13.787177801132202
Exciton, frame 45021 ran in:  13.695001125335693
Exciton, frame 45022 ran in:  14.047008037567139
Exciton, frame 45023 ran in:  14.617506742477417
Exciton, frame 45024 ran in:  13.846012115478516
Exciton, frame 45025 ran in:  14.19314956665039
Exciton, frame 45026 ran in:  14.010072708129883
Exciton, frame 45027 ran in:  13.732069492340088
Exciton, frame 45028 ran in:  13.857767820358276
Exciton, frame 45029 ran in:  14.340614080429077
Exciton, frame 45030 ran in:  14.261553764343262
Exciton, frame 45031 ran in:  13.562891721725464
Exciton, frame 45032 ran in:  13.693540811538696
Exciton, frame 45033 ran in:  14.259124279022217
Exciton, frame 45034 ran in:  14.571606874465942
Exciton, frame 45035 ran in:  14.121948003768921
Exciton, frame 45036 ran in:  13.889981746673584
Exciton, frame 45037 ran in:  14.245534896850586
Exciton, frame 45038 ran in:  14.216334819793701
Exciton, frame 45039 ran in:  13.703234910964966
Exciton, frame 45040 ran in:  13.904206991195679
Exciton, frame 45041 ran in:  13.64320421218872
Exciton, frame 45042 ran in:  13.408100605010986
Exciton, frame 45043 ran in:  13.583383083343506
Exciton, frame 45044 ran in:  13.808244466781616
Exciton, frame 45045 ran in:  14.415530681610107
Exciton, frame 45046 ran in:  14.140003204345703
Exciton, frame 45047 ran in:  13.980125188827515
Exciton, frame 45048 ran in:  13.644295930862427
Exciton, frame 45049 ran in:  13.81990671157837
Exciton, frame 45050 ran in:  13.772587299346924
Exciton, frame 45051 ran in:  13.520829916000366
Exciton, frame 45052 ran in:  13.54759693145752
Exciton, frame 45053 ran in:  14.021562814712524
Exciton, frame 45054 ran in:  14.253343105316162
Exciton, frame 45055 ran in:  13.532799005508423
Exciton, frame 45056 ran in:  13.784570455551147
Exciton, frame 45057 ran in:  13.402821063995361
Exciton, frame 45058 ran in:  13.857996225357056
Exciton, frame 45059 ran in:  13.91560983657837
Exciton, frame 45060 ran in:  14.144508361816406
Exciton, frame 45061 ran in:  13.797291278839111
Exciton, frame 45062 ran in:  14.423210382461548
Exciton, frame 45063 ran in:  14.385143756866455
Exciton, frame 45064 ran in:  13.885464191436768
Exciton, frame 45065 ran in:  13.872818231582642
Exciton, frame 45066 ran in:  13.887934446334839
Exciton, frame 45067 ran in:  14.336209535598755
Exciton, frame 45068 ran in:  14.310656547546387
