cpu-bind=MASK - bp1-compute090, task 4294967295 4294967295 [0]: mask 0xfffff0fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.602873 secs
Exciton, frame 93000 ran in:  13.75025486946106
Exciton, frame 93001 ran in:  12.96471118927002
Exciton, frame 93002 ran in:  12.721168041229248
Exciton, frame 93003 ran in:  12.771105766296387
Exciton, frame 93004 ran in:  12.39680528640747
Exciton, frame 93005 ran in:  12.738322496414185
Exciton, frame 93006 ran in:  12.834425449371338
Exciton, frame 93007 ran in:  12.554534912109375
Exciton, frame 93008 ran in:  12.28507399559021
Exciton, frame 93009 ran in:  13.032618761062622
Exciton, frame 93010 ran in:  12.709455490112305
Exciton, frame 93011 ran in:  12.788313627243042
Exciton, frame 93012 ran in:  12.664846420288086
Exciton, frame 93013 ran in:  12.538859844207764
Exciton, frame 93014 ran in:  12.565999746322632
Exciton, frame 93015 ran in:  12.528157949447632
Exciton, frame 93016 ran in:  12.878142833709717
Exciton, frame 93017 ran in:  12.475095748901367
Exciton, frame 93018 ran in:  12.553280591964722
Exciton, frame 93019 ran in:  12.67434811592102
Exciton, frame 93020 ran in:  12.755675315856934
Exciton, frame 93021 ran in:  12.920024871826172
Exciton, frame 93022 ran in:  12.788240909576416
Exciton, frame 93023 ran in:  12.661376953125
Exciton, frame 93024 ran in:  12.624509811401367
Exciton, frame 93025 ran in:  12.86066460609436
Exciton, frame 93026 ran in:  12.894688129425049
Exciton, frame 93027 ran in:  12.633396625518799
Exciton, frame 93028 ran in:  12.745255470275879
Exciton, frame 93029 ran in:  12.882524251937866
Exciton, frame 93030 ran in:  13.107169389724731
Exciton, frame 93031 ran in:  12.609675407409668
Exciton, frame 93032 ran in:  12.431545734405518
Exciton, frame 93033 ran in:  12.79821491241455
Exciton, frame 93034 ran in:  12.749530553817749
Exciton, frame 93035 ran in:  12.671985149383545
Exciton, frame 93036 ran in:  12.8747079372406
Exciton, frame 93037 ran in:  12.769748449325562
Exciton, frame 93038 ran in:  12.664917707443237
Exciton, frame 93039 ran in:  13.03757643699646
Exciton, frame 93040 ran in:  12.495214700698853
Exciton, frame 93041 ran in:  12.894975185394287
Exciton, frame 93042 ran in:  12.77613353729248
Exciton, frame 93043 ran in:  12.641330003738403
Exciton, frame 93044 ran in:  12.393789052963257
Exciton, frame 93045 ran in:  12.69942045211792
Exciton, frame 93046 ran in:  12.797335147857666
Exciton, frame 93047 ran in:  12.926888227462769
Exciton, frame 93048 ran in:  12.656657934188843
Exciton, frame 93049 ran in:  12.99303650856018
Exciton, frame 93050 ran in:  12.837134838104248
Exciton, frame 93051 ran in:  12.859989404678345
Exciton, frame 93052 ran in:  13.14672327041626
Exciton, frame 93053 ran in:  12.661099195480347
Exciton, frame 93054 ran in:  12.819479942321777
Exciton, frame 93055 ran in:  12.576852083206177
Exciton, frame 93056 ran in:  12.896609783172607
Exciton, frame 93057 ran in:  12.580040454864502
