cpu-bind=MASK - bp1-compute164, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 19.567043 secs
Exciton, frame 108000 ran in:  12.796358108520508
Exciton, frame 108001 ran in:  11.752068758010864
Exciton, frame 108002 ran in:  12.193840742111206
Exciton, frame 108003 ran in:  11.875600814819336
Exciton, frame 108004 ran in:  11.852951288223267
Exciton, frame 108005 ran in:  12.044132471084595
Exciton, frame 108006 ran in:  12.105962991714478
Exciton, frame 108007 ran in:  13.683680772781372
Exciton, frame 108008 ran in:  11.747896194458008
Exciton, frame 108009 ran in:  12.02424168586731
Exciton, frame 108010 ran in:  12.03465986251831
Exciton, frame 108011 ran in:  12.520360469818115
Exciton, frame 108012 ran in:  11.844541788101196
Exciton, frame 108013 ran in:  11.676398754119873
Exciton, frame 108014 ran in:  12.073577642440796
Exciton, frame 108015 ran in:  12.057711362838745
Exciton, frame 108016 ran in:  12.521854400634766
Exciton, frame 108017 ran in:  12.06012511253357
Exciton, frame 108018 ran in:  11.885017156600952
Exciton, frame 108019 ran in:  11.782151699066162
Exciton, frame 108020 ran in:  11.935189247131348
Exciton, frame 108021 ran in:  11.958424806594849
Exciton, frame 108022 ran in:  12.428752183914185
Exciton, frame 108023 ran in:  11.806501626968384
Exciton, frame 108024 ran in:  11.964083909988403
Exciton, frame 108025 ran in:  11.865350008010864
Exciton, frame 108026 ran in:  11.971145868301392
Exciton, frame 108027 ran in:  11.90807056427002
Exciton, frame 108028 ran in:  11.745246171951294
Exciton, frame 108029 ran in:  11.968154668807983
Exciton, frame 108030 ran in:  12.104252338409424
Exciton, frame 108031 ran in:  12.191985130310059
Exciton, frame 108032 ran in:  11.80961537361145
Exciton, frame 108033 ran in:  11.780311107635498
Exciton, frame 108034 ran in:  11.709844827651978
Exciton, frame 108035 ran in:  11.890139818191528
Exciton, frame 108036 ran in:  11.983428955078125
Exciton, frame 108037 ran in:  11.885969638824463
Exciton, frame 108038 ran in:  11.918069839477539
Exciton, frame 108039 ran in:  11.803560495376587
Exciton, frame 108040 ran in:  11.646074295043945
Exciton, frame 108041 ran in:  12.056384325027466
Exciton, frame 108042 ran in:  11.842447757720947
Exciton, frame 108043 ran in:  11.966865301132202
Exciton, frame 108044 ran in:  12.03722858428955
Exciton, frame 108045 ran in:  11.897868156433105
Exciton, frame 108046 ran in:  11.79310917854309
Exciton, frame 108047 ran in:  11.929344177246094
Exciton, frame 108048 ran in:  11.756240844726562
Exciton, frame 108049 ran in:  11.87839937210083
Exciton, frame 108050 ran in:  12.027016639709473
Exciton, frame 108051 ran in:  12.060267925262451
Exciton, frame 108052 ran in:  11.864805221557617
Exciton, frame 108053 ran in:  11.894486665725708
Exciton, frame 108054 ran in:  11.989357948303223
Exciton, frame 108055 ran in:  12.050127267837524
Exciton, frame 108056 ran in:  12.02433466911316
Exciton, frame 108057 ran in:  11.748071432113647
Exciton, frame 108058 ran in:  11.96003770828247
Exciton, frame 108059 ran in:  11.875149488449097
Exciton, frame 108060 ran in:  11.866440057754517
Exciton, frame 108061 ran in:  11.922786235809326
Exciton, frame 108062 ran in:  11.887403011322021
Exciton, frame 108063 ran in:  11.955697298049927
Exciton, frame 108064 ran in:  11.898369550704956
