cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 17.766312 secs
Exciton, frame 138000 ran in:  13.032763004302979
Exciton, frame 138001 ran in:  11.772583723068237
Exciton, frame 138002 ran in:  11.716166734695435
Exciton, frame 138003 ran in:  11.746670007705688
Exciton, frame 138004 ran in:  12.40737247467041
Exciton, frame 138005 ran in:  11.808761835098267
Exciton, frame 138006 ran in:  11.905081033706665
Exciton, frame 138007 ran in:  12.107737064361572
Exciton, frame 138008 ran in:  12.169008255004883
Exciton, frame 138009 ran in:  11.850606918334961
Exciton, frame 138010 ran in:  12.016298055648804
Exciton, frame 138011 ran in:  11.959984540939331
Exciton, frame 138012 ran in:  11.907938003540039
Exciton, frame 138013 ran in:  11.772119283676147
Exciton, frame 138014 ran in:  12.16980266571045
Exciton, frame 138015 ran in:  12.247491121292114
Exciton, frame 138016 ran in:  11.717944145202637
Exciton, frame 138017 ran in:  11.817422151565552
Exciton, frame 138018 ran in:  12.095645189285278
Exciton, frame 138019 ran in:  11.958922147750854
Exciton, frame 138020 ran in:  11.919463396072388
Exciton, frame 138021 ran in:  11.595483303070068
Exciton, frame 138022 ran in:  11.876560926437378
Exciton, frame 138023 ran in:  11.77907395362854
Exciton, frame 138024 ran in:  11.816438913345337
Exciton, frame 138025 ran in:  12.092225790023804
Exciton, frame 138026 ran in:  11.967504501342773
Exciton, frame 138027 ran in:  12.514886617660522
Exciton, frame 138028 ran in:  12.07216477394104
Exciton, frame 138029 ran in:  11.797943830490112
Exciton, frame 138030 ran in:  11.884194135665894
Exciton, frame 138031 ran in:  12.080082178115845
Exciton, frame 138032 ran in:  11.837098836898804
Exciton, frame 138033 ran in:  11.595688343048096
Exciton, frame 138034 ran in:  11.958219766616821
Exciton, frame 138035 ran in:  12.088622570037842
Exciton, frame 138036 ran in:  11.74833869934082
Exciton, frame 138037 ran in:  12.011308908462524
Exciton, frame 138038 ran in:  12.129779577255249
Exciton, frame 138039 ran in:  11.722986698150635
Exciton, frame 138040 ran in:  11.92034125328064
Exciton, frame 138041 ran in:  11.815895318984985
Exciton, frame 138042 ran in:  11.957137823104858
Exciton, frame 138043 ran in:  11.992679119110107
Exciton, frame 138044 ran in:  12.150467157363892
Exciton, frame 138045 ran in:  12.22241759300232
Exciton, frame 138046 ran in:  12.074296951293945
Exciton, frame 138047 ran in:  11.961910009384155
Exciton, frame 138048 ran in:  11.802652597427368
Exciton, frame 138049 ran in:  11.7029869556427
Exciton, frame 138050 ran in:  12.226220846176147
Exciton, frame 138051 ran in:  11.955342531204224
Exciton, frame 138052 ran in:  12.081265926361084
Exciton, frame 138053 ran in:  12.040380239486694
Exciton, frame 138054 ran in:  12.078563451766968
Exciton, frame 138055 ran in:  11.777867794036865
Exciton, frame 138056 ran in:  11.936532258987427
Exciton, frame 138057 ran in:  12.099055290222168
Exciton, frame 138058 ran in:  11.903787851333618
Exciton, frame 138059 ran in:  11.81959581375122
Exciton, frame 138060 ran in:  11.832242727279663
Exciton, frame 138061 ran in:  11.748667001724243
Exciton, frame 138062 ran in:  12.044970989227295
Exciton, frame 138063 ran in:  11.716331481933594
Exciton, frame 138064 ran in:  11.786638498306274
Exciton, frame 138065 ran in:  11.844869136810303
Exciton, frame 138066 ran in:  11.816335678100586
Exciton, frame 138067 ran in:  11.824226140975952
Exciton, frame 138068 ran in:  11.712511539459229
Exciton, frame 138069 ran in:  11.645310163497925
Exciton, frame 138070 ran in:  11.964804649353027
Exciton, frame 138071 ran in:  12.075527429580688
Exciton, frame 138072 ran in:  11.90814733505249
Exciton, frame 138073 ran in:  11.869360208511353
Exciton, frame 138074 ran in:  11.808734893798828
Exciton, frame 138075 ran in:  11.901980638504028
Exciton, frame 138076 ran in:  12.319813251495361
Exciton, frame 138077 ran in:  11.658947229385376
Exciton, frame 138078 ran in:  11.70519733428955
Exciton, frame 138079 ran in:  11.726732969284058
Exciton, frame 138080 ran in:  11.893963098526001
Exciton, frame 138081 ran in:  11.806429624557495
Exciton, frame 138082 ran in:  11.60350751876831
Exciton, frame 138083 ran in:  12.036579847335815
Exciton, frame 138084 ran in:  11.87902545928955
