cpu-bind=MASK - bp1-compute153, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 18.084884 secs
Exciton, frame 126000 ran in:  13.638876914978027
Exciton, frame 126001 ran in:  12.37508749961853
Exciton, frame 126002 ran in:  12.161099433898926
Exciton, frame 126003 ran in:  11.930240869522095
Exciton, frame 126004 ran in:  12.106034517288208
Exciton, frame 126005 ran in:  12.038578510284424
Exciton, frame 126006 ran in:  12.249626159667969
Exciton, frame 126007 ran in:  12.628700494766235
Exciton, frame 126008 ran in:  12.732056379318237
Exciton, frame 126009 ran in:  12.569231748580933
Exciton, frame 126010 ran in:  12.186006546020508
Exciton, frame 126011 ran in:  12.539655208587646
Exciton, frame 126012 ran in:  12.3212890625
Exciton, frame 126013 ran in:  12.069584846496582
Exciton, frame 126014 ran in:  12.32869029045105
Exciton, frame 126015 ran in:  12.127325773239136
Exciton, frame 126016 ran in:  12.340611457824707
Exciton, frame 126017 ran in:  12.858161687850952
Exciton, frame 126018 ran in:  12.249259948730469
Exciton, frame 126019 ran in:  12.220664739608765
Exciton, frame 126020 ran in:  12.636606454849243
Exciton, frame 126021 ran in:  13.138548851013184
Exciton, frame 126022 ran in:  12.162205219268799
Exciton, frame 126023 ran in:  12.609377145767212
Exciton, frame 126024 ran in:  11.833760976791382
Exciton, frame 126025 ran in:  12.243290424346924
Exciton, frame 126026 ran in:  12.313613414764404
Exciton, frame 126027 ran in:  11.74570369720459
Exciton, frame 126028 ran in:  11.717613220214844
Exciton, frame 126029 ran in:  12.204451322555542
Exciton, frame 126030 ran in:  11.736005544662476
Exciton, frame 126031 ran in:  12.313946723937988
Exciton, frame 126032 ran in:  11.92658519744873
Exciton, frame 126033 ran in:  12.196742057800293
Exciton, frame 126034 ran in:  12.298660278320312
Exciton, frame 126035 ran in:  11.852576494216919
Exciton, frame 126036 ran in:  11.912747859954834
Exciton, frame 126037 ran in:  11.907483339309692
Exciton, frame 126038 ran in:  12.032257080078125
Exciton, frame 126039 ran in:  12.274631023406982
Exciton, frame 126040 ran in:  12.133222579956055
Exciton, frame 126041 ran in:  11.998640537261963
Exciton, frame 126042 ran in:  12.090556383132935
Exciton, frame 126043 ran in:  11.837432384490967
Exciton, frame 126044 ran in:  12.282105207443237
Exciton, frame 126045 ran in:  13.159859418869019
Exciton, frame 126046 ran in:  12.047813415527344
Exciton, frame 126047 ran in:  12.188828229904175
Exciton, frame 126048 ran in:  12.260240077972412
Exciton, frame 126049 ran in:  12.102985382080078
Exciton, frame 126050 ran in:  24.76413869857788
Exciton, frame 126051 ran in:  12.098703861236572
Exciton, frame 126052 ran in:  11.923193454742432
Exciton, frame 126053 ran in:  12.168421030044556
Exciton, frame 126054 ran in:  11.808568477630615
Exciton, frame 126055 ran in:  12.082133531570435
Exciton, frame 126056 ran in:  12.028492212295532
Exciton, frame 126057 ran in:  11.913559198379517
Exciton, frame 126058 ran in:  11.875988006591797
Exciton, frame 126059 ran in:  11.869229078292847
Exciton, frame 126060 ran in:  12.114553451538086
Exciton, frame 126061 ran in:  12.147648096084595
Exciton, frame 126062 ran in:  11.87279987335205
Exciton, frame 126063 ran in:  11.979008197784424
Exciton, frame 126064 ran in:  11.960783004760742
Exciton, frame 126065 ran in:  11.769496202468872
Exciton, frame 126066 ran in:  11.944472789764404
Exciton, frame 126067 ran in:  11.857199430465698
Exciton, frame 126068 ran in:  11.940929889678955
Exciton, frame 126069 ran in:  11.901257514953613
Exciton, frame 126070 ran in:  12.112129926681519
Exciton, frame 126071 ran in:  11.957263708114624
Exciton, frame 126072 ran in:  12.090558290481567
Exciton, frame 126073 ran in:  11.672606468200684
Exciton, frame 126074 ran in:  12.016791582107544
Exciton, frame 126075 ran in:  12.34559679031372
Exciton, frame 126076 ran in:  12.200675010681152
Exciton, frame 126077 ran in:  12.088925123214722
Exciton, frame 126078 ran in:  11.895078897476196
Exciton, frame 126079 ran in:  12.125513553619385
Exciton, frame 126080 ran in:  12.045655488967896
Exciton, frame 126081 ran in:  11.755827903747559
Exciton, frame 126082 ran in:  11.816174745559692
Exciton, frame 126083 ran in:  11.731130361557007
