cpu-bind=MASK - bp1-compute168, task 4294967295 4294967295 [0]: mask 0xfffff000fffff set
/user/home/of15641/.conda/envs/openmm/bin/python
Finished 'load_dcd_file' in 14.869107 secs
Exciton, frame 75000 ran in:  13.679478645324707
Exciton, frame 75001 ran in:  12.58006501197815
Exciton, frame 75002 ran in:  12.778666496276855
Exciton, frame 75003 ran in:  12.066570043563843
Exciton, frame 75004 ran in:  12.602652311325073
Exciton, frame 75005 ran in:  12.77474069595337
Exciton, frame 75006 ran in:  12.592578411102295
Exciton, frame 75007 ran in:  13.287874937057495
Exciton, frame 75008 ran in:  12.672783851623535
Exciton, frame 75009 ran in:  13.215832471847534
Exciton, frame 75010 ran in:  13.155927658081055
Exciton, frame 75011 ran in:  12.953869581222534
Exciton, frame 75012 ran in:  12.596825122833252
Exciton, frame 75013 ran in:  12.791034698486328
Exciton, frame 75014 ran in:  12.633565902709961
Exciton, frame 75015 ran in:  13.037935733795166
Exciton, frame 75016 ran in:  13.112761974334717
Exciton, frame 75017 ran in:  13.078193664550781
Exciton, frame 75018 ran in:  13.258638143539429
Exciton, frame 75019 ran in:  12.810397148132324
Exciton, frame 75020 ran in:  12.752440690994263
Exciton, frame 75021 ran in:  12.920135498046875
Exciton, frame 75022 ran in:  13.054591178894043
Exciton, frame 75023 ran in:  12.6346595287323
Exciton, frame 75024 ran in:  12.357605695724487
Exciton, frame 75025 ran in:  13.080735683441162
Exciton, frame 75026 ran in:  12.914334297180176
Exciton, frame 75027 ran in:  13.115012645721436
Exciton, frame 75028 ran in:  13.097480773925781
Exciton, frame 75029 ran in:  13.153058052062988
Exciton, frame 75030 ran in:  13.34260106086731
Exciton, frame 75031 ran in:  13.006808280944824
Exciton, frame 75032 ran in:  16.622865676879883
Exciton, frame 75033 ran in:  13.08470106124878
Exciton, frame 75034 ran in:  12.97221040725708
Exciton, frame 75035 ran in:  13.06537389755249
Exciton, frame 75036 ran in:  12.746220111846924
Exciton, frame 75037 ran in:  12.804568529129028
Exciton, frame 75038 ran in:  12.687507390975952
Exciton, frame 75039 ran in:  12.900427103042603
Exciton, frame 75040 ran in:  12.76029372215271
Exciton, frame 75041 ran in:  12.50773024559021
Exciton, frame 75042 ran in:  13.02186369895935
Exciton, frame 75043 ran in:  13.128502607345581
Exciton, frame 75044 ran in:  12.951560974121094
Exciton, frame 75045 ran in:  13.304166555404663
Exciton, frame 75046 ran in:  13.078406810760498
Exciton, frame 75047 ran in:  13.374559164047241
Exciton, frame 75048 ran in:  12.217727422714233
Exciton, frame 75049 ran in:  13.006890296936035
Exciton, frame 75050 ran in:  12.86319613456726
Exciton, frame 75051 ran in:  12.905041217803955
Exciton, frame 75052 ran in:  13.029484272003174
Exciton, frame 75053 ran in:  13.067708253860474
Exciton, frame 75054 ran in:  13.213435649871826
Exciton, frame 75055 ran in:  12.875907897949219
Exciton, frame 75056 ran in:  12.87694263458252
Exciton, frame 75057 ran in:  12.6522798538208
Exciton, frame 75058 ran in:  12.71482253074646
Exciton, frame 75059 ran in:  13.406460046768188
Exciton, frame 75060 ran in:  13.134794235229492
Exciton, frame 75061 ran in:  12.386371850967407
Exciton, frame 75062 ran in:  12.990267515182495
Exciton, frame 75063 ran in:  13.015066623687744
Exciton, frame 75064 ran in:  13.283925771713257
Exciton, frame 75065 ran in:  12.746530294418335
Exciton, frame 75066 ran in:  12.964751482009888
Exciton, frame 75067 ran in:  13.25883936882019
Exciton, frame 75068 ran in:  13.220173120498657
Exciton, frame 75069 ran in:  13.239540815353394
Exciton, frame 75070 ran in:  12.94059944152832
Exciton, frame 75071 ran in:  13.179317951202393
Exciton, frame 75072 ran in:  12.806143045425415
Exciton, frame 75073 ran in:  13.160826921463013
Exciton, frame 75074 ran in:  13.048540830612183
Exciton, frame 75075 ran in:  12.993529796600342
Exciton, frame 75076 ran in:  12.944930791854858
Exciton, frame 75077 ran in:  13.045987129211426
Exciton, frame 75078 ran in:  12.574353218078613
Exciton, frame 75079 ran in:  13.001553058624268
Exciton, frame 75080 ran in:  12.942402839660645
Exciton, frame 75081 ran in:  13.14673900604248
Exciton, frame 75082 ran in:  13.073840618133545
Exciton, frame 75083 ran in:  12.592907667160034
Exciton, frame 75084 ran in:  13.11043381690979
Exciton, frame 75085 ran in:  13.14972448348999
Exciton, frame 75086 ran in:  12.05525517463684
Exciton, frame 75087 ran in:  12.858569383621216
Exciton, frame 75088 ran in:  13.174215316772461
Exciton, frame 75089 ran in:  13.099772930145264
Exciton, frame 75090 ran in:  12.744198322296143
Exciton, frame 75091 ran in:  12.680038690567017
Exciton, frame 75092 ran in:  12.856750011444092
Exciton, frame 75093 ran in:  13.184491872787476
Exciton, frame 75094 ran in:  13.139163970947266
Exciton, frame 75095 ran in:  12.848888397216797
Exciton, frame 75096 ran in:  12.70448613166809
Exciton, frame 75097 ran in:  12.934218883514404
Exciton, frame 75098 ran in:  12.615161418914795
